Meldedatum, difference, group, trend, value
2020-03-05, , trend, , 
2020-03-06, , trend, , 
2020-03-07, , trend, , 
2020-03-08, , trend, , 
2020-03-09, , trend, , 
2020-03-10, , trend, , 
2020-03-11, , trend, , 
2020-03-12, , trend, , 
2020-03-13, , trend, , 
2020-03-14, , trend, , 
2020-03-15, , trend, , 
2020-03-16, , trend, , 
2020-03-17, , trend, , 
2020-03-18, , trend, , 
2020-03-19, , trend, , 
2020-03-20, , trend, , 
2020-03-21, , trend, , 
2020-03-22, , trend, , 
2020-03-23, , trend, , 
2020-03-24, , trend, , 
2020-03-25, , trend, , 
2020-03-26, 1, trend, 0.0217, 1
2020-03-27, 1, trend, 0.0217, 1
2020-03-28, 1, trend, 0.0217, 1
2020-03-29, 1, trend, 0.0217, 1
2020-03-30, 1, trend, 0.0217, 1
2020-03-31, 1, trend, 0.0217, 1
2020-04-01, 1, trend, 0.0217, 1
2020-04-02, , trend, , 1
2020-04-03, 1, trend, 0.0217, 2
2020-04-04, 2, trend, 0.0435, 3
2020-04-05, 1, trend, 0.0217, 2
2020-04-06, 1, trend, 0.0217, 2
2020-04-07, 1, trend, 0.0217, 2
2020-04-08, 1, trend, 0.0217, 2
2020-04-09, 1, trend, 0.0217, 2
2020-04-10, , trend, , 2
2020-04-11, -2, trend, -0.0317, 1
2020-04-12, -1, trend, -0.0159, 1
2020-04-13, -1, trend, -0.0159, 1
2020-04-14, -2, trend, -0.0317, 
2020-04-15, -2, trend, -0.0317, 
2020-04-16, -2, trend, -0.0317, 
2020-04-17, -2, trend, -0.0317, 
2020-04-18, -1, trend, -0.0159, 
2020-04-19, -1, trend, -0.0159, 
2020-04-20, -1, trend, -0.0159, 
2020-04-21, , trend, , 
2020-04-22, , trend, , 
2020-04-23, , trend, , 
2020-04-24, , trend, , 
2020-04-25, , trend, , 
2020-04-26, , trend, , 
2020-04-27, , trend, , 
2020-04-28, , trend, , 
2020-04-29, , trend, , 
2020-04-30, , trend, , 
2020-05-01, , trend, , 
