Meldedatum, difference, region, region_id, trend, value
2020-03-06, , Brandenburg, 12, , 
2020-03-07, , Brandenburg, 12, , 
2020-03-08, , Brandenburg, 12, , 
2020-03-09, , Brandenburg, 12, , 0.0397
2020-03-10, , Brandenburg, 12, , 0.0793
2020-03-11, , Brandenburg, 12, , 0.119
2020-03-12, , Brandenburg, 12, , 0.119
2020-03-13, 0.1586, Brandenburg, 12, 0.0168, 0.1586
2020-03-14, 0.1983, Brandenburg, 12, 0.021, 0.1983
2020-03-15, 0.1983, Brandenburg, 12, 0.021, 0.1983
2020-03-16, 0.119, Brandenburg, 12, 0.0126, 0.1586
2020-03-17, 0.0793, Brandenburg, 12, 0.0084, 0.1586
2020-03-18, 0.119, Brandenburg, 12, 0.0126, 0.2379
2020-03-19, 0.2379, Brandenburg, 12, 0.0252, 0.3569
2020-03-20, 0.3569, Brandenburg, 12, 0.0378, 0.5155
2020-03-21, 0.6344, Brandenburg, 12, 0.0672, 0.8327
2020-03-22, 0.8327, Brandenburg, 12, 0.0882, 1.031
2020-03-23, 0.8724, Brandenburg, 12, 0.0924, 1.031
2020-03-24, 1.031, Brandenburg, 12, 0.1092, 1.1896
2020-03-25, 1.031, Brandenburg, 12, 0.1092, 1.2689
2020-03-26, 1.3085, Brandenburg, 12, 0.1387, 1.6654
2020-03-27, 1.4672, Brandenburg, 12, 0.1555, 1.9826
2020-03-28, 1.3085, Brandenburg, 12, 0.1387, 2.1412
2020-03-29, 1.3085, Brandenburg, 12, 0.1387, 2.3395
2020-03-30, 1.5861, Brandenburg, 12, 0.1681, 2.6171
2020-03-31, 2.1016, Brandenburg, 12, 0.2227, 3.2912
2020-04-01, 3.2912, Brandenburg, 12, 0.3487, 4.5601
2020-04-02, 3.5291, Brandenburg, 12, 0.3739, 5.1945
2020-04-03, 3.5291, Brandenburg, 12, 0.3739, 5.5117
2020-04-04, 4.1239, Brandenburg, 12, 0.437, 6.2651
2020-04-05, 3.9653, Brandenburg, 12, 0.4202, 6.3048
2020-04-06, 3.6481, Brandenburg, 12, 0.3866, 6.2651
2020-04-07, 2.8153, Brandenburg, 12, 0.2983, 6.1065
2020-04-08, 0.9517, Brandenburg, 12, 0.1008, 5.5117
2020-04-09, -0.0397, Brandenburg, 12, -0.0063, 5.1549
2020-04-10, 0.3172, Brandenburg, 12, 0.0336, 5.829
2020-04-11, -1.1499, Brandenburg, 12, -0.1835, 5.1152
2020-04-12, -1.1896, Brandenburg, 12, -0.1899, 5.1152
2020-04-13, -0.7534, Brandenburg, 12, -0.1203, 5.5117
2020-04-14, -1.1499, Brandenburg, 12, -0.1835, 4.9566
2020-04-15, -0.7931, Brandenburg, 12, -0.1266, 4.7187
2020-04-16, -0.3172, Brandenburg, 12, -0.0506, 4.8376
2020-04-17, -1.8637, Brandenburg, 12, -0.2975, 3.9653
2020-04-18, -1.031, Brandenburg, 12, -0.1646, 4.0842
2020-04-19, -1.031, Brandenburg, 12, -0.1646, 4.0842
2020-04-20, -1.7051, Brandenburg, 12, -0.2722, 3.8067
2020-04-21, -0.3172, Brandenburg, 12, -0.0506, 4.6394
2020-04-22, 0.3965, Brandenburg, 12, 0.042, 5.1152
2020-04-23, , Brandenburg, 12, , 4.8376
2020-04-24, 0.5948, Brandenburg, 12, 0.063, 4.5601
2020-04-25, 0.2379, Brandenburg, 12, 0.0252, 4.3222
