Meldedatum, difference, region, region_id, trend, value
2020-03-06, , Rheinland-Pfalz, 7, , 0.0489
2020-03-07, , Rheinland-Pfalz, 7, , 0.0244
2020-03-08, , Rheinland-Pfalz, 7, , 0.0244
2020-03-09, , Rheinland-Pfalz, 7, , 0.0244
2020-03-10, , Rheinland-Pfalz, 7, , 0.0733
2020-03-11, , Rheinland-Pfalz, 7, , 0.0977
2020-03-12, , Rheinland-Pfalz, 7, , 0.1221
2020-03-13, 0.2198, Rheinland-Pfalz, 7, 0.0756, 0.2687
2020-03-14, 0.3908, Rheinland-Pfalz, 7, 0.1345, 0.4153
2020-03-15, 0.3908, Rheinland-Pfalz, 7, 0.1345, 0.4153
2020-03-16, 0.4641, Rheinland-Pfalz, 7, 0.1597, 0.4885
2020-03-17, 0.7328, Rheinland-Pfalz, 7, 0.2521, 0.8061
2020-03-18, 1.0748, Rheinland-Pfalz, 7, 0.3697, 1.1725
2020-03-19, 1.1969, Rheinland-Pfalz, 7, 0.4118, 1.319
2020-03-20, 1.2213, Rheinland-Pfalz, 7, 0.4202, 1.49
2020-03-21, 1.148, Rheinland-Pfalz, 7, 0.395, 1.5633
2020-03-22, 1.4412, Rheinland-Pfalz, 7, 0.4958, 1.8564
2020-03-23, 1.6854, Rheinland-Pfalz, 7, 0.5798, 2.174
2020-03-24, 1.319, Rheinland-Pfalz, 7, 0.4538, 2.1251
2020-03-25, 1.1236, Rheinland-Pfalz, 7, 0.3866, 2.2961
2020-03-26, 1.2946, Rheinland-Pfalz, 7, 0.4454, 2.6136
2020-03-27, 1.49, Rheinland-Pfalz, 7, 0.5126, 2.98
2020-03-28, 1.8808, Rheinland-Pfalz, 7, 0.6471, 3.4441
2020-03-29, 1.8808, Rheinland-Pfalz, 7, 0.6471, 3.7373
2020-03-30, 1.5389, Rheinland-Pfalz, 7, 0.5294, 3.7128
2020-03-31, 1.9297, Rheinland-Pfalz, 7, 0.6639, 4.0548
2020-04-01, 2.1007, Rheinland-Pfalz, 7, 0.7227, 4.3968
2020-04-02, 2.1007, Rheinland-Pfalz, 7, 0.7227, 4.7143
2020-04-03, 1.6854, Rheinland-Pfalz, 7, 0.5798, 4.6655
2020-04-04, 1.3435, Rheinland-Pfalz, 7, 0.4622, 4.7876
2020-04-05, 1.0259, Rheinland-Pfalz, 7, 0.3529, 4.7632
2020-04-06, 0.9771, Rheinland-Pfalz, 7, 0.3361, 4.6899
2020-04-07, 0.6107, Rheinland-Pfalz, 7, 0.2101, 4.6655
2020-04-08, 0.0489, Rheinland-Pfalz, 7, 0.0168, 4.4456
2020-04-09, -0.4153, Rheinland-Pfalz, 7, -0.125, 4.2991
2020-04-10, -0.3664, Rheinland-Pfalz, 7, -0.1103, 4.2991
2020-04-11, -0.8061, Rheinland-Pfalz, 7, -0.2426, 3.9815
2020-04-12, -1.148, Rheinland-Pfalz, 7, -0.3456, 3.6151
2020-04-13, -1.0259, Rheinland-Pfalz, 7, -0.3088, 3.664
2020-04-14, -1.2702, Rheinland-Pfalz, 7, -0.3824, 3.3953
2020-04-15, -1.2458, Rheinland-Pfalz, 7, -0.375, 3.1999
2020-04-16, -1.2702, Rheinland-Pfalz, 7, -0.3824, 3.0289
2020-04-17, -1.5633, Rheinland-Pfalz, 7, -0.4706, 2.7358
2020-04-18, -1.4412, Rheinland-Pfalz, 7, -0.4338, 2.5404
2020-04-19, -0.9771, Rheinland-Pfalz, 7, -0.2941, 2.6381
2020-04-20, -1.319, Rheinland-Pfalz, 7, -0.3971, 2.345
2020-04-21, -1.2213, Rheinland-Pfalz, 7, -0.3676, 2.174
2020-04-22, -1.319, Rheinland-Pfalz, 7, -0.3971, 1.8808
2020-04-23, -1.2702, Rheinland-Pfalz, 7, -0.3824, 1.7587
2020-04-24, -1.1725, Rheinland-Pfalz, 7, -0.3529, 1.5633
2020-04-25, -1.1236, Rheinland-Pfalz, 7, -0.3382, 1.4167
2020-04-26, -1.4167, Rheinland-Pfalz, 7, -0.4265, 1.2213
2020-04-27, -1.0992, Rheinland-Pfalz, 7, -0.3309, 1.2458
2020-04-28, -0.8794, Rheinland-Pfalz, 7, -0.2647, 1.2946
2020-04-29, -0.5618, Rheinland-Pfalz, 7, -0.1691, 1.319
2020-04-30, -0.6107, Rheinland-Pfalz, 7, -0.1838, 1.148
2020-05-01, -0.3175, Rheinland-Pfalz, 7, -0.0956, 1.2458
2020-05-02, -0.171, Rheinland-Pfalz, 7, -0.0515, 1.2458
