Meldedatum, difference, region, region_id, trend, value
2020-03-06, , Schleswig-Holstein, 1, , 0.0689
2020-03-07, , Schleswig-Holstein, 1, , 0.0689
2020-03-08, , Schleswig-Holstein, 1, , 0.0689
2020-03-09, , Schleswig-Holstein, 1, , 0.0689
2020-03-10, , Schleswig-Holstein, 1, , 0.0689
2020-03-11, , Schleswig-Holstein, 1, , 0.0344
2020-03-12, , Schleswig-Holstein, 1, , 0.0689
2020-03-13, 0.0689, Schleswig-Holstein, 1, 0.0278, 0.1378
2020-03-14, 0.1378, Schleswig-Holstein, 1, 0.0556, 0.2066
2020-03-15, 0.1722, Schleswig-Holstein, 1, 0.0694, 0.2411
2020-03-16, 0.1722, Schleswig-Holstein, 1, 0.0694, 0.2411
2020-03-17, 0.2411, Schleswig-Holstein, 1, 0.0972, 0.3099
2020-03-18, 0.5166, Schleswig-Holstein, 1, 0.2083, 0.551
2020-03-19, 0.7232, Schleswig-Holstein, 1, 0.2917, 0.7921
2020-03-20, 0.6543, Schleswig-Holstein, 1, 0.2639, 0.7921
2020-03-21, 0.8954, Schleswig-Holstein, 1, 0.3611, 1.102
2020-03-22, 0.9987, Schleswig-Holstein, 1, 0.4028, 1.2398
2020-03-23, 1.3086, Schleswig-Holstein, 1, 0.5278, 1.5497
2020-03-24, 1.7219, Schleswig-Holstein, 1, 0.6944, 2.0318
2020-03-25, 1.7563, Schleswig-Holstein, 1, 0.7083, 2.3073
2020-03-26, 1.6875, Schleswig-Holstein, 1, 0.6806, 2.4795
2020-03-27, 2.4107, Schleswig-Holstein, 1, 0.9722, 3.2027
2020-03-28, 2.3418, Schleswig-Holstein, 1, 0.9444, 3.4438
2020-03-29, 2.5828, Schleswig-Holstein, 1, 1.0417, 3.8226
2020-03-30, 2.4107, Schleswig-Holstein, 1, 0.9722, 3.9604
2020-03-31, 1.9974, Schleswig-Holstein, 1, 0.8056, 4.0292
2020-04-01, 2.0318, Schleswig-Holstein, 1, 0.8194, 4.3392
2020-04-02, 2.0663, Schleswig-Holstein, 1, 0.8333, 4.5458
2020-04-03, 1.1709, Schleswig-Holstein, 1, 0.4722, 4.3736
2020-04-04, 0.7232, Schleswig-Holstein, 1, 0.2917, 4.167
2020-04-05, 0.1722, Schleswig-Holstein, 1, 0.0694, 3.9948
2020-04-06, -0.2755, Schleswig-Holstein, 1, -0.0816, 3.6849
2020-04-07, -0.4477, Schleswig-Holstein, 1, -0.1327, 3.5815
2020-04-08, -0.8609, Schleswig-Holstein, 1, -0.2551, 3.4782
2020-04-09, -1.0676, Schleswig-Holstein, 1, -0.3163, 3.4782
2020-04-10, -1.0676, Schleswig-Holstein, 1, -0.3163, 3.306
2020-04-11, -1.1709, Schleswig-Holstein, 1, -0.3469, 2.9961
2020-04-12, -1.1365, Schleswig-Holstein, 1, -0.3367, 2.8584
2020-04-13, -0.8609, Schleswig-Holstein, 1, -0.2551, 2.8239
2020-04-14, -1.102, Schleswig-Holstein, 1, -0.3265, 2.4795
2020-04-15, -1.6875, Schleswig-Holstein, 1, -0.5, 1.7908
2020-04-16, -2.0663, Schleswig-Holstein, 1, -0.6122, 1.412
2020-04-17, -2.1007, Schleswig-Holstein, 1, -0.6224, 1.2053
2020-04-18, -1.7219, Schleswig-Holstein, 1, -0.5102, 1.2742
2020-04-19, -1.6186, Schleswig-Holstein, 1, -0.4796, 1.2398
2020-04-20, -1.6186, Schleswig-Holstein, 1, -0.4796, 1.2053
2020-04-21, -0.9987, Schleswig-Holstein, 1, -0.2959, 1.4808
2020-04-22, -0.1033, Schleswig-Holstein, 1, -0.0306, 1.6875
2020-04-23, 0.2755, Schleswig-Holstein, 1, 0.1111, 1.6875
2020-04-24, 0.4133, Schleswig-Holstein, 1, 0.1667, 1.6186
2020-04-25, 0.4133, Schleswig-Holstein, 1, 0.1667, 1.6875
2020-04-26, 0.3444, Schleswig-Holstein, 1, 0.1389, 1.5841
2020-04-27, 0.4477, Schleswig-Holstein, 1, 0.1806, 1.653
2020-04-28, -0.2411, Schleswig-Holstein, 1, -0.0714, 1.2398
2020-04-29, -0.551, Schleswig-Holstein, 1, -0.1633, 1.1365
2020-04-30, -0.6888, Schleswig-Holstein, 1, -0.2041, 0.9987
2020-05-01, -0.6199, Schleswig-Holstein, 1, -0.1837, 0.9987
2020-05-02, -0.8954, Schleswig-Holstein, 1, -0.2653, 0.7921
2020-05-03, -0.8265, Schleswig-Holstein, 1, -0.2449, 0.7576
2020-05-04, -0.9987, Schleswig-Holstein, 1, -0.2959, 0.6543
2020-05-05, -0.5166, Schleswig-Holstein, 1, -0.1531, 0.7232
2020-05-06, -0.3444, Schleswig-Holstein, 1, -0.102, 0.7921
2020-05-07, -0.2755, Schleswig-Holstein, 1, -0.0816, 0.7232
2020-05-08, -0.3099, Schleswig-Holstein, 1, -0.0918, 0.6888
2020-05-09, -0.0344, Schleswig-Holstein, 1, -0.0102, 0.7576
2020-05-10, -0.0344, Schleswig-Holstein, 1, -0.0102, 0.7232
2020-05-11, 0.1722, Schleswig-Holstein, 1, 0.0694, 0.8265
2020-05-12, , Schleswig-Holstein, 1, , 0.7232
2020-05-13, -0.1722, Schleswig-Holstein, 1, -0.051, 0.6199
2020-05-14, -0.1722, Schleswig-Holstein, 1, -0.051, 0.551
2020-05-15, -0.2755, Schleswig-Holstein, 1, -0.0816, 0.4133
2020-05-16, -0.4821, Schleswig-Holstein, 1, -0.1429, 0.2755
2020-05-17, -0.4477, Schleswig-Holstein, 1, -0.1327, 0.2755
2020-05-18, -0.6888, Schleswig-Holstein, 1, -0.2041, 0.1378
2020-05-19, -0.5854, Schleswig-Holstein, 1, -0.1735, 0.1378
2020-05-20, -0.4821, Schleswig-Holstein, 1, -0.1429, 0.1378
2020-05-21, -0.3788, Schleswig-Holstein, 1, -0.1122, 0.1722
2020-05-22, -0.1722, Schleswig-Holstein, 1, -0.051, 0.2411
2020-05-23, 0.1033, Schleswig-Holstein, 1, 0.0417, 0.3788
2020-05-24, 0.0689, Schleswig-Holstein, 1, 0.0278, 0.3444
2020-05-25, 0.2066, Schleswig-Holstein, 1, 0.0833, 0.3444
2020-05-26, 0.2066, Schleswig-Holstein, 1, 0.0833, 0.3444
2020-05-27, 0.1722, Schleswig-Holstein, 1, 0.0694, 0.3099
2020-05-28, 0.1033, Schleswig-Holstein, 1, 0.0417, 0.2755
2020-05-29, , Schleswig-Holstein, 1, , 0.2411
2020-05-30, -0.1722, Schleswig-Holstein, 1, -0.051, 0.2066
2020-05-31, -0.1378, Schleswig-Holstein, 1, -0.0408, 0.2066
2020-06-01, -0.1378, Schleswig-Holstein, 1, -0.0408, 0.2066
2020-06-02, -0.1378, Schleswig-Holstein, 1, -0.0408, 0.2066
2020-06-03, -0.1722, Schleswig-Holstein, 1, -0.051, 0.1378
2020-06-04, -0.1378, Schleswig-Holstein, 1, -0.0408, 0.1378
2020-06-05, -0.1378, Schleswig-Holstein, 1, -0.0408, 0.1033
2020-06-06, -0.1722, Schleswig-Holstein, 1, -0.051, 0.0344
2020-06-07, -0.1722, Schleswig-Holstein, 1, -0.051, 0.0344
2020-06-08, -0.1722, Schleswig-Holstein, 1, -0.051, 0.0344
2020-06-09, -0.1722, Schleswig-Holstein, 1, -0.051, 0.0344
2020-06-10, -0.1033, Schleswig-Holstein, 1, -0.0306, 0.0344
2020-06-11, -0.1033, Schleswig-Holstein, 1, -0.0306, 0.0344
2020-06-12, -0.0344, Schleswig-Holstein, 1, -0.0102, 0.0689
2020-06-13, 0.0344, Schleswig-Holstein, 1, 0.0139, 0.0689
2020-06-14, 0.0344, Schleswig-Holstein, 1, 0.0139, 0.0689
2020-06-15, 0.0344, Schleswig-Holstein, 1, 0.0139, 0.0689
2020-06-16, 0.0689, Schleswig-Holstein, 1, 0.0278, 0.1033
2020-06-17, 0.0689, Schleswig-Holstein, 1, 0.0278, 0.1033
2020-06-18, 0.0689, Schleswig-Holstein, 1, 0.0278, 0.1033
2020-06-19, , Schleswig-Holstein, 1, , 0.0689
2020-06-20, -0.0344, Schleswig-Holstein, 1, -0.0102, 0.0344
2020-06-21, -0.0344, Schleswig-Holstein, 1, -0.0102, 0.0344
2020-06-22, , Schleswig-Holstein, 1, , 0.0689
2020-06-23, -0.0689, Schleswig-Holstein, 1, -0.0204, 0.0344
2020-06-24, -0.0689, Schleswig-Holstein, 1, -0.0204, 0.0344
2020-06-25, -0.0689, Schleswig-Holstein, 1, -0.0204, 0.0344
2020-06-26, , Schleswig-Holstein, 1, , 0.0689
2020-06-27, 0.0689, Schleswig-Holstein, 1, 0.0278, 0.1033
2020-06-28, 0.0689, Schleswig-Holstein, 1, 0.0278, 0.1033
2020-06-29, , Schleswig-Holstein, 1, , 0.0689
2020-06-30, 0.0344, Schleswig-Holstein, 1, 0.0139, 0.0689
2020-07-01, 0.0344, Schleswig-Holstein, 1, 0.0139, 0.0689
