Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Brandenburg, 12, , 
2020-03-06, , Brandenburg, 12, , 0.1
2020-03-07, , Brandenburg, 12, , 0.1
2020-03-08, , Brandenburg, 12, , 0.1
2020-03-09, , Brandenburg, 12, , 0.2
2020-03-10, , Brandenburg, 12, , 0.4
2020-03-11, , Brandenburg, 12, , 0.8
2020-03-12, 1, Brandenburg, 12, 0.0115, 1.1
2020-03-13, 1.9, Brandenburg, 12, 0.0208, 2
2020-03-14, 2.7, Brandenburg, 12, 0.0297, 2.8
2020-03-15, 3.2, Brandenburg, 12, 0.0354, 3.3
2020-03-16, 3.7, Brandenburg, 12, 0.0412, 3.9
2020-03-17, 4.1, Brandenburg, 12, 0.046, 4.5
2020-03-18, 5.9, Brandenburg, 12, 0.066, 6.7
2020-03-19, 7.1, Brandenburg, 12, 0.0788, 8.1
2020-03-20, 7.4, Brandenburg, 12, 0.0828, 9.4
2020-03-21, 8.3, Brandenburg, 12, 0.0925, 11.1
2020-03-22, 8.2, Brandenburg, 12, 0.0916, 11.5
2020-03-23, 7.6, Brandenburg, 12, 0.0846, 11.5
2020-03-24, 8.3, Brandenburg, 12, 0.0925, 12.8
2020-03-25, 5.9, Brandenburg, 12, 0.0655, 12.5
2020-03-26, 6.4, Brandenburg, 12, 0.0717, 14.6
2020-03-27, 5.8, Brandenburg, 12, 0.0646, 15.2
2020-03-28, 4.8, Brandenburg, 12, 0.0536, 15.9
2020-03-29, 5.2, Brandenburg, 12, 0.0575, 16.7
2020-03-30, 5.4, Brandenburg, 12, 0.0606, 16.9
2020-03-31, 5.8, Brandenburg, 12, 0.0646, 18.6
2020-04-01, 9, Brandenburg, 12, 0.1, 21.5
2020-04-02, 5.9, Brandenburg, 12, 0.0655, 20.4
2020-04-03, 6.9, Brandenburg, 12, 0.0775, 22.1
2020-04-04, 8.6, Brandenburg, 12, 0.0956, 24.4
2020-04-05, 7.6, Brandenburg, 12, 0.085, 24.3
2020-04-06, 7.3, Brandenburg, 12, 0.0819, 24.3
2020-04-07, 4.9, Brandenburg, 12, 0.0549, 23.5
2020-04-08, 1.1, Brandenburg, 12, 0.0128, 22.6
2020-04-09, 4.3, Brandenburg, 12, 0.0483, 24.7
2020-04-10, 2.6, Brandenburg, 12, 0.0288, 24.7
2020-04-11, -2.2, Brandenburg, 12, -0.0255, 22.2
2020-04-12, -1.7, Brandenburg, 12, -0.0194, 22.6
2020-04-13, -1, Brandenburg, 12, -0.0116, 23.3
2020-04-14, -2.7, Brandenburg, 12, -0.0319, 20.8
2020-04-15, -3.8, Brandenburg, 12, -0.0444, 18.8
2020-04-16, -8, Brandenburg, 12, -0.093, 16.8
2020-04-17, -10, Brandenburg, 12, -0.1166, 14.7
2020-04-18, -6.1, Brandenburg, 12, -0.0708, 16.2
2020-04-19, -5.9, Brandenburg, 12, -0.0694, 16.7
2020-04-20, -7.2, Brandenburg, 12, -0.0842, 16.1
