Week, difference, region, region_id, trend, value
2020-12, , Thüringen, 16, , 2.7
2020-13, -0.2, Thüringen, 16, -0.0274, 2.5
2020-14, 0.7, Thüringen, 16, 0.0538, 3.2
2020-15, 0.2, Thüringen, 16, 0.0154, 3.4
2020-16, -0.5, Thüringen, 16, -0.0685, 2.9
2020-17, 0.6, Thüringen, 16, 0.0462, 3.5
2020-18, -1, Thüringen, 16, -0.137, 2.5
2020-19, -0.1, Thüringen, 16, -0.0137, 2.4
2020-20, -0.5, Thüringen, 16, -0.0685, 1.9
2020-21, 0.3, Thüringen, 16, 0.0231, 2.2
2020-22, -0.1, Thüringen, 16, -0.0137, 2.1
2020-23, -0.5, Thüringen, 16, -0.0685, 1.6
2020-24, -0.6, Thüringen, 16, -0.0822, 1
2020-25, -0.5, Thüringen, 16, -0.0685, 0.5
2020-26, , Thüringen, 16, , 0.5
2020-27, -0.4, Thüringen, 16, -0.0548, 0.1
2020-28, , Thüringen, 16, , 0.1
2020-29, , Thüringen, 16, , 0.1
2020-30, 0.1, Thüringen, 16, 0.0077, 0.2
2020-31, 0.1, Thüringen, 16, 0.0077, 0.3
2020-32, 0.3, Thüringen, 16, 0.0231, 0.6
2020-33, -0.2, Thüringen, 16, -0.0274, 0.4
2020-34, 0.3, Thüringen, 16, 0.0231, 0.7
2020-35, -0.3, Thüringen, 16, -0.0411, 0.4
2020-36, -0.1, Thüringen, 16, -0.0137, 0.3
2020-37, 0.8, Thüringen, 16, 0.0615, 1.1
2020-38, 0.5, Thüringen, 16, 0.0385, 1.6
2020-39, -0.6, Thüringen, 16, -0.0822, 1
2020-40, 0.3, Thüringen, 16, 0.0231, 1.3
2020-41, 0.6, Thüringen, 16, 0.0462, 1.9
2020-42, 1, Thüringen, 16, 0.0769, 2.9
2020-43, 0.9, Thüringen, 16, 0.0692, 3.8
2020-44, 3.2, Thüringen, 16, 0.2462, 7
2020-45, 0.2, Thüringen, 16, 0.0154, 7.2
2020-46, 0.1, Thüringen, 16, 0.0077, 7.3
2020-47, 1.7, Thüringen, 16, 0.1308, 9
2020-48, 0.8, Thüringen, 16, 0.0615, 9.8
2020-49, 1.4, Thüringen, 16, 0.1077, 11.2
2020-50, 2.4, Thüringen, 16, 0.1846, 13.6
2020-51, 1.9, Thüringen, 16, 0.1462, 15.5
2020-52, 13, Thüringen, 16, 1, 28.5
2020-53, 4.6, Thüringen, 16, 0.3538, 33.1
2021-01, -7.3, Thüringen, 16, -1, 25.8
2021-02, -6.8, Thüringen, 16, -0.9315, 19
2021-03, -0.1, Thüringen, 16, -0.0137, 18.9
2021-04, -2.2, Thüringen, 16, -0.3014, 16.7
2021-05, -0.6, Thüringen, 16, -0.0822, 16.1
2021-06, -1.6, Thüringen, 16, -0.2192, 14.5
2021-07, 4.2, Thüringen, 16, 0.3231, 18.7
2021-08, -1.5, Thüringen, 16, -0.2055, 17.2
2021-09, -1.9, Thüringen, 16, -0.2603, 15.3
2021-10, -1.7, Thüringen, 16, -0.2329, 13.6
2021-11, 2, Thüringen, 16, 0.1538, 15.6
2021-12, 1.3, Thüringen, 16, 0.1, 16.9
2021-13, 6, Thüringen, 16, 0.4615, 22.9
2021-14, -1.5, Thüringen, 16, -0.2055, 21.4
2021-15, -0.9, Thüringen, 16, -0.1233, 20.5
2021-16, -2.6, Thüringen, 16, -0.3562, 17.9
2021-17, 0.2, Thüringen, 16, 0.0154, 18.1
2021-18, -1.1, Thüringen, 16, -0.1507, 17
2021-19, -2.4, Thüringen, 16, -0.3288, 14.6
2021-20, -3.1, Thüringen, 16, -0.4247, 11.5
2021-21, -3.5, Thüringen, 16, -0.4795, 8
2021-22, -2.5, Thüringen, 16, -0.3425, 5.5
2021-23, -1.4, Thüringen, 16, -0.1918, 4.1
2021-24, -1.9, Thüringen, 16, -0.2603, 2.2
2021-25, -1, Thüringen, 16, -0.137, 1.2
2021-26, 0.4, Thüringen, 16, 0.0308, 1.6
2021-27, -1, Thüringen, 16, -0.137, 0.6
2021-28, 0.1, Thüringen, 16, 0.0077, 0.7
2021-29, 0.2, Thüringen, 16, 0.0154, 0.9
2021-30, 0.9, Thüringen, 16, 0.0692, 1.8
2021-31, -0.3, Thüringen, 16, -0.0411, 1.5
2021-32, -0.2, Thüringen, 16, -0.0274, 1.3
