Week, difference, trend, value
2020-12, , , 8.1
2020-13, 1.6, 0.3721, 9.7
2020-14, -0.3, -0.1071, 9.4
2020-15, -1.4, -0.5, 8
2020-16, -1.5, -0.5357, 6.5
2020-17, -1.7, -0.6071, 4.8
2020-18, -1.3, -0.4643, 3.5
2020-19, -1.2, -0.4286, 2.3
2020-20, -0.6, -0.2143, 1.7
2020-21, -0.3, -0.1071, 1.4
2020-22, -0.4, -0.1429, 1
2020-23, -0.2, -0.0714, 0.8
2020-24, , , 0.8
2020-25, , , 0.8
2020-26, -0.2, -0.0714, 0.6
2020-27, , , 0.6
2020-28, -0.1, -0.0357, 0.5
2020-29, 0.2, 0.0465, 0.7
2020-30, 0.1, 0.0233, 0.8
2020-31, 0.2, 0.0465, 1
2020-32, -0.1, -0.0357, 0.9
2020-33, , , 0.9
2020-34, , , 0.9
2020-35, -0.2, -0.0714, 0.7
2020-36, , , 0.7
2020-37, 0.1, 0.0233, 0.8
2020-38, 0.3, 0.0698, 1.1
2020-39, , , 1.1
2020-40, 0.4, 0.093, 1.5
2020-41, 0.6, 0.1395, 2.1
2020-42, 1.4, 0.3256, 3.5
2020-43, 2.2, 0.5116, 5.7
2020-44, 1.4, 0.3256, 7.1
2020-45, 0.7, 0.1628, 7.8
2020-46, 0.9, 0.2093, 8.7
2020-47, 0.4, 0.093, 9.1
2020-48, -0.1, -0.0357, 9
2020-49, 0.9, 0.2093, 9.9
2020-50, 1.5, 0.3488, 11.4
2020-51, -0.3, -0.1071, 11.1
2020-52, 0.7, 0.1628, 11.8
2020-53, 4.3, 1, 16.1
2021-01, -2.7, -0.9643, 13.4
2021-02, -2.8, -1, 10.6
2021-03, -0.8, -0.2857, 9.8
2021-04, -1.1, -0.3929, 8.7
2021-05, -1.3, -0.4643, 7.4
2021-06, -1, -0.3571, 6.4
2021-07, -0.4, -0.1429, 6
2021-08, 0.2, 0.0465, 6.2
2021-09, -0.2, -0.0714, 6
2021-10, 0.6, 0.1395, 6.6
2021-11, 1, 0.2326, 7.6
2021-12, 1.2, 0.2791, 8.8
2021-13, 1.7, 0.3953, 10.5
2021-14, 1.2, 0.2791, 11.7
2021-15, -0.2, -0.0714, 11.5
2021-16, 0.3, 0.0698, 11.8
2021-17, -1.1, -0.3929, 10.7
2021-18, -1.2, -0.4286, 9.5
2021-19, -1.5, -0.5357, 8
2021-20, -2.4, -0.8571, 5.6
2021-21, -1.4, -0.5, 4.2
2021-22, -1.2, -0.4286, 3
2021-23, -0.9, -0.3214, 2.1
2021-24, -0.8, -0.2857, 1.3
2021-25, -0.4, -0.1429, 0.9
2021-26, -0.2, -0.0714, 0.7
2021-27, 0.2, 0.0465, 0.9
2021-28, 0.4, 0.093, 1.3
2021-29, 0.4, 0.093, 1.7
2021-30, 0.8, 0.186, 2.5
2021-31, 0.8, 0.186, 3.3
2021-32, 1.4, 0.3256, 4.7
