Week, difference, region, region_id, trend, value
2020-13, , Berlin, 11, , 0.218
2020-14, 0.1908, Berlin, 11, 0.0593, 0.4088
2020-15, 0.2998, Berlin, 11, 0.0932, 0.7085
2020-16, 0.436, Berlin, 11, 0.1356, 1.1446
2020-17, -0.2998, Berlin, 11, -0.1774, 0.8448
2020-18, , Berlin, 11, , 0.8448
2020-19, -0.545, Berlin, 11, -0.3226, 0.2998
2020-20, 0.1635, Berlin, 11, 0.0508, 0.4633
2020-21, -0.218, Berlin, 11, -0.129, 0.2453
2020-22, -0.0545, Berlin, 11, -0.0323, 0.1908
2020-23, , Berlin, 11, , 0.1908
2020-24, -0.109, Berlin, 11, -0.0645, 0.0818
2020-25, , Berlin, 11, , 0.0818
2020-26, -0.0273, Berlin, 11, -0.0161, 0.0545
2020-27, , Berlin, 11, , 0.0545
2020-28, , Berlin, 11, , 0.0545
2020-29, 0.0545, Berlin, 11, 0.0169, 0.109
2020-30, -0.0545, Berlin, 11, -0.0323, 0.0545
2020-31, -0.0545, Berlin, 11, -0.0323, 
2020-32, 0.0273, Berlin, 11, 0.0085, 0.0273
2020-33, -0.0273, Berlin, 11, -0.0161, 
2020-34, 0.0545, Berlin, 11, 0.0169, 0.0545
2020-35, -0.0545, Berlin, 11, -0.0323, 
2020-36, , Berlin, 11, , 
2020-37, , Berlin, 11, , 
2020-38, 0.0273, Berlin, 11, 0.0085, 0.0273
2020-39, , Berlin, 11, , 0.0273
2020-40, 0.0545, Berlin, 11, 0.0169, 0.0818
2020-41, , Berlin, 11, , 0.0818
2020-42, 0.0818, Berlin, 11, 0.0254, 0.1635
2020-43, 0.0818, Berlin, 11, 0.0254, 0.2453
2020-44, 0.0818, Berlin, 11, 0.0254, 0.327
2020-45, 0.5723, Berlin, 11, 0.178, 0.8993
2020-46, 0.8448, Berlin, 11, 0.2627, 1.7441
2020-47, 0.6813, Berlin, 11, 0.2119, 2.4254
2020-48, 0.0818, Berlin, 11, 0.0254, 2.5072
2020-49, 1.3081, Berlin, 11, 0.4068, 3.8152
2020-50, -0.1635, Berlin, 11, -0.0968, 3.6517
2020-51, 1.4716, Berlin, 11, 0.4576, 5.1233
2020-52, -1.6624, Berlin, 11, -0.9839, 3.461
2020-53, 0.8176, Berlin, 11, 0.2542, 4.2785
2021-01, 3.2157, Berlin, 11, 1, 7.4942
2021-02, -0.327, Berlin, 11, -0.1935, 7.1672
2021-03, -1.2808, Berlin, 11, -0.7581, 5.8864
2021-04, 0.3543, Berlin, 11, 0.1102, 6.2406
2021-05, -0.8176, Berlin, 11, -0.4839, 5.4231
2021-06, -1.6896, Berlin, 11, -1, 3.7335
2021-07, -0.3815, Berlin, 11, -0.2258, 3.352
2021-08, -0.8993, Berlin, 11, -0.5323, 2.4527
2021-09, -0.436, Berlin, 11, -0.2581, 2.0166
2021-10, -0.8721, Berlin, 11, -0.5161, 1.1446
2021-11, 0.4088, Berlin, 11, 0.1271, 1.5533
2021-12, -0.327, Berlin, 11, -0.1935, 1.2263
2021-13, 0.0273, Berlin, 11, 0.0085, 1.2536
2021-14, -0.1363, Berlin, 11, -0.0806, 1.1173
2021-15, -0.3543, Berlin, 11, -0.2097, 0.763
2021-16, 0.218, Berlin, 11, 0.0678, 0.9811
2021-17, -0.2453, Berlin, 11, -0.1452, 0.7358
2021-18, 1.6624, Berlin, 11, 0.5169, 2.3982
2021-19, 0.2725, Berlin, 11, 0.0847, 2.6707
2021-20, -1.6079, Berlin, 11, -0.9516, 1.0628
2021-21, 0.109, Berlin, 11, 0.0339, 1.1718
2021-22, -0.5178, Berlin, 11, -0.3065, 0.654
2021-23, -0.327, Berlin, 11, -0.1935, 0.327
2021-24, 0.436, Berlin, 11, 0.1356, 0.763
2021-25, -0.4633, Berlin, 11, -0.2742, 0.2998
2021-26, -0.218, Berlin, 11, -0.129, 0.0818
2021-27, 0.0545, Berlin, 11, 0.0169, 0.1363
2021-28, 0.0273, Berlin, 11, 0.0085, 0.1635
2021-29, 0.0545, Berlin, 11, 0.0169, 0.218
2021-30, -0.0818, Berlin, 11, -0.0484, 0.1363
2021-31, -0.0818, Berlin, 11, -0.0484, 0.0545
2021-32, , Berlin, 11, , 0.0545
2021-33, -0.0545, Berlin, 11, -0.0323, 
