Week, difference, region, region_id, trend, value
2020-13, , Niedersachsen, 3, , 0.2502
2020-14, 0.6005, Niedersachsen, 3, 0.5455, 0.8507
2020-15, 0.4003, Niedersachsen, 3, 0.3636, 1.251
2020-16, -0.0125, Niedersachsen, 3, -0.0154, 1.2385
2020-17, -0.0375, Niedersachsen, 3, -0.0462, 1.201
2020-18, -0.3378, Niedersachsen, 3, -0.4154, 0.8632
2020-19, -0.3002, Niedersachsen, 3, -0.3692, 0.5629
2020-20, 0.0125, Niedersachsen, 3, 0.0114, 0.5755
2020-21, -0.2252, Niedersachsen, 3, -0.2769, 0.3503
2020-22, -0.0876, Niedersachsen, 3, -0.1077, 0.2627
2020-23, -0.1126, Niedersachsen, 3, -0.1385, 0.1501
2020-24, -0.0375, Niedersachsen, 3, -0.0462, 0.1126
2020-25, -0.0625, Niedersachsen, 3, -0.0769, 0.05
2020-26, 0.0751, Niedersachsen, 3, 0.0682, 0.1251
2020-27, -0.0375, Niedersachsen, 3, -0.0462, 0.0876
2020-28, , Niedersachsen, 3, , 0.0876
2020-29, -0.05, Niedersachsen, 3, -0.0615, 0.0375
2020-30, , Niedersachsen, 3, , 0.0375
2020-31, 0.025, Niedersachsen, 3, 0.0227, 0.0625
2020-32, -0.05, Niedersachsen, 3, -0.0615, 0.0125
2020-33, 0.0125, Niedersachsen, 3, 0.0114, 0.025
2020-34, 0.0125, Niedersachsen, 3, 0.0114, 0.0375
2020-35, -0.0125, Niedersachsen, 3, -0.0154, 0.025
2020-36, 0.025, Niedersachsen, 3, 0.0227, 0.05
2020-37, -0.025, Niedersachsen, 3, -0.0308, 0.025
2020-38, , Niedersachsen, 3, , 0.025
2020-39, 0.1501, Niedersachsen, 3, 0.1364, 0.1751
2020-40, -0.0876, Niedersachsen, 3, -0.1077, 0.0876
2020-41, , Niedersachsen, 3, , 0.0876
2020-42, 0.1251, Niedersachsen, 3, 0.1136, 0.2127
2020-43, -0.025, Niedersachsen, 3, -0.0308, 0.1876
2020-44, 0.05, Niedersachsen, 3, 0.0455, 0.2377
2020-45, 0.6255, Niedersachsen, 3, 0.5682, 0.8632
2020-46, 0.2127, Niedersachsen, 3, 0.1932, 1.0759
2020-47, 0.1876, Niedersachsen, 3, 0.1705, 1.2635
2020-48, 0.5629, Niedersachsen, 3, 0.5114, 1.8265
2020-49, -0.4378, Niedersachsen, 3, -0.5385, 1.3886
2020-50, 0.588, Niedersachsen, 3, 0.5341, 1.9766
2020-51, 0.7381, Niedersachsen, 3, 0.6705, 2.7147
2020-52, -0.8131, Niedersachsen, 3, -1, 1.9015
2020-53, 1.1009, Niedersachsen, 3, 1, 3.0024
2021-01, 0.7631, Niedersachsen, 3, 0.6932, 3.7655
2021-02, -0.025, Niedersachsen, 3, -0.0308, 3.7405
2021-03, 0.4629, Niedersachsen, 3, 0.4205, 4.2034
2021-04, -0.2752, Niedersachsen, 3, -0.3385, 3.9281
2021-05, -0.1376, Niedersachsen, 3, -0.1692, 3.7905
2021-06, -0.6005, Niedersachsen, 3, -0.7385, 3.19
2021-07, 0.0625, Niedersachsen, 3, 0.0568, 3.2526
2021-08, -0.7506, Niedersachsen, 3, -0.9231, 2.502
2021-09, -0.638, Niedersachsen, 3, -0.7846, 1.864
2021-10, -0.025, Niedersachsen, 3, -0.0308, 1.839
2021-11, -0.2127, Niedersachsen, 3, -0.2615, 1.6263
2021-12, -0.5254, Niedersachsen, 3, -0.6462, 1.1009
2021-13, 0.0876, Niedersachsen, 3, 0.0795, 1.1884
2021-14, 0.1876, Niedersachsen, 3, 0.1705, 1.3761
2021-15, -0.025, Niedersachsen, 3, -0.0308, 1.3511
2021-16, -0.0876, Niedersachsen, 3, -0.1077, 1.2635
2021-17, -0.025, Niedersachsen, 3, -0.0308, 1.2385
2021-18, -0.2002, Niedersachsen, 3, -0.2462, 1.0383
2021-19, -0.2002, Niedersachsen, 3, -0.2462, 0.8382
2021-20, 0.2377, Niedersachsen, 3, 0.2159, 1.0759
2021-21, -0.4629, Niedersachsen, 3, -0.5692, 0.613
2021-22, 0.0751, Niedersachsen, 3, 0.0682, 0.688
2021-23, -0.2377, Niedersachsen, 3, -0.2923, 0.4504
2021-24, -0.1001, Niedersachsen, 3, -0.1231, 0.3503
2021-25, 0.025, Niedersachsen, 3, 0.0227, 0.3753
2021-26, -0.2252, Niedersachsen, 3, -0.2769, 0.1501
2021-27, 0.2127, Niedersachsen, 3, 0.1932, 0.3628
2021-28, -0.2877, Niedersachsen, 3, -0.3538, 0.0751
2021-29, -0.025, Niedersachsen, 3, -0.0308, 0.05
2021-30, 0.0625, Niedersachsen, 3, 0.0568, 0.1126
2021-31, -0.0876, Niedersachsen, 3, -0.1077, 0.025
2021-32, 0.0751, Niedersachsen, 3, 0.0682, 0.1001
2021-33, -0.0125, Niedersachsen, 3, -0.0154, 0.0876
