Week, difference, region, region_id, trend, value
2020-14, , Thüringen, 16, , 0.2344
2020-15, 0.4687, Thüringen, 16, 0.1111, 0.7031
2020-16, 0.6094, Thüringen, 16, 0.1444, 1.3125
2020-17, -0.375, Thüringen, 16, -0.0769, 0.9375
2020-18, , Thüringen, 16, , 0.9375
2020-19, 0.1875, Thüringen, 16, 0.0444, 1.125
2020-20, -0.1406, Thüringen, 16, -0.0288, 0.9844
2020-21, -0.3281, Thüringen, 16, -0.0673, 0.6562
2020-22, -0.1875, Thüringen, 16, -0.0385, 0.4687
2020-23, -0.0937, Thüringen, 16, -0.0192, 0.375
2020-24, -0.1875, Thüringen, 16, -0.0385, 0.1875
2020-25, , Thüringen, 16, , 0.1875
2020-26, -0.0469, Thüringen, 16, -0.0096, 0.1406
2020-27, -0.1406, Thüringen, 16, -0.0288, 
2020-28, 0.0469, Thüringen, 16, 0.0111, 0.0469
2020-29, -0.0469, Thüringen, 16, -0.0096, 
2020-30, , Thüringen, 16, , 
2020-31, , Thüringen, 16, , 
2020-32, 0.0469, Thüringen, 16, 0.0111, 0.0469
2020-33, 0.0937, Thüringen, 16, 0.0222, 0.1406
2020-34, -0.1406, Thüringen, 16, -0.0288, 
2020-35, , Thüringen, 16, , 
2020-36, , Thüringen, 16, , 
2020-37, 0.0937, Thüringen, 16, 0.0222, 0.0937
2020-38, -0.0469, Thüringen, 16, -0.0096, 0.0469
2020-39, , Thüringen, 16, , 0.0469
2020-40, , Thüringen, 16, , 0.0469
2020-41, -0.0469, Thüringen, 16, -0.0096, 
2020-42, 0.375, Thüringen, 16, 0.0889, 0.375
2020-43, -0.2344, Thüringen, 16, -0.0481, 0.1406
2020-44, 0.1406, Thüringen, 16, 0.0333, 0.2812
2020-45, 0.2344, Thüringen, 16, 0.0556, 0.5156
2020-46, 1.125, Thüringen, 16, 0.2667, 1.6406
2020-47, 0.1875, Thüringen, 16, 0.0444, 1.8281
2020-48, 0.6562, Thüringen, 16, 0.1556, 2.4843
2020-49, 0.7969, Thüringen, 16, 0.1889, 3.2812
2020-50, 2.2031, Thüringen, 16, 0.5222, 5.4843
2020-51, 1.3593, Thüringen, 16, 0.3222, 6.8436
2020-52, 0.1406, Thüringen, 16, 0.0333, 6.9842
2020-53, 2.4843, Thüringen, 16, 0.5889, 9.4686
2021-01, 4.2187, Thüringen, 16, 1, 13.6872
2021-02, 0.8906, Thüringen, 16, 0.2111, 14.5778
2021-03, -1.4531, Thüringen, 16, -0.2981, 13.1247
2021-04, -0.2344, Thüringen, 16, -0.0481, 12.8904
2021-05, -4.8749, Thüringen, 16, -1, 8.0155
2021-06, 2.1562, Thüringen, 16, 0.5111, 10.1717
2021-07, -2.4374, Thüringen, 16, -0.5, 7.7342
2021-08, -2.2031, Thüringen, 16, -0.4519, 5.5311
2021-09, -1.5468, Thüringen, 16, -0.3173, 3.9843
2021-10, 1.6875, Thüringen, 16, 0.4, 5.6718
2021-11, 0.4219, Thüringen, 16, 0.1, 6.0936
2021-12, -1.5937, Thüringen, 16, -0.3269, 4.4999
2021-13, -0.0937, Thüringen, 16, -0.0192, 4.4062
2021-14, 0.1875, Thüringen, 16, 0.0444, 4.5937
2021-15, 2.8124, Thüringen, 16, 0.6667, 7.4061
2021-16, -2.7187, Thüringen, 16, -0.5577, 4.6874
2021-17, 0.1875, Thüringen, 16, 0.0444, 4.8749
2021-18, 0.3281, Thüringen, 16, 0.0778, 5.203
2021-19, -0.5625, Thüringen, 16, -0.1154, 4.6405
2021-20, -0.4219, Thüringen, 16, -0.0865, 4.2187
2021-21, -1.5468, Thüringen, 16, -0.3173, 2.6718
2021-22, -0.1406, Thüringen, 16, -0.0288, 2.5312
2021-23, -1.1719, Thüringen, 16, -0.2404, 1.3593
2021-24, -0.0937, Thüringen, 16, -0.0192, 1.2656
2021-25, -0.5156, Thüringen, 16, -0.1058, 0.75
2021-26, -0.1875, Thüringen, 16, -0.0385, 0.5625
2021-27, 0.0937, Thüringen, 16, 0.0222, 0.6562
2021-28, -0.375, Thüringen, 16, -0.0769, 0.2812
2021-29, -0.1406, Thüringen, 16, -0.0288, 0.1406
2021-30, 0.7031, Thüringen, 16, 0.1667, 0.8437
2021-31, -0.7031, Thüringen, 16, -0.1442, 0.1406
2021-32, 0.1406, Thüringen, 16, 0.0333, 0.2812
2021-33, -0.1875, Thüringen, 16, -0.0385, 0.0937
