Meldedatum, difference, region, region_id, trend, value
2020-03-06, , Bayern, 9, , 0.1752
2020-03-07, , Bayern, 9, , 0.3733
2020-03-08, , Bayern, 9, , 0.4038
2020-03-09, , Bayern, 9, , 0.4114
2020-03-10, , Bayern, 9, , 0.4191
2020-03-11, , Bayern, 9, , 0.5486
2020-03-12, , Bayern, 9, , 0.6095
2020-03-13, 0.4876, Bayern, 9, 0.185, 0.6629
2020-03-14, 0.2743, Bayern, 9, 0.104, 0.6476
2020-03-15, 0.3352, Bayern, 9, 0.1272, 0.7391
2020-03-16, 0.5105, Bayern, 9, 0.1936, 0.9219
2020-03-17, 0.6781, Bayern, 9, 0.2572, 1.0972
2020-03-18, 0.6705, Bayern, 9, 0.2543, 1.2191
2020-03-19, 1.1353, Bayern, 9, 0.4306, 1.7448
2020-03-20, 1.5619, Bayern, 9, 0.5925, 2.2248
2020-03-21, 2.1334, Bayern, 9, 0.8092, 2.781
2020-03-22, 3.0096, Bayern, 9, 1.1416, 3.7486
2020-03-23, 3.3067, Bayern, 9, 1.2543, 4.2287
2020-03-24, 3.8706, Bayern, 9, 1.4682, 4.9677
2020-03-25, 5.0134, Bayern, 9, 1.9017, 6.2325
2020-03-26, 5.783, Bayern, 9, 2.1936, 7.5278
2020-03-27, 6.5144, Bayern, 9, 2.4711, 8.7392
2020-03-28, 7.1392, Bayern, 9, 2.7081, 9.9202
2020-03-29, 6.842, Bayern, 9, 2.5954, 10.5907
2020-03-30, 7.0249, Bayern, 9, 2.6647, 11.2536
2020-03-31, 6.8573, Bayern, 9, 2.6012, 11.825
2020-04-01, 6.5754, Bayern, 9, 2.4942, 12.8079
2020-04-02, 5.8211, Bayern, 9, 2.2081, 13.3488
2020-04-03, 5.2725, Bayern, 9, 2, 14.0117
2020-04-04, 4.1144, Bayern, 9, 1.5607, 14.0346
2020-04-05, 3.3677, Bayern, 9, 1.2775, 13.9584
2020-04-06, 2.5143, Bayern, 9, 0.9538, 13.7679
2020-04-07, 1.9429, Bayern, 9, 0.737, 13.7679
2020-04-08, 0.2438, Bayern, 9, 0.0925, 13.0517
2020-04-09, -0.9372, Bayern, 9, -0.3565, 12.4117
2020-04-10, -2.4915, Bayern, 9, -0.9478, 11.5202
2020-04-11, -3.4363, Bayern, 9, -1.3072, 10.5983
2020-04-12, -3.8629, Bayern, 9, -1.4696, 10.0954
2020-04-13, -4.0915, Bayern, 9, -1.5565, 9.6764
2020-04-14, -4.762, Bayern, 9, -1.8116, 9.0059
2020-04-15, -4.2668, Bayern, 9, -1.6232, 8.7849
2020-04-16, -4.0839, Bayern, 9, -1.5536, 8.3278
2020-04-17, -3.6344, Bayern, 9, -1.3826, 7.8859
2020-04-18, -2.7962, Bayern, 9, -1.0638, 7.8021
2020-04-19, -2.8267, Bayern, 9, -1.0754, 7.2687
