Meldedatum, difference, region, region_id, trend, value
2020-03-06, , Hamburg, 2, , 
2020-03-07, , Hamburg, 2, , 0.0541
2020-03-08, , Hamburg, 2, , 0.0541
2020-03-09, , Hamburg, 2, , 0.0541
2020-03-10, , Hamburg, 2, , 0.1624
2020-03-11, , Hamburg, 2, , 0.2707
2020-03-12, , Hamburg, 2, , 0.2707
2020-03-13, 0.3789, Hamburg, 2, 0.0843, 0.3789
2020-03-14, 0.4331, Hamburg, 2, 0.0964, 0.4872
2020-03-15, 0.7579, Hamburg, 2, 0.1687, 0.812
2020-03-16, 0.9744, Hamburg, 2, 0.2169, 1.0286
2020-03-17, 0.9203, Hamburg, 2, 0.2048, 1.0827
2020-03-18, 1.191, Hamburg, 2, 0.2651, 1.4616
2020-03-19, 1.4616, Hamburg, 2, 0.3253, 1.7323
2020-03-20, 2.003, Hamburg, 2, 0.4458, 2.3819
2020-03-21, 2.3278, Hamburg, 2, 0.5181, 2.815
2020-03-22, 2.1112, Hamburg, 2, 0.4699, 2.9233
2020-03-23, 2.003, Hamburg, 2, 0.4458, 3.0315
2020-03-24, 2.815, Hamburg, 2, 0.6265, 3.8977
2020-03-25, 2.815, Hamburg, 2, 0.6265, 4.2766
2020-03-26, 3.5729, Hamburg, 2, 0.7952, 5.3052
2020-03-27, 2.9774, Hamburg, 2, 0.6627, 5.3593
2020-03-28, 3.1398, Hamburg, 2, 0.6988, 5.9548
2020-03-29, 3.627, Hamburg, 2, 0.8072, 6.5503
2020-03-30, 3.627, Hamburg, 2, 0.8072, 6.6585
2020-03-31, 2.5985, Hamburg, 2, 0.5783, 6.4961
2020-04-01, 2.1112, Hamburg, 2, 0.4699, 6.3879
2020-04-02, 0.7579, Hamburg, 2, 0.1687, 6.0631
2020-04-03, 1.0286, Hamburg, 2, 0.2289, 6.3879
2020-04-04, 0.5955, Hamburg, 2, 0.1325, 6.5503
2020-04-05, -0.1624, Hamburg, 2, -0.0417, 6.3879
2020-04-06, -0.1083, Hamburg, 2, -0.0278, 6.5503
2020-04-07, 0.2165, Hamburg, 2, 0.0482, 6.7127
2020-04-08, 1.1368, Hamburg, 2, 0.253, 7.5247
2020-04-09, 1.7323, Hamburg, 2, 0.3855, 7.7954
2020-04-10, 0.7579, Hamburg, 2, 0.1687, 7.1457
2020-04-11, -0.1083, Hamburg, 2, -0.0278, 6.442
2020-04-12, -0.3248, Hamburg, 2, -0.0833, 6.0631
2020-04-13, -0.7037, Hamburg, 2, -0.1806, 5.8465
2020-04-14, -1.4075, Hamburg, 2, -0.3611, 5.3052
2020-04-15, -3.3563, Hamburg, 2, -0.8611, 4.1684
2020-04-16, -4.0059, Hamburg, 2, -1.0278, 3.7894
2020-04-17, -2.9774, Hamburg, 2, -0.7639, 4.1684
2020-04-18, -2.436, Hamburg, 2, -0.625, 4.0059
2020-04-19, -2.3278, Hamburg, 2, -0.5972, 3.7353
2020-04-20, -2.2195, Hamburg, 2, -0.5694, 3.627
2020-04-21, -1.8947, Hamburg, 2, -0.4861, 3.4105
2020-04-22, -0.8662, Hamburg, 2, -0.2222, 3.3022
2020-04-23, -1.0286, Hamburg, 2, -0.2639, 2.7609
2020-04-24, -1.624, Hamburg, 2, -0.4167, 2.5443
2020-04-25, -1.5699, Hamburg, 2, -0.4028, 2.436
2020-04-26, -1.2451, Hamburg, 2, -0.3194, 2.4902
2020-04-27, -1.2451, Hamburg, 2, -0.3194, 2.3819
2020-04-28, -0.9203, Hamburg, 2, -0.2361, 2.4902
2020-04-29, -0.8662, Hamburg, 2, -0.2222, 2.436
2020-04-30, -0.3248, Hamburg, 2, -0.0833, 2.436
2020-05-01, -0.5413, Hamburg, 2, -0.1389, 2.003
2020-05-02, -0.812, Hamburg, 2, -0.2083, 1.624
2020-05-03, -1.0286, Hamburg, 2, -0.2639, 1.4616
2020-05-04, -1.0286, Hamburg, 2, -0.2639, 1.3534
