Meldedatum, difference, region, region_id, trend, value
2020-03-06, , Mecklenburg-Vorpommern, 13, , 0.0622
2020-03-07, , Mecklenburg-Vorpommern, 13, , 0.0622
2020-03-08, , Mecklenburg-Vorpommern, 13, , 0.0622
2020-03-09, , Mecklenburg-Vorpommern, 13, , 0.1244
2020-03-10, , Mecklenburg-Vorpommern, 13, , 0.1244
2020-03-11, , Mecklenburg-Vorpommern, 13, , 0.1244
2020-03-12, , Mecklenburg-Vorpommern, 13, , 0.0622
2020-03-13, , Mecklenburg-Vorpommern, 13, , 0.0622
2020-03-14, 0.1244, Mecklenburg-Vorpommern, 13, 0.0109, 0.1866
2020-03-15, 0.1866, Mecklenburg-Vorpommern, 13, 0.0164, 0.2487
2020-03-16, 0.1244, Mecklenburg-Vorpommern, 13, 0.0109, 0.2487
2020-03-17, 0.1244, Mecklenburg-Vorpommern, 13, 0.0109, 0.2487
2020-03-18, 0.1866, Mecklenburg-Vorpommern, 13, 0.0164, 0.3109
2020-03-19, 0.6218, Mecklenburg-Vorpommern, 13, 0.0546, 0.684
2020-03-20, 0.684, Mecklenburg-Vorpommern, 13, 0.0601, 0.7462
2020-03-21, 0.5597, Mecklenburg-Vorpommern, 13, 0.0492, 0.7462
2020-03-22, 0.4975, Mecklenburg-Vorpommern, 13, 0.0437, 0.7462
2020-03-23, 0.4353, Mecklenburg-Vorpommern, 13, 0.0383, 0.684
2020-03-24, 0.4975, Mecklenburg-Vorpommern, 13, 0.0437, 0.7462
2020-03-25, 0.4975, Mecklenburg-Vorpommern, 13, 0.0437, 0.8084
2020-03-26, , Mecklenburg-Vorpommern, 13, , 0.684
2020-03-27, 0.1244, Mecklenburg-Vorpommern, 13, 0.0109, 0.8706
2020-03-28, 0.4975, Mecklenburg-Vorpommern, 13, 0.0437, 1.2437
2020-03-29, 0.6218, Mecklenburg-Vorpommern, 13, 0.0546, 1.368
2020-03-30, 0.8084, Mecklenburg-Vorpommern, 13, 0.071, 1.4924
2020-03-31, 0.7462, Mecklenburg-Vorpommern, 13, 0.0656, 1.4924
2020-04-01, 1.368, Mecklenburg-Vorpommern, 13, 0.1202, 2.1764
2020-04-02, 1.8655, Mecklenburg-Vorpommern, 13, 0.1639, 2.5495
2020-04-03, 1.8033, Mecklenburg-Vorpommern, 13, 0.1585, 2.6739
2020-04-04, 1.1815, Mecklenburg-Vorpommern, 13, 0.1038, 2.4252
2020-04-05, 0.9949, Mecklenburg-Vorpommern, 13, 0.0874, 2.363
2020-04-06, 0.7462, Mecklenburg-Vorpommern, 13, 0.0656, 2.2386
2020-04-07, 0.7462, Mecklenburg-Vorpommern, 13, 0.0656, 2.2386
2020-04-08, -0.2487, Mecklenburg-Vorpommern, 13, -0.0381, 1.9277
2020-04-09, -1.1193, Mecklenburg-Vorpommern, 13, -0.1714, 1.4302
2020-04-10, -1.4302, Mecklenburg-Vorpommern, 13, -0.219, 1.2437
2020-04-11, -1.3059, Mecklenburg-Vorpommern, 13, -0.2, 1.1193
2020-04-12, -1.368, Mecklenburg-Vorpommern, 13, -0.2095, 0.9949
2020-04-13, -1.2437, Mecklenburg-Vorpommern, 13, -0.1905, 0.9949
2020-04-14, -1.2437, Mecklenburg-Vorpommern, 13, -0.1905, 0.9949
2020-04-15, -1.3059, Mecklenburg-Vorpommern, 13, -0.2, 0.6218
2020-04-16, -0.8706, Mecklenburg-Vorpommern, 13, -0.1333, 0.5597
2020-04-17, -0.8706, Mecklenburg-Vorpommern, 13, -0.1333, 0.3731
2020-04-18, -0.8706, Mecklenburg-Vorpommern, 13, -0.1333, 0.2487
2020-04-19, -0.684, Mecklenburg-Vorpommern, 13, -0.1048, 0.3109
2020-04-20, -0.684, Mecklenburg-Vorpommern, 13, -0.1048, 0.3109
