Meldedatum, difference, region, region_id, trend, value
2020-03-06, , Saarland, 10, , 
2020-03-07, , Saarland, 10, , 
2020-03-08, , Saarland, 10, , 
2020-03-09, , Saarland, 10, , 
2020-03-10, , Saarland, 10, , 
2020-03-11, , Saarland, 10, , 
2020-03-12, , Saarland, 10, , 
2020-03-13, , Saarland, 10, , 
2020-03-14, , Saarland, 10, , 
2020-03-15, , Saarland, 10, , 
2020-03-16, , Saarland, 10, , 
2020-03-17, 0.2027, Saarland, 10, 0.0263, 0.2027
2020-03-18, 0.2027, Saarland, 10, 0.0263, 0.2027
2020-03-19, 0.5066, Saarland, 10, 0.0658, 0.5066
2020-03-20, 0.5066, Saarland, 10, 0.0658, 0.5066
2020-03-21, 0.912, Saarland, 10, 0.1184, 0.912
2020-03-22, 1.4186, Saarland, 10, 0.1842, 1.4186
2020-03-23, 1.7226, Saarland, 10, 0.2237, 1.7226
2020-03-24, 2.5332, Saarland, 10, 0.3289, 2.7359
2020-03-25, 3.4452, Saarland, 10, 0.4474, 3.6478
2020-03-26, 3.2425, Saarland, 10, 0.4211, 3.7492
2020-03-27, 3.6478, Saarland, 10, 0.4737, 4.1545
2020-03-28, 3.6478, Saarland, 10, 0.4737, 4.5598
2020-03-29, 3.8505, Saarland, 10, 0.5, 5.2691
2020-03-30, 4.2558, Saarland, 10, 0.5526, 5.9784
2020-03-31, 2.7359, Saarland, 10, 0.3553, 5.4718
2020-04-01, 3.3438, Saarland, 10, 0.4342, 6.9917
2020-04-02, 4.6611, Saarland, 10, 0.6053, 8.4103
2020-04-03, 6.0797, Saarland, 10, 0.7895, 10.2342
2020-04-04, 6.9917, Saarland, 10, 0.9079, 11.5515
2020-04-05, 6.5864, Saarland, 10, 0.8553, 11.8555
2020-04-06, 6.2824, Saarland, 10, 0.8158, 12.2608
2020-04-07, 7.397, Saarland, 10, 0.9605, 12.8687
2020-04-08, 4.7625, Saarland, 10, 0.6184, 11.7541
2020-04-09, 3.1412, Saarland, 10, 0.4079, 11.5515
2020-04-10, 1.0133, Saarland, 10, 0.1316, 11.2475
2020-04-11, -1.5199, Saarland, 10, -0.2027, 10.0315
2020-04-12, -2.3306, Saarland, 10, -0.3108, 9.5249
2020-04-13, -3.9518, Saarland, 10, -0.527, 8.309
2020-04-14, -5.3704, Saarland, 10, -0.7162, 7.4983
2020-04-15, -4.7625, Saarland, 10, -0.6351, 6.9917
2020-04-16, -5.4718, Saarland, 10, -0.7297, 6.0797
2020-04-17, -6.0797, Saarland, 10, -0.8108, 5.1678
2020-04-18, -4.2558, Saarland, 10, -0.5676, 5.7757
2020-04-19, -4.5598, Saarland, 10, -0.6081, 4.9651
