Meldedatum, difference, region, region_id, trend, value
2020-03-06, , Sachsen-Anhalt, 15, , 
2020-03-07, , Sachsen-Anhalt, 15, , 
2020-03-08, , Sachsen-Anhalt, 15, , 
2020-03-09, , Sachsen-Anhalt, 15, , 
2020-03-10, , Sachsen-Anhalt, 15, , 
2020-03-11, , Sachsen-Anhalt, 15, , 
2020-03-12, , Sachsen-Anhalt, 15, , 0.0456
2020-03-13, 0.0911, Sachsen-Anhalt, 15, 0.01, 0.0911
2020-03-14, 0.0911, Sachsen-Anhalt, 15, 0.01, 0.0911
2020-03-15, 0.0911, Sachsen-Anhalt, 15, 0.01, 0.0911
2020-03-16, 0.0911, Sachsen-Anhalt, 15, 0.01, 0.0911
2020-03-17, 0.1823, Sachsen-Anhalt, 15, 0.02, 0.1823
2020-03-18, 0.2734, Sachsen-Anhalt, 15, 0.03, 0.2734
2020-03-19, 0.1823, Sachsen-Anhalt, 15, 0.02, 0.2278
2020-03-20, 0.4101, Sachsen-Anhalt, 15, 0.045, 0.5012
2020-03-21, 0.7746, Sachsen-Anhalt, 15, 0.085, 0.8657
2020-03-22, 0.8657, Sachsen-Anhalt, 15, 0.095, 0.9568
2020-03-23, 1.0935, Sachsen-Anhalt, 15, 0.12, 1.1846
2020-03-24, 1.2758, Sachsen-Anhalt, 15, 0.14, 1.458
2020-03-25, 1.5947, Sachsen-Anhalt, 15, 0.175, 1.8681
2020-03-26, 2.0048, Sachsen-Anhalt, 15, 0.22, 2.2326
2020-03-27, 1.9136, Sachsen-Anhalt, 15, 0.21, 2.4148
2020-03-28, 1.5491, Sachsen-Anhalt, 15, 0.17, 2.4148
2020-03-29, 1.6403, Sachsen-Anhalt, 15, 0.18, 2.5971
2020-03-30, 1.3213, Sachsen-Anhalt, 15, 0.145, 2.5059
2020-03-31, 1.0024, Sachsen-Anhalt, 15, 0.11, 2.4604
2020-04-01, 0.4101, Sachsen-Anhalt, 15, 0.045, 2.2781
2020-04-02, -0.1367, Sachsen-Anhalt, 15, -0.0158, 2.0959
2020-04-03, -0.4101, Sachsen-Anhalt, 15, -0.0474, 2.0048
