Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Saarland, 10, , 0.2
2020-03-06, , Saarland, 10, , 0.1
2020-03-07, , Saarland, 10, , 
2020-03-08, , Saarland, 10, , 
2020-03-09, , Saarland, 10, , 0.1
2020-03-10, , Saarland, 10, , 0.6
2020-03-11, , Saarland, 10, , 0.8
2020-03-12, 1.6, Saarland, 10, 0.0156, 1.8
2020-03-13, 3, Saarland, 10, 0.0292, 3.1
2020-03-14, 4.9, Saarland, 10, 0.0468, 4.9
2020-03-15, 6.1, Saarland, 10, 0.0585, 6.1
2020-03-16, 7.6, Saarland, 10, 0.0731, 7.7
2020-03-17, 9, Saarland, 10, 0.0867, 9.6
2020-03-18, 10.9, Saarland, 10, 0.1053, 11.8
2020-03-19, 13.2, Saarland, 10, 0.1267, 15
2020-03-20, 15, Saarland, 10, 0.1442, 18.1
2020-03-21, 15.3, Saarland, 10, 0.1472, 20.2
2020-03-22, 16.7, Saarland, 10, 0.1608, 22.8
2020-03-23, 18, Saarland, 10, 0.1735, 25.7
2020-03-24, 19.7, Saarland, 10, 0.1891, 29.3
2020-03-25, 18.5, Saarland, 10, 0.1784, 30.3
2020-03-26, 16, Saarland, 10, 0.154, 31
2020-03-27, 15.4, Saarland, 10, 0.1481, 33.5
2020-03-28, 16, Saarland, 10, 0.154, 36.2
2020-03-29, 16.1, Saarland, 10, 0.155, 38.9
2020-03-30, 16.3, Saarland, 10, 0.1569, 42.1
2020-03-31, 13.5, Saarland, 10, 0.1296, 42.8
2020-04-01, 22.4, Saarland, 10, 0.2154, 52.7
2020-04-02, 27.8, Saarland, 10, 0.2671, 58.8
2020-04-03, 35.5, Saarland, 10, 0.3411, 69
2020-04-04, 33.5, Saarland, 10, 0.3226, 69.7
2020-04-05, 38.1, Saarland, 10, 0.3665, 77
2020-04-06, 35.9, Saarland, 10, 0.345, 77.9
2020-04-07, 36.1, Saarland, 10, 0.347, 78.8
2020-04-08, 20.5, Saarland, 10, 0.1969, 73.2
2020-04-09, 18.8, Saarland, 10, 0.1813, 77.6
2020-04-10, 4.9, Saarland, 10, 0.0468, 73.9
2020-04-11, 6.3, Saarland, 10, 0.0604, 76
2020-04-12, -12.9, Saarland, 10, -0.1424, 64.1
2020-04-13, -20.3, Saarland, 10, -0.2242, 57.7
2020-04-14, -26, Saarland, 10, -0.2881, 52.8
2020-04-15, -25.2, Saarland, 10, -0.2791, 47.9
2020-04-16, -40.3, Saarland, 10, -0.4462, 37.3
2020-04-17, -45.2, Saarland, 10, -0.5, 28.7
2020-04-18, -53.4, Saarland, 10, -0.5908, 22.6
2020-04-19, -40.8, Saarland, 10, -0.4518, 23.3
2020-04-20, -36.4, Saarland, 10, -0.4025, 21.3
2020-04-21, -32.6, Saarland, 10, -0.361, 20.2
2020-04-22, -26.9, Saarland, 10, -0.2971, 21.1
2020-04-23, -16.5, Saarland, 10, -0.1827, 20.8
2020-04-24, -10.7, Saarland, 10, -0.1188, 17.9
2020-04-25, -5.6, Saarland, 10, -0.0617, 17
2020-04-26, -7.6, Saarland, 10, -0.0841, 15.7
2020-04-27, -4.1, Saarland, 10, -0.0448, 17.2
2020-04-28, -4.1, Saarland, 10, -0.0448, 16.1
2020-04-29, -7.9, Saarland, 10, -0.0874, 13.2
2020-04-30, -9.4, Saarland, 10, -0.1043, 11.3
2020-05-01, -6.3, Saarland, 10, -0.0695, 11.7
2020-05-02, -6.4, Saarland, 10, -0.0706, 10.6
2020-05-03, -5.9, Saarland, 10, -0.065, 9.8
2020-05-04, -8.7, Saarland, 10, -0.0964, 8.5
2020-05-05, -7.6, Saarland, 10, -0.0841, 8.5
2020-05-06, -4.8, Saarland, 10, -0.0527, 8.4
2020-05-07, -4.8, Saarland, 10, -0.0527, 6.6
2020-05-08, -6.3, Saarland, 10, -0.0695, 5.4
2020-05-09, -6, Saarland, 10, -0.0661, 4.7
2020-05-10, -5.4, Saarland, 10, -0.0594, 4.5
2020-05-11, -4.5, Saarland, 10, -0.0493, 4.1
2020-05-12, -4.8, Saarland, 10, -0.0527, 3.7
2020-05-13, -4.6, Saarland, 10, -0.0504, 3.9
2020-05-14, -2.8, Saarland, 10, -0.0314, 3.7
2020-05-15, -1.8, Saarland, 10, -0.0202, 3.5
2020-05-16, -1.2, Saarland, 10, -0.0135, 3.4
2020-05-17, -1.2, Saarland, 10, -0.0135, 3.2
