Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Sachsen, 14, , 
2020-03-06, , Sachsen, 14, , 
2020-03-07, , Sachsen, 14, , 0.1
2020-03-08, , Sachsen, 14, , 0.1
2020-03-09, , Sachsen, 14, , 0.2
2020-03-10, , Sachsen, 14, , 0.3
2020-03-11, , Sachsen, 14, , 0.9
2020-03-12, 1.3, Sachsen, 14, 0.0115, 1.3
2020-03-13, 1.9, Sachsen, 14, 0.0175, 2
2020-03-14, 2.8, Sachsen, 14, 0.0249, 2.8
2020-03-15, 3.5, Sachsen, 14, 0.0315, 3.6
2020-03-16, 4, Sachsen, 14, 0.036, 4.2
2020-03-17, 4.8, Sachsen, 14, 0.0433, 5.1
2020-03-18, 5.8, Sachsen, 14, 0.0528, 6.7
2020-03-19, 8.3, Sachsen, 14, 0.075, 9.6
2020-03-20, 10.8, Sachsen, 14, 0.0975, 12.7
2020-03-21, 12.5, Sachsen, 14, 0.1132, 15.3
2020-03-22, 14.1, Sachsen, 14, 0.1272, 17.7
2020-03-23, 14, Sachsen, 14, 0.1266, 18.2
2020-03-24, 15.1, Sachsen, 14, 0.1368, 20.3
2020-03-25, 15.3, Sachsen, 14, 0.1385, 22.1
2020-03-26, 13.6, Sachsen, 14, 0.123, 23.2
2020-03-27, 10.8, Sachsen, 14, 0.0979, 23.6
2020-03-28, 9.3, Sachsen, 14, 0.0844, 24.7
2020-03-29, 7.8, Sachsen, 14, 0.0708, 25.5
2020-03-30, 7.8, Sachsen, 14, 0.0702, 26
2020-03-31, 6.1, Sachsen, 14, 0.0553, 26.4
2020-04-01, 4.9, Sachsen, 14, 0.044, 26.9
2020-04-02, 3.8, Sachsen, 14, 0.0344, 27
2020-04-03, 4.8, Sachsen, 14, 0.0433, 28.4
2020-04-04, 5.3, Sachsen, 14, 0.0475, 29.9
2020-04-05, 3.9, Sachsen, 14, 0.0349, 29.4
2020-04-06, 3.3, Sachsen, 14, 0.0302, 29.3
2020-04-07, 1.5, Sachsen, 14, 0.0138, 27.9
2020-04-08, , Sachsen, 14, , 26.9
2020-04-09, -0.7, Sachsen, 14, -0.0055, 26.3
2020-04-10, -5.1, Sachsen, 14, -0.0381, 23.2
2020-04-11, -9.7, Sachsen, 14, -0.0721, 20.2
2020-04-12, -10.6, Sachsen, 14, -0.0788, 18.8
