Meldedatum, difference, trend, value
2020-03-05, , , 3053.8
2020-03-06, , , 1585.3
2020-03-07, , , 779
2020-03-08, , , 699
2020-03-09, , , 546
2020-03-10, , , 571.5
2020-03-11, , , 559.2
2020-03-12, -2589.9, -54.6539, 463.9
2020-03-13, -1141.3, -24.0844, 444
2020-03-14, -262.3, -5.5351, 516.7
2020-03-15, -130.8, -2.7603, 568.2
2020-03-16, 70.1, 1.0403, 616.1
2020-03-17, 4.3, 0.0635, 575.8
2020-03-18, -43.5, -0.9187, 515.7
2020-03-19, 15.7, 0.2327, 479.6
2020-03-20, -15.7, -0.3303, 428.3
2020-03-21, -182.7, -3.8561, 334
2020-03-22, -288.1, -6.0802, 280.1
2020-03-23, -368, -7.7651, 248.2
2020-03-24, -379.3, -8.0044, 196.5
2020-03-25, -369.9, -7.8055, 145.8
2020-03-26, -370.5, -7.8189, 109.1
2020-03-27, -347, -7.3228, 81.3
2020-03-28, -267.2, -5.6377, 66.8
2020-03-29, -223, -4.7061, 57.1
2020-03-30, -196.5, -4.1459, 51.7
2020-03-31, -153.8, -3.2458, 42.7
2020-04-01, -108.8, -2.2961, 37
2020-04-02, -80.1, -1.691, 28.9
2020-04-03, -58.2, -1.2282, 23.1
2020-04-04, -50.5, -1.0659, 16.3
2020-04-05, -46.7, -0.9862, 10.4
2020-04-06, -45.6, -0.9619, 6.1
2020-04-07, -39.1, -0.8246, 3.6
2020-04-08, -39.3, -0.8294, -2.3
2020-04-09, -35.5, -0.7494, -6.6
2020-04-10, -35.8, -0.7554, -12.7
2020-04-11, -37.2, -0.7843, -20.9
2020-04-12, -34.4, -0.7252, -24
2020-04-13, -30.9, -0.6511, -24.7
2020-04-14, -33.1, -0.6993, -29.5
2020-04-15, -33.3, -0.7031, -35.6
2020-04-16, -33, -0.6954, -39.5
2020-04-17, -28.4, -0.5992, -41.1
2020-04-18, -15.6, -0.3285, -36.4
2020-04-19, -11.9, -0.251, -35.9
2020-04-20, -11.4, -0.2404, -36.1
2020-04-21, -0.9, -0.0187, -30.4
2020-04-22, 12.4, 0.1839, -23.2
2020-04-23, 19.6, 0.2905, -20
2020-04-24, 20.4, 0.3023, -20.7
2020-04-25, 10.9, 0.1614, -25.5
2020-04-26, 8.9, 0.1326, -27
2020-04-27, 7.3, 0.109, -28.8
2020-04-28, -2.2, -0.0461, -32.6
2020-04-29, -12.4, -0.2626, -35.7
2020-04-30, -18.9, -0.3993, -38.9
2020-05-01, -17, -0.3577, -37.7
2020-05-02, -14.1, -0.2971, -39.6
2020-05-03, -13.8, -0.2911, -40.8
2020-05-04, -11, -0.2322, -39.8
2020-05-05, -7.4, -0.1566, -40
2020-05-06, -3.9, -0.0823, -39.6
2020-05-07, 3.6, 0.0539, -35.2
2020-05-08, 4, 0.0593, -33.7
2020-05-09, 14.5, 0.2151, -25.1
2020-05-10, 22.7, 0.3372, -18
2020-05-11, 23.7, 0.3514, -16.1
2020-05-12, 27.9, 0.4145, -12.1
2020-05-13, 28.9, 0.429, -10.7
2020-05-14, 22.7, 0.3368, -12.6
2020-05-15, 18.5, 0.2746, -15.2
2020-05-16, 5.1, 0.0759, -20
2020-05-17, -6.2, -0.1302, -24.2
2020-05-18, -7.5, -0.1586, -23.6
2020-05-19, -13.3, -0.2805, -25.4
2020-05-20, -13.9, -0.2938, -24.6
2020-05-21, -9.4, -0.1979, -21.9
2020-05-22, -8.4, -0.1779, -23.6
2020-05-23, -3.8, -0.0795, -23.8
2020-05-24, 1.4, 0.0203, -22.8
2020-05-25, -0.9, -0.0181, -24.5
2020-05-26, 0.4, 0.0063, -25
2020-05-27, -0.7, -0.0156, -25.3
2020-05-28, -6.1, -0.1285, -28
2020-05-29, 5.3, 0.0791, -18.3
