Week, difference, region, region_id, trend, value
2020-12, , Bremen, 4, , 8.2
2020-13, -8.2, Bremen, 4, -0.6212, 
2020-14, , Bremen, 4, , 
2020-15, , Bremen, 4, , 
2020-16, , Bremen, 4, , 
2020-17, , Bremen, 4, , 
2020-18, 2.9, Bremen, 4, 0.2028, 2.9
2020-19, -2.9, Bremen, 4, -0.2197, 
2020-20, , Bremen, 4, , 
2020-21, , Bremen, 4, , 
2020-22, , Bremen, 4, , 
2020-23, , Bremen, 4, , 
2020-24, , Bremen, 4, , 
2020-25, , Bremen, 4, , 
2020-26, , Bremen, 4, , 
2020-27, , Bremen, 4, , 
2020-28, , Bremen, 4, , 
2020-29, , Bremen, 4, , 
2020-30, , Bremen, 4, , 
2020-31, , Bremen, 4, , 
2020-32, 0.5, Bremen, 4, 0.035, 0.5
2020-33, -0.3, Bremen, 4, -0.0227, 0.2
2020-34, 0.1, Bremen, 4, 0.007, 0.3
2020-35, 0.2, Bremen, 4, 0.014, 0.5
2020-36, 0.1, Bremen, 4, 0.007, 0.6
2020-37, 0.3, Bremen, 4, 0.021, 0.9
2020-38, -0.9, Bremen, 4, -0.0682, 
2020-39, 2.7, Bremen, 4, 0.1888, 2.7
2020-40, -1.2, Bremen, 4, -0.0909, 1.5
2020-41, 2.4, Bremen, 4, 0.1678, 3.9
2020-42, -1.2, Bremen, 4, -0.0909, 2.7
2020-43, 2.9, Bremen, 4, 0.2028, 5.6
2020-44, -2.4, Bremen, 4, -0.1818, 3.2
2020-45, 0.8, Bremen, 4, 0.0559, 4
2020-46, 2.4, Bremen, 4, 0.1678, 6.4
2020-47, -2.1, Bremen, 4, -0.1591, 4.3
2020-48, -2.2, Bremen, 4, -0.1667, 2.1
2020-49, 1.9, Bremen, 4, 0.1329, 4
2020-50, 1.7, Bremen, 4, 0.1189, 5.7
2020-51, 5.4, Bremen, 4, 0.3776, 11.1
2020-52, -6.6, Bremen, 4, -0.5, 4.5
2020-53, 2.2, Bremen, 4, 0.1538, 6.7
2021-01, 2.6, Bremen, 4, 0.1818, 9.3
2021-02, -9.3, Bremen, 4, -0.7045, 
2021-03, 8.9, Bremen, 4, 0.6224, 8.9
2021-04, -3.8, Bremen, 4, -0.2879, 5.1
2021-05, 0.2, Bremen, 4, 0.014, 5.3
2021-06, -1, Bremen, 4, -0.0758, 4.3
2021-07, 1.8, Bremen, 4, 0.1259, 6.1
2021-08, -4.2, Bremen, 4, -0.3182, 1.9
2021-09, 8.1, Bremen, 4, 0.5664, 10
2021-10, 0.2, Bremen, 4, 0.014, 10.2
2021-11, 4.7, Bremen, 4, 0.3287, 14.9
2021-12, 3.5, Bremen, 4, 0.2448, 18.4
2021-13, -6.4, Bremen, 4, -0.4848, 12
2021-14, 6.8, Bremen, 4, 0.4755, 18.8
2021-15, -1.3, Bremen, 4, -0.0985, 17.5
2021-16, -13.2, Bremen, 4, -1, 4.3
2021-17, -1.4, Bremen, 4, -0.1061, 2.9
2021-18, 8.9, Bremen, 4, 0.6224, 11.8
2021-19, 4.9, Bremen, 4, 0.3427, 16.7
2021-20, -5.8, Bremen, 4, -0.4394, 10.9
2021-21, -10.9, Bremen, 4, -0.8258, 
2021-22, 13.4, Bremen, 4, 0.9371, 13.4
2021-23, -2.8, Bremen, 4, -0.2121, 10.6
2021-24, -10.6, Bremen, 4, -0.803, 
2021-25, , Bremen, 4, , 
2021-26, , Bremen, 4, , 
2021-27, 5.3, Bremen, 4, 0.3706, 5.3
2021-28, -5.3, Bremen, 4, -0.4015, 
2021-29, , Bremen, 4, , 
2021-30, , Bremen, 4, , 
2021-31, , Bremen, 4, , 
2021-32, 14.3, Bremen, 4, 1, 14.3
2021-33, , Bremen, 4, , 14.3
