Week, difference, region, region_id, trend, value
2020-12, , Hamburg, 2, , 6.4
2020-13, 2.6, Hamburg, 2, 0.2385, 9
2020-14, 2.2, Hamburg, 2, 0.2018, 11.2
2020-15, 0.1, Hamburg, 2, 0.0092, 11.3
2020-16, -5.1, Hamburg, 2, -0.573, 6.2
2020-17, -3.8, Hamburg, 2, -0.427, 2.4
2020-18, -0.5, Hamburg, 2, -0.0562, 1.9
2020-19, -0.7, Hamburg, 2, -0.0787, 1.2
2020-20, -0.8, Hamburg, 2, -0.0899, 0.4
2020-21, -0.2, Hamburg, 2, -0.0225, 0.2
2020-22, -0.2, Hamburg, 2, -0.0225, 
2020-23, , Hamburg, 2, , 
2020-24, 0.3, Hamburg, 2, 0.0275, 0.3
2020-25, -0.3, Hamburg, 2, -0.0337, 
2020-26, 0.1, Hamburg, 2, 0.0092, 0.1
2020-27, 0.1, Hamburg, 2, 0.0092, 0.2
2020-28, , Hamburg, 2, , 0.2
2020-29, , Hamburg, 2, , 0.2
2020-30, 0.1, Hamburg, 2, 0.0092, 0.3
2020-31, 0.1, Hamburg, 2, 0.0092, 0.4
2020-32, 0.2, Hamburg, 2, 0.0183, 0.6
2020-33, -0.2, Hamburg, 2, -0.0225, 0.4
2020-34, -0.1, Hamburg, 2, -0.0112, 0.3
2020-35, 0.1, Hamburg, 2, 0.0092, 0.4
2020-36, 0.2, Hamburg, 2, 0.0183, 0.6
2020-37, 0.1, Hamburg, 2, 0.0092, 0.7
2020-38, 0.1, Hamburg, 2, 0.0092, 0.8
2020-39, -0.2, Hamburg, 2, -0.0225, 0.6
2020-40, 0.3, Hamburg, 2, 0.0275, 0.9
2020-41, 0.6, Hamburg, 2, 0.055, 1.5
2020-42, , Hamburg, 2, , 1.5
2020-43, 1.5, Hamburg, 2, 0.1376, 3
2020-44, 1.2, Hamburg, 2, 0.1101, 4.2
2020-45, 0.2, Hamburg, 2, 0.0183, 4.4
2020-46, 0.8, Hamburg, 2, 0.0734, 5.2
2020-47, 0.4, Hamburg, 2, 0.0367, 5.6
2020-48, -1, Hamburg, 2, -0.1124, 4.6
2020-49, 0.5, Hamburg, 2, 0.0459, 5.1
2020-50, 0.3, Hamburg, 2, 0.0275, 5.4
2020-51, 0.2, Hamburg, 2, 0.0183, 5.6
2020-52, 1, Hamburg, 2, 0.0917, 6.6
2020-53, 10.9, Hamburg, 2, 1, 17.5
2021-01, -8.9, Hamburg, 2, -1, 8.6
2021-02, -2.4, Hamburg, 2, -0.2697, 6.2
2021-03, 3.6, Hamburg, 2, 0.3303, 9.8
2021-04, -0.6, Hamburg, 2, -0.0674, 9.2
2021-05, -0.6, Hamburg, 2, -0.0674, 8.6
2021-06, -0.5, Hamburg, 2, -0.0562, 8.1
2021-07, 0.3, Hamburg, 2, 0.0275, 8.4
2021-08, -0.1, Hamburg, 2, -0.0112, 8.3
2021-09, 1.2, Hamburg, 2, 0.1101, 9.5
2021-10, 2.5, Hamburg, 2, 0.2294, 12
2021-11, , Hamburg, 2, , 12
2021-12, 1.1, Hamburg, 2, 0.1009, 13.1
2021-13, 0.5, Hamburg, 2, 0.0459, 13.6
2021-14, 1.3, Hamburg, 2, 0.1193, 14.9
2021-15, -1.8, Hamburg, 2, -0.2022, 13.1
2021-16, -1.6, Hamburg, 2, -0.1798, 11.5
2021-17, -0.7, Hamburg, 2, -0.0787, 10.8
2021-18, -1.1, Hamburg, 2, -0.1236, 9.7
2021-19, -2.5, Hamburg, 2, -0.2809, 7.2
2021-20, -2, Hamburg, 2, -0.2247, 5.2
2021-21, 0.4, Hamburg, 2, 0.0367, 5.6
2021-22, -2.2, Hamburg, 2, -0.2472, 3.4
2021-23, 0.1, Hamburg, 2, 0.0092, 3.5
2021-24, -0.6, Hamburg, 2, -0.0674, 2.9
2021-25, -0.8, Hamburg, 2, -0.0899, 2.1
2021-26, -0.1, Hamburg, 2, -0.0112, 2
2021-27, 0.9, Hamburg, 2, 0.0826, 2.9
2021-28, 2.5, Hamburg, 2, 0.2294, 5.4
2021-29, 2.2, Hamburg, 2, 0.2018, 7.6
2021-30, 1, Hamburg, 2, 0.0917, 8.6
2021-31, 3.7, Hamburg, 2, 0.3394, 12.3
2021-32, 3.2, Hamburg, 2, 0.2936, 15.5
2021-33, -3.5, Hamburg, 2, -0.3933, 12
