Week, difference, region, region_id, trend, value
2020-12, , Niedersachsen, 3, , 5.9
2020-13, 0.7, Niedersachsen, 3, 0.2692, 6.6
2020-14, -0.4, Niedersachsen, 3, -0.2222, 6.2
2020-15, -0.7, Niedersachsen, 3, -0.3889, 5.5
2020-16, -0.5, Niedersachsen, 3, -0.2778, 5
2020-17, -2.1, Niedersachsen, 3, -1.1667, 2.9
2020-18, -0.1, Niedersachsen, 3, -0.0556, 2.8
2020-19, -1.2, Niedersachsen, 3, -0.6667, 1.6
2020-20, -0.7, Niedersachsen, 3, -0.3889, 0.9
2020-21, 0.8, Niedersachsen, 3, 0.3077, 1.7
2020-22, 0.2, Niedersachsen, 3, 0.0769, 1.9
2020-23, , Niedersachsen, 3, , 1.9
2020-24, -0.6, Niedersachsen, 3, -0.3333, 1.3
2020-25, -0.3, Niedersachsen, 3, -0.1667, 1
2020-26, -0.6, Niedersachsen, 3, -0.3333, 0.4
2020-27, -0.1, Niedersachsen, 3, -0.0556, 0.3
2020-28, -0.2, Niedersachsen, 3, -0.1111, 0.1
2020-29, 0.1, Niedersachsen, 3, 0.0385, 0.2
2020-30, 0.1, Niedersachsen, 3, 0.0385, 0.3
2020-31, 0.4, Niedersachsen, 3, 0.1538, 0.7
2020-32, -0.2, Niedersachsen, 3, -0.1111, 0.5
2020-33, 0.2, Niedersachsen, 3, 0.0769, 0.7
2020-34, -0.2, Niedersachsen, 3, -0.1111, 0.5
2020-35, 0.1, Niedersachsen, 3, 0.0385, 0.6
2020-36, 0.1, Niedersachsen, 3, 0.0385, 0.7
2020-37, , Niedersachsen, 3, , 0.7
2020-38, 0.2, Niedersachsen, 3, 0.0769, 0.9
2020-39, , Niedersachsen, 3, , 0.9
2020-40, 0.5, Niedersachsen, 3, 0.1923, 1.4
2020-41, 0.3, Niedersachsen, 3, 0.1154, 1.7
2020-42, 1.1, Niedersachsen, 3, 0.4231, 2.8
2020-43, 1.3, Niedersachsen, 3, 0.5, 4.1
2020-44, 1.4, Niedersachsen, 3, 0.5385, 5.5
2020-45, 0.5, Niedersachsen, 3, 0.1923, 6
2020-46, 0.5, Niedersachsen, 3, 0.1923, 6.5
2020-47, -0.2, Niedersachsen, 3, -0.1111, 6.3
2020-48, -0.6, Niedersachsen, 3, -0.3333, 5.7
2020-49, -0.1, Niedersachsen, 3, -0.0556, 5.6
2020-50, 0.6, Niedersachsen, 3, 0.2308, 6.2
2020-51, 0.9, Niedersachsen, 3, 0.3462, 7.1
2020-52, 2.6, Niedersachsen, 3, 1, 9.7
2020-53, 1.2, Niedersachsen, 3, 0.4615, 10.9
2021-01, -1.8, Niedersachsen, 3, -1, 9.1
2021-02, -1.3, Niedersachsen, 3, -0.7222, 7.8
2021-03, -1.3, Niedersachsen, 3, -0.7222, 6.5
2021-04, -0.6, Niedersachsen, 3, -0.3333, 5.9
2021-05, -0.3, Niedersachsen, 3, -0.1667, 5.6
2021-06, 0.1, Niedersachsen, 3, 0.0385, 5.7
2021-07, 0.1, Niedersachsen, 3, 0.0385, 5.8
2021-08, 0.3, Niedersachsen, 3, 0.1154, 6.1
2021-09, -1.3, Niedersachsen, 3, -0.7222, 4.8
2021-10, 0.4, Niedersachsen, 3, 0.1538, 5.2
2021-11, 1.2, Niedersachsen, 3, 0.4615, 6.4
2021-12, 1.3, Niedersachsen, 3, 0.5, 7.7
2021-13, 1.5, Niedersachsen, 3, 0.5769, 9.2
2021-14, 0.2, Niedersachsen, 3, 0.0769, 9.4
2021-15, -0.5, Niedersachsen, 3, -0.2778, 8.9
2021-16, -0.1, Niedersachsen, 3, -0.0556, 8.8
2021-17, -1, Niedersachsen, 3, -0.5556, 7.8
2021-18, -1, Niedersachsen, 3, -0.5556, 6.8
2021-19, -0.5, Niedersachsen, 3, -0.2778, 6.3
2021-20, -1.6, Niedersachsen, 3, -0.8889, 4.7
2021-21, -1.1, Niedersachsen, 3, -0.6111, 3.6
2021-22, -1.5, Niedersachsen, 3, -0.8333, 2.1
2021-23, -0.5, Niedersachsen, 3, -0.2778, 1.6
2021-24, -0.8, Niedersachsen, 3, -0.4444, 0.8
2021-25, -0.3, Niedersachsen, 3, -0.1667, 0.5
2021-26, -0.1, Niedersachsen, 3, -0.0556, 0.4
2021-27, , Niedersachsen, 3, , 0.4
2021-28, 0.5, Niedersachsen, 3, 0.1923, 0.9
2021-29, 0.1, Niedersachsen, 3, 0.0385, 1
2021-30, 0.3, Niedersachsen, 3, 0.1154, 1.3
2021-31, 0.1, Niedersachsen, 3, 0.0385, 1.4
2021-32, 0.9, Niedersachsen, 3, 0.3462, 2.3
2021-33, 1, Niedersachsen, 3, 0.3846, 3.3
