Week, difference, region, region_id, trend, value
2020-12, , Rheinland-Pfalz, 7, , 6.1
2020-13, 1.4, Rheinland-Pfalz, 7, 0.5385, 7.5
2020-14, -1, Rheinland-Pfalz, 7, -0.303, 6.5
2020-15, 0.6, Rheinland-Pfalz, 7, 0.2308, 7.1
2020-16, -1.2, Rheinland-Pfalz, 7, -0.3636, 5.9
2020-17, -0.9, Rheinland-Pfalz, 7, -0.2727, 5
2020-18, -2, Rheinland-Pfalz, 7, -0.6061, 3
2020-19, -0.5, Rheinland-Pfalz, 7, -0.1515, 2.5
2020-20, -0.7, Rheinland-Pfalz, 7, -0.2121, 1.8
2020-21, -1, Rheinland-Pfalz, 7, -0.303, 0.8
2020-22, -0.1, Rheinland-Pfalz, 7, -0.0303, 0.7
2020-23, -0.2, Rheinland-Pfalz, 7, -0.0606, 0.5
2020-24, -0.1, Rheinland-Pfalz, 7, -0.0303, 0.4
2020-25, -0.1, Rheinland-Pfalz, 7, -0.0303, 0.3
2020-26, 0.1, Rheinland-Pfalz, 7, 0.0385, 0.4
2020-27, -0.1, Rheinland-Pfalz, 7, -0.0303, 0.3
2020-28, 0.1, Rheinland-Pfalz, 7, 0.0385, 0.4
2020-29, 0.1, Rheinland-Pfalz, 7, 0.0385, 0.5
2020-30, -0.1, Rheinland-Pfalz, 7, -0.0303, 0.4
2020-31, 0.1, Rheinland-Pfalz, 7, 0.0385, 0.5
2020-32, 0.3, Rheinland-Pfalz, 7, 0.1154, 0.8
2020-33, 0.2, Rheinland-Pfalz, 7, 0.0769, 1
2020-34, 0.2, Rheinland-Pfalz, 7, 0.0769, 1.2
2020-35, -0.5, Rheinland-Pfalz, 7, -0.1515, 0.7
2020-36, 0.2, Rheinland-Pfalz, 7, 0.0769, 0.9
2020-37, 0.2, Rheinland-Pfalz, 7, 0.0769, 1.1
2020-38, 0.1, Rheinland-Pfalz, 7, 0.0385, 1.2
2020-39, 0.1, Rheinland-Pfalz, 7, 0.0385, 1.3
2020-40, 0.7, Rheinland-Pfalz, 7, 0.2692, 2
2020-41, 0.7, Rheinland-Pfalz, 7, 0.2692, 2.7
2020-42, 1.2, Rheinland-Pfalz, 7, 0.4615, 3.9
2020-43, 1.4, Rheinland-Pfalz, 7, 0.5385, 5.3
2020-44, 2.6, Rheinland-Pfalz, 7, 1, 7.9
2020-45, 1.2, Rheinland-Pfalz, 7, 0.4615, 9.1
2020-46, 1.2, Rheinland-Pfalz, 7, 0.4615, 10.3
2020-47, 1, Rheinland-Pfalz, 7, 0.3846, 11.3
2020-48, -0.3, Rheinland-Pfalz, 7, -0.0909, 11
2020-49, 1.3, Rheinland-Pfalz, 7, 0.5, 12.3
2020-50, -0.2, Rheinland-Pfalz, 7, -0.0606, 12.1
2020-51, 0.3, Rheinland-Pfalz, 7, 0.1154, 12.4
2020-52, 2.3, Rheinland-Pfalz, 7, 0.8846, 14.7
2020-53, 0.4, Rheinland-Pfalz, 7, 0.1538, 15.1
2021-01, -2.2, Rheinland-Pfalz, 7, -0.6667, 12.9
2021-02, -2.1, Rheinland-Pfalz, 7, -0.6364, 10.8
2021-03, -0.7, Rheinland-Pfalz, 7, -0.2121, 10.1
2021-04, -0.4, Rheinland-Pfalz, 7, -0.1212, 9.7
2021-05, -1.5, Rheinland-Pfalz, 7, -0.4545, 8.2
2021-06, -1, Rheinland-Pfalz, 7, -0.303, 7.2
2021-07, -0.3, Rheinland-Pfalz, 7, -0.0909, 6.9
2021-08, -0.4, Rheinland-Pfalz, 7, -0.1212, 6.5
2021-09, , Rheinland-Pfalz, 7, , 6.5
2021-10, 0.1, Rheinland-Pfalz, 7, 0.0385, 6.6
2021-11, 0.4, Rheinland-Pfalz, 7, 0.1538, 7
2021-12, 1.5, Rheinland-Pfalz, 7, 0.5769, 8.5
2021-13, 2, Rheinland-Pfalz, 7, 0.7692, 10.5
2021-14, 1.5, Rheinland-Pfalz, 7, 0.5769, 12
2021-15, 0.4, Rheinland-Pfalz, 7, 0.1538, 12.4
2021-16, 0.2, Rheinland-Pfalz, 7, 0.0769, 12.6
2021-17, -0.5, Rheinland-Pfalz, 7, -0.1515, 12.1
2021-18, -0.7, Rheinland-Pfalz, 7, -0.2121, 11.4
2021-19, -1.2, Rheinland-Pfalz, 7, -0.3636, 10.2
2021-20, -3.3, Rheinland-Pfalz, 7, -1, 6.9
2021-21, -2.1, Rheinland-Pfalz, 7, -0.6364, 4.8
2021-22, -0.4, Rheinland-Pfalz, 7, -0.1212, 4.4
2021-23, -1.7, Rheinland-Pfalz, 7, -0.5152, 2.7
2021-24, -0.8, Rheinland-Pfalz, 7, -0.2424, 1.9
2021-25, -0.4, Rheinland-Pfalz, 7, -0.1212, 1.5
2021-26, -0.4, Rheinland-Pfalz, 7, -0.1212, 1.1
2021-27, 0.3, Rheinland-Pfalz, 7, 0.1154, 1.4
2021-28, 0.2, Rheinland-Pfalz, 7, 0.0769, 1.6
2021-29, 0.8, Rheinland-Pfalz, 7, 0.3077, 2.4
2021-30, 0.8, Rheinland-Pfalz, 7, 0.3077, 3.2
2021-31, 0.3, Rheinland-Pfalz, 7, 0.1154, 3.5
2021-32, 1.8, Rheinland-Pfalz, 7, 0.6923, 5.3
2021-33, 2.4, Rheinland-Pfalz, 7, 0.9231, 7.7
