Week, difference, region, region_id, trend, value
2020-12, , Sachsen-Anhalt, 15, , 2.4
2020-13, 0.6, Sachsen-Anhalt, 15, 0.1304, 3
2020-14, -0.3, Sachsen-Anhalt, 15, -0.0638, 2.7
2020-15, -0.8, Sachsen-Anhalt, 15, -0.1702, 1.9
2020-16, 0.4, Sachsen-Anhalt, 15, 0.087, 2.3
2020-17, -1.1, Sachsen-Anhalt, 15, -0.234, 1.2
2020-18, 0.2, Sachsen-Anhalt, 15, 0.0435, 1.4
2020-19, -0.5, Sachsen-Anhalt, 15, -0.1064, 0.9
2020-20, -0.6, Sachsen-Anhalt, 15, -0.1277, 0.3
2020-21, -0.1, Sachsen-Anhalt, 15, -0.0213, 0.2
2020-22, , Sachsen-Anhalt, 15, , 0.2
2020-23, 0.1, Sachsen-Anhalt, 15, 0.0217, 0.3
2020-24, -0.1, Sachsen-Anhalt, 15, -0.0213, 0.2
2020-25, , Sachsen-Anhalt, 15, , 0.2
2020-26, -0.1, Sachsen-Anhalt, 15, -0.0213, 0.1
2020-27, 0.1, Sachsen-Anhalt, 15, 0.0217, 0.2
2020-28, -0.1, Sachsen-Anhalt, 15, -0.0213, 0.1
2020-29, 0.2, Sachsen-Anhalt, 15, 0.0435, 0.3
2020-30, , Sachsen-Anhalt, 15, , 0.3
2020-31, 0.2, Sachsen-Anhalt, 15, 0.0435, 0.5
2020-32, -0.2, Sachsen-Anhalt, 15, -0.0426, 0.3
2020-33, -0.1, Sachsen-Anhalt, 15, -0.0213, 0.2
2020-34, 0.3, Sachsen-Anhalt, 15, 0.0652, 0.5
2020-35, -0.3, Sachsen-Anhalt, 15, -0.0638, 0.2
2020-36, , Sachsen-Anhalt, 15, , 0.2
2020-37, 0.1, Sachsen-Anhalt, 15, 0.0217, 0.3
2020-38, -0.1, Sachsen-Anhalt, 15, -0.0213, 0.2
2020-39, 0.2, Sachsen-Anhalt, 15, 0.0435, 0.4
2020-40, 0.2, Sachsen-Anhalt, 15, 0.0435, 0.6
2020-41, 0.3, Sachsen-Anhalt, 15, 0.0652, 0.9
2020-42, 0.2, Sachsen-Anhalt, 15, 0.0435, 1.1
2020-43, 0.7, Sachsen-Anhalt, 15, 0.1522, 1.8
2020-44, 0.6, Sachsen-Anhalt, 15, 0.1304, 2.4
2020-45, 1.5, Sachsen-Anhalt, 15, 0.3261, 3.9
2020-46, 0.9, Sachsen-Anhalt, 15, 0.1957, 4.8
2020-47, 1.3, Sachsen-Anhalt, 15, 0.2826, 6.1
2020-48, 0.3, Sachsen-Anhalt, 15, 0.0652, 6.4
2020-49, 1.8, Sachsen-Anhalt, 15, 0.3913, 8.2
2020-50, 1.9, Sachsen-Anhalt, 15, 0.413, 10.1
2020-51, 2.2, Sachsen-Anhalt, 15, 0.4783, 12.3
2020-52, 4.6, Sachsen-Anhalt, 15, 1, 16.9
2020-53, 2.7, Sachsen-Anhalt, 15, 0.587, 19.6
2021-01, -1.4, Sachsen-Anhalt, 15, -0.2979, 18.2
2021-02, -4.7, Sachsen-Anhalt, 15, -1, 13.5
2021-03, -1.9, Sachsen-Anhalt, 15, -0.4043, 11.6
2021-04, -2, Sachsen-Anhalt, 15, -0.4255, 9.6
2021-05, -2.1, Sachsen-Anhalt, 15, -0.4468, 7.5
2021-06, -0.6, Sachsen-Anhalt, 15, -0.1277, 6.9
2021-07, -0.1, Sachsen-Anhalt, 15, -0.0213, 6.8
2021-08, -0.1, Sachsen-Anhalt, 15, -0.0213, 6.7
2021-09, -0.5, Sachsen-Anhalt, 15, -0.1064, 6.2
2021-10, -0.8, Sachsen-Anhalt, 15, -0.1702, 5.4
2021-11, 1.7, Sachsen-Anhalt, 15, 0.3696, 7.1
2021-12, 1.6, Sachsen-Anhalt, 15, 0.3478, 8.7
2021-13, 2.2, Sachsen-Anhalt, 15, 0.4783, 10.9
2021-14, -0.7, Sachsen-Anhalt, 15, -0.1489, 10.2
2021-15, 0.6, Sachsen-Anhalt, 15, 0.1304, 10.8
2021-16, -1, Sachsen-Anhalt, 15, -0.2128, 9.8
2021-17, -1.1, Sachsen-Anhalt, 15, -0.234, 8.7
2021-18, -0.8, Sachsen-Anhalt, 15, -0.1702, 7.9
2021-19, -0.6, Sachsen-Anhalt, 15, -0.1277, 7.3
2021-20, -2.3, Sachsen-Anhalt, 15, -0.4894, 5
2021-21, -2, Sachsen-Anhalt, 15, -0.4255, 3
2021-22, -1, Sachsen-Anhalt, 15, -0.2128, 2
2021-23, -0.9, Sachsen-Anhalt, 15, -0.1915, 1.1
2021-24, -0.4, Sachsen-Anhalt, 15, -0.0851, 0.7
2021-25, -0.5, Sachsen-Anhalt, 15, -0.1064, 0.2
2021-26, 0.1, Sachsen-Anhalt, 15, 0.0217, 0.3
2021-27, -0.1, Sachsen-Anhalt, 15, -0.0213, 0.2
2021-28, 0.2, Sachsen-Anhalt, 15, 0.0435, 0.4
2021-29, 0.1, Sachsen-Anhalt, 15, 0.0217, 0.5
2021-30, , Sachsen-Anhalt, 15, , 0.5
2021-31, 0.4, Sachsen-Anhalt, 15, 0.087, 0.9
2021-32, 0.2, Sachsen-Anhalt, 15, 0.0435, 1.1
2021-33, 0.2, Sachsen-Anhalt, 15, 0.0435, 1.3
