Meldedatum, difference, group, region, region_id, trend, value
2020-03-05, , Inc_0-5, Hessen, 6, , 26
2020-03-06, , Inc_0-5, Hessen, 6, , 26
2020-03-07, , Inc_0-5, Hessen, 6, , 26
2020-03-08, , Inc_0-5, Hessen, 6, , 26
2020-03-09, , Inc_0-5, Hessen, 6, , 26
2020-03-10, , Inc_0-5, Hessen, 6, , 26
2020-03-11, , Inc_0-5, Hessen, 6, , 26
2020-03-12, -1, Inc_0-5, Hessen, 6, -0.1667, 25
2020-03-13, -1, Inc_0-5, Hessen, 6, -0.1667, 25
2020-03-14, -4, Inc_0-5, Hessen, 6, -0.6667, 22
2020-03-15, -7, Inc_0-5, Hessen, 6, -1.1667, 19
2020-03-16, -9, Inc_0-5, Hessen, 6, -1.5, 17
2020-03-17, -16, Inc_0-5, Hessen, 6, -2.6667, 10
2020-03-18, -21, Inc_0-5, Hessen, 6, -3.5, 5
2020-03-19, -23, Inc_0-5, Hessen, 6, -3.8333, 2
2020-03-20, -23, Inc_0-5, Hessen, 6, -3.8333, 2
2020-03-21, -20, Inc_0-5, Hessen, 6, -3.3333, 2
2020-03-22, -18, Inc_0-5, Hessen, 6, -3, 1
2020-03-23, -16, Inc_0-5, Hessen, 6, -2.6667, 1
2020-03-24, -9, Inc_0-5, Hessen, 6, -1.5, 1
2020-03-25, -5, Inc_0-5, Hessen, 6, -0.8333, 
2020-03-26, -2, Inc_0-5, Hessen, 6, -0.3333, 
2020-03-27, -2, Inc_0-5, Hessen, 6, -0.3333, 
2020-03-28, -2, Inc_0-5, Hessen, 6, -0.3333, 
2020-03-29, -1, Inc_0-5, Hessen, 6, -0.1667, 
2020-03-30, -1, Inc_0-5, Hessen, 6, -0.1667, 
2020-03-31, -1, Inc_0-5, Hessen, 6, -0.1667, 
2020-04-01, , Inc_0-5, Hessen, 6, , 
2020-04-02, , Inc_0-5, Hessen, 6, , 
2020-04-03, , Inc_0-5, Hessen, 6, , 
2020-04-04, , Inc_0-5, Hessen, 6, , 
2020-04-05, , Inc_0-5, Hessen, 6, , 
2020-04-06, , Inc_0-5, Hessen, 6, , 
2020-04-07, , Inc_0-5, Hessen, 6, , 
2020-04-08, , Inc_0-5, Hessen, 6, , 
2020-04-09, , Inc_0-5, Hessen, 6, , 
2020-04-10, , Inc_0-5, Hessen, 6, , 
2020-04-11, , Inc_0-5, Hessen, 6, , 
2020-04-12, , Inc_0-5, Hessen, 6, , 
2020-04-13, , Inc_0-5, Hessen, 6, , 
2020-04-14, , Inc_0-5, Hessen, 6, , 
2020-04-15, 1, Inc_0-5, Hessen, 6, 0.1429, 1
2020-04-16, 3, Inc_0-5, Hessen, 6, 0.4286, 3
2020-04-17, 4, Inc_0-5, Hessen, 6, 0.5714, 4
2020-04-18, 1, Inc_0-5, Hessen, 6, 0.1429, 1
2020-04-19, 2, Inc_0-5, Hessen, 6, 0.2857, 2
2020-04-20, 2, Inc_0-5, Hessen, 6, 0.2857, 2
2020-04-21, 2, Inc_0-5, Hessen, 6, 0.2857, 2
2020-04-22, , Inc_0-5, Hessen, 6, , 1
2020-04-23, -1, Inc_0-5, Hessen, 6, -0.1667, 2
2020-04-24, 1, Inc_0-5, Hessen, 6, 0.1429, 5
2020-04-25, 6, Inc_0-5, Hessen, 6, 0.8571, 7
2020-04-26, 5, Inc_0-5, Hessen, 6, 0.7143, 7
2020-04-27, 4, Inc_0-5, Hessen, 6, 0.5714, 6
2020-04-28, 6, Inc_0-5, Hessen, 6, 0.8571, 8
2020-04-29, 9, Inc_0-5, Hessen, 6, 1.2857, 10
2020-04-30, 8, Inc_0-5, Hessen, 6, 1.1429, 10
2020-05-01, 5, Inc_0-5, Hessen, 6, 0.7143, 10
2020-05-02, 3, Inc_0-5, Hessen, 6, 0.4286, 10
2020-05-03, 3, Inc_0-5, Hessen, 6, 0.4286, 10
2020-05-04, 5, Inc_0-5, Hessen, 6, 0.7143, 11
2020-05-05, 2, Inc_0-5, Hessen, 6, 0.2857, 10
2020-05-06, 1, Inc_0-5, Hessen, 6, 0.1429, 11
2020-05-07, 1, Inc_0-5, Hessen, 6, 0.1429, 11
2020-05-08, 1, Inc_0-5, Hessen, 6, 0.1429, 11
2020-05-09, 1, Inc_0-5, Hessen, 6, 0.1429, 11
2020-05-10, 2, Inc_0-5, Hessen, 6, 0.2857, 12
2020-05-11, 1, Inc_0-5, Hessen, 6, 0.1429, 12
2020-05-12, 1, Inc_0-5, Hessen, 6, 0.1429, 11
2020-05-13, 1, Inc_0-5, Hessen, 6, 0.1429, 12
2020-05-14, 1, Inc_0-5, Hessen, 6, 0.1429, 12
2020-05-15, 4, Inc_0-5, Hessen, 6, 0.5714, 15
2020-05-16, 2, Inc_0-5, Hessen, 6, 0.2857, 13
2020-05-17, 2, Inc_0-5, Hessen, 6, 0.2857, 14
2020-05-18, 2, Inc_0-5, Hessen, 6, 0.2857, 14
2020-05-19, 1, Inc_0-5, Hessen, 6, 0.1429, 12
2020-05-20, 2, Inc_0-5, Hessen, 6, 0.2857, 14
2020-05-21, 1, Inc_0-5, Hessen, 6, 0.1429, 13
2020-05-22, -1, Inc_0-5, Hessen, 6, -0.1667, 14
2020-05-23, 1, Inc_0-5, Hessen, 6, 0.1429, 14
2020-05-24, , Inc_0-5, Hessen, 6, , 14
2020-05-25, , Inc_0-5, Hessen, 6, , 14
2020-05-26, 2, Inc_0-5, Hessen, 6, 0.2857, 14
2020-05-27, 2, Inc_0-5, Hessen, 6, 0.2857, 16
2020-05-28, 4, Inc_0-5, Hessen, 6, 0.5714, 17
2020-05-29, 1, Inc_0-5, Hessen, 6, 0.1429, 15
2020-05-30, 1, Inc_0-5, Hessen, 6, 0.1429, 15
2020-05-31, 1, Inc_0-5, Hessen, 6, 0.1429, 15
2020-06-01, 2, Inc_0-5, Hessen, 6, 0.2857, 16
2020-06-02, 5, Inc_0-5, Hessen, 6, 0.7143, 19
2020-06-03, 6, Inc_0-5, Hessen, 6, 0.8571, 22
2020-06-04, 6, Inc_0-5, Hessen, 6, 0.8571, 23
2020-06-05, 9, Inc_0-5, Hessen, 6, 1.2857, 24
2020-06-06, 9, Inc_0-5, Hessen, 6, 1.2857, 24
2020-06-07, 9, Inc_0-5, Hessen, 6, 1.2857, 24
2020-06-08, 8, Inc_0-5, Hessen, 6, 1.1429, 24
2020-06-09, 5, Inc_0-5, Hessen, 6, 0.7143, 24
2020-06-10, 2, Inc_0-5, Hessen, 6, 0.2857, 24
2020-06-11, , Inc_0-5, Hessen, 6, , 23
2020-06-12, -1, Inc_0-5, Hessen, 6, -0.1667, 23
2020-06-13, , Inc_0-5, Hessen, 6, , 24
2020-06-14, 1, Inc_0-5, Hessen, 6, 0.1429, 25
2020-06-15, 1, Inc_0-5, Hessen, 6, 0.1429, 25
2020-06-16, 1, Inc_0-5, Hessen, 6, 0.1429, 25
2020-06-17, , Inc_0-5, Hessen, 6, , 24
2020-06-18, -1, Inc_0-5, Hessen, 6, -0.1667, 22
2020-06-19, -3, Inc_0-5, Hessen, 6, -0.5, 20
2020-06-20, -5, Inc_0-5, Hessen, 6, -0.8333, 19
2020-06-21, -5, Inc_0-5, Hessen, 6, -0.8333, 20
2020-06-22, -5, Inc_0-5, Hessen, 6, -0.8333, 20
2020-06-23, -6, Inc_0-5, Hessen, 6, -1, 19
2020-06-24, -4, Inc_0-5, Hessen, 6, -0.6667, 20
2020-06-25, -4, Inc_0-5, Hessen, 6, -0.6667, 18
2020-06-26, , Inc_0-5, Hessen, 6, , 20
2020-06-27, 2, Inc_0-5, Hessen, 6, 0.2857, 21
2020-06-28, , Inc_0-5, Hessen, 6, , 20
2020-06-29, 1, Inc_0-5, Hessen, 6, 0.1429, 21
2020-06-30, 2, Inc_0-5, Hessen, 6, 0.2857, 21
2020-07-01, 2, Inc_0-5, Hessen, 6, 0.2857, 22
2020-07-02, 2, Inc_0-5, Hessen, 6, 0.2857, 20
2020-07-03, 2, Inc_0-5, Hessen, 6, 0.2857, 22
2020-07-04, 1, Inc_0-5, Hessen, 6, 0.1429, 22
2020-07-05, 1, Inc_0-5, Hessen, 6, 0.1429, 21
2020-07-06, , Inc_0-5, Hessen, 6, , 21
2020-07-07, , Inc_0-5, Hessen, 6, , 21
2020-07-08, -1, Inc_0-5, Hessen, 6, -0.1667, 21
2020-07-09, 2, Inc_0-5, Hessen, 6, 0.2857, 22
2020-07-10, , Inc_0-5, Hessen, 6, , 22
2020-07-11, , Inc_0-5, Hessen, 6, , 22
2020-07-12, , Inc_0-5, Hessen, 6, , 21
2020-07-13, , Inc_0-5, Hessen, 6, , 21
2020-07-14, -2, Inc_0-5, Hessen, 6, -0.3333, 19
2020-07-15, -3, Inc_0-5, Hessen, 6, -0.5, 18
2020-07-16, -4, Inc_0-5, Hessen, 6, -0.6667, 18
2020-07-17, -5, Inc_0-5, Hessen, 6, -0.8333, 17
2020-07-18, -4, Inc_0-5, Hessen, 6, -0.6667, 18
2020-07-19, -4, Inc_0-5, Hessen, 6, -0.6667, 17
2020-07-20, -3, Inc_0-5, Hessen, 6, -0.5, 18
2020-07-21, -1, Inc_0-5, Hessen, 6, -0.1667, 18
2020-07-22, 1, Inc_0-5, Hessen, 6, 0.1429, 19
2020-07-23, 1, Inc_0-5, Hessen, 6, 0.1429, 19
2020-07-24, 1, Inc_0-5, Hessen, 6, 0.1429, 18
2020-07-25, -1, Inc_0-5, Hessen, 6, -0.1667, 17
2020-07-26, -1, Inc_0-5, Hessen, 6, -0.1667, 16
2020-07-27, -2, Inc_0-5, Hessen, 6, -0.3333, 16
2020-07-28, -3, Inc_0-5, Hessen, 6, -0.5, 15
2020-07-29, -8, Inc_0-5, Hessen, 6, -1.3333, 11
2020-07-30, -9, Inc_0-5, Hessen, 6, -1.5, 10
2020-07-31, -10, Inc_0-5, Hessen, 6, -1.6667, 8
2020-08-01, -6, Inc_0-5, Hessen, 6, -1, 11
2020-08-02, -6, Inc_0-5, Hessen, 6, -1, 10
2020-08-03, -6, Inc_0-5, Hessen, 6, -1, 10
2020-08-04, -3, Inc_0-5, Hessen, 6, -0.5, 12
2020-08-05, 1, Inc_0-5, Hessen, 6, 0.1429, 12
2020-08-06, 1, Inc_0-5, Hessen, 6, 0.1429, 11
2020-08-07, 1, Inc_0-5, Hessen, 6, 0.1429, 9
2020-08-08, -4, Inc_0-5, Hessen, 6, -0.6667, 7
2020-08-09, -2, Inc_0-5, Hessen, 6, -0.3333, 8
2020-08-10, -3, Inc_0-5, Hessen, 6, -0.5, 7
2020-08-11, -6, Inc_0-5, Hessen, 6, -1, 6
2020-08-12, -6, Inc_0-5, Hessen, 6, -1, 6
2020-08-13, -5, Inc_0-5, Hessen, 6, -0.8333, 6
2020-08-14, -2, Inc_0-5, Hessen, 6, -0.3333, 7
2020-08-15, , Inc_0-5, Hessen, 6, , 7
2020-08-16, -1, Inc_0-5, Hessen, 6, -0.1667, 7
2020-08-17, , Inc_0-5, Hessen, 6, , 7
2020-08-18, -1, Inc_0-5, Hessen, 6, -0.1667, 5
2020-08-19, -2, Inc_0-5, Hessen, 6, -0.3333, 4
2020-08-20, -2, Inc_0-5, Hessen, 6, -0.3333, 4
2020-08-21, -3, Inc_0-5, Hessen, 6, -0.5, 4
2020-08-22, -5, Inc_0-5, Hessen, 6, -0.8333, 2
2020-08-23, -4, Inc_0-5, Hessen, 6, -0.6667, 3
2020-08-24, -4, Inc_0-5, Hessen, 6, -0.6667, 3
2020-08-25, -3, Inc_0-5, Hessen, 6, -0.5, 2
2020-08-26, , Inc_0-5, Hessen, 6, , 4
2020-08-27, , Inc_0-5, Hessen, 6, , 4
2020-08-28, , Inc_0-5, Hessen, 6, , 4
2020-08-29, 2, Inc_0-5, Hessen, 6, 0.2857, 4
2020-08-30, 3, Inc_0-5, Hessen, 6, 0.4286, 6
2020-08-31, 4, Inc_0-5, Hessen, 6, 0.5714, 7
2020-09-01, 5, Inc_0-5, Hessen, 6, 0.7143, 7
2020-09-02, 4, Inc_0-5, Hessen, 6, 0.5714, 8
2020-09-03, 4, Inc_0-5, Hessen, 6, 0.5714, 8
