Meldedatum, difference, group, region, region_id, trend, value
2020-03-05, , Inc_0-5, Niedersachsen, 3, , 45
2020-03-06, , Inc_0-5, Niedersachsen, 3, , 45
2020-03-07, , Inc_0-5, Niedersachsen, 3, , 45
2020-03-08, , Inc_0-5, Niedersachsen, 3, , 45
2020-03-09, , Inc_0-5, Niedersachsen, 3, , 45
2020-03-10, , Inc_0-5, Niedersachsen, 3, , 45
2020-03-11, , Inc_0-5, Niedersachsen, 3, , 43
2020-03-12, -5, Inc_0-5, Niedersachsen, 3, -0.2778, 40
2020-03-13, -5, Inc_0-5, Niedersachsen, 3, -0.2778, 40
2020-03-14, -11, Inc_0-5, Niedersachsen, 3, -0.6111, 34
2020-03-15, -17, Inc_0-5, Niedersachsen, 3, -0.9444, 28
2020-03-16, -17, Inc_0-5, Niedersachsen, 3, -0.9444, 28
2020-03-17, -22, Inc_0-5, Niedersachsen, 3, -1.2222, 23
2020-03-18, -28, Inc_0-5, Niedersachsen, 3, -1.5556, 15
2020-03-19, -29, Inc_0-5, Niedersachsen, 3, -1.6111, 11
2020-03-20, -33, Inc_0-5, Niedersachsen, 3, -1.8333, 7
2020-03-21, -29, Inc_0-5, Niedersachsen, 3, -1.6111, 5
2020-03-22, -22, Inc_0-5, Niedersachsen, 3, -1.2222, 6
2020-03-23, -23, Inc_0-5, Niedersachsen, 3, -1.2778, 5
2020-03-24, -19, Inc_0-5, Niedersachsen, 3, -1.0556, 4
2020-03-25, -11, Inc_0-5, Niedersachsen, 3, -0.6111, 4
2020-03-26, -9, Inc_0-5, Niedersachsen, 3, -0.5, 2
2020-03-27, -5, Inc_0-5, Niedersachsen, 3, -0.2778, 2
2020-03-28, -3, Inc_0-5, Niedersachsen, 3, -0.1667, 2
2020-03-29, -4, Inc_0-5, Niedersachsen, 3, -0.2222, 2
2020-03-30, -2, Inc_0-5, Niedersachsen, 3, -0.1111, 3
2020-03-31, -2, Inc_0-5, Niedersachsen, 3, -0.1111, 2
2020-04-01, -2, Inc_0-5, Niedersachsen, 3, -0.1111, 2
2020-04-02, , Inc_0-5, Niedersachsen, 3, , 2
2020-04-03, , Inc_0-5, Niedersachsen, 3, , 2
2020-04-04, -1, Inc_0-5, Niedersachsen, 3, -0.0556, 1
2020-04-05, -1, Inc_0-5, Niedersachsen, 3, -0.0556, 1
2020-04-06, -2, Inc_0-5, Niedersachsen, 3, -0.1111, 1
2020-04-07, -1, Inc_0-5, Niedersachsen, 3, -0.0556, 1
2020-04-08, , Inc_0-5, Niedersachsen, 3, , 2
2020-04-09, -2, Inc_0-5, Niedersachsen, 3, -0.1111, 
2020-04-10, , Inc_0-5, Niedersachsen, 3, , 2
2020-04-11, 4, Inc_0-5, Niedersachsen, 3, 0.2667, 5
2020-04-12, 7, Inc_0-5, Niedersachsen, 3, 0.4667, 8
2020-04-13, 5, Inc_0-5, Niedersachsen, 3, 0.3333, 6
2020-04-14, 6, Inc_0-5, Niedersachsen, 3, 0.4, 7
2020-04-15, 10, Inc_0-5, Niedersachsen, 3, 0.6667, 12
2020-04-16, 12, Inc_0-5, Niedersachsen, 3, 0.8, 12
2020-04-17, 9, Inc_0-5, Niedersachsen, 3, 0.6, 11
2020-04-18, 6, Inc_0-5, Niedersachsen, 3, 0.4, 11
2020-04-19, 7, Inc_0-5, Niedersachsen, 3, 0.4667, 15
2020-04-20, 9, Inc_0-5, Niedersachsen, 3, 0.6, 15
2020-04-21, 7, Inc_0-5, Niedersachsen, 3, 0.4667, 14
2020-04-22, 3, Inc_0-5, Niedersachsen, 3, 0.2, 15
2020-04-23, 7, Inc_0-5, Niedersachsen, 3, 0.4667, 19
2020-04-24, 11, Inc_0-5, Niedersachsen, 3, 0.7333, 22
2020-04-25, 8, Inc_0-5, Niedersachsen, 3, 0.5333, 19
2020-04-26, 6, Inc_0-5, Niedersachsen, 3, 0.4, 21
2020-04-27, 6, Inc_0-5, Niedersachsen, 3, 0.4, 21
2020-04-28, 7, Inc_0-5, Niedersachsen, 3, 0.4667, 21
2020-04-29, 10, Inc_0-5, Niedersachsen, 3, 0.6667, 25
2020-04-30, 9, Inc_0-5, Niedersachsen, 3, 0.6, 28
2020-05-01, 8, Inc_0-5, Niedersachsen, 3, 0.5333, 30
2020-05-02, 11, Inc_0-5, Niedersachsen, 3, 0.7333, 30
2020-05-03, 9, Inc_0-5, Niedersachsen, 3, 0.6, 30
2020-05-04, 11, Inc_0-5, Niedersachsen, 3, 0.7333, 32
2020-05-05, 10, Inc_0-5, Niedersachsen, 3, 0.6667, 31
2020-05-06, 7, Inc_0-5, Niedersachsen, 3, 0.4667, 32
2020-05-07, 5, Inc_0-5, Niedersachsen, 3, 0.3333, 33
2020-05-08, 4, Inc_0-5, Niedersachsen, 3, 0.2667, 34
2020-05-09, 3, Inc_0-5, Niedersachsen, 3, 0.2, 33
2020-05-10, 2, Inc_0-5, Niedersachsen, 3, 0.1333, 32
2020-05-11, , Inc_0-5, Niedersachsen, 3, , 32
2020-05-12, 3, Inc_0-5, Niedersachsen, 3, 0.2, 34
2020-05-13, 1, Inc_0-5, Niedersachsen, 3, 0.0667, 33
2020-05-14, -1, Inc_0-5, Niedersachsen, 3, -0.0556, 32
2020-05-15, , Inc_0-5, Niedersachsen, 3, , 34
2020-05-16, 3, Inc_0-5, Niedersachsen, 3, 0.2, 36
2020-05-17, 5, Inc_0-5, Niedersachsen, 3, 0.3333, 37
2020-05-18, 5, Inc_0-5, Niedersachsen, 3, 0.3333, 37
2020-05-19, 5, Inc_0-5, Niedersachsen, 3, 0.3333, 39
2020-05-20, 5, Inc_0-5, Niedersachsen, 3, 0.3333, 38
2020-05-21, 3, Inc_0-5, Niedersachsen, 3, 0.2, 35
2020-05-22, , Inc_0-5, Niedersachsen, 3, , 34
2020-05-23, -2, Inc_0-5, Niedersachsen, 3, -0.1111, 34
2020-05-24, -4, Inc_0-5, Niedersachsen, 3, -0.2222, 33
2020-05-25, -4, Inc_0-5, Niedersachsen, 3, -0.2222, 33
2020-05-26, -6, Inc_0-5, Niedersachsen, 3, -0.3333, 33
2020-05-27, -5, Inc_0-5, Niedersachsen, 3, -0.2778, 33
2020-05-28, -4, Inc_0-5, Niedersachsen, 3, -0.2222, 31
2020-05-29, -1, Inc_0-5, Niedersachsen, 3, -0.0556, 33
2020-05-30, -1, Inc_0-5, Niedersachsen, 3, -0.0556, 33
2020-05-31, -2, Inc_0-5, Niedersachsen, 3, -0.1111, 31
2020-06-01, -1, Inc_0-5, Niedersachsen, 3, -0.0556, 32
2020-06-02, , Inc_0-5, Niedersachsen, 3, , 33
2020-06-03, 2, Inc_0-5, Niedersachsen, 3, 0.1333, 35
2020-06-04, 4, Inc_0-5, Niedersachsen, 3, 0.2667, 35
2020-06-05, 3, Inc_0-5, Niedersachsen, 3, 0.2, 36
2020-06-06, 2, Inc_0-5, Niedersachsen, 3, 0.1333, 35
2020-06-07, 3, Inc_0-5, Niedersachsen, 3, 0.2, 34
2020-06-08, 1, Inc_0-5, Niedersachsen, 3, 0.0667, 33
2020-06-09, -1, Inc_0-5, Niedersachsen, 3, -0.0556, 32
2020-06-10, -3, Inc_0-5, Niedersachsen, 3, -0.1667, 32
2020-06-11, -1, Inc_0-5, Niedersachsen, 3, -0.0556, 34
2020-06-12, -1, Inc_0-5, Niedersachsen, 3, -0.0556, 35
2020-06-13, 2, Inc_0-5, Niedersachsen, 3, 0.1333, 37
2020-06-14, 4, Inc_0-5, Niedersachsen, 3, 0.2667, 38
2020-06-15, 5, Inc_0-5, Niedersachsen, 3, 0.3333, 38
2020-06-16, 6, Inc_0-5, Niedersachsen, 3, 0.4, 38
2020-06-17, 7, Inc_0-5, Niedersachsen, 3, 0.4667, 39
2020-06-18, 5, Inc_0-5, Niedersachsen, 3, 0.3333, 39
2020-06-19, 4, Inc_0-5, Niedersachsen, 3, 0.2667, 39
2020-06-20, 2, Inc_0-5, Niedersachsen, 3, 0.1333, 39
2020-06-21, 2, Inc_0-5, Niedersachsen, 3, 0.1333, 40
2020-06-22, 2, Inc_0-5, Niedersachsen, 3, 0.1333, 40
2020-06-23, 2, Inc_0-5, Niedersachsen, 3, 0.1333, 40
2020-06-24, , Inc_0-5, Niedersachsen, 3, , 39
2020-06-25, 1, Inc_0-5, Niedersachsen, 3, 0.0667, 40
2020-06-26, 1, Inc_0-5, Niedersachsen, 3, 0.0667, 40
2020-06-27, 3, Inc_0-5, Niedersachsen, 3, 0.2, 42
2020-06-28, 2, Inc_0-5, Niedersachsen, 3, 0.1333, 42
2020-06-29, 2, Inc_0-5, Niedersachsen, 3, 0.1333, 42
2020-06-30, -1, Inc_0-5, Niedersachsen, 3, -0.0556, 39
2020-07-01, , Inc_0-5, Niedersachsen, 3, , 39
2020-07-02, -1, Inc_0-5, Niedersachsen, 3, -0.0556, 39
2020-07-03, , Inc_0-5, Niedersachsen, 3, , 40
2020-07-04, -4, Inc_0-5, Niedersachsen, 3, -0.2222, 38
2020-07-05, -3, Inc_0-5, Niedersachsen, 3, -0.1667, 39
2020-07-06, -2, Inc_0-5, Niedersachsen, 3, -0.1111, 40
2020-07-07, 1, Inc_0-5, Niedersachsen, 3, 0.0667, 40
2020-07-08, , Inc_0-5, Niedersachsen, 3, , 39
2020-07-09, 1, Inc_0-5, Niedersachsen, 3, 0.0667, 40
2020-07-10, -2, Inc_0-5, Niedersachsen, 3, -0.1111, 38
2020-07-11, 4, Inc_0-5, Niedersachsen, 3, 0.2667, 42
2020-07-12, 3, Inc_0-5, Niedersachsen, 3, 0.2, 42
2020-07-13, 4, Inc_0-5, Niedersachsen, 3, 0.2667, 44
2020-07-14, 3, Inc_0-5, Niedersachsen, 3, 0.2, 43
2020-07-15, 4, Inc_0-5, Niedersachsen, 3, 0.2667, 43
2020-07-16, 2, Inc_0-5, Niedersachsen, 3, 0.1333, 42
2020-07-17, 3, Inc_0-5, Niedersachsen, 3, 0.2, 41
2020-07-18, -1, Inc_0-5, Niedersachsen, 3, -0.0556, 41
