Meldedatum, difference, group, region, region_id, trend, value
2020-03-05, , Inc_0-5, Nordrhein-Westfalen, 5, , 52
2020-03-06, , Inc_0-5, Nordrhein-Westfalen, 5, , 51
2020-03-07, , Inc_0-5, Nordrhein-Westfalen, 5, , 50
2020-03-08, , Inc_0-5, Nordrhein-Westfalen, 5, , 50
2020-03-09, , Inc_0-5, Nordrhein-Westfalen, 5, , 50
2020-03-10, , Inc_0-5, Nordrhein-Westfalen, 5, , 50
2020-03-11, , Inc_0-5, Nordrhein-Westfalen, 5, , 49
2020-03-12, -4, Inc_0-5, Nordrhein-Westfalen, 5, -0.16, 48
2020-03-13, -8, Inc_0-5, Nordrhein-Westfalen, 5, -0.32, 43
2020-03-14, -19, Inc_0-5, Nordrhein-Westfalen, 5, -0.76, 31
2020-03-15, -24, Inc_0-5, Nordrhein-Westfalen, 5, -0.96, 26
2020-03-16, -26, Inc_0-5, Nordrhein-Westfalen, 5, -1.04, 24
2020-03-17, -39, Inc_0-5, Nordrhein-Westfalen, 5, -1.56, 11
2020-03-18, -43, Inc_0-5, Nordrhein-Westfalen, 5, -1.72, 6
2020-03-19, -46, Inc_0-5, Nordrhein-Westfalen, 5, -1.84, 2
2020-03-20, -42, Inc_0-5, Nordrhein-Westfalen, 5, -1.68, 1
2020-03-21, -31, Inc_0-5, Nordrhein-Westfalen, 5, -1.24, 
2020-03-22, -26, Inc_0-5, Nordrhein-Westfalen, 5, -1.04, 
2020-03-23, -24, Inc_0-5, Nordrhein-Westfalen, 5, -0.96, 
2020-03-24, -11, Inc_0-5, Nordrhein-Westfalen, 5, -0.44, 
2020-03-25, -6, Inc_0-5, Nordrhein-Westfalen, 5, -0.24, 
2020-03-26, -2, Inc_0-5, Nordrhein-Westfalen, 5, -0.08, 
2020-03-27, -1, Inc_0-5, Nordrhein-Westfalen, 5, -0.04, 
2020-03-28, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-03-29, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-03-30, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-03-31, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-01, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-02, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-03, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-04, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-05, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-06, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-07, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-08, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-09, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-10, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-11, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-12, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-13, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-14, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-15, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-16, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-17, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-18, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-19, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-20, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-21, , Inc_0-5, Nordrhein-Westfalen, 5, , 
2020-04-22, 1, Inc_0-5, Nordrhein-Westfalen, 5, 0.0588, 1
2020-04-23, 1, Inc_0-5, Nordrhein-Westfalen, 5, 0.0588, 1
2020-04-24, 1, Inc_0-5, Nordrhein-Westfalen, 5, 0.0588, 1
2020-04-25, 2, Inc_0-5, Nordrhein-Westfalen, 5, 0.1176, 2
2020-04-26, 3, Inc_0-5, Nordrhein-Westfalen, 5, 0.1765, 3
2020-04-27, 4, Inc_0-5, Nordrhein-Westfalen, 5, 0.2353, 4
2020-04-28, 6, Inc_0-5, Nordrhein-Westfalen, 5, 0.3529, 6
2020-04-29, 6, Inc_0-5, Nordrhein-Westfalen, 5, 0.3529, 7
2020-04-30, 9, Inc_0-5, Nordrhein-Westfalen, 5, 0.5294, 10
2020-05-01, 10, Inc_0-5, Nordrhein-Westfalen, 5, 0.5882, 11
2020-05-02, 10, Inc_0-5, Nordrhein-Westfalen, 5, 0.5882, 12
2020-05-03, 11, Inc_0-5, Nordrhein-Westfalen, 5, 0.6471, 14
2020-05-04, 11, Inc_0-5, Nordrhein-Westfalen, 5, 0.6471, 15
2020-05-05, 8, Inc_0-5, Nordrhein-Westfalen, 5, 0.4706, 14
2020-05-06, 8, Inc_0-5, Nordrhein-Westfalen, 5, 0.4706, 15
2020-05-07, 6, Inc_0-5, Nordrhein-Westfalen, 5, 0.3529, 16
2020-05-08, 8, Inc_0-5, Nordrhein-Westfalen, 5, 0.4706, 19
2020-05-09, 5, Inc_0-5, Nordrhein-Westfalen, 5, 0.2941, 17
2020-05-10, 2, Inc_0-5, Nordrhein-Westfalen, 5, 0.1176, 16
2020-05-11, 1, Inc_0-5, Nordrhein-Westfalen, 5, 0.0588, 16
2020-05-12, 1, Inc_0-5, Nordrhein-Westfalen, 5, 0.0588, 15
2020-05-13, 5, Inc_0-5, Nordrhein-Westfalen, 5, 0.2941, 20
2020-05-14, 6, Inc_0-5, Nordrhein-Westfalen, 5, 0.3529, 22
2020-05-15, 7, Inc_0-5, Nordrhein-Westfalen, 5, 0.4118, 26
2020-05-16, 4, Inc_0-5, Nordrhein-Westfalen, 5, 0.2353, 21
2020-05-17, 5, Inc_0-5, Nordrhein-Westfalen, 5, 0.2941, 21
2020-05-18, 9, Inc_0-5, Nordrhein-Westfalen, 5, 0.5294, 25
2020-05-19, 11, Inc_0-5, Nordrhein-Westfalen, 5, 0.6471, 26
2020-05-20, 10, Inc_0-5, Nordrhein-Westfalen, 5, 0.5882, 30
2020-05-21, 7, Inc_0-5, Nordrhein-Westfalen, 5, 0.4118, 29
2020-05-22, 9, Inc_0-5, Nordrhein-Westfalen, 5, 0.5294, 35
2020-05-23, 15, Inc_0-5, Nordrhein-Westfalen, 5, 0.8824, 36
2020-05-24, 14, Inc_0-5, Nordrhein-Westfalen, 5, 0.8235, 35
2020-05-25, 11, Inc_0-5, Nordrhein-Westfalen, 5, 0.6471, 36
2020-05-26, 10, Inc_0-5, Nordrhein-Westfalen, 5, 0.5882, 36
2020-05-27, 6, Inc_0-5, Nordrhein-Westfalen, 5, 0.3529, 36
2020-05-28, 7, Inc_0-5, Nordrhein-Westfalen, 5, 0.4118, 36
2020-05-29, 1, Inc_0-5, Nordrhein-Westfalen, 5, 0.0588, 36
2020-05-30, , Inc_0-5, Nordrhein-Westfalen, 5, , 36
2020-05-31, 2, Inc_0-5, Nordrhein-Westfalen, 5, 0.1176, 37
2020-06-01, , Inc_0-5, Nordrhein-Westfalen, 5, , 36
2020-06-02, 2, Inc_0-5, Nordrhein-Westfalen, 5, 0.1176, 38
2020-06-03, 4, Inc_0-5, Nordrhein-Westfalen, 5, 0.2353, 40
2020-06-04, 6, Inc_0-5, Nordrhein-Westfalen, 5, 0.3529, 42
2020-06-05, 6, Inc_0-5, Nordrhein-Westfalen, 5, 0.3529, 42
2020-06-06, 5, Inc_0-5, Nordrhein-Westfalen, 5, 0.2941, 41
2020-06-07, 2, Inc_0-5, Nordrhein-Westfalen, 5, 0.1176, 39
2020-06-08, 4, Inc_0-5, Nordrhein-Westfalen, 5, 0.2353, 40
