Meldedatum, difference, group, region, region_id, trend, value
2020-03-05, , Inc_100-200, Baden-Württemberg, 8, , 
2020-03-06, , Inc_100-200, Baden-Württemberg, 8, , 
2020-03-07, , Inc_100-200, Baden-Württemberg, 8, , 
2020-03-08, , Inc_100-200, Baden-Württemberg, 8, , 
2020-03-09, , Inc_100-200, Baden-Württemberg, 8, , 
2020-03-10, , Inc_100-200, Baden-Württemberg, 8, , 
2020-03-11, , Inc_100-200, Baden-Württemberg, 8, , 
2020-03-12, , Inc_100-200, Baden-Württemberg, 8, , 
2020-03-13, , Inc_100-200, Baden-Württemberg, 8, , 
2020-03-14, , Inc_100-200, Baden-Württemberg, 8, , 
2020-03-15, , Inc_100-200, Baden-Württemberg, 8, , 
2020-03-16, , Inc_100-200, Baden-Württemberg, 8, , 
2020-03-17, , Inc_100-200, Baden-Württemberg, 8, , 
2020-03-18, , Inc_100-200, Baden-Württemberg, 8, , 
2020-03-19, 1, Inc_100-200, Baden-Württemberg, 8, 0.0435, 1
2020-03-20, 1, Inc_100-200, Baden-Württemberg, 8, 0.0435, 1
2020-03-21, 1, Inc_100-200, Baden-Württemberg, 8, 0.0435, 1
2020-03-22, 1, Inc_100-200, Baden-Württemberg, 8, 0.0435, 1
2020-03-23, 1, Inc_100-200, Baden-Württemberg, 8, 0.0435, 1
2020-03-24, 1, Inc_100-200, Baden-Württemberg, 8, 0.0435, 1
2020-03-25, 2, Inc_100-200, Baden-Württemberg, 8, 0.087, 2
2020-03-26, 2, Inc_100-200, Baden-Württemberg, 8, 0.087, 3
2020-03-27, 2, Inc_100-200, Baden-Württemberg, 8, 0.087, 3
2020-03-28, 3, Inc_100-200, Baden-Württemberg, 8, 0.1304, 4
2020-03-29, 3, Inc_100-200, Baden-Württemberg, 8, 0.1304, 4
2020-03-30, 2, Inc_100-200, Baden-Württemberg, 8, 0.087, 3
2020-03-31, 2, Inc_100-200, Baden-Württemberg, 8, 0.087, 3
2020-04-01, 3, Inc_100-200, Baden-Württemberg, 8, 0.1304, 5
2020-04-02, 5, Inc_100-200, Baden-Württemberg, 8, 0.2174, 8
2020-04-03, 7, Inc_100-200, Baden-Württemberg, 8, 0.3043, 10
2020-04-04, 6, Inc_100-200, Baden-Württemberg, 8, 0.2609, 10
2020-04-05, 5, Inc_100-200, Baden-Württemberg, 8, 0.2174, 9
2020-04-06, 6, Inc_100-200, Baden-Württemberg, 8, 0.2609, 9
2020-04-07, 5, Inc_100-200, Baden-Württemberg, 8, 0.2174, 8
2020-04-08, 1, Inc_100-200, Baden-Württemberg, 8, 0.0435, 6
2020-04-09, -3, Inc_100-200, Baden-Württemberg, 8, -0.1429, 5
2020-04-10, -7, Inc_100-200, Baden-Württemberg, 8, -0.3333, 3
2020-04-11, -8, Inc_100-200, Baden-Württemberg, 8, -0.381, 2
2020-04-12, -6, Inc_100-200, Baden-Württemberg, 8, -0.2857, 3
2020-04-13, -6, Inc_100-200, Baden-Württemberg, 8, -0.2857, 3
2020-04-14, -4, Inc_100-200, Baden-Württemberg, 8, -0.1905, 4
2020-04-15, -3, Inc_100-200, Baden-Württemberg, 8, -0.1429, 3
2020-04-16, -2, Inc_100-200, Baden-Württemberg, 8, -0.0952, 3
2020-04-17, -1, Inc_100-200, Baden-Württemberg, 8, -0.0476, 2
2020-04-18, , Inc_100-200, Baden-Württemberg, 8, , 2
2020-04-19, -2, Inc_100-200, Baden-Württemberg, 8, -0.0952, 1
2020-04-20, -3, Inc_100-200, Baden-Württemberg, 8, -0.1429, 
2020-04-21, -4, Inc_100-200, Baden-Württemberg, 8, -0.1905, 
2020-04-22, -3, Inc_100-200, Baden-Württemberg, 8, -0.1429, 
2020-04-23, -3, Inc_100-200, Baden-Württemberg, 8, -0.1429, 
2020-04-24, -2, Inc_100-200, Baden-Württemberg, 8, -0.0952, 
2020-04-25, -2, Inc_100-200, Baden-Württemberg, 8, -0.0952, 
2020-04-26, -1, Inc_100-200, Baden-Württemberg, 8, -0.0476, 
2020-04-27, , Inc_100-200, Baden-Württemberg, 8, , 
2020-04-28, , Inc_100-200, Baden-Württemberg, 8, , 
2020-04-29, , Inc_100-200, Baden-Württemberg, 8, , 
2020-04-30, , Inc_100-200, Baden-Württemberg, 8, , 
2020-05-01, , Inc_100-200, Baden-Württemberg, 8, , 
2020-05-02, , Inc_100-200, Baden-Württemberg, 8, , 
