Meldedatum, difference, group, region, region_id, trend, value
2020-03-05, , Inc_200+, Berlin, 11, , 
2020-03-06, , Inc_200+, Berlin, 11, , 
2020-03-07, , Inc_200+, Berlin, 11, , 
2020-03-08, , Inc_200+, Berlin, 11, , 
2020-03-09, , Inc_200+, Berlin, 11, , 
2020-03-10, , Inc_200+, Berlin, 11, , 
2020-03-11, , Inc_200+, Berlin, 11, , 
2020-03-12, , Inc_200+, Berlin, 11, , 
2020-03-13, , Inc_200+, Berlin, 11, , 
2020-03-14, , Inc_200+, Berlin, 11, , 
2020-03-15, , Inc_200+, Berlin, 11, , 
2020-03-16, , Inc_200+, Berlin, 11, , 
2020-03-17, , Inc_200+, Berlin, 11, , 
2020-03-18, , Inc_200+, Berlin, 11, , 
2020-03-19, , Inc_200+, Berlin, 11, , 
2020-03-20, , Inc_200+, Berlin, 11, , 
2020-03-21, , Inc_200+, Berlin, 11, , 
2020-03-22, , Inc_200+, Berlin, 11, , 
2020-03-23, , Inc_200+, Berlin, 11, , 
2020-03-24, , Inc_200+, Berlin, 11, , 
2020-03-25, , Inc_200+, Berlin, 11, , 
2020-03-26, , Inc_200+, Berlin, 11, , 
2020-03-27, , Inc_200+, Berlin, 11, , 
2020-03-28, , Inc_200+, Berlin, 11, , 
2020-03-29, , Inc_200+, Berlin, 11, , 
2020-03-30, , Inc_200+, Berlin, 11, , 
2020-03-31, , Inc_200+, Berlin, 11, , 
2020-04-01, , Inc_200+, Berlin, 11, , 
2020-04-02, , Inc_200+, Berlin, 11, , 
2020-04-03, , Inc_200+, Berlin, 11, , 
2020-04-04, , Inc_200+, Berlin, 11, , 
2020-04-05, , Inc_200+, Berlin, 11, , 
2020-04-06, , Inc_200+, Berlin, 11, , 
2020-04-07, , Inc_200+, Berlin, 11, , 
2020-04-08, , Inc_200+, Berlin, 11, , 
2020-04-09, , Inc_200+, Berlin, 11, , 
2020-04-10, , Inc_200+, Berlin, 11, , 
2020-04-11, , Inc_200+, Berlin, 11, , 
2020-04-12, , Inc_200+, Berlin, 11, , 
2020-04-13, , Inc_200+, Berlin, 11, , 
2020-04-14, , Inc_200+, Berlin, 11, , 
2020-04-15, , Inc_200+, Berlin, 11, , 
2020-04-16, , Inc_200+, Berlin, 11, , 
2020-04-17, , Inc_200+, Berlin, 11, , 
2020-04-18, , Inc_200+, Berlin, 11, , 
2020-04-19, , Inc_200+, Berlin, 11, , 
2020-04-20, , Inc_200+, Berlin, 11, , 
2020-04-21, , Inc_200+, Berlin, 11, , 
2020-04-22, , Inc_200+, Berlin, 11, , 
2020-04-23, , Inc_200+, Berlin, 11, , 
2020-04-24, , Inc_200+, Berlin, 11, , 
2020-04-25, , Inc_200+, Berlin, 11, , 
2020-04-26, , Inc_200+, Berlin, 11, , 
2020-04-27, , Inc_200+, Berlin, 11, , 
2020-04-28, , Inc_200+, Berlin, 11, , 
2020-04-29, , Inc_200+, Berlin, 11, , 
2020-04-30, , Inc_200+, Berlin, 11, , 
2020-05-01, , Inc_200+, Berlin, 11, , 
2020-05-02, , Inc_200+, Berlin, 11, , 
2020-05-03, , Inc_200+, Berlin, 11, , 
2020-05-04, , Inc_200+, Berlin, 11, , 
2020-05-05, , Inc_200+, Berlin, 11, , 
2020-05-06, , Inc_200+, Berlin, 11, , 
2020-05-07, , Inc_200+, Berlin, 11, , 
2020-05-08, , Inc_200+, Berlin, 11, , 
2020-05-09, , Inc_200+, Berlin, 11, , 
2020-05-10, , Inc_200+, Berlin, 11, , 
2020-05-11, , Inc_200+, Berlin, 11, , 
2020-05-12, , Inc_200+, Berlin, 11, , 
2020-05-13, , Inc_200+, Berlin, 11, , 
2020-05-14, , Inc_200+, Berlin, 11, , 
2020-05-15, , Inc_200+, Berlin, 11, , 
2020-05-16, , Inc_200+, Berlin, 11, , 
2020-05-17, , Inc_200+, Berlin, 11, , 
2020-05-18, , Inc_200+, Berlin, 11, , 
2020-05-19, , Inc_200+, Berlin, 11, , 
2020-05-20, , Inc_200+, Berlin, 11, , 
2020-05-21, , Inc_200+, Berlin, 11, , 
2020-05-22, , Inc_200+, Berlin, 11, , 
2020-05-23, , Inc_200+, Berlin, 11, , 
2020-05-24, , Inc_200+, Berlin, 11, , 
2020-05-25, , Inc_200+, Berlin, 11, , 
2020-05-26, , Inc_200+, Berlin, 11, , 
2020-05-27, , Inc_200+, Berlin, 11, , 
2020-05-28, , Inc_200+, Berlin, 11, , 
2020-05-29, , Inc_200+, Berlin, 11, , 
2020-05-30, , Inc_200+, Berlin, 11, , 
2020-05-31, , Inc_200+, Berlin, 11, , 
2020-06-01, , Inc_200+, Berlin, 11, , 
2020-06-02, , Inc_200+, Berlin, 11, , 
2020-06-03, , Inc_200+, Berlin, 11, , 
2020-06-04, , Inc_200+, Berlin, 11, , 
2020-06-05, , Inc_200+, Berlin, 11, , 
2020-06-06, , Inc_200+, Berlin, 11, , 
2020-06-07, , Inc_200+, Berlin, 11, , 
2020-06-08, , Inc_200+, Berlin, 11, , 
2020-06-09, , Inc_200+, Berlin, 11, , 
2020-06-10, , Inc_200+, Berlin, 11, , 
2020-06-11, , Inc_200+, Berlin, 11, , 
2020-06-12, , Inc_200+, Berlin, 11, , 
2020-06-13, , Inc_200+, Berlin, 11, , 
2020-06-14, , Inc_200+, Berlin, 11, , 
2020-06-15, , Inc_200+, Berlin, 11, , 
2020-06-16, , Inc_200+, Berlin, 11, , 
2020-06-17, , Inc_200+, Berlin, 11, , 
2020-06-18, , Inc_200+, Berlin, 11, , 
2020-06-19, , Inc_200+, Berlin, 11, , 
2020-06-20, , Inc_200+, Berlin, 11, , 
2020-06-21, , Inc_200+, Berlin, 11, , 
2020-06-22, , Inc_200+, Berlin, 11, , 
2020-06-23, , Inc_200+, Berlin, 11, , 
2020-06-24, , Inc_200+, Berlin, 11, , 
2020-06-25, , Inc_200+, Berlin, 11, , 
2020-06-26, , Inc_200+, Berlin, 11, , 
2020-06-27, , Inc_200+, Berlin, 11, , 
2020-06-28, , Inc_200+, Berlin, 11, , 
2020-06-29, , Inc_200+, Berlin, 11, , 
2020-06-30, , Inc_200+, Berlin, 11, , 
2020-07-01, , Inc_200+, Berlin, 11, , 
2020-07-02, , Inc_200+, Berlin, 11, , 
2020-07-03, , Inc_200+, Berlin, 11, , 
2020-07-04, , Inc_200+, Berlin, 11, , 
2020-07-05, , Inc_200+, Berlin, 11, , 
2020-07-06, , Inc_200+, Berlin, 11, , 
2020-07-07, , Inc_200+, Berlin, 11, , 
2020-07-08, , Inc_200+, Berlin, 11, , 
2020-07-09, , Inc_200+, Berlin, 11, , 
2020-07-10, , Inc_200+, Berlin, 11, , 
2020-07-11, , Inc_200+, Berlin, 11, , 
2020-07-12, , Inc_200+, Berlin, 11, , 
2020-07-13, , Inc_200+, Berlin, 11, , 
2020-07-14, , Inc_200+, Berlin, 11, , 
2020-07-15, , Inc_200+, Berlin, 11, , 
2020-07-16, , Inc_200+, Berlin, 11, , 
2020-07-17, , Inc_200+, Berlin, 11, , 
2020-07-18, , Inc_200+, Berlin, 11, , 
2020-07-19, , Inc_200+, Berlin, 11, , 
2020-07-20, , Inc_200+, Berlin, 11, , 
2020-07-21, , Inc_200+, Berlin, 11, , 
2020-07-22, , Inc_200+, Berlin, 11, , 
2020-07-23, , Inc_200+, Berlin, 11, , 
2020-07-24, , Inc_200+, Berlin, 11, , 
2020-07-25, , Inc_200+, Berlin, 11, , 
2020-07-26, , Inc_200+, Berlin, 11, , 
2020-07-27, , Inc_200+, Berlin, 11, , 
2020-07-28, , Inc_200+, Berlin, 11, , 
2020-07-29, , Inc_200+, Berlin, 11, , 
2020-07-30, , Inc_200+, Berlin, 11, , 
2020-07-31, , Inc_200+, Berlin, 11, , 
2020-08-01, , Inc_200+, Berlin, 11, , 
2020-08-02, , Inc_200+, Berlin, 11, , 
2020-08-03, , Inc_200+, Berlin, 11, , 
2020-08-04, , Inc_200+, Berlin, 11, , 
2020-08-05, , Inc_200+, Berlin, 11, , 
2020-08-06, , Inc_200+, Berlin, 11, , 
2020-08-07, , Inc_200+, Berlin, 11, , 
2020-08-08, , Inc_200+, Berlin, 11, , 
2020-08-09, , Inc_200+, Berlin, 11, , 
2020-08-10, , Inc_200+, Berlin, 11, , 
2020-08-11, , Inc_200+, Berlin, 11, , 
2020-08-12, , Inc_200+, Berlin, 11, , 
2020-08-13, , Inc_200+, Berlin, 11, , 
2020-08-14, , Inc_200+, Berlin, 11, , 
2020-08-15, , Inc_200+, Berlin, 11, , 
2020-08-16, , Inc_200+, Berlin, 11, , 
2020-08-17, , Inc_200+, Berlin, 11, , 
2020-08-18, , Inc_200+, Berlin, 11, , 
2020-08-19, , Inc_200+, Berlin, 11, , 
2020-08-20, , Inc_200+, Berlin, 11, , 
2020-08-21, , Inc_200+, Berlin, 11, , 
2020-08-22, , Inc_200+, Berlin, 11, , 
2020-08-23, , Inc_200+, Berlin, 11, , 
2020-08-24, , Inc_200+, Berlin, 11, , 
2020-08-25, , Inc_200+, Berlin, 11, , 
2020-08-26, , Inc_200+, Berlin, 11, , 
2020-08-27, , Inc_200+, Berlin, 11, , 
2020-08-28, , Inc_200+, Berlin, 11, , 
2020-08-29, , Inc_200+, Berlin, 11, , 
2020-08-30, , Inc_200+, Berlin, 11, , 
2020-08-31, , Inc_200+, Berlin, 11, , 
2020-09-01, , Inc_200+, Berlin, 11, , 
2020-09-02, , Inc_200+, Berlin, 11, , 
2020-09-03, , Inc_200+, Berlin, 11, , 
2020-09-04, , Inc_200+, Berlin, 11, , 
2020-09-05, , Inc_200+, Berlin, 11, , 
2020-09-06, , Inc_200+, Berlin, 11, , 
2020-09-07, , Inc_200+, Berlin, 11, , 
2020-09-08, , Inc_200+, Berlin, 11, , 
2020-09-09, , Inc_200+, Berlin, 11, , 
2020-09-10, , Inc_200+, Berlin, 11, , 
2020-09-11, , Inc_200+, Berlin, 11, , 
2020-09-12, , Inc_200+, Berlin, 11, , 
2020-09-13, , Inc_200+, Berlin, 11, , 
2020-09-14, , Inc_200+, Berlin, 11, , 
2020-09-15, , Inc_200+, Berlin, 11, , 
2020-09-16, , Inc_200+, Berlin, 11, , 
2020-09-17, , Inc_200+, Berlin, 11, , 
2020-09-18, , Inc_200+, Berlin, 11, , 
2020-09-19, , Inc_200+, Berlin, 11, , 
2020-09-20, , Inc_200+, Berlin, 11, , 
2020-09-21, , Inc_200+, Berlin, 11, , 
2020-09-22, , Inc_200+, Berlin, 11, , 
2020-09-23, , Inc_200+, Berlin, 11, , 
2020-09-24, , Inc_200+, Berlin, 11, , 
2020-09-25, , Inc_200+, Berlin, 11, , 
2020-09-26, , Inc_200+, Berlin, 11, , 
2020-09-27, , Inc_200+, Berlin, 11, , 
2020-09-28, , Inc_200+, Berlin, 11, , 
2020-09-29, , Inc_200+, Berlin, 11, , 
2020-09-30, , Inc_200+, Berlin, 11, , 
2020-10-01, , Inc_200+, Berlin, 11, , 
2020-10-02, , Inc_200+, Berlin, 11, , 
2020-10-03, , Inc_200+, Berlin, 11, , 
2020-10-04, , Inc_200+, Berlin, 11, , 
2020-10-05, , Inc_200+, Berlin, 11, , 
2020-10-06, , Inc_200+, Berlin, 11, , 
2020-10-07, , Inc_200+, Berlin, 11, , 
2020-10-08, , Inc_200+, Berlin, 11, , 
2020-10-09, , Inc_200+, Berlin, 11, , 
2020-10-10, , Inc_200+, Berlin, 11, , 
2020-10-11, , Inc_200+, Berlin, 11, , 
2020-10-12, , Inc_200+, Berlin, 11, , 
2020-10-13, , Inc_200+, Berlin, 11, , 
2020-10-14, , Inc_200+, Berlin, 11, , 
2020-10-15, , Inc_200+, Berlin, 11, , 
2020-10-16, , Inc_200+, Berlin, 11, , 
2020-10-17, , Inc_200+, Berlin, 11, , 
2020-10-18, , Inc_200+, Berlin, 11, , 
2020-10-19, , Inc_200+, Berlin, 11, , 
2020-10-20, , Inc_200+, Berlin, 11, , 
2020-10-21, 1, Inc_200+, Berlin, 11, 0.1667, 1
2020-10-22, 1, Inc_200+, Berlin, 11, 0.1667, 1
2020-10-23, 2, Inc_200+, Berlin, 11, 0.3333, 2
2020-10-24, 2, Inc_200+, Berlin, 11, 0.3333, 2
2020-10-25, 2, Inc_200+, Berlin, 11, 0.3333, 2
2020-10-26, 2, Inc_200+, Berlin, 11, 0.3333, 2
