Meldedatum, difference, group, region, region_id, trend, value
2020-03-05, , Inc_5-50, Sachsen-Anhalt, 15, , 
2020-03-06, , Inc_5-50, Sachsen-Anhalt, 15, , 
2020-03-07, , Inc_5-50, Sachsen-Anhalt, 15, , 
2020-03-08, , Inc_5-50, Sachsen-Anhalt, 15, , 
2020-03-09, , Inc_5-50, Sachsen-Anhalt, 15, , 
2020-03-10, , Inc_5-50, Sachsen-Anhalt, 15, , 
2020-03-11, , Inc_5-50, Sachsen-Anhalt, 15, , 
2020-03-12, , Inc_5-50, Sachsen-Anhalt, 15, , 
2020-03-13, , Inc_5-50, Sachsen-Anhalt, 15, , 
2020-03-14, 1, Inc_5-50, Sachsen-Anhalt, 15, 0.1, 1
2020-03-15, 1, Inc_5-50, Sachsen-Anhalt, 15, 0.1, 1
2020-03-16, 1, Inc_5-50, Sachsen-Anhalt, 15, 0.1, 1
2020-03-17, 3, Inc_5-50, Sachsen-Anhalt, 15, 0.3, 3
2020-03-18, 3, Inc_5-50, Sachsen-Anhalt, 15, 0.3, 3
2020-03-19, 4, Inc_5-50, Sachsen-Anhalt, 15, 0.4, 4
2020-03-20, 9, Inc_5-50, Sachsen-Anhalt, 15, 0.9, 9
2020-03-21, 9, Inc_5-50, Sachsen-Anhalt, 15, 0.9, 10
2020-03-22, 10, Inc_5-50, Sachsen-Anhalt, 15, 1, 11
2020-03-23, 10, Inc_5-50, Sachsen-Anhalt, 15, 1, 11
2020-03-24, 11, Inc_5-50, Sachsen-Anhalt, 15, 1.1, 14
2020-03-25, 11, Inc_5-50, Sachsen-Anhalt, 15, 1.1, 14
2020-03-26, 10, Inc_5-50, Sachsen-Anhalt, 15, 1, 14
2020-03-27, 5, Inc_5-50, Sachsen-Anhalt, 15, 0.5, 14
2020-03-28, 4, Inc_5-50, Sachsen-Anhalt, 15, 0.4, 14
2020-03-29, 2, Inc_5-50, Sachsen-Anhalt, 15, 0.2, 13
2020-03-30, 2, Inc_5-50, Sachsen-Anhalt, 15, 0.2, 13
