Meldedatum, difference, group, region, region_id, trend, value
2020-03-05, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-03-06, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-03-07, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-03-08, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-03-09, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-03-10, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-03-11, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-03-12, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-03-13, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-03-14, 1, Inc_5-50, Schleswig-Holstein, 1, 0.125, 1
2020-03-15, 2, Inc_5-50, Schleswig-Holstein, 1, 0.25, 2
2020-03-16, 4, Inc_5-50, Schleswig-Holstein, 1, 0.5, 4
2020-03-17, 5, Inc_5-50, Schleswig-Holstein, 1, 0.625, 5
2020-03-18, 7, Inc_5-50, Schleswig-Holstein, 1, 0.875, 7
2020-03-19, 12, Inc_5-50, Schleswig-Holstein, 1, 1.5, 12
2020-03-20, 14, Inc_5-50, Schleswig-Holstein, 1, 1.75, 14
2020-03-21, 13, Inc_5-50, Schleswig-Holstein, 1, 1.625, 14
2020-03-22, 13, Inc_5-50, Schleswig-Holstein, 1, 1.625, 15
2020-03-23, 10, Inc_5-50, Schleswig-Holstein, 1, 1.25, 14
2020-03-24, 10, Inc_5-50, Schleswig-Holstein, 1, 1.25, 15
2020-03-25, 8, Inc_5-50, Schleswig-Holstein, 1, 1, 15
2020-03-26, 3, Inc_5-50, Schleswig-Holstein, 1, 0.375, 15
2020-03-27, 1, Inc_5-50, Schleswig-Holstein, 1, 0.125, 15
2020-03-28, 1, Inc_5-50, Schleswig-Holstein, 1, 0.125, 15
2020-03-29, , Inc_5-50, Schleswig-Holstein, 1, , 15
2020-03-30, 1, Inc_5-50, Schleswig-Holstein, 1, 0.125, 15
2020-03-31, , Inc_5-50, Schleswig-Holstein, 1, , 15
2020-04-01, , Inc_5-50, Schleswig-Holstein, 1, , 15
2020-04-02, , Inc_5-50, Schleswig-Holstein, 1, , 15
2020-04-03, , Inc_5-50, Schleswig-Holstein, 1, , 15
2020-04-04, , Inc_5-50, Schleswig-Holstein, 1, , 15
2020-04-05, , Inc_5-50, Schleswig-Holstein, 1, , 15
2020-04-06, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 14
2020-04-07, , Inc_5-50, Schleswig-Holstein, 1, , 15
2020-04-08, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 14
2020-04-09, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 14
2020-04-10, -2, Inc_5-50, Schleswig-Holstein, 1, -0.2857, 13
2020-04-11, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 14
2020-04-12, -2, Inc_5-50, Schleswig-Holstein, 1, -0.2857, 13
2020-04-13, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 13
2020-04-14, -2, Inc_5-50, Schleswig-Holstein, 1, -0.2857, 13
2020-04-15, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 13
2020-04-16, -4, Inc_5-50, Schleswig-Holstein, 1, -0.5714, 10
2020-04-17, -4, Inc_5-50, Schleswig-Holstein, 1, -0.5714, 9
2020-04-18, -5, Inc_5-50, Schleswig-Holstein, 1, -0.7143, 9
2020-04-19, -5, Inc_5-50, Schleswig-Holstein, 1, -0.7143, 8
2020-04-20, -5, Inc_5-50, Schleswig-Holstein, 1, -0.7143, 8
2020-04-21, -6, Inc_5-50, Schleswig-Holstein, 1, -0.8571, 7
2020-04-22, -7, Inc_5-50, Schleswig-Holstein, 1, -1, 6
2020-04-23, -3, Inc_5-50, Schleswig-Holstein, 1, -0.4286, 7
2020-04-24, -2, Inc_5-50, Schleswig-Holstein, 1, -0.2857, 7
2020-04-25, -2, Inc_5-50, Schleswig-Holstein, 1, -0.2857, 7
2020-04-26, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 7
2020-04-27, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 7
2020-04-28, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 6
2020-04-29, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 5
2020-04-30, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 6
2020-05-01, -2, Inc_5-50, Schleswig-Holstein, 1, -0.2857, 5
2020-05-02, -5, Inc_5-50, Schleswig-Holstein, 1, -0.7143, 2
2020-05-03, -5, Inc_5-50, Schleswig-Holstein, 1, -0.7143, 2
2020-05-04, -4, Inc_5-50, Schleswig-Holstein, 1, -0.5714, 3
2020-05-05, -2, Inc_5-50, Schleswig-Holstein, 1, -0.2857, 4
2020-05-06, -2, Inc_5-50, Schleswig-Holstein, 1, -0.2857, 3
2020-05-07, -4, Inc_5-50, Schleswig-Holstein, 1, -0.5714, 2
2020-05-08, -2, Inc_5-50, Schleswig-Holstein, 1, -0.2857, 3
2020-05-09, 1, Inc_5-50, Schleswig-Holstein, 1, 0.125, 3
2020-05-10, 1, Inc_5-50, Schleswig-Holstein, 1, 0.125, 3
2020-05-11, 1, Inc_5-50, Schleswig-Holstein, 1, 0.125, 4
2020-05-12, , Inc_5-50, Schleswig-Holstein, 1, , 4
2020-05-13, 1, Inc_5-50, Schleswig-Holstein, 1, 0.125, 4
2020-05-14, 2, Inc_5-50, Schleswig-Holstein, 1, 0.25, 4
2020-05-15, 1, Inc_5-50, Schleswig-Holstein, 1, 0.125, 4
2020-05-16, , Inc_5-50, Schleswig-Holstein, 1, , 3
2020-05-17, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 2
2020-05-18, -3, Inc_5-50, Schleswig-Holstein, 1, -0.4286, 1
2020-05-19, -3, Inc_5-50, Schleswig-Holstein, 1, -0.4286, 1
2020-05-20, -4, Inc_5-50, Schleswig-Holstein, 1, -0.5714, 
2020-05-21, -3, Inc_5-50, Schleswig-Holstein, 1, -0.4286, 1
2020-05-22, -2, Inc_5-50, Schleswig-Holstein, 1, -0.2857, 2
2020-05-23, , Inc_5-50, Schleswig-Holstein, 1, , 3
2020-05-24, 1, Inc_5-50, Schleswig-Holstein, 1, 0.125, 3
2020-05-25, 2, Inc_5-50, Schleswig-Holstein, 1, 0.25, 3
2020-05-26, 2, Inc_5-50, Schleswig-Holstein, 1, 0.25, 3
2020-05-27, 3, Inc_5-50, Schleswig-Holstein, 1, 0.375, 3
2020-05-28, 1, Inc_5-50, Schleswig-Holstein, 1, 0.125, 2
2020-05-29, -2, Inc_5-50, Schleswig-Holstein, 1, -0.2857, 
2020-05-30, -3, Inc_5-50, Schleswig-Holstein, 1, -0.4286, 
2020-05-31, -3, Inc_5-50, Schleswig-Holstein, 1, -0.4286, 
2020-06-01, -3, Inc_5-50, Schleswig-Holstein, 1, -0.4286, 
2020-06-02, -2, Inc_5-50, Schleswig-Holstein, 1, -0.2857, 1
2020-06-03, -2, Inc_5-50, Schleswig-Holstein, 1, -0.2857, 1
2020-06-04, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 1
2020-06-05, 1, Inc_5-50, Schleswig-Holstein, 1, 0.125, 1
2020-06-06, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-06-07, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-06-08, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-06-09, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 
2020-06-10, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 
2020-06-11, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 
2020-06-12, -1, Inc_5-50, Schleswig-Holstein, 1, -0.1429, 
2020-06-13, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-06-14, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-06-15, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-06-16, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-06-17, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-06-18, , Inc_5-50, Schleswig-Holstein, 1, , 
2020-06-19, 1, Inc_5-50, Schleswig-Holstein, 1, 0.125, 1
