Meldedatum, difference, group, region, region_id, trend, value
2020-03-05, , Inc_50-100, Bayern, 9, , 
2020-03-06, , Inc_50-100, Bayern, 9, , 
2020-03-07, , Inc_50-100, Bayern, 9, , 
2020-03-08, , Inc_50-100, Bayern, 9, , 
2020-03-09, , Inc_50-100, Bayern, 9, , 
2020-03-10, , Inc_50-100, Bayern, 9, , 
2020-03-11, , Inc_50-100, Bayern, 9, , 
2020-03-12, , Inc_50-100, Bayern, 9, , 
2020-03-13, , Inc_50-100, Bayern, 9, , 
2020-03-14, , Inc_50-100, Bayern, 9, , 
2020-03-15, , Inc_50-100, Bayern, 9, , 
2020-03-16, , Inc_50-100, Bayern, 9, , 
2020-03-17, , Inc_50-100, Bayern, 9, , 
2020-03-18, 1, Inc_50-100, Bayern, 9, 0.0263, 1
2020-03-19, 1, Inc_50-100, Bayern, 9, 0.0263, 1
2020-03-20, 4, Inc_50-100, Bayern, 9, 0.1053, 4
2020-03-21, 6, Inc_50-100, Bayern, 9, 0.1579, 6
2020-03-22, 14, Inc_50-100, Bayern, 9, 0.3684, 14
2020-03-23, 15, Inc_50-100, Bayern, 9, 0.3947, 15
2020-03-24, 16, Inc_50-100, Bayern, 9, 0.4211, 16
2020-03-25, 21, Inc_50-100, Bayern, 9, 0.5526, 22
2020-03-26, 29, Inc_50-100, Bayern, 9, 0.7632, 30
2020-03-27, 33, Inc_50-100, Bayern, 9, 0.8684, 37
2020-03-28, 32, Inc_50-100, Bayern, 9, 0.8421, 38
2020-03-29, 29, Inc_50-100, Bayern, 9, 0.7632, 43
2020-03-30, 34, Inc_50-100, Bayern, 9, 0.8947, 49
2020-03-31, 30, Inc_50-100, Bayern, 9, 0.7895, 46
2020-04-01, 28, Inc_50-100, Bayern, 9, 0.7368, 50
2020-04-02, 19, Inc_50-100, Bayern, 9, 0.5, 49
2020-04-03, 7, Inc_50-100, Bayern, 9, 0.1842, 44
2020-04-04, 6, Inc_50-100, Bayern, 9, 0.1579, 44
2020-04-05, 8, Inc_50-100, Bayern, 9, 0.2105, 51
2020-04-06, 1, Inc_50-100, Bayern, 9, 0.0263, 50
2020-04-07, -1, Inc_50-100, Bayern, 9, -0.0278, 45
2020-04-08, -6, Inc_50-100, Bayern, 9, -0.1667, 44
2020-04-09, , Inc_50-100, Bayern, 9, , 49
2020-04-10, 3, Inc_50-100, Bayern, 9, 0.0789, 47
2020-04-11, -3, Inc_50-100, Bayern, 9, -0.0833, 41
2020-04-12, -22, Inc_50-100, Bayern, 9, -0.6111, 29
2020-04-13, -21, Inc_50-100, Bayern, 9, -0.5833, 29
2020-04-14, -17, Inc_50-100, Bayern, 9, -0.4722, 28
2020-04-15, -21, Inc_50-100, Bayern, 9, -0.5833, 23
2020-04-16, -27, Inc_50-100, Bayern, 9, -0.75, 22
2020-04-17, -29, Inc_50-100, Bayern, 9, -0.8056, 18
2020-04-18, -21, Inc_50-100, Bayern, 9, -0.5833, 20
2020-04-19, -15, Inc_50-100, Bayern, 9, -0.4167, 14
2020-04-20, -17, Inc_50-100, Bayern, 9, -0.4722, 12
2020-04-21, -19, Inc_50-100, Bayern, 9, -0.5278, 9
2020-04-22, -11, Inc_50-100, Bayern, 9, -0.3056, 12
2020-04-23, -9, Inc_50-100, Bayern, 9, -0.25, 13
2020-04-24, -7, Inc_50-100, Bayern, 9, -0.1944, 11
2020-04-25, -11, Inc_50-100, Bayern, 9, -0.3056, 9
2020-04-26, -5, Inc_50-100, Bayern, 9, -0.1389, 9
2020-04-27, -6, Inc_50-100, Bayern, 9, -0.1667, 6
2020-04-28, -4, Inc_50-100, Bayern, 9, -0.1111, 5
2020-04-29, -8, Inc_50-100, Bayern, 9, -0.2222, 4
2020-04-30, -9, Inc_50-100, Bayern, 9, -0.25, 4
2020-05-01, -8, Inc_50-100, Bayern, 9, -0.2222, 3
