Meldedatum, difference, group, region, region_id, trend, value
2020-03-05, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-03-06, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-03-07, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-03-08, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-03-09, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-03-10, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-03-11, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-03-12, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-03-13, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-03-14, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-03-15, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-03-16, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-03-17, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-03-18, 1, Inc_50-100, Rheinland-Pfalz, 7, 0.0625, 1
2020-03-19, 1, Inc_50-100, Rheinland-Pfalz, 7, 0.0625, 1
2020-03-20, 1, Inc_50-100, Rheinland-Pfalz, 7, 0.0625, 1
2020-03-21, 1, Inc_50-100, Rheinland-Pfalz, 7, 0.0625, 1
2020-03-22, 2, Inc_50-100, Rheinland-Pfalz, 7, 0.125, 2
2020-03-23, 1, Inc_50-100, Rheinland-Pfalz, 7, 0.0625, 1
2020-03-24, 3, Inc_50-100, Rheinland-Pfalz, 7, 0.1875, 3
2020-03-25, 2, Inc_50-100, Rheinland-Pfalz, 7, 0.125, 3
2020-03-26, 3, Inc_50-100, Rheinland-Pfalz, 7, 0.1875, 4
2020-03-27, 3, Inc_50-100, Rheinland-Pfalz, 7, 0.1875, 4
2020-03-28, 3, Inc_50-100, Rheinland-Pfalz, 7, 0.1875, 4
2020-03-29, 3, Inc_50-100, Rheinland-Pfalz, 7, 0.1875, 5
2020-03-30, 4, Inc_50-100, Rheinland-Pfalz, 7, 0.25, 5
2020-03-31, 1, Inc_50-100, Rheinland-Pfalz, 7, 0.0625, 4
2020-04-01, -1, Inc_50-100, Rheinland-Pfalz, 7, -0.0556, 2
2020-04-02, , Inc_50-100, Rheinland-Pfalz, 7, , 4
2020-04-03, -2, Inc_50-100, Rheinland-Pfalz, 7, -0.1111, 2
2020-04-04, -4, Inc_50-100, Rheinland-Pfalz, 7, -0.2222, 
2020-04-05, -2, Inc_50-100, Rheinland-Pfalz, 7, -0.1111, 3
2020-04-06, -3, Inc_50-100, Rheinland-Pfalz, 7, -0.1667, 2
2020-04-07, -2, Inc_50-100, Rheinland-Pfalz, 7, -0.1111, 2
2020-04-08, -1, Inc_50-100, Rheinland-Pfalz, 7, -0.0556, 1
2020-04-09, -3, Inc_50-100, Rheinland-Pfalz, 7, -0.1667, 1
2020-04-10, -1, Inc_50-100, Rheinland-Pfalz, 7, -0.0556, 1
2020-04-11, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-04-12, -3, Inc_50-100, Rheinland-Pfalz, 7, -0.1667, 
2020-04-13, -2, Inc_50-100, Rheinland-Pfalz, 7, -0.1111, 
2020-04-14, -2, Inc_50-100, Rheinland-Pfalz, 7, -0.1111, 
2020-04-15, -1, Inc_50-100, Rheinland-Pfalz, 7, -0.0556, 
2020-04-16, -1, Inc_50-100, Rheinland-Pfalz, 7, -0.0556, 
2020-04-17, -1, Inc_50-100, Rheinland-Pfalz, 7, -0.0556, 
2020-04-18, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-04-19, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-04-20, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-04-21, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-04-22, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-04-23, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-04-24, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-04-25, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-04-26, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-04-27, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-04-28, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-04-29, , Inc_50-100, Rheinland-Pfalz, 7, , 
2020-04-30, , Inc_50-100, Rheinland-Pfalz, 7, , 
