Meldedatum, difference, group, region, region_id, trend, value
2020-03-05, , trend, Baden-Württemberg, 8, , 
2020-03-06, , trend, Baden-Württemberg, 8, , 
2020-03-07, , trend, Baden-Württemberg, 8, , 
2020-03-08, , trend, Baden-Württemberg, 8, , 
2020-03-09, , trend, Baden-Württemberg, 8, , 
2020-03-10, , trend, Baden-Württemberg, 8, , 
2020-03-11, , trend, Baden-Württemberg, 8, , 
2020-03-12, , trend, Baden-Württemberg, 8, , 
2020-03-13, , trend, Baden-Württemberg, 8, , 
2020-03-14, , trend, Baden-Württemberg, 8, , 
2020-03-15, , trend, Baden-Württemberg, 8, , 
2020-03-16, , trend, Baden-Württemberg, 8, , 
2020-03-17, , trend, Baden-Württemberg, 8, , 
2020-03-18, , trend, Baden-Württemberg, 8, , 
2020-03-19, , trend, Baden-Württemberg, 8, , 
2020-03-20, , trend, Baden-Württemberg, 8, , 
2020-03-21, , trend, Baden-Württemberg, 8, , 
2020-03-22, , trend, Baden-Württemberg, 8, , 
2020-03-23, , trend, Baden-Württemberg, 8, , 
2020-03-24, , trend, Baden-Württemberg, 8, , 
2020-03-25, , trend, Baden-Württemberg, 8, , 
2020-03-26, , trend, Baden-Württemberg, 8, , 
2020-03-27, , trend, Baden-Württemberg, 8, , 
2020-03-28, , trend, Baden-Württemberg, 8, , 
2020-03-29, , trend, Baden-Württemberg, 8, , 
2020-03-30, , trend, Baden-Württemberg, 8, , 
2020-03-31, , trend, Baden-Württemberg, 8, , 
2020-04-01, , trend, Baden-Württemberg, 8, , 
2020-04-02, , trend, Baden-Württemberg, 8, , 
2020-04-03, , trend, Baden-Württemberg, 8, , 
2020-04-04, , trend, Baden-Württemberg, 8, , 
2020-04-05, , trend, Baden-Württemberg, 8, , 
2020-04-06, , trend, Baden-Württemberg, 8, , 
2020-04-07, , trend, Baden-Württemberg, 8, , 
2020-04-08, , trend, Baden-Württemberg, 8, , 
2020-04-09, , trend, Baden-Württemberg, 8, , 
2020-04-10, , trend, Baden-Württemberg, 8, , 
2020-04-11, , trend, Baden-Württemberg, 8, , 
2020-04-12, , trend, Baden-Württemberg, 8, , 
2020-04-13, , trend, Baden-Württemberg, 8, , 
2020-04-14, , trend, Baden-Württemberg, 8, , 
2020-04-15, , trend, Baden-Württemberg, 8, , 
2020-04-16, , trend, Baden-Württemberg, 8, , 
2020-04-17, , trend, Baden-Württemberg, 8, , 
2020-04-18, , trend, Baden-Württemberg, 8, , 
2020-04-19, , trend, Baden-Württemberg, 8, , 
2020-04-20, , trend, Baden-Württemberg, 8, , 
2020-04-21, , trend, Baden-Württemberg, 8, , 
2020-04-22, , trend, Baden-Württemberg, 8, , 
2020-04-23, , trend, Baden-Württemberg, 8, , 
2020-04-24, , trend, Baden-Württemberg, 8, , 
2020-04-25, , trend, Baden-Württemberg, 8, , 
2020-04-26, , trend, Baden-Württemberg, 8, , 
2020-04-27, , trend, Baden-Württemberg, 8, , 
2020-04-28, , trend, Baden-Württemberg, 8, , 
2020-04-29, , trend, Baden-Württemberg, 8, , 
2020-04-30, , trend, Baden-Württemberg, 8, , 
2020-05-01, , trend, Baden-Württemberg, 8, , 
2020-05-02, , trend, Baden-Württemberg, 8, , 
2020-05-03, , trend, Baden-Württemberg, 8, , 
2020-05-04, , trend, Baden-Württemberg, 8, , 
2020-05-05, , trend, Baden-Württemberg, 8, , 
2020-05-06, , trend, Baden-Württemberg, 8, , 
2020-05-07, , trend, Baden-Württemberg, 8, , 
2020-05-08, , trend, Baden-Württemberg, 8, , 
2020-05-09, , trend, Baden-Württemberg, 8, , 
2020-05-10, , trend, Baden-Württemberg, 8, , 
2020-05-11, , trend, Baden-Württemberg, 8, , 
2020-05-12, , trend, Baden-Württemberg, 8, , 
2020-05-13, , trend, Baden-Württemberg, 8, , 
2020-05-14, , trend, Baden-Württemberg, 8, , 
2020-05-15, , trend, Baden-Württemberg, 8, , 
2020-05-16, , trend, Baden-Württemberg, 8, , 
2020-05-17, , trend, Baden-Württemberg, 8, , 
2020-05-18, , trend, Baden-Württemberg, 8, , 
2020-05-19, , trend, Baden-Württemberg, 8, , 
2020-05-20, , trend, Baden-Württemberg, 8, , 
2020-05-21, , trend, Baden-Württemberg, 8, , 
2020-05-22, , trend, Baden-Württemberg, 8, , 
2020-05-23, , trend, Baden-Württemberg, 8, , 
2020-05-24, , trend, Baden-Württemberg, 8, , 
2020-05-25, , trend, Baden-Württemberg, 8, , 
2020-05-26, , trend, Baden-Württemberg, 8, , 
2020-05-27, , trend, Baden-Württemberg, 8, , 
2020-05-28, , trend, Baden-Württemberg, 8, , 
2020-05-29, , trend, Baden-Württemberg, 8, , 
2020-05-30, , trend, Baden-Württemberg, 8, , 
2020-05-31, , trend, Baden-Württemberg, 8, , 
2020-06-01, , trend, Baden-Württemberg, 8, , 
2020-06-02, , trend, Baden-Württemberg, 8, , 
2020-06-03, , trend, Baden-Württemberg, 8, , 
2020-06-04, , trend, Baden-Württemberg, 8, , 
