Meldedatum, difference, group, region, region_id, trend, value
2020-03-05, , trend, Bayern, 9, , 
2020-03-06, , trend, Bayern, 9, , 
2020-03-07, , trend, Bayern, 9, , 
2020-03-08, , trend, Bayern, 9, , 
2020-03-09, , trend, Bayern, 9, , 
2020-03-10, , trend, Bayern, 9, , 
2020-03-11, , trend, Bayern, 9, , 
2020-03-12, , trend, Bayern, 9, , 
2020-03-13, , trend, Bayern, 9, , 
2020-03-14, , trend, Bayern, 9, , 
2020-03-15, , trend, Bayern, 9, , 
2020-03-16, , trend, Bayern, 9, , 
2020-03-17, , trend, Bayern, 9, , 
2020-03-18, , trend, Bayern, 9, , 
2020-03-19, , trend, Bayern, 9, , 
2020-03-20, , trend, Bayern, 9, , 
2020-03-21, , trend, Bayern, 9, , 
2020-03-22, , trend, Bayern, 9, , 
2020-03-23, , trend, Bayern, 9, , 
2020-03-24, , trend, Bayern, 9, , 
2020-03-25, , trend, Bayern, 9, , 
2020-03-26, 1, trend, Bayern, 9, 0.0588, 1
2020-03-27, 1, trend, Bayern, 9, 0.0588, 1
2020-03-28, 1, trend, Bayern, 9, 0.0588, 1
2020-03-29, 1, trend, Bayern, 9, 0.0588, 1
2020-03-30, 1, trend, Bayern, 9, 0.0588, 1
2020-03-31, 1, trend, Bayern, 9, 0.0588, 1
2020-04-01, 1, trend, Bayern, 9, 0.0588, 1
2020-04-02, , trend, Bayern, 9, , 1
2020-04-03, 1, trend, Bayern, 9, 0.0588, 2
2020-04-04, 2, trend, Bayern, 9, 0.1176, 3
2020-04-05, 1, trend, Bayern, 9, 0.0588, 2
2020-04-06, 1, trend, Bayern, 9, 0.0588, 2
2020-04-07, 1, trend, Bayern, 9, 0.0588, 2
2020-04-08, 1, trend, Bayern, 9, 0.0588, 2
2020-04-09, 1, trend, Bayern, 9, 0.0588, 2
2020-04-10, , trend, Bayern, 9, , 2
2020-04-11, -2, trend, Bayern, 9, -0.1538, 1
2020-04-12, -1, trend, Bayern, 9, -0.0769, 1
2020-04-13, -1, trend, Bayern, 9, -0.0769, 1
2020-04-14, -2, trend, Bayern, 9, -0.1538, 
2020-04-15, -2, trend, Bayern, 9, -0.1538, 
2020-04-16, -2, trend, Bayern, 9, -0.1538, 
2020-04-17, -2, trend, Bayern, 9, -0.1538, 
2020-04-18, -1, trend, Bayern, 9, -0.0769, 
2020-04-19, -1, trend, Bayern, 9, -0.0769, 
2020-04-20, -1, trend, Bayern, 9, -0.0769, 
2020-04-21, , trend, Bayern, 9, , 
2020-04-22, , trend, Bayern, 9, , 
2020-04-23, , trend, Bayern, 9, , 
2020-04-24, , trend, Bayern, 9, , 
2020-04-25, , trend, Bayern, 9, , 
2020-04-26, , trend, Bayern, 9, , 
2020-04-27, , trend, Bayern, 9, , 
2020-04-28, , trend, Bayern, 9, , 
2020-04-29, , trend, Bayern, 9, , 
2020-04-30, , trend, Bayern, 9, , 
2020-05-01, , trend, Bayern, 9, , 
2020-05-02, , trend, Bayern, 9, , 
2020-05-03, , trend, Bayern, 9, , 
2020-05-04, , trend, Bayern, 9, , 
2020-05-05, , trend, Bayern, 9, , 
2020-05-06, , trend, Bayern, 9, , 
2020-05-07, , trend, Bayern, 9, , 
2020-05-08, , trend, Bayern, 9, , 
2020-05-09, , trend, Bayern, 9, , 
2020-05-10, , trend, Bayern, 9, , 
2020-05-11, , trend, Bayern, 9, , 
2020-05-12, , trend, Bayern, 9, , 
2020-05-13, , trend, Bayern, 9, , 
2020-05-14, , trend, Bayern, 9, , 
2020-05-15, , trend, Bayern, 9, , 
2020-05-16, , trend, Bayern, 9, , 
2020-05-17, , trend, Bayern, 9, , 
2020-05-18, , trend, Bayern, 9, , 
2020-05-19, , trend, Bayern, 9, , 
2020-05-20, , trend, Bayern, 9, , 
2020-05-21, , trend, Bayern, 9, , 
2020-05-22, , trend, Bayern, 9, , 
2020-05-23, , trend, Bayern, 9, , 
2020-05-24, , trend, Bayern, 9, , 
2020-05-25, , trend, Bayern, 9, , 
2020-05-26, , trend, Bayern, 9, , 
2020-05-27, , trend, Bayern, 9, , 
2020-05-28, , trend, Bayern, 9, , 
2020-05-29, , trend, Bayern, 9, , 
2020-05-30, , trend, Bayern, 9, , 
2020-05-31, , trend, Bayern, 9, , 
2020-06-01, , trend, Bayern, 9, , 
2020-06-02, , trend, Bayern, 9, , 
2020-06-03, , trend, Bayern, 9, , 
2020-06-04, , trend, Bayern, 9, , 
2020-06-05, , trend, Bayern, 9, , 
2020-06-06, , trend, Bayern, 9, , 
2020-06-07, , trend, Bayern, 9, , 
2020-06-08, , trend, Bayern, 9, , 
2020-06-09, , trend, Bayern, 9, , 
2020-06-10, , trend, Bayern, 9, , 
2020-06-11, , trend, Bayern, 9, , 
2020-06-12, , trend, Bayern, 9, , 
2020-06-13, , trend, Bayern, 9, , 
2020-06-14, , trend, Bayern, 9, , 
2020-06-15, , trend, Bayern, 9, , 
2020-06-16, , trend, Bayern, 9, , 
2020-06-17, , trend, Bayern, 9, , 
2020-06-18, , trend, Bayern, 9, , 
2020-06-19, , trend, Bayern, 9, , 
2020-06-20, , trend, Bayern, 9, , 
2020-06-21, , trend, Bayern, 9, , 
2020-06-22, , trend, Bayern, 9, , 
2020-06-23, , trend, Bayern, 9, , 
2020-06-24, , trend, Bayern, 9, , 
2020-06-25, , trend, Bayern, 9, , 
2020-06-26, , trend, Bayern, 9, , 
2020-06-27, , trend, Bayern, 9, , 
2020-06-28, , trend, Bayern, 9, , 
2020-06-29, , trend, Bayern, 9, , 
2020-06-30, , trend, Bayern, 9, , 
2020-07-01, , trend, Bayern, 9, , 
2020-07-02, , trend, Bayern, 9, , 
2020-07-03, , trend, Bayern, 9, , 
2020-07-04, , trend, Bayern, 9, , 
2020-07-05, , trend, Bayern, 9, , 
2020-07-06, , trend, Bayern, 9, , 
2020-07-07, , trend, Bayern, 9, , 
2020-07-08, , trend, Bayern, 9, , 
2020-07-09, , trend, Bayern, 9, , 
2020-07-10, , trend, Bayern, 9, , 
2020-07-11, , trend, Bayern, 9, , 
2020-07-12, , trend, Bayern, 9, , 
2020-07-13, , trend, Bayern, 9, , 
2020-07-14, , trend, Bayern, 9, , 
2020-07-15, , trend, Bayern, 9, , 
2020-07-16, , trend, Bayern, 9, , 
2020-07-17, , trend, Bayern, 9, , 
2020-07-18, , trend, Bayern, 9, , 
2020-07-19, , trend, Bayern, 9, , 
2020-07-20, , trend, Bayern, 9, , 
2020-07-21, , trend, Bayern, 9, , 
2020-07-22, , trend, Bayern, 9, , 
2020-07-23, , trend, Bayern, 9, , 
2020-07-24, , trend, Bayern, 9, , 
2020-07-25, , trend, Bayern, 9, , 
2020-07-26, , trend, Bayern, 9, , 
2020-07-27, , trend, Bayern, 9, , 
2020-07-28, , trend, Bayern, 9, , 
2020-07-29, , trend, Bayern, 9, , 
2020-07-30, , trend, Bayern, 9, , 
2020-07-31, , trend, Bayern, 9, , 
2020-08-01, , trend, Bayern, 9, , 
