Week, difference, region, region_id, trend, value
2020-14, , Brandenburg, 12, , 0.6344
2020-15, 0.1983, Brandenburg, 12, 0.0481, 0.8327
2020-16, 0.2776, Brandenburg, 12, 0.0673, 1.1103
2020-17, 0.2379, Brandenburg, 12, 0.0577, 1.3482
2020-18, -0.4758, Brandenburg, 12, -0.0645, 0.8724
2020-19, -0.3965, Brandenburg, 12, -0.0538, 0.4758
2020-20, 0.119, Brandenburg, 12, 0.0288, 0.5948
2020-21, -0.3965, Brandenburg, 12, -0.0538, 0.1983
2020-22, -0.1586, Brandenburg, 12, -0.0215, 0.0397
2020-23, 0.0793, Brandenburg, 12, 0.0192, 0.119
2020-24, 0.0793, Brandenburg, 12, 0.0192, 0.1983
2020-25, -0.1983, Brandenburg, 12, -0.0269, 
2020-26, 0.0793, Brandenburg, 12, 0.0192, 0.0793
2020-27, , Brandenburg, 12, , 0.0793
2020-28, -0.0397, Brandenburg, 12, -0.0054, 0.0397
2020-29, -0.0793, Brandenburg, 12, -0.0108, -0.0397
2020-30, 0.0793, Brandenburg, 12, 0.0192, 0.0397
2020-31, -0.0397, Brandenburg, 12, -0.0054, 
2020-32, 0.0397, Brandenburg, 12, 0.0096, 0.0397
2020-33, -0.0397, Brandenburg, 12, -0.0054, 
2020-34, , Brandenburg, 12, , 
2020-35, , Brandenburg, 12, , 
2020-36, , Brandenburg, 12, , 
2020-37, , Brandenburg, 12, , 
2020-38, , Brandenburg, 12, , 
2020-39, , Brandenburg, 12, , 
2020-40, , Brandenburg, 12, , 
2020-41, , Brandenburg, 12, , 
2020-42, 0.119, Brandenburg, 12, 0.0288, 0.119
2020-43, 0.3569, Brandenburg, 12, 0.0865, 0.4758
2020-44, -0.0397, Brandenburg, 12, -0.0054, 0.4362
2020-45, 0.3569, Brandenburg, 12, 0.0865, 0.7931
2020-46, 0.119, Brandenburg, 12, 0.0288, 0.912
2020-47, 0.6344, Brandenburg, 12, 0.1538, 1.5465
2020-48, 0.7137, Brandenburg, 12, 0.1731, 2.2602
2020-49, 1.1103, Brandenburg, 12, 0.2692, 3.3705
2020-50, -0.912, Brandenburg, 12, -0.1237, 2.4585
2020-51, 4.1239, Brandenburg, 12, 1, 6.5824
2020-52, -1.2689, Brandenburg, 12, -0.172, 5.3135
2020-53, 3.0929, Brandenburg, 12, 0.75, 8.4064
2021-01, 3.0136, Brandenburg, 12, 0.7308, 11.42
2021-02, 1.031, Brandenburg, 12, 0.25, 12.451
2021-03, -0.0397, Brandenburg, 12, -0.0054, 12.4113
2021-04, 2.4188, Brandenburg, 12, 0.5865, 14.8301
2021-05, -1.0706, Brandenburg, 12, -0.1452, 13.7595
2021-06, -7.3754, Brandenburg, 12, -1, 6.3841
2021-07, -1.5465, Brandenburg, 12, -0.2097, 4.8376
2021-08, -1.5068, Brandenburg, 12, -0.2043, 3.3308
2021-09, 0.4362, Brandenburg, 12, 0.1058, 3.767
2021-10, -1.5465, Brandenburg, 12, -0.2097, 2.2206
2021-11, 1.1896, Brandenburg, 12, 0.2885, 3.4101
2021-12, -1.7447, Brandenburg, 12, -0.2366, 1.6654
2021-13, , Brandenburg, 12, , 1.6654
2021-14, 0.4362, Brandenburg, 12, 0.1058, 2.1016
2021-15, 1.031, Brandenburg, 12, 0.25, 3.1326
2021-16, -1.031, Brandenburg, 12, -0.1398, 2.1016
2021-17, 0.7534, Brandenburg, 12, 0.1827, 2.855
2021-18, -0.6344, Brandenburg, 12, -0.086, 2.2206
2021-19, -0.5155, Brandenburg, 12, -0.0699, 1.7051
2021-20, -0.7137, Brandenburg, 12, -0.0968, 0.9913
2021-21, 0.1586, Brandenburg, 12, 0.0385, 1.1499
2021-22, -0.5155, Brandenburg, 12, -0.0699, 0.6344
2021-23, -0.1586, Brandenburg, 12, -0.0215, 0.4758
2021-24, 0.7931, Brandenburg, 12, 0.1923, 1.2689
2021-25, -0.9913, Brandenburg, 12, -0.1344, 0.2776
2021-26, 0.2379, Brandenburg, 12, 0.0577, 0.5155
2021-27, -0.3172, Brandenburg, 12, -0.043, 0.1983
2021-28, -0.0793, Brandenburg, 12, -0.0108, 0.119
2021-29, -0.0397, Brandenburg, 12, -0.0054, 0.0793
2021-30, -0.0793, Brandenburg, 12, -0.0108, 
2021-31, 0.0397, Brandenburg, 12, 0.0096, 0.0397
2021-32, -0.0397, Brandenburg, 12, -0.0054, 
2021-33, , Brandenburg, 12, , 
2021-34, 0.1586, Brandenburg, 12, 0.0385, 0.1586
