Week, difference, region, region_id, trend, value
2020-14, , Saarland, 10, , 1.2159
2020-15, 1.7226, Saarland, 10, 0.2656, 2.9385
2020-16, 1.9252, Saarland, 10, 0.2969, 4.8638
2020-17, -3.2425, Saarland, 10, -1.0323, 1.6213
2020-18, 1.5199, Saarland, 10, 0.2344, 3.1412
2020-19, -2.7359, Saarland, 10, -0.871, 0.4053
2020-20, 0.304, Saarland, 10, 0.0469, 0.7093
2020-21, 0.1013, Saarland, 10, 0.0156, 0.8106
2020-22, -0.2027, Saarland, 10, -0.0645, 0.608
2020-23, -0.304, Saarland, 10, -0.0968, 0.304
2020-24, -0.1013, Saarland, 10, -0.0323, 0.2027
2020-25, -0.2027, Saarland, 10, -0.0645, 
2020-26, 0.5066, Saarland, 10, 0.0781, 0.5066
2020-27, -0.4053, Saarland, 10, -0.129, 0.1013
2020-28, -0.1013, Saarland, 10, -0.0323, 
2020-29, , Saarland, 10, , 
2020-30, , Saarland, 10, , 
2020-31, , Saarland, 10, , 
2020-32, , Saarland, 10, , 
2020-33, , Saarland, 10, , 
2020-34, , Saarland, 10, , 
2020-35, , Saarland, 10, , 
2020-36, , Saarland, 10, , 
2020-37, 0.1013, Saarland, 10, 0.0156, 0.1013
2020-38, , Saarland, 10, , 0.1013
2020-39, -0.1013, Saarland, 10, -0.0323, 
2020-40, 0.1013, Saarland, 10, 0.0156, 0.1013
2020-41, -0.1013, Saarland, 10, -0.0323, 
2020-42, , Saarland, 10, , 
2020-43, 0.1013, Saarland, 10, 0.0156, 0.1013
2020-44, 1.3173, Saarland, 10, 0.2031, 1.4186
2020-45, -0.7093, Saarland, 10, -0.2258, 0.7093
2020-46, 0.8106, Saarland, 10, 0.125, 1.5199
2020-47, 0.7093, Saarland, 10, 0.1094, 2.2292
2020-48, -0.7093, Saarland, 10, -0.2258, 1.5199
2020-49, 0.5066, Saarland, 10, 0.0781, 2.0266
2020-50, 1.0133, Saarland, 10, 0.1562, 3.0399
2020-51, 2.1279, Saarland, 10, 0.3281, 5.1678
2020-52, 0.304, Saarland, 10, 0.0469, 5.4718
2020-53, -1.9252, Saarland, 10, -0.6129, 3.5465
2021-01, 6.485, Saarland, 10, 1, 10.0315
2021-02, -3.1412, Saarland, 10, -1, 6.8904
2021-03, 1.0133, Saarland, 10, 0.1563, 7.9036
2021-04, -2.8372, Saarland, 10, -0.9032, 5.0664
2021-05, -0.304, Saarland, 10, -0.0968, 4.7625
2021-06, -1.3173, Saarland, 10, -0.4194, 3.4452
2021-07, -0.304, Saarland, 10, -0.0968, 3.1412
2021-08, -1.0133, Saarland, 10, -0.3226, 2.1279
2021-09, 0.1013, Saarland, 10, 0.0156, 2.2292
2021-10, -0.2027, Saarland, 10, -0.0645, 2.0266
2021-11, -1.3173, Saarland, 10, -0.4194, 0.7093
2021-12, -0.1013, Saarland, 10, -0.0323, 0.608
2021-13, -0.304, Saarland, 10, -0.0968, 0.304
2021-14, 0.2027, Saarland, 10, 0.0312, 0.5066
2021-15, 0.5066, Saarland, 10, 0.0781, 1.0133
2021-16, -0.304, Saarland, 10, -0.0968, 0.7093
2021-17, 0.4053, Saarland, 10, 0.0625, 1.1146
2021-18, -0.4053, Saarland, 10, -0.129, 0.7093
2021-19, 0.4053, Saarland, 10, 0.0625, 1.1146
2021-20, 0.7093, Saarland, 10, 0.1094, 1.8239
2021-21, -0.8106, Saarland, 10, -0.2581, 1.0133
2021-22, -0.4053, Saarland, 10, -0.129, 0.608
2021-23, -0.2027, Saarland, 10, -0.0645, 0.4053
2021-24, -0.1013, Saarland, 10, -0.0323, 0.304
2021-25, -0.304, Saarland, 10, -0.0968, 
2021-26, 0.7093, Saarland, 10, 0.1094, 0.7093
2021-27, -0.5066, Saarland, 10, -0.1613, 0.2027
2021-28, -0.1013, Saarland, 10, -0.0323, 0.1013
2021-29, -0.1013, Saarland, 10, -0.0323, 
2021-30, , Saarland, 10, , 
2021-31, 0.1013, Saarland, 10, 0.0156, 0.1013
2021-32, -0.1013, Saarland, 10, -0.0323, 
2021-33, , Saarland, 10, , 
2021-34, 0.1013, Saarland, 10, 0.0156, 0.1013
