Week, difference, region, region_id, trend, value
2020-13, , Schleswig-Holstein, 1, , 0.1722
2020-14, 0.2411, Schleswig-Holstein, 1, 0.175, 0.4133
2020-15, 0.3788, Schleswig-Holstein, 1, 0.275, 0.7921
2020-16, -0.0689, Schleswig-Holstein, 1, -0.0571, 0.7232
2020-17, 0.4477, Schleswig-Holstein, 1, 0.325, 1.1709
2020-18, -0.5854, Schleswig-Holstein, 1, -0.4857, 0.5854
2020-19, -0.2411, Schleswig-Holstein, 1, -0.2, 0.3444
2020-20, -0.2411, Schleswig-Holstein, 1, -0.2, 0.1033
2020-21, 0.2755, Schleswig-Holstein, 1, 0.2, 0.3788
2020-22, -0.1033, Schleswig-Holstein, 1, -0.0857, 0.2755
2020-23, -0.2066, Schleswig-Holstein, 1, -0.1714, 0.0689
2020-24, 0.0689, Schleswig-Holstein, 1, 0.05, 0.1378
2020-25, -0.1033, Schleswig-Holstein, 1, -0.0857, 0.0344
2020-26, -0.0344, Schleswig-Holstein, 1, -0.0286, 
2020-27, , Schleswig-Holstein, 1, , 
2020-28, 0.0689, Schleswig-Holstein, 1, 0.05, 0.0689
2020-29, -0.0689, Schleswig-Holstein, 1, -0.0571, 
2020-30, 0.0344, Schleswig-Holstein, 1, 0.025, 0.0344
2020-31, , Schleswig-Holstein, 1, , 0.0344
2020-32, 0.0344, Schleswig-Holstein, 1, 0.025, 0.0689
2020-33, -0.0689, Schleswig-Holstein, 1, -0.0571, 
2020-34, 0.0689, Schleswig-Holstein, 1, 0.05, 0.0689
2020-35, -0.0689, Schleswig-Holstein, 1, -0.0571, 
2020-36, 0.0344, Schleswig-Holstein, 1, 0.025, 0.0344
2020-37, -0.0344, Schleswig-Holstein, 1, -0.0286, 
2020-38, , Schleswig-Holstein, 1, , 
2020-39, , Schleswig-Holstein, 1, , 
2020-40, 0.0344, Schleswig-Holstein, 1, 0.025, 0.0344
2020-41, -0.0344, Schleswig-Holstein, 1, -0.0286, 
2020-42, 0.0344, Schleswig-Holstein, 1, 0.025, 0.0344
2020-43, , Schleswig-Holstein, 1, , 0.0344
2020-44, 0.3444, Schleswig-Holstein, 1, 0.25, 0.3788
2020-45, 0.4821, Schleswig-Holstein, 1, 0.35, 0.8609
2020-46, -0.2066, Schleswig-Holstein, 1, -0.1714, 0.6543
2020-47, -0.1378, Schleswig-Holstein, 1, -0.1143, 0.5166
2020-48, , Schleswig-Holstein, 1, , 0.5166
2020-49, , Schleswig-Holstein, 1, , 0.5166
2020-50, 0.4133, Schleswig-Holstein, 1, 0.3, 0.9298
2020-51, 0.2066, Schleswig-Holstein, 1, 0.15, 1.1365
2020-52, 0.3099, Schleswig-Holstein, 1, 0.225, 1.4464
2020-53, 1.2053, Schleswig-Holstein, 1, 0.875, 2.6517
2021-01, 0.8609, Schleswig-Holstein, 1, 0.625, 3.5127
2021-02, 0.1378, Schleswig-Holstein, 1, 0.1, 3.6504
2021-03, -0.4477, Schleswig-Holstein, 1, -0.3714, 3.2027
2021-04, 1.3775, Schleswig-Holstein, 1, 1, 4.5802
2021-05, 0.0689, Schleswig-Holstein, 1, 0.05, 4.6491
2021-06, -0.7232, Schleswig-Holstein, 1, -0.6, 3.9259
2021-07, -1.2053, Schleswig-Holstein, 1, -1, 2.7206
2021-08, -0.0689, Schleswig-Holstein, 1, -0.0571, 2.6517
2021-09, -0.9643, Schleswig-Holstein, 1, -0.8, 1.6875
2021-10, -0.1722, Schleswig-Holstein, 1, -0.1429, 1.5153
2021-11, -0.5166, Schleswig-Holstein, 1, -0.4286, 0.9987
2021-12, -0.2755, Schleswig-Holstein, 1, -0.2286, 0.7232
2021-13, -0.1722, Schleswig-Holstein, 1, -0.1429, 0.551
2021-14, 0.1033, Schleswig-Holstein, 1, 0.075, 0.6543
2021-15, -0.1378, Schleswig-Holstein, 1, -0.1143, 0.5166
2021-16, 0.2066, Schleswig-Holstein, 1, 0.15, 0.7232
2021-17, -0.1722, Schleswig-Holstein, 1, -0.1429, 0.551
2021-18, -0.0344, Schleswig-Holstein, 1, -0.0286, 0.5166
2021-19, 0.7576, Schleswig-Holstein, 1, 0.55, 1.2742
2021-20, -0.8609, Schleswig-Holstein, 1, -0.7143, 0.4133
2021-21, 0.1722, Schleswig-Holstein, 1, 0.125, 0.5854
2021-22, -0.2411, Schleswig-Holstein, 1, -0.2, 0.3444
2021-23, , Schleswig-Holstein, 1, , 0.3444
2021-24, -0.1378, Schleswig-Holstein, 1, -0.1143, 0.2066
2021-25, -0.1722, Schleswig-Holstein, 1, -0.1429, 0.0344
2021-26, 0.0689, Schleswig-Holstein, 1, 0.05, 0.1033
2021-27, , Schleswig-Holstein, 1, , 0.1033
2021-28, -0.0344, Schleswig-Holstein, 1, -0.0286, 0.0689
2021-29, -0.0344, Schleswig-Holstein, 1, -0.0286, 0.0344
2021-30, 0.2755, Schleswig-Holstein, 1, 0.2, 0.3099
2021-31, -0.2755, Schleswig-Holstein, 1, -0.2286, 0.0344
2021-32, 0.0344, Schleswig-Holstein, 1, 0.025, 0.0689
2021-33, , Schleswig-Holstein, 1, , 0.0689
2021-34, 0.2066, Schleswig-Holstein, 1, 0.15, 0.2755
