Week, difference, trend, value
2020-12, , , 0.0565
2020-13, 0.3451, 0.182, 0.4016
2020-14, 0.7443, 0.3925, 1.1459
2020-15, 0.4545, 0.2397, 1.6004
2020-16, 0.3487, 0.1839, 1.9491
2020-17, -0.3307, -0.2436, 1.6184
2020-18, -0.4052, -0.2985, 1.2132
2020-19, -0.3162, -0.2329, 0.897
2020-20, -0.2729, -0.2011, 0.624
2020-21, -0.2236, -0.1647, 0.4004
2020-22, -0.0962, -0.0709, 0.3042
2020-23, -0.1022, -0.0753, 0.202
2020-24, -0.0589, -0.0434, 0.1431
2020-25, -0.0289, -0.0213, 0.1142
2020-26, -0.024, -0.0177, 0.0902
2020-27, -0.024, -0.0177, 0.0661
2020-28, -0.0048, -0.0035, 0.0613
2020-29, -0.0361, -0.0266, 0.0253
2020-30, 0.0156, 0.0082, 0.0409
2020-31, -0.0132, -0.0097, 0.0277
2020-32, 0.0385, 0.0203, 0.0661
2020-33, -0.024, -0.0177, 0.0421
2020-34, 0.0036, 0.0019, 0.0457
2020-35, -0.0144, -0.0106, 0.0313
2020-36, 0.0048, 0.0025, 0.0361
2020-37, -0.0072, -0.0053, 0.0289
2020-38, 0.0156, 0.0082, 0.0445
2020-39, 0.0409, 0.0216, 0.0854
2020-40, 0.0012, 0.0006, 0.0866
2020-41, 0.0168, 0.0089, 0.1034
2020-42, 0.0914, 0.0482, 0.1948
2020-43, 0.1118, 0.059, 0.3066
2020-44, 0.2333, 0.123, 0.5399
2020-45, 0.4317, 0.2276, 0.9715
2020-46, 0.4665, 0.246, 1.4381
2020-47, 0.41, 0.2162, 1.8481
2020-48, 0.6782, 0.3576, 2.5263
2020-49, 0.6589, 0.3475, 3.1852
2020-50, 0.4401, 0.2321, 3.6252
2020-51, 1.4994, 0.7907, 5.1246
2020-52, -0.6409, -0.4721, 4.4838
2020-53, 0.9198, 0.4851, 5.4036
2021-01, 1.8962, 1, 7.2998
2021-02, 0.006, 0.0032, 7.3058
2021-03, -0.7515, -0.5536, 6.5543
2021-04, -0.4521, -0.333, 6.1022
2021-05, -0.6048, -0.4455, 5.4974
2021-06, -1.3575, -1, 4.1399
2021-07, -0.6758, -0.4978, 3.4641
2021-08, -0.814, -0.5996, 2.6501
2021-09, -0.4196, -0.3091, 2.2305
2021-10, -0.4617, -0.3401, 1.7687
2021-11, -0.214, -0.1577, 1.5547
2021-12, -0.1046, -0.0771, 1.4501
2021-13, -0.1359, -0.1001, 1.3142
2021-14, 0.3571, 0.1883, 1.6713
2021-15, 0.2056, 0.1084, 1.877
2021-16, 0.107, 0.0564, 1.984
2021-17, -0.0265, -0.0195, 1.9575
2021-18, -0.0541, -0.0399, 1.9034
2021-19, -0.315, -0.2321, 1.5884
2021-20, -0.0445, -0.0328, 1.5439
2021-21, -0.3102, -0.2285, 1.2337
2021-22, -0.2525, -0.186, 0.9812
2021-23, -0.2453, -0.1807, 0.7359
2021-24, -0.0733, -0.054, 0.6625
2021-25, -0.2188, -0.1612, 0.4437
2021-26, -0.1118, -0.0824, 0.3319
2021-27, -0.0902, -0.0664, 0.2417
2021-28, -0.0842, -0.062, 0.1575
2021-29, 0.0373, 0.0197, 0.1948
2021-30, -0.0325, -0.0239, 0.1623
2021-31, -0.0144, -0.0106, 0.1479
2021-32, -0.0457, -0.0337, 0.1022
2021-33, 0.0289, 0.0152, 0.1311
2021-34, 0.0541, 0.0285, 0.1852
