Meldedatum, difference, region, region_id, trend, value
2020-03-06, , Berlin, 11, , 0.109
2020-03-07, , Berlin, 11, , 0.109
2020-03-08, , Berlin, 11, , 0.109
2020-03-09, , Berlin, 11, , 0.109
2020-03-10, , Berlin, 11, , 0.1908
2020-03-11, , Berlin, 11, , 0.109
2020-03-12, 0.0273, Berlin, 11, 0.0053, 0.1908
2020-03-13, 0.109, Berlin, 11, 0.0211, 0.2725
2020-03-14, 0.1908, Berlin, 11, 0.0368, 0.4633
2020-03-15, 0.2453, Berlin, 11, 0.0474, 0.4633
2020-03-16, 0.2725, Berlin, 11, 0.0526, 0.5178
2020-03-17, 0.2998, Berlin, 11, 0.0579, 0.5723
2020-03-18, 0.3815, Berlin, 11, 0.0737, 0.6813
2020-03-19, 0.4088, Berlin, 11, 0.0789, 0.8993
2020-03-20, 0.327, Berlin, 11, 0.0632, 1.1991
2020-03-21, 0.218, Berlin, 11, 0.0421, 1.2263
2020-03-22, 0.2725, Berlin, 11, 0.0526, 1.5261
2020-03-23, 0.2725, Berlin, 11, 0.0526, 1.6079
2020-03-24, 0.327, Berlin, 11, 0.0632, 1.8259
2020-03-25, 0.5723, Berlin, 11, 0.1105, 2.3709
2020-03-26, 0.7903, Berlin, 11, 0.1526, 2.7524
2020-03-27, 1.4443, Berlin, 11, 0.2789, 3.2975
2020-03-28, 1.7441, Berlin, 11, 0.3368, 3.9788
2020-03-29, 1.7714, Berlin, 11, 0.3421, 4.333
2020-03-30, 1.9349, Berlin, 11, 0.3737, 4.6873
2020-03-31, 2.1529, Berlin, 11, 0.4158, 5.4231
2020-04-01, 2.1529, Berlin, 11, 0.4158, 6.0226
2020-04-02, 2.4254, Berlin, 11, 0.4684, 6.4042
2020-04-03, 1.8804, Berlin, 11, 0.3632, 6.2679
2020-04-04, 1.8804, Berlin, 11, 0.3632, 6.9764
2020-04-05, 2.1529, Berlin, 11, 0.4158, 6.8129
2020-04-06, 1.8259, Berlin, 11, 0.3526, 6.8947
2020-04-07, 1.5533, Berlin, 11, 0.3, 6.8402
2020-04-08, 1.1991, Berlin, 11, 0.2316, 6.9219
2020-04-09, 0.3815, Berlin, 11, 0.0737, 6.7857
2020-04-10, 0.5178, Berlin, 11, 0.1, 7.0309
2020-04-11, -0.1908, Berlin, 11, -0.068, 6.0226
2020-04-12, -0.218, Berlin, 11, -0.0777, 5.9681
2020-04-13, -0.3543, Berlin, 11, -0.1262, 5.8864
2020-04-14, -0.7903, Berlin, 11, -0.2816, 5.3413
2020-04-15, -0.9266, Berlin, 11, -0.3301, 4.3875
2020-04-16, -0.8176, Berlin, 11, -0.2913, 4.2785
2020-04-17, -1.3898, Berlin, 11, -0.4951, 3.7062
2020-04-18, -0.7358, Berlin, 11, -0.2621, 4.006
2020-04-19, -1.1991, Berlin, 11, -0.4272, 4.0605
2020-04-20, -0.8448, Berlin, 11, -0.301, 3.897
2020-04-21, -0.4633, Berlin, 11, -0.165, 3.7607
2020-04-22, -0.2453, Berlin, 11, -0.0874, 3.7335
2020-04-23, -0.8448, Berlin, 11, -0.301, 3.7335
2020-04-24, -0.1635, Berlin, 11, -0.0583, 3.788
2020-04-25, -0.8448, Berlin, 11, -0.301, 3.2702
2020-04-26, -0.8448, Berlin, 11, -0.301, 3.6517
2020-04-27, -1.1173, Berlin, 11, -0.3981, 3.4882
2020-04-28, -1.3081, Berlin, 11, -0.466, 3.6245
2020-04-29, -1.1718, Berlin, 11, -0.4175, 4.006
2020-04-30, -0.3543, Berlin, 11, -0.1262, 3.679
2020-05-01, -0.6813, Berlin, 11, -0.2427, 3.6245
2020-05-02, -0.4088, Berlin, 11, -0.1456, 3.2975
2020-05-03, -0.4633, Berlin, 11, -0.165, 2.7252
2020-05-04, -0.3543, Berlin, 11, -0.1262, 2.6979
2020-05-05, -0.3815, Berlin, 11, -0.1359, 2.5889
2020-05-06, -0.5723, Berlin, 11, -0.2039, 2.4527
2020-05-07, -0.4905, Berlin, 11, -0.1748, 2.4527
2020-05-08, -0.6813, Berlin, 11, -0.2427, 2.2346
2020-05-09, -0.1635, Berlin, 11, -0.0583, 2.2074
2020-05-10, -0.1363, Berlin, 11, -0.0485, 1.9894
2020-05-11, -0.109, Berlin, 11, -0.0388, 1.9349
2020-05-12, -0.1908, Berlin, 11, -0.068, 1.7169
2020-05-13, -0.4905, Berlin, 11, -0.1748, 1.2808
2020-05-14, -0.9538, Berlin, 11, -0.3398, 1.0083
2020-05-15, -0.8448, Berlin, 11, -0.301, 0.8448
2020-05-16, -1.0901, Berlin, 11, -0.3883, 0.8721
2020-05-17, -1.0083, Berlin, 11, -0.3592, 0.8176
2020-05-18, -0.9538, Berlin, 11, -0.3398, 0.8448
2020-05-19, -0.5995, Berlin, 11, -0.2136, 0.9266
2020-05-20, -0.1908, Berlin, 11, -0.068, 0.9266
2020-05-21, -0.0818, Berlin, 11, -0.0291, 0.763
2020-05-22, , Berlin, 11, , 0.7358
2020-05-23, -0.0818, Berlin, 11, -0.0291, 0.9266
2020-05-24, 0.0818, Berlin, 11, 0.0158, 0.9266
2020-05-25, 0.0273, Berlin, 11, 0.0053, 0.8721
2020-05-26, -0.1908, Berlin, 11, -0.068, 0.7903
2020-05-27, -0.3815, Berlin, 11, -0.1359, 0.7085
2020-05-28, -0.109, Berlin, 11, -0.0388, 0.7358
2020-05-29, -0.0818, Berlin, 11, -0.0291, 0.763
2020-05-30, -0.2453, Berlin, 11, -0.0874, 0.545
