Meldedatum, region, region_id, value, difference, trend
2020-03-06, Saarland, 10, , , 
2020-03-07, Saarland, 10, , , 
2020-03-08, Saarland, 10, , , 
2020-03-09, Saarland, 10, , , 
2020-03-10, Saarland, 10, , , 
2020-03-11, Saarland, 10, , , 
2020-03-12, Saarland, 10, , , 
2020-03-13, Saarland, 10, , , 
2020-03-14, Saarland, 10, , , 
2020-03-15, Saarland, 10, , , 
2020-03-16, Saarland, 10, , , 
2020-03-17, Saarland, 10, 0.2027, , 
2020-03-18, Saarland, 10, 0.2027, , 
2020-03-19, Saarland, 10, 0.5066, , 
2020-03-20, Saarland, 10, 0.5066, , 
2020-03-21, Saarland, 10, 0.912, , 
2020-03-22, Saarland, 10, 1.4186, , 
2020-03-23, Saarland, 10, 1.7226, 0.1013, 0.0227
2020-03-24, Saarland, 10, 2.7359, 1.2159, 0.2727
2020-03-25, Saarland, 10, 3.6478, 1.4186, 0.3182
2020-03-26, Saarland, 10, 3.7492, 2.4319, 0.5455
2020-03-27, Saarland, 10, 4.1545, 2.7359, 0.6136
2020-03-28, Saarland, 10, 4.5598, 2.8372, 0.6364
2020-03-29, Saarland, 10, 5.2691, 2.4319, 0.5455
2020-03-30, Saarland, 10, 5.9784, 3.8505, 0.8636
2020-03-31, Saarland, 10, 5.4718, 1.9252, 0.4318
2020-04-01, Saarland, 10, 6.9917, 1.4186, 0.3182
2020-04-02, Saarland, 10, 8.4103, 2.6345, 0.5909
2020-04-03, Saarland, 10, 10.2342, 2.4319, 0.5455
2020-04-04, Saarland, 10, 11.5515, 4.8638, 1.0909
2020-04-05, Saarland, 10, 11.8555, 5.1678, 1.1591
2020-04-06, Saarland, 10, 12.2608, 3.6478, 0.8182
2020-04-07, Saarland, 10, 12.8687, 4.4585, 1
2020-04-08, Saarland, 10, 11.7541, 5.9784, 1.3409
2020-04-09, Saarland, 10, 11.5515, 1.6213, 0.3636
2020-04-10, Saarland, 10, 11.2475, 0.7093, 0.1591
2020-04-11, Saarland, 10, 10.0315, -2.3306, -0.5111
2020-04-12, Saarland, 10, 9.5249, -1.9252, -0.4222
2020-04-13, Saarland, 10, 8.309, -2.2292, -0.4889
2020-04-14, Saarland, 10, 7.4983, -2.1279, -0.4667
2020-04-15, Saarland, 10, 6.9917, -3.9518, -0.8667
2020-04-16, Saarland, 10, 6.0797, -2.5332, -0.5556
2020-04-17, Saarland, 10, 5.1678, -1.8239, -0.4
2020-04-18, Saarland, 10, 5.7757, -0.4053, -0.0889
2020-04-19, Saarland, 10, 4.9651, -1.6213, -0.3556
2020-04-20, Saarland, 10, 4.8638, -1.0133, -0.2222
2020-04-21, Saarland, 10, 4.7625, -1.5199, -0.3333
