Meldedatum, difference, region, region_id, trend, value
2020-03-06, , Thüringen, 16, , 0.0469
2020-03-07, , Thüringen, 16, , 0.0469
2020-03-08, , Thüringen, 16, , 0.0937
2020-03-09, , Thüringen, 16, , 0.0937
2020-03-10, , Thüringen, 16, , 0.0469
2020-03-11, , Thüringen, 16, , 0.0937
2020-03-12, , Thüringen, 16, , 0.0937
2020-03-13, , Thüringen, 16, , 0.1406
2020-03-14, 0.0469, Thüringen, 16, 0.0047, 0.1875
2020-03-15, 0.0469, Thüringen, 16, 0.0047, 0.2344
2020-03-16, 0.0469, Thüringen, 16, 0.0047, 0.2344
2020-03-17, 0.1406, Thüringen, 16, 0.0142, 0.3281
2020-03-18, 0.1875, Thüringen, 16, 0.019, 0.4687
2020-03-19, 0.2812, Thüringen, 16, 0.0284, 0.6562
2020-03-20, 0.4219, Thüringen, 16, 0.0427, 0.7969
2020-03-21, 0.375, Thüringen, 16, 0.0379, 1.0312
2020-03-22, 0.6094, Thüringen, 16, 0.0616, 1.0781
2020-03-23, 0.6094, Thüringen, 16, 0.0616, 1.3125
2020-03-24, 0.8906, Thüringen, 16, 0.09, 1.4531
2020-03-25, 1.1719, Thüringen, 16, 0.1185, 1.9687
2020-03-26, 1.5, Thüringen, 16, 0.1517, 2.2968
2020-03-27, 1.4062, Thüringen, 16, 0.1422, 2.3437
2020-03-28, 1.0781, Thüringen, 16, 0.109, 2.7187
2020-03-29, 1.5937, Thüringen, 16, 0.1611, 3.4687
2020-03-30, 1.6406, Thüringen, 16, 0.1659, 3.4218
2020-03-31, 1.7343, Thüringen, 16, 0.1754, 3.5624
2020-04-01, 1.6406, Thüringen, 16, 0.1659, 3.5624
2020-04-02, 1.1719, Thüringen, 16, 0.1185, 3.703
2020-04-03, 1.2656, Thüringen, 16, 0.128, 4.0312
2020-04-04, 1.5, Thüringen, 16, 0.1517, 3.7499
2020-04-05, 0.2812, Thüringen, 16, 0.0284, 3.3281
2020-04-06, 0.5156, Thüringen, 16, 0.0521, 3.6093
2020-04-07, 0.0937, Thüringen, 16, 0.0095, 3.6093
2020-04-08, 0.1406, Thüringen, 16, 0.0142, 3.703
2020-04-09, -0.1406, Thüringen, 16, -0.0157, 3.4218
2020-04-10, -0.1875, Thüringen, 16, -0.0209, 3.4687
2020-04-11, -0.0469, Thüringen, 16, -0.0052, 3.5156
2020-04-12, 0.1875, Thüringen, 16, 0.019, 3.4218
2020-04-13, -0.2812, Thüringen, 16, -0.0314, 3.3749
2020-04-14, -0.4219, Thüringen, 16, -0.0471, 3.2812
2020-04-15, -0.9375, Thüringen, 16, -0.1047, 3.0937
2020-04-16, -0.1875, Thüringen, 16, -0.0209, 3.0937
2020-04-17, -0.5625, Thüringen, 16, -0.0628, 3.0937
2020-04-18, -0.7031, Thüringen, 16, -0.0785, 2.9999
2020-04-19, -0.4687, Thüringen, 16, -0.0524, 3.1874
2020-04-20, -0.375, Thüringen, 16, -0.0419, 2.9531
2020-04-21, -0.2344, Thüringen, 16, -0.0262, 3.4218
2020-04-22, 0.8437, Thüringen, 16, 0.0853, 3.6562
2020-04-23, 0.6562, Thüringen, 16, 0.0664, 3.9374
2020-04-24, 1.1719, Thüringen, 16, 0.1185, 3.8905
2020-04-25, 1.3593, Thüringen, 16, 0.1374, 4.0312
2020-04-26, 1.1719, Thüringen, 16, 0.1185, 3.9374
2020-04-27, 1.1719, Thüringen, 16, 0.1185, 3.8905
2020-04-28, 0.8437, Thüringen, 16, 0.0853, 3.5624
2020-04-29, -0.4687, Thüringen, 16, -0.0524, 3.7968
