Week, difference, reference, trend, value
2020-12, , 102, , 13.1
2020-13, 19, 245, 1.1111, 32.1
2020-14, 8.5, 254, 0.4971, 40.6
2020-15, -1.5, 209, -0.1271, 39.1
2020-16, -6.3, 138, -0.5339, 32.8
2020-17, -3, 106, -0.2542, 29.8
2020-18, -12.4, 54, -1.0508, 17.4
2020-19, , 50, , 17.4
2020-20, -6.9, 28, -0.5847, 10.5
2020-21, -2.5, 19, -0.2119, 8
2020-22, 0.1, 18, 0.0058, 8.1
2020-23, -0.8, 15, -0.0678, 7.3
2020-24, 1.5, 23, 0.0877, 8.8
2020-25, -1.5, 16, -0.1271, 7.3
2020-26, -2.3, 11, -0.1949, 5
2020-27, -0.3, 12, -0.0254, 4.7
2020-28, 0.6, 14, 0.0351, 5.3
2020-29, 0.8, 17, 0.0468, 6.1
2020-30, -2.1, 11, -0.178, 4
2020-31, 3.6, 24, 0.2105, 7.6
2020-32, -0.2, 20, -0.0169, 7.4
2020-33, -2.5, 16, -0.2119, 4.9
2020-34, -1.1, 13, -0.0932, 3.8
2020-35, 2.3, 20, 0.1345, 6.1
2020-36, 0.6, 23, 0.0351, 6.7
2020-37, -0.9, 21, -0.0763, 5.8
2020-38, 1.4, 25, 0.0819, 7.2
2020-39, 1, 30, 0.0585, 8.2
2020-40, 4.2, 42, 0.2456, 12.4
2020-41, 3.1, 56, 0.1813, 15.5
2020-42, 11.8, 103, 0.6901, 27.3
2020-43, 13.7, 213, 0.8012, 41
2020-44, 17.1, 369, 1, 58.1
2020-45, 2.1, 416, 0.1228, 60.2
2020-46, 5.7, 529, 0.3333, 65.9
2020-47, 0.9, 501, 0.0526, 66.8
2020-48, -0.1, 542, -0.0085, 66.7
2020-49, 2.2, 599, 0.1287, 68.9
2020-50, 6, 704, 0.3509, 74.9
2020-51, -0.3, 757, -0.0254, 74.6
2020-52, 4.1, 838, 0.2398, 78.7
2020-53, -2.1, 792, -0.178, 76.6
2021-01, -2.8, 644, -0.2373, 73.8
2021-02, 2.8, 584, 0.1637, 76.6
2021-03, -4.4, 516, -0.3729, 72.2
2021-04, -2.5, 426, -0.2119, 69.7
2021-05, -4.2, 353, -0.3559, 65.5
2021-06, -0.4, 327, -0.0339, 65.1
2021-07, -5.1, 281, -0.4322, 60
2021-08, -0.8, 277, -0.0678, 59.2
2021-09, 0.8, 290, 0.0468, 60
2021-10, 0.1, 343, 0.0058, 60.1
2021-11, 0.1, 371, 0.0058, 60.2
2021-12, 7.6, 462, 0.4444, 67.8
2021-13, 0.5, 519, 0.0292, 68.3
2021-14, 4.2, 558, 0.2456, 72.5
2021-15, -0.3, 519, -0.0254, 72.2
2021-16, 2.3, 571, 0.1345, 74.5
2021-17, -3.8, 517, -0.322, 70.7
2021-18, -9.4, 334, -0.7966, 61.3
2021-19, -3.6, 288, -0.3051, 57.7
2021-20, -8.2, 216, -0.6949, 49.5
2021-21, -11.8, 104, -1, 37.7
2021-22, -11.8, 82, -1, 25.9
2021-23, -11.3, 41, -0.9576, 14.6
2021-24, -8.4, 17, -0.7119, 6.2
2021-25, -1.4, 13, -0.1186, 4.8
2021-26, -0.5, 11, -0.0424, 4.3
2021-27, -1.1, 7, -0.0932, 3.2
2021-28, 0.5, 8, 0.0292, 3.7
2021-29, 3.5, 16, 0.2047, 7.2
2021-30, -0.4, 19, -0.0339, 6.8
2021-31, 7.5, 44, 0.4386, 14.3
2021-32, 6.3, 55, 0.3684, 20.6
2021-33, -2.6, 48, -0.2203, 18
2021-34, 14.3, 102, 0.8363, 32.3
