Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Bayern, 9, , 0.2
2020-03-06, , Bayern, 9, , 0.4
2020-03-07, , Bayern, 9, , 0.7
2020-03-08, , Bayern, 9, , 0.9
2020-03-09, , Bayern, 9, , 1
2020-03-10, , Bayern, 9, , 1.6
2020-03-11, , Bayern, 9, , 2.4
2020-03-12, 3, Bayern, 9, 0.0491, 3.3
2020-03-13, 3.8, Bayern, 9, 0.0613, 4.1
2020-03-14, 4.9, Bayern, 9, 0.0802, 5.7
2020-03-15, 6.4, Bayern, 9, 0.1041, 7.3
2020-03-16, 7.4, Bayern, 9, 0.1206, 8.4
2020-03-17, 8.2, Bayern, 9, 0.1332, 9.8
2020-03-18, 10.1, Bayern, 9, 0.1649, 12.6
2020-03-19, 14.1, Bayern, 9, 0.2298, 17.4
2020-03-20, 18.5, Bayern, 9, 0.3003, 22.6
2020-03-21, 21.6, Bayern, 9, 0.3513, 27.3
2020-03-22, 26.7, Bayern, 9, 0.4339, 34
2020-03-23, 28.6, Bayern, 9, 0.464, 37
2020-03-24, 30.6, Bayern, 9, 0.4973, 40.4
2020-03-25, 33.5, Bayern, 9, 0.5449, 46.1
2020-03-26, 35.7, Bayern, 9, 0.5808, 53.2
2020-03-27, 37.2, Bayern, 9, 0.605, 59.9
2020-03-28, 38.5, Bayern, 9, 0.625, 65.8
2020-03-29, 34.1, Bayern, 9, 0.5543, 68.1
2020-03-30, 33.4, Bayern, 9, 0.5428, 70.4
2020-03-31, 32.4, Bayern, 9, 0.5264, 72.8
2020-04-01, 31.5, Bayern, 9, 0.5114, 77.6
2020-04-02, 26.8, Bayern, 9, 0.4354, 79.9
2020-04-03, 21.9, Bayern, 9, 0.3563, 81.8
2020-04-04, 17.6, Bayern, 9, 0.2867, 83.4
2020-04-05, 15.9, Bayern, 9, 0.258, 84
2020-04-06, 12.5, Bayern, 9, 0.2034, 82.9
2020-04-07, 10.7, Bayern, 9, 0.1745, 83.6
2020-04-08, 3.6, Bayern, 9, 0.0584, 81.2
2020-04-09, -2.1, Bayern, 9, -0.0399, 77.8
2020-04-10, -9.2, Bayern, 9, -0.1703, 72.6
2020-04-11, -17.8, Bayern, 9, -0.3301, 65.7
2020-04-12, -23.9, Bayern, 9, -0.4438, 60.1
2020-04-13, -25.1, Bayern, 9, -0.4658, 57.9
2020-04-14, -30.8, Bayern, 9, -0.572, 52.8
2020-04-15, -34.3, Bayern, 9, -0.6379, 46.9
2020-04-16, -35.4, Bayern, 9, -0.6575, 42.4
2020-04-17, -33.3, Bayern, 9, -0.6184, 39.4
2020-04-18, -27.6, Bayern, 9, -0.5124, 38.1
2020-04-19, -23.9, Bayern, 9, -0.4435, 36.3
2020-04-20, -21.9, Bayern, 9, -0.4067, 36
2020-04-21, -17.5, Bayern, 9, -0.3254, 35.3
2020-04-22, -13.5, Bayern, 9, -0.2506, 33.4
2020-04-23, -11.8, Bayern, 9, -0.2203, 30.6
2020-04-24, -11, Bayern, 9, -0.2048, 28.4
2020-04-25, -11.7, Bayern, 9, -0.2167, 26.5
2020-04-26, -11.4, Bayern, 9, -0.2125, 24.8
2020-04-27, -12.7, Bayern, 9, -0.2353, 23.3
2020-04-28, -12.2, Bayern, 9, -0.2274, 23.1
2020-04-29, -11.4, Bayern, 9, -0.2118, 22
2020-04-30, -10.8, Bayern, 9, -0.2009, 19.8
2020-05-01, -10.7, Bayern, 9, -0.199, 17.7
2020-05-02, -11.1, Bayern, 9, -0.207, 15.3
2020-05-03, -10.8, Bayern, 9, -0.2012, 14
2020-05-04, -10, Bayern, 9, -0.1866, 13.3
2020-05-05, -11.1, Bayern, 9, -0.2064, 12
2020-05-06, -11.2, Bayern, 9, -0.208, 10.8
2020-05-07, -9.2, Bayern, 9, -0.172, 10.5
2020-05-08, -7.6, Bayern, 9, -0.1405, 10.1
2020-05-09, -5.3, Bayern, 9, -0.0989, 10
2020-05-10, -4.1, Bayern, 9, -0.0768, 9.9
2020-05-11, -3.5, Bayern, 9, -0.0652, 9.8
2020-05-12, -2, Bayern, 9, -0.0374, 10
2020-05-13, -0.8, Bayern, 9, -0.0157, 10
2020-05-14, -1.2, Bayern, 9, -0.0215, 9.4
2020-05-15, -0.9, Bayern, 9, -0.0169, 9.2
2020-05-16, -1.4, Bayern, 9, -0.0256, 8.6
2020-05-17, -1.4, Bayern, 9, -0.0266, 8.5
2020-05-18, -1.5, Bayern, 9, -0.0276, 8.3
2020-05-19, -2.4, Bayern, 9, -0.0448, 7.6
2020-05-20, -3.2, Bayern, 9, -0.0599, 6.8
2020-05-21, -2.6, Bayern, 9, -0.0479, 6.8
2020-05-22, -3.3, Bayern, 9, -0.0606, 5.9
2020-05-23, -2.8, Bayern, 9, -0.0527, 5.8
2020-05-24, -2.8, Bayern, 9, -0.0528, 5.6
2020-05-25, -2.5, Bayern, 9, -0.0459, 5.8
2020-05-26, -1.7, Bayern, 9, -0.0319, 5.8
2020-05-27, -0.7, Bayern, 9, -0.0133, 6
2020-05-28, -1.4, Bayern, 9, -0.0256, 5.4
2020-05-29, -0.5, Bayern, 9, -0.0102, 5.4
2020-05-30, -0.7, Bayern, 9, -0.0133, 5.1
2020-05-31, -0.5, Bayern, 9, -0.0093, 5.1
2020-06-01, -1.1, Bayern, 9, -0.0205, 4.7
2020-06-02, -1.6, Bayern, 9, -0.0302, 4.2
2020-06-03, -2.6, Bayern, 9, -0.0476, 3.5
2020-06-04, -2.4, Bayern, 9, -0.0449, 3
2020-06-05, -2.4, Bayern, 9, -0.0445, 3
2020-06-06, -2.2, Bayern, 9, -0.0418, 2.8
2020-06-07, -2.7, Bayern, 9, -0.051, 2.4
2020-06-08, -2.4, Bayern, 9, -0.0439, 2.4
2020-06-09, -1.7, Bayern, 9, -0.0313, 2.5
2020-06-10, -0.9, Bayern, 9, -0.0164, 2.6
2020-06-11, -0.3, Bayern, 9, -0.0048, 2.8
2020-06-12, -0.6, Bayern, 9, -0.0113, 2.4
2020-06-13, -0.6, Bayern, 9, -0.0116, 2.2
2020-06-14, -0.2, Bayern, 9, -0.0033, 2.2
2020-06-15, -0.3, Bayern, 9, -0.0059, 2
2020-06-16, -0.5, Bayern, 9, -0.0099, 2
2020-06-17, -0.6, Bayern, 9, -0.0113, 2
2020-06-18, -1, Bayern, 9, -0.0188, 1.7
2020-06-19, -0.6, Bayern, 9, -0.0103, 1.8
2020-06-20, -0.3, Bayern, 9, -0.0059, 1.9
2020-06-21, -0.2, Bayern, 9, -0.0042, 2
2020-06-22, , Bayern, 9, -0.0001, 2
2020-06-23, 0.1, Bayern, 9, 0.0016, 2.1
2020-06-24, 0.2, Bayern, 9, 0.0025, 2.1
2020-06-25, 0.5, Bayern, 9, 0.008, 2.2
2020-06-26, 0.5, Bayern, 9, 0.0083, 2.3
2020-06-27, 0.8, Bayern, 9, 0.013, 2.7
2020-06-28, 0.8, Bayern, 9, 0.0129, 2.8
2020-06-29, 0.7, Bayern, 9, 0.012, 2.8
2020-06-30, 0.8, Bayern, 9, 0.0137, 2.9
2020-07-01, 1.1, Bayern, 9, 0.0178, 3.2
2020-07-02, 1.1, Bayern, 9, 0.0171, 3.3
2020-07-03, 1, Bayern, 9, 0.0167, 3.4
2020-07-04, 0.6, Bayern, 9, 0.0105, 3.3
2020-07-05, 0.8, Bayern, 9, 0.0125, 3.5
2020-07-06, 0.7, Bayern, 9, 0.0118, 3.5
2020-07-07, 0.7, Bayern, 9, 0.0119, 3.7
2020-07-08, 0.5, Bayern, 9, 0.0078, 3.7
2020-07-09, 0.5, Bayern, 9, 0.0079, 3.8
2020-07-10, 0.6, Bayern, 9, 0.0092, 3.9
