Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Hamburg, 2, , 0.3
2020-03-06, , Hamburg, 2, , 0.6
2020-03-07, , Hamburg, 2, , 0.8
2020-03-08, , Hamburg, 2, , 0.9
2020-03-09, , Hamburg, 2, , 1.1
2020-03-10, , Hamburg, 2, , 2.3
2020-03-11, , Hamburg, 2, , 3.7
2020-03-12, 4.9, Hamburg, 2, 0.0742, 5.3
2020-03-13, 6.6, Hamburg, 2, 0.0995, 7.2
2020-03-14, 8.3, Hamburg, 2, 0.1256, 9.1
2020-03-15, 12.2, Hamburg, 2, 0.1843, 13.2
2020-03-16, 16, Hamburg, 2, 0.2406, 17.1
2020-03-17, 18, Hamburg, 2, 0.2716, 20.3
2020-03-18, 22.2, Hamburg, 2, 0.3352, 25.9
2020-03-19, 26.4, Hamburg, 2, 0.3972, 31.6
2020-03-20, 32.3, Hamburg, 2, 0.4861, 39.5
2020-03-21, 36.2, Hamburg, 2, 0.5457, 45.3
2020-03-22, 33.6, Hamburg, 2, 0.5065, 46.8
2020-03-23, 33.5, Hamburg, 2, 0.5049, 50.6
2020-03-24, 33.1, Hamburg, 2, 0.4992, 53.4
2020-03-25, 31.5, Hamburg, 2, 0.4739, 57.4
2020-03-26, 27.2, Hamburg, 2, 0.4103, 58.8
2020-03-27, 18.6, Hamburg, 2, 0.2798, 58
2020-03-28, 12.5, Hamburg, 2, 0.1884, 57.8
2020-03-29, 13.2, Hamburg, 2, 0.1982, 59.9
2020-03-30, 7.5, Hamburg, 2, 0.1126, 58.1
2020-03-31, 1.4, Hamburg, 2, 0.0204, 54.8
2020-04-01, -5.1, Hamburg, 2, -0.0942, 52.2
2020-04-02, -7.8, Hamburg, 2, -0.1438, 51
2020-04-03, -7.3, Hamburg, 2, -0.1339, 50.7
2020-04-04, -6.2, Hamburg, 2, -0.1141, 51.6
2020-04-05, -10.3, Hamburg, 2, -0.1885, 49.6
2020-04-06, -8.8, Hamburg, 2, -0.1617, 49.3
2020-04-07, -4.3, Hamburg, 2, -0.0794, 50.5
2020-04-08, 0.9, Hamburg, 2, 0.0139, 53.2
2020-04-09, 1, Hamburg, 2, 0.0155, 52
2020-04-10, -1.6, Hamburg, 2, -0.0288, 49.2
2020-04-11, -5.7, Hamburg, 2, -0.1052, 45.9
2020-04-12, -5.4, Hamburg, 2, -0.0992, 44.2
2020-04-13, -8.4, Hamburg, 2, -0.1538, 40.9
2020-04-14, -12.4, Hamburg, 2, -0.2272, 38.1
2020-04-15, -22.2, Hamburg, 2, -0.4077, 30.9
2020-04-16, -23, Hamburg, 2, -0.4206, 29.1
2020-04-17, -22.2, Hamburg, 2, -0.4077, 26.9
2020-04-18, -18.4, Hamburg, 2, -0.3373, 27.4
2020-04-19, -18.9, Hamburg, 2, -0.3472, 25.3
2020-04-20, -16.9, Hamburg, 2, -0.3095, 24
2020-04-21, -14.5, Hamburg, 2, -0.2659, 23.5
2020-04-22, -8.4, Hamburg, 2, -0.1548, 22.5
2020-04-23, -8.4, Hamburg, 2, -0.1548, 20.6
2020-04-24, -7.6, Hamburg, 2, -0.1389, 19.3
2020-04-25, -11.7, Hamburg, 2, -0.2143, 15.8
2020-04-26, -9.3, Hamburg, 2, -0.1696, 16
2020-04-27, -8.2, Hamburg, 2, -0.1508, 15.8
2020-04-28, -8.4, Hamburg, 2, -0.1548, 15.1
2020-04-29, -9.1, Hamburg, 2, -0.1667, 13.4
2020-04-30, -7.7, Hamburg, 2, -0.1409, 12.9
2020-05-01, -7.7, Hamburg, 2, -0.1409, 11.6
2020-05-02, -5.8, Hamburg, 2, -0.1071, 9.9
2020-05-03, -7.8, Hamburg, 2, -0.1429, 8.2
2020-05-04, -8.3, Hamburg, 2, -0.1518, 7.5
2020-05-05, -8.3, Hamburg, 2, -0.1518, 6.8
2020-05-06, -6.8, Hamburg, 2, -0.124, 6.6
2020-05-07, -7.4, Hamburg, 2, -0.1359, 5.5
2020-05-08, -6.6, Hamburg, 2, -0.12, 5.1
2020-05-09, -4.7, Hamburg, 2, -0.0853, 5.3
2020-05-10, -3.1, Hamburg, 2, -0.0575, 5.1
2020-05-11, -2.4, Hamburg, 2, -0.0437, 5.1
2020-05-12, -2, Hamburg, 2, -0.0367, 4.8
2020-05-13, -2.8, Hamburg, 2, -0.0516, 3.8
2020-05-14, -2.2, Hamburg, 2, -0.0397, 3.4
2020-05-15, -2.1, Hamburg, 2, -0.0387, 3
2020-05-16, -2.3, Hamburg, 2, -0.0417, 3
2020-05-17, -2.3, Hamburg, 2, -0.0427, 2.8
2020-05-18, -2.4, Hamburg, 2, -0.0446, 2.7
2020-05-19, -2.3, Hamburg, 2, -0.0427, 2.5
