Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Hessen, 6, , 0.2
2020-03-06, , Hessen, 6, , 0.3
2020-03-07, , Hessen, 6, , 0.3
2020-03-08, , Hessen, 6, , 0.4
2020-03-09, , Hessen, 6, , 0.3
2020-03-10, , Hessen, 6, , 0.6
2020-03-11, , Hessen, 6, , 0.8
2020-03-12, 1.1, Hessen, 6, 0.0172, 1.3
2020-03-13, 1.5, Hessen, 6, 0.0236, 1.8
2020-03-14, 2.8, Hessen, 6, 0.0427, 3.1
2020-03-15, 4, Hessen, 6, 0.0611, 4.3
2020-03-16, 4.4, Hessen, 6, 0.0677, 4.7
2020-03-17, 5.8, Hessen, 6, 0.0896, 6.4
2020-03-18, 8, Hessen, 6, 0.124, 8.8
2020-03-19, 10.4, Hessen, 6, 0.1613, 11.8
2020-03-20, 12.6, Hessen, 6, 0.1939, 14.4
2020-03-21, 13.4, Hessen, 6, 0.2069, 16.5
2020-03-22, 13, Hessen, 6, 0.2, 17.3
2020-03-23, 13.1, Hessen, 6, 0.2025, 17.8
2020-03-24, 13.8, Hessen, 6, 0.2135, 20.2
2020-03-25, 12.5, Hessen, 6, 0.1924, 21.3
2020-03-26, 9.9, Hessen, 6, 0.1524, 21.7
2020-03-27, 8.8, Hessen, 6, 0.1362, 23.2
2020-03-28, 8.3, Hessen, 6, 0.1281, 24.8
2020-03-29, 8.3, Hessen, 6, 0.1284, 25.6
2020-03-30, 9.1, Hessen, 6, 0.1402, 26.9
2020-03-31, 5.2, Hessen, 6, 0.0805, 25.4
2020-04-01, 4.5, Hessen, 6, 0.0692, 25.8
2020-04-02, 5.4, Hessen, 6, 0.0832, 27.1
2020-04-03, 3.3, Hessen, 6, 0.0503, 26.5
2020-04-04, 0.8, Hessen, 6, 0.012, 25.6
2020-04-05, 0.5, Hessen, 6, 0.0083, 26.2
2020-04-06, -1.5, Hessen, 6, -0.0202, 25.4
2020-04-07, -0.7, Hessen, 6, -0.0098, 24.7
2020-04-08, -1, Hessen, 6, -0.0137, 24.7
2020-04-09, -2.7, Hessen, 6, -0.0358, 24.3
2020-04-10, -1.8, Hessen, 6, -0.0235, 24.7
2020-04-11, -2.4, Hessen, 6, -0.0314, 23.2
2020-04-12, -4.2, Hessen, 6, -0.0544, 22
2020-04-13, -3.3, Hessen, 6, -0.0427, 22.1
2020-04-14, -3.6, Hessen, 6, -0.0466, 21.1
2020-04-15, -5.1, Hessen, 6, -0.0666, 19.6
2020-04-16, -5.9, Hessen, 6, -0.0775, 18.4
2020-04-17, -7.6, Hessen, 6, -0.0998, 17.1
2020-04-18, -5.5, Hessen, 6, -0.0723, 17.7
2020-04-19, -4.7, Hessen, 6, -0.0614, 17.3
2020-04-20, -5.2, Hessen, 6, -0.0681, 16.9
2020-04-21, -4.2, Hessen, 6, -0.0548, 17
2020-04-22, -2.5, Hessen, 6, -0.0331, 17.1
2020-04-23, -2.1, Hessen, 6, -0.0275, 16.3
2020-04-24, -2.1, Hessen, 6, -0.0275, 15
2020-04-25, -4.1, Hessen, 6, -0.0531, 13.6
2020-04-26, -4.4, Hessen, 6, -0.0571, 13
2020-04-27, -4.7, Hessen, 6, -0.0621, 12.2
2020-04-28, -4.9, Hessen, 6, -0.0648, 12
2020-04-29, -5.6, Hessen, 6, -0.0729, 11.5
2020-04-30, -5.7, Hessen, 6, -0.0741, 10.6
2020-05-01, -4.7, Hessen, 6, -0.0612, 10.3
2020-05-02, -3.7, Hessen, 6, -0.0481, 9.9
2020-05-03, -3.8, Hessen, 6, -0.05, 9.1
2020-05-04, -3, Hessen, 6, -0.0394, 9.2
2020-05-05, -3.5, Hessen, 6, -0.0454, 8.5
2020-05-06, -3.8, Hessen, 6, -0.0496, 7.7
2020-05-07, -3.1, Hessen, 6, -0.0412, 7.5
2020-05-08, -3.1, Hessen, 6, -0.0412, 7.2
2020-05-09, -2.7, Hessen, 6, -0.0348, 7.3
2020-05-10, -1.8, Hessen, 6, -0.0231, 7.4
2020-05-11, -2, Hessen, 6, -0.0258, 7.2
2020-05-12, -1.3, Hessen, 6, -0.0167, 7.3
2020-05-13, -0.6, Hessen, 6, -0.0077, 7.2
2020-05-14, -0.9, Hessen, 6, -0.0117, 6.6
2020-05-15, -1.1, Hessen, 6, -0.015, 6
2020-05-16, -1.5, Hessen, 6, -0.02, 5.7
2020-05-17, -1.8, Hessen, 6, -0.0242, 5.5
2020-05-18, -0.7, Hessen, 6, -0.0096, 6.5
2020-05-19, -0.3, Hessen, 6, -0.0044, 6.9
2020-05-20, -0.3, Hessen, 6, -0.0046, 6.8
2020-05-21, 0.7, Hessen, 6, 0.011, 7.3
2020-05-22, 1, Hessen, 6, 0.0162, 7.1
2020-05-23, 1, Hessen, 6, 0.0155, 6.7
2020-05-24, 1.5, Hessen, 6, 0.0228, 7
2020-05-25, -0.4, Hessen, 6, -0.0054, 6.1
2020-05-26, -1.4, Hessen, 6, -0.0179, 5.6
2020-05-27, -1.2, Hessen, 6, -0.0158, 5.6
2020-05-28, -2.6, Hessen, 6, -0.0342, 4.7
2020-05-29, -1.9, Hessen, 6, -0.025, 5.2
2020-05-30, -1.8, Hessen, 6, -0.0231, 5
2020-05-31, -2.3, Hessen, 6, -0.0302, 4.7
2020-06-01, -1.4, Hessen, 6, -0.0183, 4.7
2020-06-02, -1.4, Hessen, 6, -0.0177, 4.2
2020-06-03, -2.2, Hessen, 6, -0.0285, 3.4
2020-06-04, -1.5, Hessen, 6, -0.0192, 3.2
2020-06-05, -2.4, Hessen, 6, -0.031, 2.8
2020-06-06, -2.4, Hessen, 6, -0.0317, 2.6
2020-06-07, -2.4, Hessen, 6, -0.0312, 2.3
2020-06-08, -2.4, Hessen, 6, -0.0312, 2.3
2020-06-09, -1.4, Hessen, 6, -0.0183, 2.8
2020-06-10, -0.7, Hessen, 6, -0.0098, 2.7
2020-06-11, -0.5, Hessen, 6, -0.0071, 2.7
2020-06-12, -0.4, Hessen, 6, -0.0052, 2.4
2020-06-13, -0.2, Hessen, 6, -0.0021, 2.4
2020-06-14, 0.1, Hessen, 6, 0.0012, 2.4
2020-06-15, 0.1, Hessen, 6, 0.0015, 2.4
2020-06-16, -0.9, Hessen, 6, -0.0117, 1.9
2020-06-17, -0.4, Hessen, 6, -0.005, 2.3
2020-06-18, -0.1, Hessen, 6, -0.0012, 2.6
2020-06-19, 0.8, Hessen, 6, 0.013, 3.2
2020-06-20, 1.4, Hessen, 6, 0.0209, 3.8
2020-06-21, 1.4, Hessen, 6, 0.0211, 3.8
2020-06-22, 1.4, Hessen, 6, 0.0218, 3.8
2020-06-23, 2.1, Hessen, 6, 0.0317, 4
2020-06-24, 1.7, Hessen, 6, 0.0255, 3.9
2020-06-25, 0.9, Hessen, 6, 0.0133, 3.5
2020-06-26, 0.1, Hessen, 6, 0.0015, 3.3
2020-06-27, -0.9, Hessen, 6, -0.0117, 2.9
2020-06-28, -0.9, Hessen, 6, -0.0121, 2.8
2020-06-29, -1, Hessen, 6, -0.0133, 2.8
2020-06-30, -1.2, Hessen, 6, -0.0158, 2.8
2020-07-01, -1.3, Hessen, 6, -0.0171, 2.6
2020-07-02, -0.5, Hessen, 6, -0.006, 3
2020-07-03, -0.5, Hessen, 6, -0.0062, 2.8
2020-07-04, , Hessen, 6, 0.0002, 2.9
2020-07-05, , Hessen, 6, , 2.8
2020-07-06, 0.2, Hessen, 6, 0.0032, 3
2020-07-07, 0.3, Hessen, 6, 0.0049, 3.1
2020-07-08, 0.4, Hessen, 6, 0.0066, 3.1
2020-07-09, 0.1, Hessen, 6, 0.0015, 3.1
2020-07-10, 0.4, Hessen, 6, 0.0064, 3.3
2020-07-11, 0.6, Hessen, 6, 0.0086, 3.4
2020-07-12, 0.8, Hessen, 6, 0.0118, 3.6
2020-07-13, 0.5, Hessen, 6, 0.0081, 3.5
2020-07-14, 0.5, Hessen, 6, 0.0074, 3.6
2020-07-15, 0.7, Hessen, 6, 0.0103, 3.7
2020-07-16, 0.6, Hessen, 6, 0.0088, 3.7
2020-07-17, 0.4, Hessen, 6, 0.0066, 3.7
2020-07-18, 0.2, Hessen, 6, 0.0029, 3.6
2020-07-19, 0.1, Hessen, 6, 0.0015, 3.7
2020-07-20, 0.3, Hessen, 6, 0.0047, 3.8
2020-07-21, 0.2, Hessen, 6, 0.0025, 3.7
2020-07-22, -0.2, Hessen, 6, -0.0029, 3.5
2020-07-23, 0.2, Hessen, 6, 0.0032, 3.9
