Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Niedersachsen, 3, , 0.2
2020-03-06, , Niedersachsen, 3, , 0.2
2020-03-07, , Niedersachsen, 3, , 0.3
2020-03-08, , Niedersachsen, 3, , 0.4
2020-03-09, , Niedersachsen, 3, , 0.5
2020-03-10, , Niedersachsen, 3, , 0.6
2020-03-11, , Niedersachsen, 3, , 1
2020-03-12, 1.5, Niedersachsen, 3, 0.0378, 1.7
2020-03-13, 2.2, Niedersachsen, 3, 0.0552, 2.5
2020-03-14, 3.2, Niedersachsen, 3, 0.0791, 3.5
2020-03-15, 4, Niedersachsen, 3, 0.098, 4.4
2020-03-16, 4.7, Niedersachsen, 3, 0.1169, 5.2
2020-03-17, 6.4, Niedersachsen, 3, 0.1575, 7
2020-03-18, 7.8, Niedersachsen, 3, 0.1929, 8.7
2020-03-19, 9.7, Niedersachsen, 3, 0.2397, 11.4
2020-03-20, 11.2, Niedersachsen, 3, 0.2766, 13.6
2020-03-21, 12.3, Niedersachsen, 3, 0.3045, 15.8
2020-03-22, 12.7, Niedersachsen, 3, 0.3147, 17.1
2020-03-23, 12.4, Niedersachsen, 3, 0.3073, 17.6
2020-03-24, 11.7, Niedersachsen, 3, 0.2896, 18.7
2020-03-25, 11.4, Niedersachsen, 3, 0.2825, 20.1
2020-03-26, 10.1, Niedersachsen, 3, 0.2505, 21.5
2020-03-27, 9.4, Niedersachsen, 3, 0.2322, 23
2020-03-28, 9, Niedersachsen, 3, 0.2236, 24.8
2020-03-29, 9.8, Niedersachsen, 3, 0.2437, 26.9
2020-03-30, 10.2, Niedersachsen, 3, 0.253, 27.8
2020-03-31, 10, Niedersachsen, 3, 0.2474, 28.6
2020-04-01, 9.3, Niedersachsen, 3, 0.2301, 29.4
2020-04-02, 7.8, Niedersachsen, 3, 0.1944, 29.3
2020-04-03, 5.8, Niedersachsen, 3, 0.1445, 28.8
2020-04-04, 3.7, Niedersachsen, 3, 0.0921, 28.5
2020-04-05, 0.1, Niedersachsen, 3, 0.0022, 27
2020-04-06, -1.2, Niedersachsen, 3, -0.0378, 26.5
2020-04-07, -3.1, Niedersachsen, 3, -0.0946, 25.5
2020-04-08, -3.7, Niedersachsen, 3, -0.1133, 25.7
2020-04-09, -4, Niedersachsen, 3, -0.1228, 25.3
2020-04-10, -3.8, Niedersachsen, 3, -0.1152, 25
2020-04-11, -5.1, Niedersachsen, 3, -0.1552, 23.4
2020-04-12, -4.7, Niedersachsen, 3, -0.1445, 22.3
2020-04-13, -4.2, Niedersachsen, 3, -0.1278, 22.4
2020-04-14, -5.1, Niedersachsen, 3, -0.1541, 20.5
2020-04-15, -7.8, Niedersachsen, 3, -0.238, 17.9
2020-04-16, -8.7, Niedersachsen, 3, -0.2662, 16.6
2020-04-17, -9.4, Niedersachsen, 3, -0.286, 15.7
2020-04-18, -8.6, Niedersachsen, 3, -0.2613, 14.9
2020-04-19, -7.2, Niedersachsen, 3, -0.2197, 15
2020-04-20, -8, Niedersachsen, 3, -0.2433, 14.4
2020-04-21, -5.5, Niedersachsen, 3, -0.1667, 15
2020-04-22, -2.9, Niedersachsen, 3, -0.0896, 15
2020-04-23, -2.4, Niedersachsen, 3, -0.0736, 14.1
2020-04-24, -2.8, Niedersachsen, 3, -0.0854, 12.9
2020-04-25, -3, Niedersachsen, 3, -0.0915, 11.9
2020-04-26, -4.1, Niedersachsen, 3, -0.1259, 10.9
2020-04-27, -4, Niedersachsen, 3, -0.1232, 10.3
2020-04-28, -5.4, Niedersachsen, 3, -0.164, 9.6
2020-04-29, -6.1, Niedersachsen, 3, -0.1857, 8.9
2020-04-30, -6.2, Niedersachsen, 3, -0.1892, 7.9
2020-05-01, -5.6, Niedersachsen, 3, -0.1716, 7.2
2020-05-02, -5.6, Niedersachsen, 3, -0.1716, 6.2
2020-05-03, -5.1, Niedersachsen, 3, -0.1541, 5.9
2020-05-04, -4.9, Niedersachsen, 3, -0.1495, 5.4
2020-05-05, -4, Niedersachsen, 3, -0.1213, 5.7
2020-05-06, -3.5, Niedersachsen, 3, -0.106, 5.4
2020-05-07, -2.4, Niedersachsen, 3, -0.074, 5.5
2020-05-08, -1.7, Niedersachsen, 3, -0.0511, 5.6
2020-05-09, -0.2, Niedersachsen, 3, -0.0072, 6
2020-05-10, 0.1, Niedersachsen, 3, 0.0012, 5.9
2020-05-11, 0.4, Niedersachsen, 3, 0.0109, 5.9
2020-05-12, -0.4, Niedersachsen, 3, -0.0107, 5.3
2020-05-13, -0.5, Niedersachsen, 3, -0.0141, 4.9
2020-05-14, -0.8, Niedersachsen, 3, -0.0233, 4.7
2020-05-15, -1.4, Niedersachsen, 3, -0.0431, 4.1
2020-05-16, -2.3, Niedersachsen, 3, -0.0698, 3.7
2020-05-17, -2.3, Niedersachsen, 3, -0.0698, 3.6
2020-05-18, -2.3, Niedersachsen, 3, -0.0686, 3.6
2020-05-19, -1.4, Niedersachsen, 3, -0.0435, 3.9
2020-05-20, -0.9, Niedersachsen, 3, -0.0271, 4
2020-05-21, -0.5, Niedersachsen, 3, -0.0156, 4.2
2020-05-22, 0.2, Niedersachsen, 3, 0.0053, 4.4
2020-05-23, 1.3, Niedersachsen, 3, 0.0326, 5
2020-05-24, 1.6, Niedersachsen, 3, 0.0394, 5.2
2020-05-25, 1.6, Niedersachsen, 3, 0.0397, 5.2
2020-05-26, 1.1, Niedersachsen, 3, 0.026, 4.9
2020-05-27, 0.9, Niedersachsen, 3, 0.0211, 4.9
2020-05-28, 1, Niedersachsen, 3, 0.0254, 5.3
2020-05-29, 1.2, Niedersachsen, 3, 0.0307, 5.6
2020-05-30, 0.2, Niedersachsen, 3, 0.0043, 5.2
2020-05-31, 0.3, Niedersachsen, 3, 0.0065, 5.5
2020-06-01, 0.4, Niedersachsen, 3, 0.0109, 5.7
2020-06-02, 0.7, Niedersachsen, 3, 0.0167, 5.6
2020-06-03, 0.7, Niedersachsen, 3, 0.0164, 5.6
2020-06-04, 0.3, Niedersachsen, 3, 0.0068, 5.5
2020-06-05, 0.2, Niedersachsen, 3, 0.0056, 5.8
2020-06-06, 1, Niedersachsen, 3, 0.0242, 6.2
2020-06-07, 0.7, Niedersachsen, 3, 0.0177, 6.2
2020-06-08, 0.7, Niedersachsen, 3, 0.0161, 6.3
2020-06-09, 0.9, Niedersachsen, 3, 0.0214, 6.5
2020-06-10, 1.2, Niedersachsen, 3, 0.0288, 6.7
2020-06-11, 0.5, Niedersachsen, 3, 0.0118, 6
2020-06-12, -0.4, Niedersachsen, 3, -0.0133, 5.4
2020-06-13, -1, Niedersachsen, 3, -0.0313, 5.2
2020-06-14, -1.4, Niedersachsen, 3, -0.0431, 4.8
2020-06-15, -1.8, Niedersachsen, 3, -0.0538, 4.5
2020-06-16, -2.2, Niedersachsen, 3, -0.0656, 4.3
2020-06-17, -2.6, Niedersachsen, 3, -0.0797, 4.1
2020-06-18, -2, Niedersachsen, 3, -0.061, 4
2020-06-19, -0.9, Niedersachsen, 3, -0.0286, 4.4
2020-06-20, -0.7, Niedersachsen, 3, -0.021, 4.5
2020-06-21, -0.2, Niedersachsen, 3, -0.0046, 4.6
2020-06-22, 0.1, Niedersachsen, 3, 0.0019, 4.6
2020-06-23, , Niedersachsen, 3, 0.0009, 4.4
2020-06-24, 0.4, Niedersachsen, 3, 0.0099, 4.5
2020-06-25, 0.2, Niedersachsen, 3, 0.0056, 4.2
2020-06-26, -0.8, Niedersachsen, 3, -0.0233, 3.7
2020-06-27, -1.3, Niedersachsen, 3, -0.0385, 3.2
2020-06-28, -1.6, Niedersachsen, 3, -0.0488, 3
2020-06-29, -1.6, Niedersachsen, 3, -0.0477, 3.1
2020-06-30, -1.1, Niedersachsen, 3, -0.0336, 3.3
2020-07-01, -1.8, Niedersachsen, 3, -0.0553, 2.7
2020-07-02, -1.5, Niedersachsen, 3, -0.0469, 2.7
2020-07-03, -1.1, Niedersachsen, 3, -0.0332, 2.6
2020-07-04, -0.7, Niedersachsen, 3, -0.0214, 2.5
2020-07-05, -0.8, Niedersachsen, 3, -0.0248, 2.2
2020-07-06, -0.8, Niedersachsen, 3, -0.0244, 2.3
