Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Nordrhein-Westfalen, 5, , 1.3
2020-03-06, , Nordrhein-Westfalen, 5, , 1.7
2020-03-07, , Nordrhein-Westfalen, 5, , 1.9
2020-03-08, , Nordrhein-Westfalen, 5, , 2.2
2020-03-09, , Nordrhein-Westfalen, 5, , 2.2
2020-03-10, , Nordrhein-Westfalen, 5, , 2.7
2020-03-11, , Nordrhein-Westfalen, 5, , 3.5
2020-03-12, 2.8, Nordrhein-Westfalen, 5, 0.0433, 4.1
2020-03-13, 3.4, Nordrhein-Westfalen, 5, 0.0526, 5.1
2020-03-14, 5.3, Nordrhein-Westfalen, 5, 0.0819, 7.1
2020-03-15, 6.4, Nordrhein-Westfalen, 5, 0.0994, 8.6
2020-03-16, 7.6, Nordrhein-Westfalen, 5, 0.1176, 9.8
2020-03-17, 10, Nordrhein-Westfalen, 5, 0.1545, 12.6
2020-03-18, 13.2, Nordrhein-Westfalen, 5, 0.2049, 16.7
2020-03-19, 15.5, Nordrhein-Westfalen, 5, 0.24, 19.5
2020-03-20, 19.2, Nordrhein-Westfalen, 5, 0.2979, 24.3
2020-03-21, 19.7, Nordrhein-Westfalen, 5, 0.3052, 26.8
2020-03-22, 20.3, Nordrhein-Westfalen, 5, 0.3154, 28.9
2020-03-23, 20.2, Nordrhein-Westfalen, 5, 0.3134, 30
2020-03-24, 18.9, Nordrhein-Westfalen, 5, 0.2929, 31.5
2020-03-25, 14.2, Nordrhein-Westfalen, 5, 0.2211, 30.9
2020-03-26, 13.2, Nordrhein-Westfalen, 5, 0.2047, 32.7
2020-03-27, 7.8, Nordrhein-Westfalen, 5, 0.1218, 32.1
2020-03-28, 6.5, Nordrhein-Westfalen, 5, 0.1014, 33.3
2020-03-29, 4.7, Nordrhein-Westfalen, 5, 0.0736, 33.6
2020-03-30, 4.8, Nordrhein-Westfalen, 5, 0.0739, 34.7
2020-03-31, 2.6, Nordrhein-Westfalen, 5, 0.0404, 34.1
2020-04-01, 4.6, Nordrhein-Westfalen, 5, 0.0718, 35.5
2020-04-02, 3.5, Nordrhein-Westfalen, 5, 0.0542, 36.2
2020-04-03, 5, Nordrhein-Westfalen, 5, 0.077, 37.1
2020-04-04, 3.6, Nordrhein-Westfalen, 5, 0.0558, 36.9
2020-04-05, 3, Nordrhein-Westfalen, 5, 0.0461, 36.6
2020-04-06, 1.1, Nordrhein-Westfalen, 5, 0.0176, 35.8
2020-04-07, 2.4, Nordrhein-Westfalen, 5, 0.0368, 36.4
2020-04-08, 0.1, Nordrhein-Westfalen, 5, 0.0016, 35.6
2020-04-09, -1.2, Nordrhein-Westfalen, 5, -0.0178, 35
2020-04-10, -3.2, Nordrhein-Westfalen, 5, -0.0465, 33.9
2020-04-11, -5.5, Nordrhein-Westfalen, 5, -0.0801, 31.5
2020-04-12, -5.7, Nordrhein-Westfalen, 5, -0.0839, 30.9
2020-04-13, -5.6, Nordrhein-Westfalen, 5, -0.0821, 30.2
2020-04-14, -9.4, Nordrhein-Westfalen, 5, -0.1376, 27
2020-04-15, -10.8, Nordrhein-Westfalen, 5, -0.1586, 24.8
2020-04-16, -12.3, Nordrhein-Westfalen, 5, -0.18, 22.7
2020-04-17, -12.8, Nordrhein-Westfalen, 5, -0.1868, 21.1
2020-04-18, -10.2, Nordrhein-Westfalen, 5, -0.1498, 21.2
2020-04-19, -10.3, Nordrhein-Westfalen, 5, -0.1504, 20.6
2020-04-20, -9.9, Nordrhein-Westfalen, 5, -0.1448, 20.3
2020-04-21, -5.3, Nordrhein-Westfalen, 5, -0.078, 21.7
2020-04-22, -3.4, Nordrhein-Westfalen, 5, -0.0495, 21.4
2020-04-23, -2.3, Nordrhein-Westfalen, 5, -0.0342, 20.3
2020-04-24, -2.7, Nordrhein-Westfalen, 5, -0.0399, 18.4
2020-04-25, -4.5, Nordrhein-Westfalen, 5, -0.0653, 16.7
2020-04-26, -5.2, Nordrhein-Westfalen, 5, -0.0762, 15.4
2020-04-27, -6, Nordrhein-Westfalen, 5, -0.0877, 14.3
2020-04-28, -9.1, Nordrhein-Westfalen, 5, -0.1337, 12.6
2020-04-29, -9.9, Nordrhein-Westfalen, 5, -0.1447, 11.5
2020-04-30, -10.1, Nordrhein-Westfalen, 5, -0.1477, 10.2
2020-05-01, -8.2, Nordrhein-Westfalen, 5, -0.1202, 10.2
2020-05-02, -7.1, Nordrhein-Westfalen, 5, -0.1041, 9.6
2020-05-03, -6.2, Nordrhein-Westfalen, 5, -0.09, 9.2
2020-05-04, -5.3, Nordrhein-Westfalen, 5, -0.0775, 9
2020-05-05, -3.8, Nordrhein-Westfalen, 5, -0.0558, 8.7
2020-05-06, -2.9, Nordrhein-Westfalen, 5, -0.0424, 8.6
2020-05-07, -1.2, Nordrhein-Westfalen, 5, -0.0181, 9
2020-05-08, -1.6, Nordrhein-Westfalen, 5, -0.0227, 8.6
2020-05-09, -1.1, Nordrhein-Westfalen, 5, -0.0158, 8.5
2020-05-10, -0.4, Nordrhein-Westfalen, 5, -0.0062, 8.8
2020-05-11, -0.3, Nordrhein-Westfalen, 5, -0.0048, 8.7
2020-05-12, 0.1, Nordrhein-Westfalen, 5, 0.0022, 8.9
2020-05-13, 0.2, Nordrhein-Westfalen, 5, 0.0038, 8.8
2020-05-14, -0.7, Nordrhein-Westfalen, 5, -0.0108, 8.3
2020-05-15, -1.1, Nordrhein-Westfalen, 5, -0.0156, 7.6
2020-05-16, -0.9, Nordrhein-Westfalen, 5, -0.0126, 7.7
2020-05-17, -1.4, Nordrhein-Westfalen, 5, -0.0204, 7.4
2020-05-18, -1.4, Nordrhein-Westfalen, 5, -0.0201, 7.3
2020-05-19, -1.7, Nordrhein-Westfalen, 5, -0.0248, 7.2
2020-05-20, -1.9, Nordrhein-Westfalen, 5, -0.0278, 6.9
2020-05-21, -1.6, Nordrhein-Westfalen, 5, -0.0236, 6.6
2020-05-22, -1.4, Nordrhein-Westfalen, 5, -0.0212, 6.1
2020-05-23, -2.3, Nordrhein-Westfalen, 5, -0.0337, 5.4
2020-05-24, -2.4, Nordrhein-Westfalen, 5, -0.0349, 5
2020-05-25, -2.5, Nordrhein-Westfalen, 5, -0.0367, 4.8
2020-05-26, -2.6, Nordrhein-Westfalen, 5, -0.0384, 4.5
2020-05-27, -2.7, Nordrhein-Westfalen, 5, -0.0389, 4.3
2020-05-28, -2.5, Nordrhein-Westfalen, 5, -0.0359, 4.2
2020-05-29, -1.9, Nordrhein-Westfalen, 5, -0.0274, 4.3
2020-05-30, -1.1, Nordrhein-Westfalen, 5, -0.0162, 4.3
2020-05-31, -0.7, Nordrhein-Westfalen, 5, -0.0099, 4.3
2020-06-01, -0.6, Nordrhein-Westfalen, 5, -0.0081, 4.3
2020-06-02, -0.8, Nordrhein-Westfalen, 5, -0.0117, 3.7
2020-06-03, -0.8, Nordrhein-Westfalen, 5, -0.0124, 3.4
2020-06-04, -0.9, Nordrhein-Westfalen, 5, -0.0125, 3.3
2020-06-05, -0.8, Nordrhein-Westfalen, 5, -0.0123, 3.4
2020-06-06, -0.8, Nordrhein-Westfalen, 5, -0.011, 3.5
2020-06-07, -0.8, Nordrhein-Westfalen, 5, -0.011, 3.6
2020-06-08, -0.7, Nordrhein-Westfalen, 5, -0.0103, 3.5
2020-06-09, , Nordrhein-Westfalen, 5, 0.0003, 3.8
2020-06-10, 0.5, Nordrhein-Westfalen, 5, 0.0078, 3.9
2020-06-11, 0.8, Nordrhein-Westfalen, 5, 0.0119, 4.1
2020-06-12, 0.3, Nordrhein-Westfalen, 5, 0.0049, 3.7
2020-06-13, 0.1, Nordrhein-Westfalen, 5, 0.001, 3.6
2020-06-14, 0.1, Nordrhein-Westfalen, 5, 0.0013, 3.6
2020-06-15, 0.3, Nordrhein-Westfalen, 5, 0.0046, 3.8
2020-06-16, 0.2, Nordrhein-Westfalen, 5, 0.0025, 3.9
2020-06-17, 0.3, Nordrhein-Westfalen, 5, 0.0048, 4.2
2020-06-18, 2.1, Nordrhein-Westfalen, 5, 0.0322, 6.2
2020-06-19, 4, Nordrhein-Westfalen, 5, 0.0619, 7.7
2020-06-20, 6.8, Nordrhein-Westfalen, 5, 0.106, 10.4
2020-06-21, 8.1, Nordrhein-Westfalen, 5, 0.1253, 11.7
2020-06-22, 8.1, Nordrhein-Westfalen, 5, 0.1262, 12
2020-06-23, 8.9, Nordrhein-Westfalen, 5, 0.1375, 12.8
2020-06-24, 8.8, Nordrhein-Westfalen, 5, 0.1363, 13
2020-06-25, 5.5, Nordrhein-Westfalen, 5, 0.0853, 11.7
2020-06-26, 3.5, Nordrhein-Westfalen, 5, 0.0547, 11.2
2020-06-27, -0.9, Nordrhein-Westfalen, 5, -0.013, 9.5
2020-06-28, -3.3, Nordrhein-Westfalen, 5, -0.0478, 8.5
2020-06-29, -3.5, Nordrhein-Westfalen, 5, -0.0517, 8.4
2020-06-30, -4.6, Nordrhein-Westfalen, 5, -0.0669, 8.2
2020-07-01, -5.1, Nordrhein-Westfalen, 5, -0.0743, 7.9
2020-07-02, -4.1, Nordrhein-Westfalen, 5, -0.0595, 7.6
2020-07-03, -4.1, Nordrhein-Westfalen, 5, -0.0595, 7.2
2020-07-04, -2.8, Nordrhein-Westfalen, 5, -0.0412, 6.7
2020-07-05, -2, Nordrhein-Westfalen, 5, -0.0288, 6.5
2020-07-06, -2.3, Nordrhein-Westfalen, 5, -0.0333, 6.2
2020-07-07, -2.7, Nordrhein-Westfalen, 5, -0.0394, 5.5
2020-07-08, -2.6, Nordrhein-Westfalen, 5, -0.0376, 5.4
2020-07-09, -2.2, Nordrhein-Westfalen, 5, -0.0316, 5.4
2020-07-10, -2, Nordrhein-Westfalen, 5, -0.0297, 5.1
2020-07-11, -1.5, Nordrhein-Westfalen, 5, -0.0226, 5.1
2020-07-12, -1.3, Nordrhein-Westfalen, 5, -0.0196, 5.1
2020-07-13, -1, Nordrhein-Westfalen, 5, -0.0146, 5.2
2020-07-14, -0.3, Nordrhein-Westfalen, 5, -0.0049, 5.2
2020-07-15, -0.1, Nordrhein-Westfalen, 5, -0.0021, 5.2
2020-07-16, , Nordrhein-Westfalen, 5, 0.0005, 5.4
2020-07-17, 0.9, Nordrhein-Westfalen, 5, 0.0138, 6
2020-07-18, 1, Nordrhein-Westfalen, 5, 0.0161, 6.2
2020-07-19, 1.2, Nordrhein-Westfalen, 5, 0.0191, 6.4
2020-07-20, 1.2, Nordrhein-Westfalen, 5, 0.0185, 6.4
2020-07-21, 1.5, Nordrhein-Westfalen, 5, 0.0239, 6.7
2020-07-22, 1.6, Nordrhein-Westfalen, 5, 0.0255, 6.9
2020-07-23, 1.7, Nordrhein-Westfalen, 5, 0.026, 7.1
2020-07-24, 1.3, Nordrhein-Westfalen, 5, 0.0204, 7.3
2020-07-25, 1.8, Nordrhein-Westfalen, 5, 0.0276, 8
2020-07-26, 1.8, Nordrhein-Westfalen, 5, 0.028, 8.2
2020-07-27, 1.8, Nordrhein-Westfalen, 5, 0.0285, 8.2
2020-07-28, 1.5, Nordrhein-Westfalen, 5, 0.0236, 8.2
2020-07-29, 1.9, Nordrhein-Westfalen, 5, 0.0298, 8.8
2020-07-30, 2.2, Nordrhein-Westfalen, 5, 0.0346, 9.4
2020-07-31, 2.3, Nordrhein-Westfalen, 5, 0.036, 9.7
2020-08-01, 2, Nordrhein-Westfalen, 5, 0.0305, 9.9
2020-08-02, 1.9, Nordrhein-Westfalen, 5, 0.0295, 10.1
2020-08-03, 2.4, Nordrhein-Westfalen, 5, 0.0377, 10.6
2020-08-04, 3.1, Nordrhein-Westfalen, 5, 0.0478, 11.3
2020-08-05, 3, Nordrhein-Westfalen, 5, 0.047, 11.8
2020-08-06, 2.9, Nordrhein-Westfalen, 5, 0.0458, 12.3
2020-08-07, 3.1, Nordrhein-Westfalen, 5, 0.0478, 12.7
2020-08-08, 2.8, Nordrhein-Westfalen, 5, 0.0441, 12.8
2020-08-09, 3.3, Nordrhein-Westfalen, 5, 0.0513, 13.4
2020-08-10, 2.9, Nordrhein-Westfalen, 5, 0.0452, 13.5
2020-08-11, 2.5, Nordrhein-Westfalen, 5, 0.0392, 13.8
2020-08-12, 2.3, Nordrhein-Westfalen, 5, 0.0363, 14.2
2020-08-13, 2.5, Nordrhein-Westfalen, 5, 0.0381, 14.8
2020-08-14, 2.6, Nordrhein-Westfalen, 5, 0.0405, 15.4
2020-08-15, 3.4, Nordrhein-Westfalen, 5, 0.0522, 16.1
2020-08-16, 2.7, Nordrhein-Westfalen, 5, 0.0418, 16.1
2020-08-17, 2.5, Nordrhein-Westfalen, 5, 0.0389, 16
2020-08-18, 2.4, Nordrhein-Westfalen, 5, 0.0366, 16.2
2020-08-19, 1.7, Nordrhein-Westfalen, 5, 0.026, 15.8
2020-08-20, 0.1, Nordrhein-Westfalen, 5, 0.0016, 14.9
2020-08-21, -1.5, Nordrhein-Westfalen, 5, -0.0214, 13.9
2020-08-22, -2.5, Nordrhein-Westfalen, 5, -0.037, 13.6
2020-08-23, -3.2, Nordrhein-Westfalen, 5, -0.0469, 12.9
2020-08-24, -3.3, Nordrhein-Westfalen, 5, -0.0476, 12.8
2020-08-25, -4, Nordrhein-Westfalen, 5, -0.0587, 12.2
2020-08-26, -4.1, Nordrhein-Westfalen, 5, -0.0605, 11.7
2020-08-27, -3.6, Nordrhein-Westfalen, 5, -0.0522, 11.3
2020-08-28, -2.9, Nordrhein-Westfalen, 5, -0.042, 11
2020-08-29, -3.6, Nordrhein-Westfalen, 5, -0.0531, 10
2020-08-30, -3.1, Nordrhein-Westfalen, 5, -0.0451, 9.8
2020-08-31, -3.1, Nordrhein-Westfalen, 5, -0.0455, 9.7
2020-09-01, -2.7, Nordrhein-Westfalen, 5, -0.0389, 9.5
2020-09-02, -2.4, Nordrhein-Westfalen, 5, -0.0345, 9.3
2020-09-03, -2.1, Nordrhein-Westfalen, 5, -0.0308, 9.2
2020-09-04, -1.8, Nordrhein-Westfalen, 5, -0.027, 9.2
2020-09-05, -0.6, Nordrhein-Westfalen, 5, -0.0092, 9.3
2020-09-06, -0.2, Nordrhein-Westfalen, 5, -0.0024, 9.6
2020-09-07, -0.2, Nordrhein-Westfalen, 5, -0.0029, 9.5
2020-09-08, -0.2, Nordrhein-Westfalen, 5, -0.0031, 9.3
2020-09-09, -0.2, Nordrhein-Westfalen, 5, -0.0034, 9.1
2020-09-10, 0.3, Nordrhein-Westfalen, 5, 0.0043, 9.5
2020-09-11, 0.4, Nordrhein-Westfalen, 5, 0.0061, 9.6
2020-09-12, 0.8, Nordrhein-Westfalen, 5, 0.012, 10.1
2020-09-13, 1.1, Nordrhein-Westfalen, 5, 0.0173, 10.7
