Altersgruppe, Meldedatum, difference, trend, value
60-79, 2020-03-05, , , 5300
60-79, 2020-03-06, , , 2133.3
60-79, 2020-03-07, , , 820
60-79, 2020-03-08, , , 981.8
60-79, 2020-03-09, , , 720
60-79, 2020-03-10, , , 582.6
60-79, 2020-03-11, , , 517.9
60-79, 2020-03-12, -4724.1, -91.6726, 575.9
60-79, 2020-03-13, -1503.5, -29.1757, 629.9
60-79, 2020-03-14, -191.7, -3.7208, 628.3
60-79, 2020-03-15, -407.9, -7.9149, 573.9
60-79, 2020-03-16, -68.8, -1.3347, 651.2
60-79, 2020-03-17, 79.8, 1.3265, 662.4
60-79, 2020-03-18, 13.6, 0.2258, 531.5
60-79, 2020-03-19, -145.2, -2.8185, 430.7
60-79, 2020-03-20, -227.8, -4.4207, 402
60-79, 2020-03-21, -293.6, -5.6981, 334.6
60-79, 2020-03-22, -252.9, -4.9072, 321.1
60-79, 2020-03-23, -353.8, -6.866, 297.4
60-79, 2020-03-24, -421, -8.1694, 241.4
60-79, 2020-03-25, -328.6, -6.3762, 203
60-79, 2020-03-26, -265, -5.1418, 165.7
60-79, 2020-03-27, -270.6, -5.2519, 131.4
60-79, 2020-03-28, -218.6, -4.2425, 116
60-79, 2020-03-29, -223.1, -4.3291, 98
60-79, 2020-03-30, -209.5, -4.0664, 87.9
60-79, 2020-03-31, -168.8, -3.2755, 72.6
60-79, 2020-04-01, -142.2, -2.7597, 60.7
60-79, 2020-04-02, -116.6, -2.262, 49.2
60-79, 2020-04-03, -92.8, -1.8016, 38.6
60-79, 2020-04-04, -90.4, -1.7541, 25.6
60-79, 2020-04-05, -81.6, -1.5828, 16.4
60-79, 2020-04-06, -76.7, -1.4885, 11.1
60-79, 2020-04-07, -65.5, -1.2711, 7.1
60-79, 2020-04-08, -62.5, -1.2134, -1.8
60-79, 2020-04-09, -58.5, -1.1344, -9.3
60-79, 2020-04-10, -55.7, -1.0817, -17.2
60-79, 2020-04-11, -51.7, -1.0037, -26.1
60-79, 2020-04-12, -46.5, -0.903, -30.1
60-79, 2020-04-13, -42.6, -0.8261, -31.4
60-79, 2020-04-14, -43.5, -0.8445, -36.4
60-79, 2020-04-15, -39.8, -0.7726, -41.6
60-79, 2020-04-16, -35.6, -0.6904, -44.9
60-79, 2020-04-17, -29.1, -0.5647, -46.3
60-79, 2020-04-18, -15.5, -0.3, -41.6
60-79, 2020-04-19, -9.1, -0.1769, -39.2
60-79, 2020-04-20, -7.2, -0.1395, -38.6
60-79, 2020-04-21, 3.1, 0.051, -33.3
60-79, 2020-04-22, 15.5, 0.257, -26.1
60-79, 2020-04-23, 21.4, 0.3553, -23.5
60-79, 2020-04-24, 23, 0.3824, -23.3
60-79, 2020-04-25, 14.7, 0.2451, -26.8
60-79, 2020-04-26, 9.6, 0.1593, -29.6
60-79, 2020-04-27, 6.3, 0.1047, -32.3
60-79, 2020-04-28, -1.5, -0.0282, -34.8
60-79, 2020-04-29, -12.1, -0.2349, -38.2
60-79, 2020-04-30, -16.1, -0.3133, -39.6
60-79, 2020-05-01, -14.8, -0.2878, -38.1
60-79, 2020-05-02, -13.4, -0.2608, -40.3
60-79, 2020-05-03, -11.9, -0.2315, -41.6
60-79, 2020-05-04, -8.4, -0.1634, -40.7
60-79, 2020-05-05, -8.3, -0.1618, -43.1
60-79, 2020-05-06, -3.5, -0.0672, -41.7
60-79, 2020-05-07, 0.5, 0.0089, -39.1
60-79, 2020-05-08, -0.3, -0.0059, -38.4
60-79, 2020-05-09, 7.7, 0.1275, -32.6
60-79, 2020-05-10, 16.6, 0.2764, -24.9
60-79, 2020-05-11, 19.7, 0.3279, -21
60-79, 2020-05-12, 27, 0.4483, -16.1
60-79, 2020-05-13, 26.3, 0.4374, -15.4
60-79, 2020-05-14, 21.4, 0.3558, -17.7
60-79, 2020-05-15, 17.1, 0.2848, -21.3
60-79, 2020-05-16, 8.8, 0.1465, -23.8
60-79, 2020-05-17, -5.3, -0.1038, -30.3
60-79, 2020-05-18, -11.7, -0.2279, -32.7
60-79, 2020-05-19, -17.9, -0.3476, -34
60-79, 2020-05-20, -21.3, -0.4132, -36.7
60-79, 2020-05-21, -14.5, -0.2815, -32.2
60-79, 2020-05-22, -12.6, -0.2437, -33.8
60-79, 2020-05-23, -11.1, -0.2149, -34.9
60-79, 2020-05-24, 0.9, 0.0149, -29.4
60-79, 2020-05-25, 4.8, 0.0804, -27.9
60-79, 2020-05-26, 9.3, 0.1546, -24.7
60-79, 2020-05-27, 18.7, 0.3106, -18
60-79, 2020-05-28, 10.8, 0.1791, -21.4
60-79, 2020-05-29, 26, 0.4315, -7.9
60-79, 2020-05-30, 29.2, 0.4861, -5.6
60-79, 2020-05-31, 17, 0.2833, -12.4
60-79, 2020-06-01, 16, 0.2661, -11.9
60-79, 2020-06-02, 5, 0.0827, -19.8
60-79, 2020-06-03, -12.2, -0.2366, -30.2
60-79, 2020-06-04, -16.4, -0.3185, -37.8
60-79, 2020-06-05, -36.2, -0.7033, -44.1
60-79, 2020-06-06, -36.4, -0.7069, -42
60-79, 2020-06-07, -24.9, -0.4836, -37.3
60-79, 2020-06-08, -26.1, -0.5063, -38
60-79, 2020-06-09, -10.9, -0.2114, -30.7
60-79, 2020-06-10, 11.2, 0.1855, -19
60-79, 2020-06-11, 35.8, 0.595, -2
60-79, 2020-06-12, 41.2, 0.6847, -2.9
60-79, 2020-06-13, 32.1, 0.5343, -9.9
60-79, 2020-06-14, 20.6, 0.3425, -16.7
60-79, 2020-06-15, 22.1, 0.3676, -15.9
60-79, 2020-06-16, 12.5, 0.2084, -18.1
60-79, 2020-06-17, -2, -0.0384, -21
60-79, 2020-06-18, -18.1, -0.3512, -20.1
60-79, 2020-06-19, -0.5, -0.009, -3.4
60-79, 2020-06-20, 29.4, 0.4887, 19.5
60-79, 2020-06-21, 54.5, 0.9057, 37.8
60-79, 2020-06-22, 52.7, 0.876, 36.8
60-79, 2020-06-23, 57.1, 0.9482, 38.9
60-79, 2020-06-24, 68.3, 1.1351, 47.3
60-79, 2020-06-25, 53.6, 0.8911, 33.5
60-79, 2020-06-26, 21.6, 0.3588, 18.2
60-79, 2020-06-27, -21.6, -0.4182, -2
60-79, 2020-06-28, -50.1, -0.9728, -12.3
60-79, 2020-06-29, -50.3, -0.9762, -13.5
60-79, 2020-06-30, -48.8, -0.9472, -9.9
60-79, 2020-07-01, -62, -1.2027, -14.7
60-79, 2020-07-02, -43.3, -0.8393, -9.8
60-79, 2020-07-03, -33.3, -0.6462, -15.1
60-79, 2020-07-04, -12.9, -0.2501, -14.9
60-79, 2020-07-05, 1.2, 0.0191, -11.2
60-79, 2020-07-06, 6.1, 0.1006, -7.4
60-79, 2020-07-07, -6.7, -0.1307, -16.6
60-79, 2020-07-08, -4.7, -0.0907, -19.4
60-79, 2020-07-09, -5.8, -0.1116, -15.5
60-79, 2020-07-10, 8.9, 0.148, -6.2
60-79, 2020-07-11, 16.2, 0.2685, 1.2
60-79, 2020-07-12, 12.4, 0.2055, 1.2
60-79, 2020-07-13, 8.2, 0.1364, 0.8
60-79, 2020-07-14, 24.7, 0.4098, 8.1
60-79, 2020-07-15, 32.2, 0.5359, 12.9
60-79, 2020-07-16, 27.1, 0.4498, 11.5
60-79, 2020-07-17, 18.5, 0.3079, 12.3
60-79, 2020-07-18, 10.5, 0.174, 11.7
60-79, 2020-07-19, 12.4, 0.2058, 13.6
60-79, 2020-07-20, 13.1, 0.2175, 13.9
60-79, 2020-07-21, 7.6, 0.1269, 15.7
60-79, 2020-07-22, 12.3, 0.2046, 25.2
60-79, 2020-07-23, 10.7, 0.1776, 22.2
60-79, 2020-07-24, 7.1, 0.1175, 19.4
60-79, 2020-07-25, 13.9, 0.2317, 25.6
60-79, 2020-07-26, 11, 0.1836, 24.6
60-79, 2020-07-27, 10.2, 0.1687, 24
60-79, 2020-07-28, 6.3, 0.1055, 22
60-79, 2020-07-29, -10.7, -0.2082, 14.5
60-79, 2020-07-30, -1.8, -0.0358, 20.4
60-79, 2020-07-31, -0.4, -0.0077, 19
60-79, 2020-08-01, -11.8, -0.2297, 13.8
60-79, 2020-08-02, -15.9, -0.3084, 8.8
60-79, 2020-08-03, -12.5, -0.2431, 11.5
60-79, 2020-08-04, -7, -0.1365, 15
60-79, 2020-08-05, 7.5, 0.1249, 22
60-79, 2020-08-06, -2.7, -0.0518, 17.7
60-79, 2020-08-07, 5, 0.0823, 24
60-79, 2020-08-08, 5.1, 0.0855, 18.9
60-79, 2020-08-09, 17, 0.2818, 25.7
60-79, 2020-08-10, 7.1, 0.1184, 18.6
60-79, 2020-08-11, -1.2, -0.0239, 13.8
60-79, 2020-08-12, -22.4, -0.4352, -0.5
60-79, 2020-08-13, -17.7, -0.3436, 
60-79, 2020-08-14, -35.4, -0.687, -11.4
60-79, 2020-08-15, -24.9, -0.4829, -5.9
60-79, 2020-08-16, -34, -0.6594, -8.3
60-79, 2020-08-17, -22.5, -0.4359, -3.8
60-79, 2020-08-18, -13.3, -0.2589, 0.4
60-79, 2020-08-19, 12, 0.1993, 11.5
60-79, 2020-08-20, 8, 0.1324, 8
60-79, 2020-08-21, 31.9, 0.5295, 20.4
60-79, 2020-08-22, 21.7, 0.3614, 15.8
60-79, 2020-08-23, 25.2, 0.4181, 16.9
60-79, 2020-08-24, 19.3, 0.3203, 15.5
60-79, 2020-08-25, 9.7, 0.1616, 10.1
60-79, 2020-08-26, -1, -0.0192, 10.5
60-79, 2020-08-27, 3.3, 0.0549, 11.3
60-79, 2020-08-28, -12.6, -0.245, 7.8
60-79, 2020-08-29, -10.1, -0.1969, 5.7
60-79, 2020-08-30, -14.4, -0.2792, 2.5
60-79, 2020-08-31, -13.5, -0.2628, 1.9
60-79, 2020-09-01, -10.1, -0.1969, 
60-79, 2020-09-02, -19.5, -0.3792, -9
60-79, 2020-09-03, -22, -0.426, -10.7
60-79, 2020-09-04, -19.2, -0.3724, -11.4
60-79, 2020-09-05, -10.8, -0.2099, -5.2
60-79, 2020-09-06, 0.1, 0.0021, 2.6
60-79, 2020-09-07, 2.4, 0.0399, 4.3
60-79, 2020-09-08, 13.4, 0.2233, 13.4
60-79, 2020-09-09, 37.8, 0.6286, 28.8
60-79, 2020-09-10, 56, 0.9314, 45.4
60-79, 2020-09-11, 60.2, 1, 48.8
60-79, 2020-09-12, 59.8, 0.9945, 54.7
60-79, 2020-09-13, 50.3, 0.836, 52.9
60-79, 2020-09-14, 50.5, 0.84, 54.9
60-79, 2020-09-15, 37.3, 0.6204, 50.8
60-79, 2020-09-16, 23.8, 0.3948, 52.6
60-79, 2020-09-17, 2.2, 0.0358, 47.5
60-79, 2020-09-18, 5.4, 0.0899, 54.2
60-79, 2020-09-19, -6.5, -0.126, 48.2
