Week, difference, region, region_id, trend, value
2020-12, , Bayern, 9, , 9.3
2020-13, 3, Bayern, 9, 1.3636, 12.3
2020-14, -1.4, Bayern, 9, -0.6667, 10.9
2020-15, -1, Bayern, 9, -0.4762, 9.9
2020-16, -1.9, Bayern, 9, -0.9048, 8
2020-17, -2.1, Bayern, 9, -1, 5.9
2020-18, -1.9, Bayern, 9, -0.9048, 4
2020-19, -1, Bayern, 9, -0.4762, 3
2020-20, -1.2, Bayern, 9, -0.5714, 1.8
2020-21, -0.5, Bayern, 9, -0.2381, 1.3
2020-22, -0.4, Bayern, 9, -0.1905, 0.9
2020-23, -0.3, Bayern, 9, -0.1429, 0.6
2020-24, -0.2, Bayern, 9, -0.0952, 0.4
2020-25, -0.1, Bayern, 9, -0.0476, 0.3
2020-26, 0.1, Bayern, 9, 0.0455, 0.4
2020-27, , Bayern, 9, , 0.4
2020-28, , Bayern, 9, , 0.4
2020-29, , Bayern, 9, , 0.4
2020-30, , Bayern, 9, , 0.4
2020-31, , Bayern, 9, , 0.4
2020-32, 0.3, Bayern, 9, 0.1364, 0.7
2020-33, , Bayern, 9, , 0.7
2020-34, 0.1, Bayern, 9, 0.0455, 0.8
2020-35, 0.1, Bayern, 9, 0.0455, 0.9
2020-36, -0.3, Bayern, 9, -0.1429, 0.6
2020-37, 0.2, Bayern, 9, 0.0909, 0.8
2020-38, 0.2, Bayern, 9, 0.0909, 1
2020-39, -0.2, Bayern, 9, -0.0952, 0.8
2020-40, -0.1, Bayern, 9, -0.0476, 0.7
2020-41, 0.6, Bayern, 9, 0.2727, 1.3
2020-42, 0.8, Bayern, 9, 0.3636, 2.1
2020-43, 1.5, Bayern, 9, 0.6818, 3.6
2020-44, 1.2, Bayern, 9, 0.5455, 4.8
2020-45, 1.5, Bayern, 9, 0.6818, 6.3
2020-46, 1, Bayern, 9, 0.4545, 7.3
2020-47, 0.6, Bayern, 9, 0.2727, 7.9
2020-48, , Bayern, 9, , 7.9
2020-49, 0.6, Bayern, 9, 0.2727, 8.5
2020-50, 0.7, Bayern, 9, 0.3182, 9.2
2020-51, -0.6, Bayern, 9, -0.2857, 8.6
2020-52, 1.2, Bayern, 9, 0.5455, 9.8
2020-53, 2.2, Bayern, 9, 1, 12
2021-01, -2.1, Bayern, 9, -1, 9.9
2021-02, -1.9, Bayern, 9, -0.9048, 8
2021-03, -0.8, Bayern, 9, -0.381, 7.2
2021-04, -0.6, Bayern, 9, -0.2857, 6.6
2021-05, -1.4, Bayern, 9, -0.6667, 5.2
2021-06, -0.6, Bayern, 9, -0.2857, 4.6
2021-07, -0.6, Bayern, 9, -0.2857, 4
2021-08, 0.1, Bayern, 9, 0.0455, 4.1
2021-09, 0.1, Bayern, 9, 0.0455, 4.2
2021-10, , Bayern, 9, , 4.2
2021-11, 0.3, Bayern, 9, 0.1364, 4.5
2021-12, 1.2, Bayern, 9, 0.5455, 5.7
2021-13, 0.9, Bayern, 9, 0.4091, 6.6
2021-14, 1.3, Bayern, 9, 0.5909, 7.9
2021-15, -0.2, Bayern, 9, -0.0952, 7.7
2021-16, , Bayern, 9, , 7.7
2021-17, -0.9, Bayern, 9, -0.4286, 6.8
2021-18, -0.6, Bayern, 9, -0.2857, 6.2
2021-19, -1, Bayern, 9, -0.4762, 5.2
2021-20, -1.5, Bayern, 9, -0.7143, 3.7
2021-21, -1, Bayern, 9, -0.4762, 2.7
2021-22, -0.6, Bayern, 9, -0.2857, 2.1
2021-23, -0.4, Bayern, 9, -0.1905, 1.7
2021-24, -0.7, Bayern, 9, -0.3333, 1
2021-25, -0.3, Bayern, 9, -0.1429, 0.7
2021-26, -0.2, Bayern, 9, -0.0952, 0.5
2021-27, 0.2, Bayern, 9, 0.0909, 0.7
2021-28, 0.1, Bayern, 9, 0.0455, 0.8
2021-29, 0.2, Bayern, 9, 0.0909, 1
2021-30, 0.3, Bayern, 9, 0.1364, 1.3
2021-31, 0.2, Bayern, 9, 0.0909, 1.5
2021-32, 0.9, Bayern, 9, 0.4091, 2.4
2021-33, 1.2, Bayern, 9, 0.5455, 3.6
2021-34, 1.6, Bayern, 9, 0.7273, 5.2
