Week, difference, region, region_id, trend, value
2020-12, , Berlin, 11, , 6.5
2020-13, 2.3, Berlin, 11, 0.575, 8.8
2020-14, -0.7, Berlin, 11, -0.2258, 8.1
2020-15, -2.4, Berlin, 11, -0.7742, 5.7
2020-16, -1.6, Berlin, 11, -0.5161, 4.1
2020-17, -0.4, Berlin, 11, -0.129, 3.7
2020-18, -0.3, Berlin, 11, -0.0968, 3.4
2020-19, -1, Berlin, 11, -0.3226, 2.4
2020-20, -0.5, Berlin, 11, -0.1613, 1.9
2020-21, -0.4, Berlin, 11, -0.129, 1.5
2020-22, -0.4, Berlin, 11, -0.129, 1.1
2020-23, -0.1, Berlin, 11, -0.0323, 1
2020-24, 0.2, Berlin, 11, 0.05, 1.2
2020-25, 0.1, Berlin, 11, 0.025, 1.3
2020-26, -0.2, Berlin, 11, -0.0645, 1.1
2020-27, -0.2, Berlin, 11, -0.0645, 0.9
2020-28, -0.3, Berlin, 11, -0.0968, 0.6
2020-29, , Berlin, 11, , 0.6
2020-30, , Berlin, 11, , 0.6
2020-31, 0.1, Berlin, 11, 0.025, 0.7
2020-32, -0.1, Berlin, 11, -0.0323, 0.6
2020-33, 0.1, Berlin, 11, 0.025, 0.7
2020-34, -0.1, Berlin, 11, -0.0323, 0.6
2020-35, , Berlin, 11, , 0.6
2020-36, 0.2, Berlin, 11, 0.05, 0.8
2020-37, , Berlin, 11, , 0.8
2020-38, 0.5, Berlin, 11, 0.125, 1.3
2020-39, 0.4, Berlin, 11, 0.1, 1.7
2020-40, 0.6, Berlin, 11, 0.15, 2.3
2020-41, 1.1, Berlin, 11, 0.275, 3.4
2020-42, 1.4, Berlin, 11, 0.35, 4.8
2020-43, 2.3, Berlin, 11, 0.575, 7.1
2020-44, 1.4, Berlin, 11, 0.35, 8.5
2020-45, 0.3, Berlin, 11, 0.075, 8.8
2020-46, 0.1, Berlin, 11, 0.025, 8.9
2020-47, , Berlin, 11, , 8.9
2020-48, -0.2, Berlin, 11, -0.0645, 8.7
2020-49, , Berlin, 11, , 8.7
2020-50, 2.2, Berlin, 11, 0.55, 10.9
2020-51, -1.3, Berlin, 11, -0.4194, 9.6
2020-52, 2.8, Berlin, 11, 0.7, 12.4
2020-53, 2.5, Berlin, 11, 0.625, 14.9
2021-01, -3.1, Berlin, 11, -1, 11.8
2021-02, -2.1, Berlin, 11, -0.6774, 9.7
2021-03, -1.5, Berlin, 11, -0.4839, 8.2
2021-04, -1.7, Berlin, 11, -0.5484, 6.5
2021-05, -1.6, Berlin, 11, -0.5161, 4.9
2021-06, -0.8, Berlin, 11, -0.2581, 4.1
2021-07, -0.5, Berlin, 11, -0.1613, 3.6
2021-08, 0.1, Berlin, 11, 0.025, 3.7
2021-09, -0.1, Berlin, 11, -0.0323, 3.6
2021-10, 0.6, Berlin, 11, 0.15, 4.2
2021-11, -0.6, Berlin, 11, -0.1935, 3.6
2021-12, 0.3, Berlin, 11, 0.075, 3.9
2021-13, 1.4, Berlin, 11, 0.35, 5.3
2021-14, 1.2, Berlin, 11, 0.3, 6.5
2021-15, -0.3, Berlin, 11, -0.0968, 6.2
2021-16, , Berlin, 11, , 6.2
2021-17, -1.6, Berlin, 11, -0.5161, 4.6
2021-18, -0.8, Berlin, 11, -0.2581, 3.8
2021-19, -0.5, Berlin, 11, -0.1613, 3.3
2021-20, -1, Berlin, 11, -0.3226, 2.3
2021-21, -0.7, Berlin, 11, -0.2258, 1.6
2021-22, -0.6, Berlin, 11, -0.1935, 1
2021-23, -0.4, Berlin, 11, -0.129, 0.6
2021-24, -0.2, Berlin, 11, -0.0645, 0.4
2021-25, -0.1, Berlin, 11, -0.0323, 0.3
2021-26, 0.1, Berlin, 11, 0.025, 0.4
2021-27, -0.1, Berlin, 11, -0.0323, 0.3
2021-28, 0.2, Berlin, 11, 0.05, 0.5
2021-29, 0.1, Berlin, 11, 0.025, 0.6
2021-30, 0.6, Berlin, 11, 0.15, 1.2
2021-31, 0.6, Berlin, 11, 0.15, 1.8
2021-32, 0.3, Berlin, 11, 0.075, 2.1
2021-33, , Berlin, 11, , 2.1
2021-34, 4, Berlin, 11, 1, 6.1
