Week, difference, region, region_id, trend, value
2020-12, , Saarland, 10, , 4.6
2020-13, 1.5, Saarland, 10, 0.283, 6.1
2020-14, 5.2, Saarland, 10, 0.9811, 11.3
2020-15, -1.3, Saarland, 10, -0.2364, 10
2020-16, -0.3, Saarland, 10, -0.0545, 9.7
2020-17, -7.8, Saarland, 10, -1.4182, 1.9
2020-18, 0.7, Saarland, 10, 0.1321, 2.6
2020-19, -2.1, Saarland, 10, -0.3818, 0.5
2020-20, 0.1, Saarland, 10, 0.0189, 0.6
2020-21, -0.1, Saarland, 10, -0.0182, 0.5
2020-22, -0.1, Saarland, 10, -0.0182, 0.4
2020-23, -0.4, Saarland, 10, -0.0727, 
2020-24, , Saarland, 10, , 
2020-25, , Saarland, 10, , 
2020-26, , Saarland, 10, , 
2020-27, , Saarland, 10, , 
2020-28, , Saarland, 10, , 
2020-29, , Saarland, 10, , 
2020-30, , Saarland, 10, , 
2020-31, 0.2, Saarland, 10, 0.0377, 0.2
2020-32, , Saarland, 10, , 0.2
2020-33, -0.2, Saarland, 10, -0.0364, 
2020-34, 0.2, Saarland, 10, 0.0377, 0.2
2020-35, -0.2, Saarland, 10, -0.0364, 
2020-36, , Saarland, 10, , 
2020-37, 0.4, Saarland, 10, 0.0755, 0.4
2020-38, -0.4, Saarland, 10, -0.0727, 
2020-39, 0.2, Saarland, 10, 0.0377, 0.2
2020-40, -0.2, Saarland, 10, -0.0364, 
2020-41, 0.4, Saarland, 10, 0.0755, 0.4
2020-42, 0.5, Saarland, 10, 0.0943, 0.9
2020-43, 1.8, Saarland, 10, 0.3396, 2.7
2020-44, 1.1, Saarland, 10, 0.2075, 3.8
2020-45, 2.8, Saarland, 10, 0.5283, 6.6
2020-46, -0.4, Saarland, 10, -0.0727, 6.2
2020-47, 2.5, Saarland, 10, 0.4717, 8.7
2020-48, -1.3, Saarland, 10, -0.2364, 7.4
2020-49, -0.2, Saarland, 10, -0.0364, 7.2
2020-50, 2.8, Saarland, 10, 0.5283, 10
2020-51, 0.8, Saarland, 10, 0.1509, 10.8
2020-52, 1.8, Saarland, 10, 0.3396, 12.6
2020-53, 5.3, Saarland, 10, 1, 17.9
2021-01, -5.5, Saarland, 10, -1, 12.4
2021-02, -0.5, Saarland, 10, -0.0909, 11.9
2021-03, 1.1, Saarland, 10, 0.2075, 13
2021-04, -3.3, Saarland, 10, -0.6, 9.7
2021-05, 0.3, Saarland, 10, 0.0566, 10
2021-06, -4.8, Saarland, 10, -0.8727, 5.2
2021-07, -0.6, Saarland, 10, -0.1091, 4.6
2021-08, -0.5, Saarland, 10, -0.0909, 4.1
2021-09, 1.2, Saarland, 10, 0.2264, 5.3
2021-10, -1, Saarland, 10, -0.1818, 4.3
2021-11, , Saarland, 10, , 4.3
2021-12, -0.8, Saarland, 10, -0.1455, 3.5
2021-13, 1.6, Saarland, 10, 0.3019, 5.1
2021-14, 0.3, Saarland, 10, 0.0566, 5.4
2021-15, -0.4, Saarland, 10, -0.0727, 5
2021-16, 0.1, Saarland, 10, 0.0189, 5.1
2021-17, -0.4, Saarland, 10, -0.0727, 4.7
2021-18, -0.4, Saarland, 10, -0.0727, 4.3
2021-19, -0.1, Saarland, 10, -0.0182, 4.2
2021-20, 0.3, Saarland, 10, 0.0566, 4.5
2021-21, -1.9, Saarland, 10, -0.3455, 2.6
2021-22, -0.7, Saarland, 10, -0.1273, 1.9
2021-23, -0.9, Saarland, 10, -0.1636, 1
2021-24, -0.8, Saarland, 10, -0.1455, 0.2
2021-25, 0.7, Saarland, 10, 0.1321, 0.9
2021-26, 0.2, Saarland, 10, 0.0377, 1.1
2021-27, -0.7, Saarland, 10, -0.1273, 0.4
2021-28, -0.2, Saarland, 10, -0.0364, 0.2
2021-29, 0.4, Saarland, 10, 0.0755, 0.6
2021-30, 0.5, Saarland, 10, 0.0943, 1.1
2021-31, 0.3, Saarland, 10, 0.0566, 1.4
2021-32, 1.6, Saarland, 10, 0.3019, 3
2021-33, -0.5, Saarland, 10, -0.0909, 2.5
2021-34, 0.2, Saarland, 10, 0.0377, 2.7
