Week, difference, region, region_id, trend, value
2020-12, , Schleswig-Holstein, 1, , 2.5
2020-13, 2.8, Schleswig-Holstein, 1, 0.5185, 5.3
2020-14, , Schleswig-Holstein, 1, , 5.3
2020-15, 0.7, Schleswig-Holstein, 1, 0.1296, 6
2020-16, -2.3, Schleswig-Holstein, 1, -0.6571, 3.7
2020-17, -1.2, Schleswig-Holstein, 1, -0.3429, 2.5
2020-18, -1.1, Schleswig-Holstein, 1, -0.3143, 1.4
2020-19, -0.9, Schleswig-Holstein, 1, -0.2571, 0.5
2020-20, -0.1, Schleswig-Holstein, 1, -0.0286, 0.4
2020-21, 0.3, Schleswig-Holstein, 1, 0.0556, 0.7
2020-22, -0.5, Schleswig-Holstein, 1, -0.1429, 0.2
2020-23, , Schleswig-Holstein, 1, , 0.2
2020-24, -0.1, Schleswig-Holstein, 1, -0.0286, 0.1
2020-25, 0.1, Schleswig-Holstein, 1, 0.0185, 0.2
2020-26, , Schleswig-Holstein, 1, , 0.2
2020-27, -0.1, Schleswig-Holstein, 1, -0.0286, 0.1
2020-28, 0.2, Schleswig-Holstein, 1, 0.037, 0.3
2020-29, , Schleswig-Holstein, 1, , 0.3
2020-30, -0.1, Schleswig-Holstein, 1, -0.0286, 0.2
2020-31, 0.1, Schleswig-Holstein, 1, 0.0185, 0.3
2020-32, , Schleswig-Holstein, 1, , 0.3
2020-33, 0.1, Schleswig-Holstein, 1, 0.0185, 0.4
2020-34, -0.2, Schleswig-Holstein, 1, -0.0571, 0.2
2020-35, , Schleswig-Holstein, 1, , 0.2
2020-36, 0.2, Schleswig-Holstein, 1, 0.037, 0.4
2020-37, -0.1, Schleswig-Holstein, 1, -0.0286, 0.3
2020-38, 0.3, Schleswig-Holstein, 1, 0.0556, 0.6
2020-39, 0.3, Schleswig-Holstein, 1, 0.0556, 0.9
2020-40, -0.3, Schleswig-Holstein, 1, -0.0857, 0.6
2020-41, 0.5, Schleswig-Holstein, 1, 0.0926, 1.1
2020-42, 0.4, Schleswig-Holstein, 1, 0.0741, 1.5
2020-43, 0.8, Schleswig-Holstein, 1, 0.1481, 2.3
2020-44, 0.8, Schleswig-Holstein, 1, 0.1481, 3.1
2020-45, 0.2, Schleswig-Holstein, 1, 0.037, 3.3
2020-46, 0.5, Schleswig-Holstein, 1, 0.0926, 3.8
2020-47, -0.1, Schleswig-Holstein, 1, -0.0286, 3.7
2020-48, 0.4, Schleswig-Holstein, 1, 0.0741, 4.1
2020-49, 0.2, Schleswig-Holstein, 1, 0.037, 4.3
2020-50, 1.2, Schleswig-Holstein, 1, 0.2222, 5.5
2020-51, 1.5, Schleswig-Holstein, 1, 0.2778, 7
2020-52, 1, Schleswig-Holstein, 1, 0.1852, 8
2020-53, 5.4, Schleswig-Holstein, 1, 1, 13.4
2021-01, -3.5, Schleswig-Holstein, 1, -1, 9.9
2021-02, , Schleswig-Holstein, 1, , 9.9
2021-03, 1.3, Schleswig-Holstein, 1, 0.2407, 11.2
2021-04, -0.2, Schleswig-Holstein, 1, -0.0571, 11
2021-05, -2.4, Schleswig-Holstein, 1, -0.6857, 8.6
2021-06, -0.8, Schleswig-Holstein, 1, -0.2286, 7.8
2021-07, -0.4, Schleswig-Holstein, 1, -0.1143, 7.4
2021-08, -1.6, Schleswig-Holstein, 1, -0.4571, 5.8
2021-09, -0.7, Schleswig-Holstein, 1, -0.2, 5.1
2021-10, -0.1, Schleswig-Holstein, 1, -0.0286, 5
2021-11, 0.7, Schleswig-Holstein, 1, 0.1296, 5.7
2021-12, 1.7, Schleswig-Holstein, 1, 0.3148, 7.4
2021-13, 0.6, Schleswig-Holstein, 1, 0.1111, 8
2021-14, 1.1, Schleswig-Holstein, 1, 0.2037, 9.1
2021-15, -1, Schleswig-Holstein, 1, -0.2857, 8.1
2021-16, -0.4, Schleswig-Holstein, 1, -0.1143, 7.7
2021-17, -0.4, Schleswig-Holstein, 1, -0.1143, 7.3
2021-18, -0.8, Schleswig-Holstein, 1, -0.2286, 6.5
2021-19, -0.5, Schleswig-Holstein, 1, -0.1429, 6
2021-20, -1, Schleswig-Holstein, 1, -0.2857, 5
2021-21, -2.2, Schleswig-Holstein, 1, -0.6286, 2.8
2021-22, -1.2, Schleswig-Holstein, 1, -0.3429, 1.6
2021-23, -0.4, Schleswig-Holstein, 1, -0.1143, 1.2
2021-24, -0.2, Schleswig-Holstein, 1, -0.0571, 1
2021-25, -0.1, Schleswig-Holstein, 1, -0.0286, 0.9
2021-26, -0.1, Schleswig-Holstein, 1, -0.0286, 0.8
2021-27, -0.1, Schleswig-Holstein, 1, -0.0286, 0.7
2021-28, 0.6, Schleswig-Holstein, 1, 0.1111, 1.3
2021-29, 0.6, Schleswig-Holstein, 1, 0.1111, 1.9
2021-30, 1.7, Schleswig-Holstein, 1, 0.3148, 3.6
2021-31, 1.3, Schleswig-Holstein, 1, 0.2407, 4.9
2021-32, 0.2, Schleswig-Holstein, 1, 0.037, 5.1
2021-33, -1.8, Schleswig-Holstein, 1, -0.5143, 3.3
2021-34, , Schleswig-Holstein, 1, , 3.3
