Week, difference, region, region_id, trend, value
2020-12, , Baden-Württemberg, 8, , 0.1711
2020-13, 0.5494, Baden-Württemberg, 8, 0.4178, 0.7205
2020-14, 1.6752, Baden-Württemberg, 8, 1.274, 2.3957
2020-15, 0.1441, Baden-Württemberg, 8, 0.1096, 2.5398
2020-16, 0.3332, Baden-Württemberg, 8, 0.2534, 2.8731
2020-17, -0.4503, Baden-Württemberg, 8, -0.3968, 2.4228
2020-18, -0.8466, Baden-Württemberg, 8, -0.746, 1.5761
2020-19, -0.4053, Baden-Württemberg, 8, -0.3571, 1.1709
2020-20, -0.2162, Baden-Württemberg, 8, -0.1905, 0.9547
2020-21, -0.5134, Baden-Württemberg, 8, -0.4524, 0.4413
2020-22, 0.018, Baden-Württemberg, 8, 0.0137, 0.4593
2020-23, -0.0721, Baden-Württemberg, 8, -0.0635, 0.3873
2020-24, -0.2612, Baden-Württemberg, 8, -0.2302, 0.1261
2020-25, 0.045, Baden-Württemberg, 8, 0.0342, 0.1711
2020-26, -0.1261, Baden-Württemberg, 8, -0.1111, 0.045
2020-27, 0.027, Baden-Württemberg, 8, 0.0205, 0.0721
2020-28, -0.0721, Baden-Württemberg, 8, -0.0635, 
2020-29, 0.009, Baden-Württemberg, 8, 0.0068, 0.009
2020-30, 0.018, Baden-Württemberg, 8, 0.0137, 0.027
2020-31, 0.027, Baden-Württemberg, 8, 0.0205, 0.054
2020-32, 0.045, Baden-Württemberg, 8, 0.0342, 0.0991
2020-33, -0.0901, Baden-Württemberg, 8, -0.0794, 0.009
2020-34, 0.027, Baden-Württemberg, 8, 0.0205, 0.036
2020-35, -0.009, Baden-Württemberg, 8, -0.0079, 0.027
2020-36, -0.036, Baden-Württemberg, 8, -0.0317, -0.009
2020-37, 0.027, Baden-Württemberg, 8, 0.0205, 0.018
2020-38, 0.018, Baden-Württemberg, 8, 0.0137, 0.036
2020-39, 0.018, Baden-Württemberg, 8, 0.0137, 0.054
2020-40, 0.045, Baden-Württemberg, 8, 0.0342, 0.0991
2020-41, 0.018, Baden-Württemberg, 8, 0.0137, 0.1171
2020-42, 0.1261, Baden-Württemberg, 8, 0.0959, 0.2432
2020-43, 0.1351, Baden-Württemberg, 8, 0.1027, 0.3783
2020-44, 0.1531, Baden-Württemberg, 8, 0.1164, 0.5314
2020-45, 0.2072, Baden-Württemberg, 8, 0.1575, 0.7385
2020-46, 0.5854, Baden-Württemberg, 8, 0.4452, 1.324
2020-47, 0.3242, Baden-Württemberg, 8, 0.2466, 1.6482
2020-48, 0.7025, Baden-Württemberg, 8, 0.5342, 2.3507
2020-49, 0.3963, Baden-Württemberg, 8, 0.3014, 2.747
2020-50, 0.7926, Baden-Württemberg, 8, 0.6027, 3.5396
2020-51, 1.315, Baden-Württemberg, 8, 1, 4.8545
2020-52, -0.3603, Baden-Württemberg, 8, -0.3175, 4.4943
2020-53, -0.1081, Baden-Württemberg, 8, -0.0952, 4.3862
2021-01, 1.0628, Baden-Württemberg, 8, 0.8082, 5.449
2021-02, -0.5764, Baden-Württemberg, 8, -0.5079, 4.8725
2021-03, 0.054, Baden-Württemberg, 8, 0.0411, 4.9266
2021-04, -1.1348, Baden-Württemberg, 8, -1, 3.7918
2021-05, -0.3422, Baden-Württemberg, 8, -0.3016, 3.4495
2021-06, -0.5764, Baden-Württemberg, 8, -0.5079, 2.8731
2021-07, -1.0898, Baden-Württemberg, 8, -0.9603, 1.7833
2021-08, -0.6215, Baden-Württemberg, 8, -0.5476, 1.1618
2021-09, 0.6034, Baden-Württemberg, 8, 0.4589, 1.7653
2021-10, -0.4053, Baden-Württemberg, 8, -0.3571, 1.36
2021-11, -0.3603, Baden-Württemberg, 8, -0.3175, 0.9997
2021-12, -0.045, Baden-Württemberg, 8, -0.0397, 0.9547
2021-13, 0.045, Baden-Württemberg, 8, 0.0342, 0.9997
2021-14, 0.5224, Baden-Württemberg, 8, 0.3973, 1.5221
2021-15, -0.2702, Baden-Württemberg, 8, -0.2381, 1.2519
2021-16, 0.1891, Baden-Württemberg, 8, 0.1438, 1.441
2021-17, 0.054, Baden-Württemberg, 8, 0.0411, 1.4951
2021-18, -0.1531, Baden-Württemberg, 8, -0.1349, 1.342
2021-19, 0.1711, Baden-Württemberg, 8, 0.1301, 1.5131
2021-20, -0.1891, Baden-Württemberg, 8, -0.1667, 1.324
2021-21, -0.4323, Baden-Württemberg, 8, -0.381, 0.8916
2021-22, -0.1981, Baden-Württemberg, 8, -0.1746, 0.6935
2021-23, -0.1801, Baden-Württemberg, 8, -0.1587, 0.5134
2021-24, 0.2522, Baden-Württemberg, 8, 0.1918, 0.7656
2021-25, -0.1981, Baden-Württemberg, 8, -0.1746, 0.5674
2021-26, -0.063, Baden-Württemberg, 8, -0.0556, 0.5044
2021-27, -0.1621, Baden-Württemberg, 8, -0.1429, 0.3422
2021-28, -0.1351, Baden-Württemberg, 8, -0.119, 0.2072
2021-29, 0.1351, Baden-Württemberg, 8, 0.1027, 0.3422
2021-30, -0.1801, Baden-Württemberg, 8, -0.1587, 0.1621
2021-31, 0.1441, Baden-Württemberg, 8, 0.1096, 0.3062
2021-32, -0.2522, Baden-Württemberg, 8, -0.2222, 0.054
2021-33, 0.018, Baden-Württemberg, 8, 0.0137, 0.0721
2021-34, 0.1531, Baden-Württemberg, 8, 0.1164, 0.2252
2021-35, 0.027, Baden-Württemberg, 8, 0.0205, 0.2522
2021-36, 0.054, Baden-Württemberg, 8, 0.0411, 0.3062
