Week, difference, region, region_id, trend, value
2020-12, , Bayern, 9, , 0.1522
2020-13, 0.5023, Bayern, 9, 0.1875, 0.6545
2020-14, 1.5449, Bayern, 9, 0.5767, 2.1994
2020-15, 0.7686, Bayern, 9, 0.2869, 2.968
2020-16, 0.6088, Bayern, 9, 0.2273, 3.5768
2020-17, -0.9893, Bayern, 9, -0.5221, 2.5875
2020-18, -0.1979, Bayern, 9, -0.1044, 2.3896
2020-19, -0.5403, Bayern, 9, -0.2851, 1.8493
2020-20, -0.86, Bayern, 9, -0.4538, 0.9893
2020-21, -0.274, Bayern, 9, -0.1446, 0.7154
2020-22, -0.1598, Bayern, 9, -0.0843, 0.5555
2020-23, -0.1674, Bayern, 9, -0.0884, 0.3881
2020-24, -0.0837, Bayern, 9, -0.0442, 0.3044
2020-25, -0.1218, Bayern, 9, -0.0643, 0.1826
2020-26, 0.0228, Bayern, 9, 0.0085, 0.2055
2020-27, -0.1446, Bayern, 9, -0.0763, 0.0609
2020-28, 0.0304, Bayern, 9, 0.0114, 0.0913
2020-29, -0.0609, Bayern, 9, -0.0321, 0.0304
2020-30, -0.0076, Bayern, 9, -0.004, 0.0228
2020-31, , Bayern, 9, , 0.0228
2020-32, 0.0076, Bayern, 9, 0.0028, 0.0304
2020-33, 0.0076, Bayern, 9, 0.0028, 0.0381
2020-34, -0.0228, Bayern, 9, -0.012, 0.0152
2020-35, 0.0228, Bayern, 9, 0.0085, 0.0381
2020-36, -0.0076, Bayern, 9, -0.004, 0.0304
2020-37, -0.0076, Bayern, 9, -0.004, 0.0228
2020-38, , Bayern, 9, , 0.0228
2020-39, 0.0609, Bayern, 9, 0.0227, 0.0837
2020-40, 0.0076, Bayern, 9, 0.0028, 0.0913
2020-41, 0.0152, Bayern, 9, 0.0057, 0.1065
2020-42, 0.1065, Bayern, 9, 0.0398, 0.2131
2020-43, 0.0076, Bayern, 9, 0.0028, 0.2207
2020-44, 0.2816, Bayern, 9, 0.1051, 0.5023
2020-45, 0.2968, Bayern, 9, 0.1108, 0.7991
2020-46, 0.8752, Bayern, 9, 0.3267, 1.6743
2020-47, 0.5555, Bayern, 9, 0.2074, 2.2298
2020-48, 0.5023, Bayern, 9, 0.1875, 2.7321
2020-49, 1.1035, Bayern, 9, 0.4119, 3.8356
2020-50, 0.4186, Bayern, 9, 0.1563, 4.2541
2020-51, 1.8873, Bayern, 9, 0.7045, 6.1415
2020-52, -1.895, Bayern, 9, -1, 4.2465
2020-53, 0.7382, Bayern, 9, 0.2756, 4.9847
2021-01, 2.6788, Bayern, 9, 1, 7.6635
2021-02, -1.4612, Bayern, 9, -0.7711, 6.2023
2021-03, 1.0426, Bayern, 9, 0.3892, 7.245
2021-04, -1.6362, Bayern, 9, -0.8635, 5.6087
2021-05, 0.0761, Bayern, 9, 0.0284, 5.6849
2021-06, -1.4764, Bayern, 9, -0.7791, 4.2085
2021-07, -0.9132, Bayern, 9, -0.4819, 3.2952
2021-08, -1.2481, Bayern, 9, -0.6586, 2.0472
2021-09, -0.1294, Bayern, 9, -0.0683, 1.9178
2021-10, -0.5099, Bayern, 9, -0.2691, 1.4079
2021-11, -0.2359, Bayern, 9, -0.1245, 1.172
2021-12, 0.1218, Bayern, 9, 0.0455, 1.2937
2021-13, , Bayern, 9, , 1.2937
2021-14, 0.0685, Bayern, 9, 0.0256, 1.3622
2021-15, 0.4186, Bayern, 9, 0.1563, 1.7808
2021-16, 0.0533, Bayern, 9, 0.0199, 1.8341
2021-17, -0.1142, Bayern, 9, -0.0602, 1.7199
2021-18, -0.0533, Bayern, 9, -0.0281, 1.6666
2021-19, -0.3425, Bayern, 9, -0.1807, 1.3242
2021-20, 0.1446, Bayern, 9, 0.054, 1.4688
2021-21, -0.2435, Bayern, 9, -0.1285, 1.2252
2021-22, -0.6545, Bayern, 9, -0.3454, 0.5708
2021-23, 0.0761, Bayern, 9, 0.0284, 0.6469
2021-24, 0.0152, Bayern, 9, 0.0057, 0.6621
2021-25, -0.2435, Bayern, 9, -0.1285, 0.4186
2021-26, -0.1826, Bayern, 9, -0.0964, 0.2359
2021-27, -0.0685, Bayern, 9, -0.0361, 0.1674
2021-28, -0.0761, Bayern, 9, -0.0402, 0.0913
2021-29, 0.0076, Bayern, 9, 0.0028, 0.0989
2021-30, 0.0381, Bayern, 9, 0.0142, 0.137
2021-31, 0.0304, Bayern, 9, 0.0114, 0.1674
2021-32, -0.0761, Bayern, 9, -0.0402, 0.0913
2021-33, 0.0381, Bayern, 9, 0.0142, 0.1294
2021-34, -0.0304, Bayern, 9, -0.0161, 0.0989
2021-35, 0.1522, Bayern, 9, 0.0568, 0.2511
2021-36, 0.0381, Bayern, 9, 0.0142, 0.2892
