Week, difference, region, region_id, trend, value
2020-14, , Sachsen-Anhalt, 15, , 0.4586
2020-15, -0.0459, Sachsen-Anhalt, 15, -0.0084, 0.4127
2020-16, , Sachsen-Anhalt, 15, , 0.4127
2020-17, -0.1376, Sachsen-Anhalt, 15, -0.0252, 0.2751
2020-18, 0.0917, Sachsen-Anhalt, 15, 0.0128, 0.3669
2020-19, -0.1834, Sachsen-Anhalt, 15, -0.0336, 0.1834
2020-20, 0.0917, Sachsen-Anhalt, 15, 0.0128, 0.2751
2020-21, -0.2751, Sachsen-Anhalt, 15, -0.0504, 
2020-22, 0.0459, Sachsen-Anhalt, 15, 0.0064, 0.0459
2020-23, , Sachsen-Anhalt, 15, , 0.0459
2020-24, , Sachsen-Anhalt, 15, , 0.0459
2020-25, -0.0459, Sachsen-Anhalt, 15, -0.0084, 
2020-26, 0.0459, Sachsen-Anhalt, 15, 0.0064, 0.0459
2020-27, , Sachsen-Anhalt, 15, , 0.0459
2020-28, 0.0917, Sachsen-Anhalt, 15, 0.0128, 0.1376
2020-29, -0.1376, Sachsen-Anhalt, 15, -0.0252, 
2020-30, 0.0459, Sachsen-Anhalt, 15, 0.0064, 0.0459
2020-31, , Sachsen-Anhalt, 15, , 0.0459
2020-32, -0.0459, Sachsen-Anhalt, 15, -0.0084, 
2020-33, , Sachsen-Anhalt, 15, , 
2020-34, 0.0459, Sachsen-Anhalt, 15, 0.0064, 0.0459
2020-35, -0.0459, Sachsen-Anhalt, 15, -0.0084, 
2020-36, 0.0459, Sachsen-Anhalt, 15, 0.0064, 0.0459
2020-37, -0.0459, Sachsen-Anhalt, 15, -0.0084, 
2020-38, , Sachsen-Anhalt, 15, , 
2020-39, 0.0459, Sachsen-Anhalt, 15, 0.0064, 0.0459
2020-40, , Sachsen-Anhalt, 15, , 0.0459
2020-41, -0.0459, Sachsen-Anhalt, 15, -0.0084, 
2020-42, 0.1376, Sachsen-Anhalt, 15, 0.0192, 0.1376
2020-43, , Sachsen-Anhalt, 15, , 0.1376
2020-44, 0.0917, Sachsen-Anhalt, 15, 0.0128, 0.2293
2020-45, 0.2751, Sachsen-Anhalt, 15, 0.0385, 0.5044
2020-46, 0.1834, Sachsen-Anhalt, 15, 0.0256, 0.6879
2020-47, 0.0917, Sachsen-Anhalt, 15, 0.0128, 0.7796
2020-48, 1.1006, Sachsen-Anhalt, 15, 0.1538, 1.8801
2020-49, 0.1834, Sachsen-Anhalt, 15, 0.0256, 2.0636
2020-50, 0.8254, Sachsen-Anhalt, 15, 0.1154, 2.889
2020-51, 2.2929, Sachsen-Anhalt, 15, 0.3205, 5.1819
2020-52, 0.5503, Sachsen-Anhalt, 15, 0.0769, 5.7321
2020-53, 2.4304, Sachsen-Anhalt, 15, 0.3397, 8.1626
2021-01, -1.5133, Sachsen-Anhalt, 15, -0.2773, 6.6493
2021-02, 7.1537, Sachsen-Anhalt, 15, 1, 13.803
2021-03, -0.4127, Sachsen-Anhalt, 15, -0.0756, 13.3903
2021-04, -0.2293, Sachsen-Anhalt, 15, -0.042, 13.161
2021-05, -1.3299, Sachsen-Anhalt, 15, -0.2437, 11.8312
2021-06, -5.457, Sachsen-Anhalt, 15, -1, 6.3741
2021-07, 2.0177, Sachsen-Anhalt, 15, 0.2821, 8.3919
2021-08, -2.7973, Sachsen-Anhalt, 15, -0.5126, 5.5946
2021-09, -1.6967, Sachsen-Anhalt, 15, -0.3109, 3.8979
2021-10, -0.2293, Sachsen-Anhalt, 15, -0.042, 3.6686
2021-11, -1.284, Sachsen-Anhalt, 15, -0.2353, 2.3846
2021-12, 0.4127, Sachsen-Anhalt, 15, 0.0577, 2.7973
2021-13, -1.1006, Sachsen-Anhalt, 15, -0.2017, 1.6967
2021-14, 2.9349, Sachsen-Anhalt, 15, 0.4103, 4.6316
2021-15, -0.963, Sachsen-Anhalt, 15, -0.1765, 3.6686
2021-16, 1.0547, Sachsen-Anhalt, 15, 0.1474, 4.7233
2021-17, -0.9171, Sachsen-Anhalt, 15, -0.1681, 3.8061
2021-18, -0.6879, Sachsen-Anhalt, 15, -0.1261, 3.1183
2021-19, -0.6879, Sachsen-Anhalt, 15, -0.1261, 2.4304
2021-20, 0.4127, Sachsen-Anhalt, 15, 0.0577, 2.8431
2021-21, -1.284, Sachsen-Anhalt, 15, -0.2353, 1.5591
2021-22, 1.1006, Sachsen-Anhalt, 15, 0.1538, 2.6597
2021-23, -1.3757, Sachsen-Anhalt, 15, -0.2521, 1.284
2021-24, -0.5961, Sachsen-Anhalt, 15, -0.1092, 0.6879
2021-25, -0.1834, Sachsen-Anhalt, 15, -0.0336, 0.5044
2021-26, -0.4127, Sachsen-Anhalt, 15, -0.0756, 0.0917
2021-27, 0.0459, Sachsen-Anhalt, 15, 0.0064, 0.1376
2021-28, 0.0459, Sachsen-Anhalt, 15, 0.0064, 0.1834
2021-29, 0.4586, Sachsen-Anhalt, 15, 0.0641, 0.642
2021-30, -0.3669, Sachsen-Anhalt, 15, -0.0672, 0.2751
2021-31, 0.3669, Sachsen-Anhalt, 15, 0.0513, 0.642
2021-32, -0.5503, Sachsen-Anhalt, 15, -0.1008, 0.0917
2021-33, , Sachsen-Anhalt, 15, , 0.0917
2021-34, 0.0459, Sachsen-Anhalt, 15, 0.0064, 0.1376
2021-35, 0.642, Sachsen-Anhalt, 15, 0.0897, 0.7796
2021-36, -0.6879, Sachsen-Anhalt, 15, -0.1261, 0.0917
