Altersgruppe, Meldedatum, value, difference, trend
0-4, 2020-03-06, , , 
0-4, 2020-03-07, 0.0252, , 
0-4, 2020-03-08, 0.0252, , 
0-4, 2020-03-09, 0.0504, , 
0-4, 2020-03-10, 0.0504, , 
0-4, 2020-03-11, 0.0504, , 
0-4, 2020-03-12, 0.0756, , 
0-4, 2020-03-13, 0.0756, , 
0-4, 2020-03-14, 0.0504, , 
0-4, 2020-03-15, 0.0756, 0.0252, 0.0313
0-4, 2020-03-16, 0.0504, 0.0252, 0.0313
0-4, 2020-03-17, 0.0504, , 
0-4, 2020-03-18, 0.0504, , 
0-4, 2020-03-19, 0.1764, -0.0504, -0.0625
0-4, 2020-03-20, 0.2016, , 
0-4, 2020-03-21, 0.2016, 0.126, 0.1562
0-4, 2020-03-22, 0.3023, 0.126, 0.1562
0-4, 2020-03-23, 0.3527, 0.1512, 0.1875
0-4, 2020-03-24, 0.4535, 0.2519, 0.3125
0-4, 2020-03-25, 0.6047, 0.3023, 0.375
0-4, 2020-03-26, 0.5543, 0.2771, 0.3438
0-4, 2020-03-27, 0.6299, 0.3023, 0.375
0-4, 2020-03-28, 0.781, 0.2519, 0.3125
0-4, 2020-03-29, 0.7558, 0.2016, 0.25
0-4, 2020-03-30, 0.8062, 0.2519, 0.3125
0-4, 2020-03-31, 0.781, 0.2519, 0.3125
0-4, 2020-04-01, 0.781, 0.2267, 0.2813
0-4, 2020-04-02, 0.7558, 0.2519, 0.3125
0-4, 2020-04-03, 0.781, 0.2016, 0.25
0-4, 2020-04-04, 0.7558, 0.1764, 0.2187
0-4, 2020-04-05, 0.7558, 0.2519, 0.3125
0-4, 2020-04-06, 0.6802, 0.1764, 0.2188
0-4, 2020-04-07, 0.7306, 0.1008, 0.125
0-4, 2020-04-08, 0.781, 0.0252, 0.0313
0-4, 2020-04-09, 0.781, 0.0756, 0.0938
0-4, 2020-04-10, 0.7306, 0.0252, 0.0312
0-4, 2020-04-11, 0.6551, -0.1512, -0.1875
0-4, 2020-04-12, 0.5795, -0.2519, -0.3125
0-4, 2020-04-13, 0.6047, -0.2519, -0.3125
0-4, 2020-04-14, 0.4787, -0.2771, -0.3438
0-4, 2020-04-15, 0.3527, -0.3023, -0.375
0-4, 2020-04-16, 0.3023, -0.3527, -0.4375
0-4, 2020-04-17, 0.2771, -0.3275, -0.4062
0-4, 2020-04-18, 0.2771, -0.1008, -0.125
0-4, 2020-04-19, 0.2519, -0.0756, -0.0938
0-4, 2020-04-20, 0.2267, -0.1512, -0.1875
0-4, 2020-04-21, 0.3527, -0.126, -0.1562
0-4, 2020-04-22, 0.3275, , 
0-4, 2020-04-23, 0.3527, 0.0504, 0.0625
0-4, 2020-04-24, 0.3779, 0.0756, 0.0937
0-4, 2020-04-25, 0.4283, -0.0504, -0.0625
0-4, 2020-04-26, 0.5039, 0.0252, 0.0312
0-4, 2020-04-27, 0.5039, 0.1008, 0.125
0-4, 2020-04-28, 0.3779, 0.0504, 0.0625
0-4, 2020-04-29, 0.3779, -0.0252, -0.0312
0-4, 2020-04-30, 0.4031, -0.0756, -0.0937
0-4, 2020-05-01, 0.4031, -0.1008, -0.125
0-4, 2020-05-02, 0.4535, 0.0504, 0.0625
0-4, 2020-05-03, 0.4787, 0.0252, 0.0312
0-4, 2020-05-04, 0.4787, , 
0-4, 2020-05-05, 0.5291, 0.0756, 0.0937
0-4, 2020-05-06, 0.5039, 0.1764, 0.2188
0-4, 2020-05-07, 0.4535, 0.0756, 0.0937
0-4, 2020-05-08, 0.4535, 0.0504, 0.0625
0-4, 2020-05-09, 0.3275, -0.1008, -0.125
0-4, 2020-05-10, 0.2771, -0.1764, -0.2187
0-4, 2020-05-11, 0.2519, -0.1008, -0.125
0-4, 2020-05-12, 0.2519, -0.1764, -0.2187
0-4, 2020-05-13, 0.2519, -0.2771, -0.3438
0-4, 2020-05-14, 0.2519, -0.1512, -0.1875
0-4, 2020-05-15, 0.1764, -0.1512, -0.1875
0-4, 2020-05-16, 0.1512, -0.1512, -0.1875
0-4, 2020-05-17, 0.126, -0.126, -0.1562
0-4, 2020-05-18, 0.1764, -0.1764, -0.2188
0-4, 2020-05-19, 0.2016, -0.0504, -0.0625
0-4, 2020-05-20, 0.2016, -0.0252, -0.0312
0-4, 2020-05-21, 0.1764, 0.0252, 0.0313
0-4, 2020-05-22, 0.1764, 0.0756, 0.0938
0-4, 2020-05-23, 0.1764, 0.1512, 0.1875
0-4, 2020-05-24, 0.1512, 0.1764, 0.2188
0-4, 2020-05-25, 0.1008, 0.1008, 0.125
0-4, 2020-05-26, 0.0504, -0.0252, -0.0312
0-4, 2020-05-27, 0.0252, -0.0756, -0.0937
0-4, 2020-05-28, 0.0504, -0.126, -0.1563
0-4, 2020-05-29, 0.0504, -0.1764, -0.2188
0-4, 2020-05-30, 0.0504, -0.2016, -0.25
0-4, 2020-05-31, 0.1008, -0.1512, -0.1875
0-4, 2020-06-01, 0.1008, -0.0756, -0.0937
0-4, 2020-06-02, 0.0756, -0.0504, -0.0625
0-4, 2020-06-03, 0.1008, , 
0-4, 2020-06-04, 0.0756, -0.0252, -0.0312
0-4, 2020-06-05, 0.0756, 0.0252, 0.0312
0-4, 2020-06-06, 0.0756, 0.0252, 0.0312
0-4, 2020-06-07, 0.0504, -0.0504, -0.0625
0-4, 2020-06-08, 0.0756, -0.0504, -0.0625
0-4, 2020-06-09, 0.1008, -0.0252, -0.0312
0-4, 2020-06-10, 0.1008, , 
0-4, 2020-06-11, 0.1512, , 
0-4, 2020-06-12, 0.2267, 0.0252, 0.0313
0-4, 2020-06-13, 0.3023, 0.0756, 0.0938
0-4, 2020-06-14, 0.2771, 0.1512, 0.1875
0-4, 2020-06-15, 0.2771, 0.1512, 0.1875
0-4, 2020-06-16, 0.2771, 0.126, 0.1562
