Altersgruppe, Meldedatum, difference, trend, value
35-59, 2020-03-06, , , 0.1884
35-59, 2020-03-07, , , 0.2547
35-59, 2020-03-08, , , 0.2721
35-59, 2020-03-09, , , 0.3
35-59, 2020-03-10, , , 0.3349
35-59, 2020-03-11, , , 0.3837
35-59, 2020-03-12, 0.1849, 0.1464, 0.4186
35-59, 2020-03-13, 0.1884, 0.1492, 0.5128
35-59, 2020-03-14, 0.1884, 0.1492, 0.6488
35-59, 2020-03-15, 0.1744, 0.1381, 0.7395
35-59, 2020-03-16, 0.1954, 0.1547, 0.8302
35-59, 2020-03-17, 0.3, 0.2376, 1.0326
35-59, 2020-03-18, 0.2442, 0.1934, 1.214
35-59, 2020-03-19, 0.2895, 0.2293, 1.5593
35-59, 2020-03-20, 0.3733, 0.2956, 1.8105
35-59, 2020-03-21, 0.4256, 0.337, 2.0233
35-59, 2020-03-22, 0.5093, 0.4033, 2.3477
35-59, 2020-03-23, 0.7116, 0.5635, 2.5396
35-59, 2020-03-24, 0.7919, 0.6271, 2.7559
35-59, 2020-03-25, 0.9593, 0.7597, 3.1466
35-59, 2020-03-26, 1.1058, 0.8757, 3.5094
35-59, 2020-03-27, 1.2593, 0.9972, 3.8652
35-59, 2020-03-28, 1.5349, 1.2155, 4.2768
35-59, 2020-03-29, 1.4965, 1.1851, 4.5733
35-59, 2020-03-30, 1.5663, 1.2403, 4.7617
35-59, 2020-03-31, 1.657, 1.3122, 4.9501
35-59, 2020-04-01, 1.493, 1.1823, 5.1385
35-59, 2020-04-02, 1.2768, 1.011, 5.2431
35-59, 2020-04-03, 1.0919, 0.8646, 5.2361
35-59, 2020-04-04, 0.6419, 0.5083, 5.142
35-59, 2020-04-05, 0.5616, 0.4448, 4.9396
35-59, 2020-04-06, 0.1605, 0.1271, 4.7024
35-59, 2020-04-07, -0.1744, -0.1792, 4.5733
35-59, 2020-04-08, -0.293, -0.3011, 4.385
35-59, 2020-04-09, -0.5512, -0.5663, 4.1861
35-59, 2020-04-10, -0.7395, -0.7599, 4.0082
35-59, 2020-04-11, -0.8547, -0.8781, 3.6524
35-59, 2020-04-12, -0.9768, -1.0036, 3.4605
35-59, 2020-04-13, -0.8128, -0.8351, 3.4431
35-59, 2020-04-14, -0.9872, -1.0143, 3.1117
35-59, 2020-04-15, -0.914, -0.9391, 2.857
35-59, 2020-04-16, -0.8302, -0.853, 2.5989
35-59, 2020-04-17, -0.8442, -0.8674, 2.4279
35-59, 2020-04-18, -0.5547, -0.5699, 2.3896
35-59, 2020-04-19, -0.4919, -0.5054, 2.2884
35-59, 2020-04-20, -0.5861, -0.6022, 2.2186
35-59, 2020-04-21, -0.307, -0.3154, 2.271
35-59, 2020-04-22, -0.3593, -0.3692, 2.1314
35-59, 2020-04-23, -0.3174, -0.3262, 1.9814
35-59, 2020-04-24, -0.2267, -0.233, 1.7756
35-59, 2020-04-25, -0.4151, -0.4265, 1.6256
35-59, 2020-04-26, -0.4256, -0.4373, 1.5733
35-59, 2020-04-27, -0.464, -0.4767, 1.4582
35-59, 2020-04-28, -0.5895, -0.6057, 1.371
35-59, 2020-04-29, -0.4884, -0.5018, 1.3361
35-59, 2020-04-30, -0.4744, -0.4875, 1.2279
35-59, 2020-05-01, -0.3698, -0.3799, 1.2384
35-59, 2020-05-02, -0.307, -0.3154, 1.1268
35-59, 2020-05-03, -0.307, -0.3154, 1.0012
35-59, 2020-05-04, -0.2547, -0.2616, 1.0012
35-59, 2020-05-05, -0.1988, -0.2043, 0.9489
35-59, 2020-05-06, -0.2233, -0.2294, 0.9105
35-59, 2020-05-07, -0.1849, -0.19, 0.9105
35-59, 2020-05-08, -0.2581, -0.2652, 0.8407
35-59, 2020-05-09, -0.1919, -0.1971, 0.8686
35-59, 2020-05-10, -0.1047, -0.1075, 0.8721
35-59, 2020-05-11, -0.1326, -0.1362, 0.8337
35-59, 2020-05-12, -0.1186, -0.1219, 0.8407
35-59, 2020-05-13, -0.1151, -0.1183, 0.7744
35-59, 2020-05-14, -0.1151, -0.1183, 0.7395
35-59, 2020-05-15, -0.1151, -0.1183, 0.6837
35-59, 2020-05-16, -0.1186, -0.1219, 0.6628
35-59, 2020-05-17, -0.1291, -0.1326, 0.6279
35-59, 2020-05-18, -0.0942, -0.0968, 0.6349
35-59, 2020-05-19, -0.157, -0.1613, 0.5477
35-59, 2020-05-20, -0.1395, -0.1434, 0.5163
35-59, 2020-05-21, -0.1326, -0.1362, 0.4954
35-59, 2020-05-22, -0.15, -0.1541, 0.457
35-59, 2020-05-23, -0.143, -0.147, 0.4361
35-59, 2020-05-24, -0.1081, -0.1111, 0.4256
35-59, 2020-05-25, -0.1116, -0.1147, 0.4221
35-59, 2020-05-26, -0.0174, -0.0179, 0.4465
35-59, 2020-05-27, -0.0279, -0.0287, 0.4535
35-59, 2020-05-28, -0.0384, -0.0394, 0.4047
35-59, 2020-05-29, 0.0035, 0.0028, 0.4395
35-59, 2020-05-30, -0.0035, -0.0036, 0.4186
35-59, 2020-05-31, -0.0209, -0.0215, 0.45
35-59, 2020-06-01, -0.0105, -0.0108, 0.4291
35-59, 2020-06-02, -0.0802, -0.0824, 0.3872
35-59, 2020-06-03, -0.0837, -0.086, 0.3314
35-59, 2020-06-04, -0.0453, -0.0466, 0.3454
35-59, 2020-06-05, -0.0593, -0.0609, 0.3314
35-59, 2020-06-06, -0.0488, -0.0502, 0.3244
35-59, 2020-06-07, -0.0733, -0.0753, 0.3174
35-59, 2020-06-08, -0.0767, -0.0789, 0.3279
35-59, 2020-06-09, -0.0279, -0.0287, 0.3454
35-59, 2020-06-10, 0.0105, 0.0083, 0.3384
35-59, 2020-06-11, -0.014, -0.0143, 0.3105
35-59, 2020-06-12, -0.0384, -0.0394, 0.2686
35-59, 2020-06-13, -0.0419, -0.043, 0.2826
35-59, 2020-06-14, -0.0384, -0.0394, 0.2756
35-59, 2020-06-15, -0.0279, -0.0287, 0.2895
35-59, 2020-06-16, -0.0244, -0.0251, 0.2895
35-59, 2020-06-17, , , 0.3384
35-59, 2020-06-18, 0.0453, 0.0359, 0.3523
35-59, 2020-06-19, 0.0872, 0.0691, 0.4186
35-59, 2020-06-20, 0.0942, 0.0746, 0.443
35-59, 2020-06-21, 0.1116, 0.0884, 0.443
35-59, 2020-06-22, 0.0767, 0.0608, 0.4221
35-59, 2020-06-23, 0.0767, 0.0608, 0.4256
35-59, 2020-06-24, 0.0244, 0.0193, 0.4116
35-59, 2020-06-25, 0.0035, 0.0028, 0.4012
35-59, 2020-06-26, -0.0209, -0.0215, 0.3628
35-59, 2020-06-27, -0.0314, -0.0323, 0.3593
35-59, 2020-06-28, -0.0593, -0.0609, 0.3558
35-59, 2020-06-29, -0.0244, -0.0251, 0.3628
35-59, 2020-06-30, -0.014, -0.0143, 0.3802
35-59, 2020-07-01, -0.0105, -0.0108, 0.3558
35-59, 2020-07-02, -0.0244, -0.0251, 0.3349
35-59, 2020-07-03, -0.014, -0.0143, 0.3628
35-59, 2020-07-04, -0.0035, -0.0036, 0.3419
35-59, 2020-07-05, -0.0105, -0.0108, 0.3244
35-59, 2020-07-06, -0.0174, -0.0179, 0.3244
35-59, 2020-07-07, -0.0314, -0.0323, 0.3279
35-59, 2020-07-08, -0.0105, -0.0108, 0.3384
35-59, 2020-07-09, 0.0523, 0.0414, 0.3663
35-59, 2020-07-10, -0.007, -0.0072, 0.3279
35-59, 2020-07-11, -0.0209, -0.0215, 0.3244
35-59, 2020-07-12, 0.0174, 0.0138, 0.3384
35-59, 2020-07-13, 0.0105, 0.0083, 0.3384
35-59, 2020-07-14, 0.014, 0.011, 0.3279
35-59, 2020-07-15, -0.007, -0.0072, 0.3454
35-59, 2020-07-16, -0.0453, -0.0466, 0.3454
35-59, 2020-07-17, 0.014, 0.011, 0.3663
35-59, 2020-07-18, 0.0558, 0.0442, 0.3837
35-59, 2020-07-19, 0.0314, 0.0249, 0.3837
35-59, 2020-07-20, 0.0279, 0.0221, 0.3733
35-59, 2020-07-21, 0.014, 0.011, 0.3663
35-59, 2020-07-22, 0.0279, 0.0221, 0.3558
35-59, 2020-07-23, 0.014, 0.011, 0.3558
35-59, 2020-07-24, -0.0105, -0.0108, 0.3419
35-59, 2020-07-25, -0.0488, -0.0502, 0.3628
35-59, 2020-07-26, -0.0453, -0.0466, 0.3907
35-59, 2020-07-27, -0.0279, -0.0287, 0.3907
35-59, 2020-07-28, -0.0174, -0.0179, 0.4221
35-59, 2020-07-29, 0.007, 0.0055, 0.4605
35-59, 2020-07-30, 0.0349, 0.0276, 0.4814
35-59, 2020-07-31, 0.0733, 0.058, 0.4988
