Meldedatum, region, region_id, value, difference, trend
2020-03-06, Hamburg, 2, , , 
2020-03-07, Hamburg, 2, 0.054, , 
2020-03-08, Hamburg, 2, 0.054, , 
2020-03-09, Hamburg, 2, 0.054, , 
2020-03-10, Hamburg, 2, 0.1619, , 
2020-03-11, Hamburg, 2, 0.2699, , 
2020-03-12, Hamburg, 2, 0.2699, , 
2020-03-13, Hamburg, 2, 0.3779, , 
2020-03-14, Hamburg, 2, 0.4858, , 
2020-03-15, Hamburg, 2, 0.8097, , 
2020-03-16, Hamburg, 2, 1.0257, , 
2020-03-17, Hamburg, 2, 1.0796, , 
2020-03-18, Hamburg, 2, 1.4575, , 
2020-03-19, Hamburg, 2, 1.7274, 0.3779, 0.2917
2020-03-20, Hamburg, 2, 2.3752, 0.5938, 0.4583
2020-03-21, Hamburg, 2, 2.8071, 0.5398, 0.4167
2020-03-22, Hamburg, 2, 2.915, 0.8637, 0.6667
2020-03-23, Hamburg, 2, 3.023, 0.7018, 0.5417
2020-03-24, Hamburg, 2, 3.8867, 0.5938, 0.4583
2020-03-25, Hamburg, 2, 4.2646, 0.9717, 0.75
2020-03-26, Hamburg, 2, 5.2902, 0.8097, 0.625
2020-03-27, Hamburg, 2, 5.3442, 1.6734, 1.2917
2020-03-28, Hamburg, 2, 5.938, 1.3495, 1.0417
2020-03-29, Hamburg, 2, 6.5318, 1.0796, 0.8333
2020-03-30, Hamburg, 2, 6.6398, 1.2956, 1
2020-03-31, Hamburg, 2, 6.4778, 1.2416, 0.9583
2020-04-01, Hamburg, 2, 6.3698, 0.9717, 0.75
2020-04-02, Hamburg, 2, 6.046, 0.9177, 0.7083
2020-04-03, Hamburg, 2, 6.3698, 0.108, 0.0833
2020-04-04, Hamburg, 2, 6.5318, 0.4858, 0.375
2020-04-05, Hamburg, 2, 6.3698, 0.6478, 0.5
2020-04-06, Hamburg, 2, 6.5318, 0.5398, 0.4167
2020-04-07, Hamburg, 2, 6.6937, 0.2159, 0.1667
2020-04-08, Hamburg, 2, 7.5035, 0.3779, 0.2917
2020-04-09, Hamburg, 2, 7.7734, 0.7557, 0.5833
2020-04-10, Hamburg, 2, 7.1256, 1.2956, 1
2020-04-11, Hamburg, 2, 6.4238, 0.5398, 0.4167
2020-04-12, Hamburg, 2, 6.046, 0.054, 0.0417
2020-04-13, Hamburg, 2, 5.83, -0.4319, -0.2581
2020-04-14, Hamburg, 2, 5.2902, -0.7018, -0.4194
2020-04-15, Hamburg, 2, 4.1566, -0.8637, -0.5161
2020-04-16, Hamburg, 2, 3.7787, -1.2956, -0.7742
2020-04-17, Hamburg, 2, 4.1566, -2.3752, -1.4194
2020-04-18, Hamburg, 2, 3.9946, -1.4575, -0.871
2020-04-19, Hamburg, 2, 3.7247, -1.3495, -0.8065
2020-04-20, Hamburg, 2, 3.6168, -1.0796, -0.6452
2020-04-21, Hamburg, 2, 3.4009, -0.5938, -0.3548
2020-04-22, Hamburg, 2, 3.2929, -0.9177, -0.5484
2020-04-23, Hamburg, 2, 2.7531, -0.2699, -0.1613
2020-04-24, Hamburg, 2, 2.5371, -0.2159, -0.129
2020-04-25, Hamburg, 2, 2.4292, -0.2699, -0.1613
2020-04-26, Hamburg, 2, 2.4832, -0.2699, -0.1613
2020-04-27, Hamburg, 2, 2.3752, -0.2159, -0.129
2020-04-28, Hamburg, 2, 2.4832, , 
2020-04-29, Hamburg, 2, 2.4292, , 
2020-04-30, Hamburg, 2, 2.4292, -0.2159, -0.129
2020-05-01, Hamburg, 2, 1.9973, , 
2020-05-02, Hamburg, 2, 1.6195, -0.4319, -0.2581
2020-05-03, Hamburg, 2, 1.4575, -0.3779, -0.2258
2020-05-04, Hamburg, 2, 1.3495, -0.4319, -0.2581
2020-05-05, Hamburg, 2, 1.1336, -0.4858, -0.2903
2020-05-06, Hamburg, 2, 1.0796, -0.3779, -0.2258
2020-05-07, Hamburg, 2, 0.8097, -0.7557, -0.4516
2020-05-08, Hamburg, 2, 0.7018, -0.7018, -0.4194
2020-05-09, Hamburg, 2, 0.7557, -0.4319, -0.2581
2020-05-10, Hamburg, 2, 0.7018, -0.3779, -0.2258
2020-05-11, Hamburg, 2, 0.6478, -0.3239, -0.1935
2020-05-12, Hamburg, 2, 0.4858, -0.3239, -0.1935
2020-05-13, Hamburg, 2, 0.2699, -0.4858, -0.2903
2020-05-14, Hamburg, 2, 0.2159, -0.3239, -0.1935
2020-05-15, Hamburg, 2, 0.1619, -0.3779, -0.2258
2020-05-16, Hamburg, 2, 0.1619, , 
2020-05-17, Hamburg, 2, 0.108, -0.3779, -0.2258
2020-05-18, Hamburg, 2, 0.1619, -0.3239, -0.1935
2020-05-19, Hamburg, 2, 0.1619, -0.2699, -0.1613
2020-05-20, Hamburg, 2, 0.2159, -0.2159, -0.129
2020-05-21, Hamburg, 2, 0.2699, -0.054, -0.0323
2020-05-22, Hamburg, 2, 0.2159, , 
2020-05-23, Hamburg, 2, 0.2159, , 
2020-05-24, Hamburg, 2, 0.2699, 0.054, 0.0417
2020-05-25, Hamburg, 2, 0.2159, , 
2020-05-26, Hamburg, 2, 0.2159, 0.054, 0.0417
2020-05-27, Hamburg, 2, 0.1619, , 
2020-05-28, Hamburg, 2, 0.1619, , 
2020-05-29, Hamburg, 2, 0.1619, 0.054, 0.0417
2020-05-30, Hamburg, 2, 0.108, , 
2020-05-31, Hamburg, 2, 0.054, -0.054, -0.0323
2020-06-01, Hamburg, 2, 0.054, , 
2020-06-02, Hamburg, 2, 0.054, -0.054, -0.0323
2020-06-03, Hamburg, 2, 0.054, , 
2020-06-04, Hamburg, 2, 0.054, , 
2020-06-05, Hamburg, 2, 0.054, , 
2020-06-06, Hamburg, 2, 0.054, , 
2020-06-07, Hamburg, 2, 0.108, , 
2020-06-08, Hamburg, 2, 0.108, , 
2020-06-09, Hamburg, 2, 0.108, , 
2020-06-10, Hamburg, 2, 0.108, , 
2020-06-11, Hamburg, 2, 0.054, , 
2020-06-12, Hamburg, 2, 0.108, , 
2020-06-13, Hamburg, 2, 0.108, , 
2020-06-14, Hamburg, 2, 0.054, , 
2020-06-15, Hamburg, 2, 0.108, , 
2020-06-16, Hamburg, 2, 0.108, , 
2020-06-17, Hamburg, 2, 0.108, -0.054, -0.0323
2020-06-18, Hamburg, 2, 0.108, , 
2020-06-19, Hamburg, 2, 0.054, , 
2020-06-20, Hamburg, 2, 0.108, , 
2020-06-21, Hamburg, 2, 0.108, , 
2020-06-22, Hamburg, 2, 0.054, , 
2020-06-23, Hamburg, 2, 0.054, , 
2020-06-24, Hamburg, 2, 0.1619, , 
2020-06-25, Hamburg, 2, 0.4319, , 
2020-06-26, Hamburg, 2, 0.4858, 0.054, 0.0417
2020-06-27, Hamburg, 2, 0.4858, 0.1619, 0.125
2020-06-28, Hamburg, 2, 0.5398, 0.1619, 0.125
2020-06-29, Hamburg, 2, 0.5398, 0.2699, 0.2083
2020-06-30, Hamburg, 2, 0.5398, 0.2699, 0.2083
2020-07-01, Hamburg, 2, 0.4319, 0.2699, 0.2083
2020-07-02, Hamburg, 2, 0.1619, 0.054, 0.0417
2020-07-03, Hamburg, 2, 0.1619, , 
2020-07-04, Hamburg, 2, 0.108, -0.108, -0.0645
2020-07-05, Hamburg, 2, 0.054, -0.1619, -0.0968
2020-07-06, Hamburg, 2, 0.054, -0.2699, -0.1613
2020-07-07, Hamburg, 2, 0.054, -0.2699, -0.1613
2020-07-08, Hamburg, 2, 0.054, -0.2699, -0.1613
2020-07-09, Hamburg, 2, 0.108, , 
2020-07-10, Hamburg, 2, 0.108, , 
2020-07-11, Hamburg, 2, 0.108, -0.054, -0.0323
