Meldedatum, difference, region, region_id, trend, value
2020-03-06, , Niedersachsen, 3, , 0.05
2020-03-07, , Niedersachsen, 3, , 0.075
2020-03-08, , Niedersachsen, 3, , 0.0875
2020-03-09, , Niedersachsen, 3, , 0.0875
2020-03-10, , Niedersachsen, 3, , 0.075
2020-03-11, , Niedersachsen, 3, , 0.1
2020-03-12, , Niedersachsen, 3, , 0.1125
2020-03-13, 0.0375, Niedersachsen, 3, 0.0254, 0.1374
2020-03-14, 0.0375, Niedersachsen, 3, 0.0254, 0.1374
2020-03-15, 0.0375, Niedersachsen, 3, 0.0254, 0.1749
2020-03-16, 0.025, Niedersachsen, 3, 0.0169, 0.2249
2020-03-17, 0.0375, Niedersachsen, 3, 0.0254, 0.3249
2020-03-18, 0.0375, Niedersachsen, 3, 0.0254, 0.4248
2020-03-19, 0.1249, Niedersachsen, 3, 0.0847, 0.6247
2020-03-20, 0.2499, Niedersachsen, 3, 0.1695, 0.7247
2020-03-21, 0.2749, Niedersachsen, 3, 0.1864, 0.9621
2020-03-22, 0.4873, Niedersachsen, 3, 0.3305, 1.1245
2020-03-23, 0.6622, Niedersachsen, 3, 0.4492, 1.212
2020-03-24, 0.7872, Niedersachsen, 3, 0.5339, 1.3494
2020-03-25, 1.112, Niedersachsen, 3, 0.7542, 1.5493
2020-03-26, 1.0246, Niedersachsen, 3, 0.6949, 1.6993
2020-03-27, 1.4494, Niedersachsen, 3, 0.9831, 2.0116
2020-03-28, 1.4119, Niedersachsen, 3, 0.9576, 2.2365
2020-03-29, 1.4369, Niedersachsen, 3, 0.9746, 2.4614
2020-03-30, 1.3994, Niedersachsen, 3, 0.9492, 2.6489
2020-03-31, 1.3494, Niedersachsen, 3, 0.9153, 2.8363
2020-04-01, 0.2999, Niedersachsen, 3, 0.2034, 3.1112
2020-04-02, 0.5872, Niedersachsen, 3, 0.3983, 3.2986
2020-04-03, 0.0375, Niedersachsen, 3, 0.0254, 3.3611
2020-04-04, 0.2249, Niedersachsen, 3, 0.1525, 3.5735
2020-04-05, -0.1374, Niedersachsen, 3, -0.0917, 3.5485
2020-04-06, -0.1249, Niedersachsen, 3, -0.0833, 3.3861
2020-04-07, -0.1374, Niedersachsen, 3, -0.0917, 3.561
2020-04-08, 0.3374, Niedersachsen, 3, 0.2288, 3.411
2020-04-09, 0.025, Niedersachsen, 3, 0.0169, 3.4985
2020-04-10, , Niedersachsen, 3, , 3.461
2020-04-11, -0.2749, Niedersachsen, 3, -0.1833, 3.1362
2020-04-12, -0.1749, Niedersachsen, 3, -0.1167, 2.9362
2020-04-13, -0.2874, Niedersachsen, 3, -0.1917, 3.0737
2020-04-14, -0.5498, Niedersachsen, 3, -0.3667, 2.7738
2020-04-15, -0.2624, Niedersachsen, 3, -0.175, 2.8488
2020-04-16, -0.3499, Niedersachsen, 3, -0.2333, 2.6988
2020-04-17, -0.2749, Niedersachsen, 3, -0.1833, 2.7238
2020-04-18, -0.0875, Niedersachsen, 3, -0.0583, 2.7613
2020-04-19, , Niedersachsen, 3, , 2.8738
2020-04-20, -0.0625, Niedersachsen, 3, -0.0417, 2.8238
2020-04-21, 0.4623, Niedersachsen, 3, 0.3136, 2.7738
2020-04-22, 0.1874, Niedersachsen, 3, 0.1271, 2.5739
2020-04-23, 0.1499, Niedersachsen, 3, 0.1017, 2.3865
2020-04-24, -0.1, Niedersachsen, 3, -0.0667, 2.1741
2020-04-25, -0.1499, Niedersachsen, 3, -0.1, 2.0366
2020-04-26, -0.3499, Niedersachsen, 3, -0.2333, 1.8117
2020-04-27, -0.4248, Niedersachsen, 3, -0.2833, 1.6993
2020-04-28, -0.8621, Niedersachsen, 3, -0.575, 1.5868
2020-04-29, -0.7997, Niedersachsen, 3, -0.5333, 1.5868
2020-04-30, -0.6122, Niedersachsen, 3, -0.4083, 1.4744
2020-05-01, -0.4873, Niedersachsen, 3, -0.325, 1.3369
2020-05-02, -0.6372, Niedersachsen, 3, -0.425, 1.112
2020-05-03, -0.5623, Niedersachsen, 3, -0.375, 1.0371
2020-05-04, -0.5748, Niedersachsen, 3, -0.3833, 0.9121
2020-05-05, -0.4623, Niedersachsen, 3, -0.3083, 0.9996
2020-05-06, -0.5373, Niedersachsen, 3, -0.3583, 0.8746
2020-05-07, -0.5997, Niedersachsen, 3, -0.4, 0.8746
2020-05-08, -0.4623, Niedersachsen, 3, -0.3083, 0.8246
2020-05-09, -0.2874, Niedersachsen, 3, -0.1917, 0.8996
2020-05-10, -0.2249, Niedersachsen, 3, -0.15, 0.9246
2020-05-11, -0.1, Niedersachsen, 3, -0.0667, 0.9246
2020-05-12, -0.1749, Niedersachsen, 3, -0.1167, 0.8871
2020-05-13, -0.0875, Niedersachsen, 3, -0.0583, 0.7497
2020-05-14, 0.025, Niedersachsen, 3, 0.0169, 0.6372
2020-05-15, -0.05, Niedersachsen, 3, -0.0333, 0.6247
2020-05-16, -0.1999, Niedersachsen, 3, -0.1333, 0.5872
2020-05-17, -0.1249, Niedersachsen, 3, -0.0833, 0.5748
2020-05-18, -0.1499, Niedersachsen, 3, -0.1, 0.5997
2020-05-19, -0.1374, Niedersachsen, 3, -0.0917, 0.4873
2020-05-20, , Niedersachsen, 3, , 0.5123
2020-05-21, -0.0875, Niedersachsen, 3, -0.0583, 0.6372
2020-05-22, -0.0125, Niedersachsen, 3, -0.0083, 0.5872
2020-05-23, 0.0625, Niedersachsen, 3, 0.0424, 0.5997
2020-05-24, 0.025, Niedersachsen, 3, 0.0169, 0.5997
2020-05-25, , Niedersachsen, 3, , 0.5623
2020-05-26, 0.025, Niedersachsen, 3, 0.0169, 0.5623
2020-05-27, 0.025, Niedersachsen, 3, 0.0169, 0.5872
2020-05-28, -0.0875, Niedersachsen, 3, -0.0583, 0.4623
2020-05-29, -0.1, Niedersachsen, 3, -0.0667, 0.5748
2020-05-30, -0.075, Niedersachsen, 3, -0.05, 0.5248
2020-05-31, -0.1, Niedersachsen, 3, -0.0667, 0.5248
2020-06-01, -0.025, Niedersachsen, 3, -0.0167, 0.5373
2020-06-02, -0.0875, Niedersachsen, 3, -0.0583, 0.4873
2020-06-03, -0.1499, Niedersachsen, 3, -0.1, 0.4623
2020-06-04, -0.0375, Niedersachsen, 3, -0.025, 0.5123
2020-06-05, -0.1, Niedersachsen, 3, -0.0667, 0.4873
2020-06-06, -0.0625, Niedersachsen, 3, -0.0417, 0.4748
2020-06-07, -0.075, Niedersachsen, 3, -0.05, 0.4873
2020-06-08, -0.1125, Niedersachsen, 3, -0.075, 0.4873
2020-06-09, 0.025, Niedersachsen, 3, 0.0169, 0.4748
2020-06-10, 0.0125, Niedersachsen, 3, 0.0085, 0.3998
2020-06-11, , Niedersachsen, 3, , 0.3249
2020-06-12, -0.0625, Niedersachsen, 3, -0.0417, 0.2374
2020-06-13, -0.0875, Niedersachsen, 3, -0.0583, 0.2999
2020-06-14, -0.1, Niedersachsen, 3, -0.0667, 0.2749
2020-06-15, -0.1125, Niedersachsen, 3, -0.075, 0.2874
2020-06-16, -0.1374, Niedersachsen, 3, -0.0917, 0.3748
2020-06-17, -0.0375, Niedersachsen, 3, -0.025, 0.4373
2020-06-18, 0.1, Niedersachsen, 3, 0.0678, 0.4748
2020-06-19, 0.1749, Niedersachsen, 3, 0.1186, 0.4623
2020-06-20, 0.1249, Niedersachsen, 3, 0.0847, 0.4123
2020-06-21, 0.1249, Niedersachsen, 3, 0.0847, 0.4498
2020-06-22, 0.1374, Niedersachsen, 3, 0.0932, 0.4248
2020-06-23, 0.0375, Niedersachsen, 3, 0.0254, 0.3873
2020-06-24, , Niedersachsen, 3, , 0.3623
2020-06-25, -0.1624, Niedersachsen, 3, -0.1083, 0.2749
2020-06-26, -0.1499, Niedersachsen, 3, -0.1, 0.2874
2020-06-27, -0.1125, Niedersachsen, 3, -0.075, 0.2874
2020-06-28, -0.1374, Niedersachsen, 3, -0.0917, 0.2499
2020-06-29, -0.1125, Niedersachsen, 3, -0.075, 0.2624
2020-06-30, -0.0625, Niedersachsen, 3, -0.0417, 0.2624
2020-07-01, -0.0375, Niedersachsen, 3, -0.025, 0.2124
2020-07-02, 0.0625, Niedersachsen, 3, 0.0424, 0.2499
2020-07-03, 0.0875, Niedersachsen, 3, 0.0593, 0.2749
2020-07-04, 0.05, Niedersachsen, 3, 0.0339, 0.2499
2020-07-05, 0.075, Niedersachsen, 3, 0.0508, 0.2374
2020-07-06, 0.0375, Niedersachsen, 3, 0.0254, 0.2374
2020-07-07, , Niedersachsen, 3, , 0.1999
2020-07-08, -0.0125, Niedersachsen, 3, -0.0083, 0.1874
2020-07-09, -0.0875, Niedersachsen, 3, -0.0583, 0.1749
2020-07-10, -0.1749, Niedersachsen, 3, -0.1167, 0.1374
2020-07-11, -0.1499, Niedersachsen, 3, -0.1, 0.1125
2020-07-12, -0.1374, Niedersachsen, 3, -0.0917, 0.1
2020-07-13, -0.1374, Niedersachsen, 3, -0.0917, 0.0875
2020-07-14, -0.1, Niedersachsen, 3, -0.0667, 0.075
2020-07-15, -0.0875, Niedersachsen, 3, -0.0583, 0.1
2020-07-16, -0.075, Niedersachsen, 3, -0.05, 0.0875
2020-07-17, -0.05, Niedersachsen, 3, -0.0333, 0.0875
2020-07-18, , Niedersachsen, 3, , 0.1249
2020-07-19, 0.0125, Niedersachsen, 3, 0.0085, 0.1874
2020-07-20, 0.0625, Niedersachsen, 3, 0.0424, 0.1999
2020-07-21, 0.1249, Niedersachsen, 3, 0.0847, 0.2124
2020-07-22, 0.0875, Niedersachsen, 3, 0.0593, 0.2124
2020-07-23, 0.1, Niedersachsen, 3, 0.0678, 0.2124
2020-07-24, 0.1249, Niedersachsen, 3, 0.0847, 0.1999
2020-07-25, 0.075, Niedersachsen, 3, 0.0508, 0.1999
2020-07-26, , Niedersachsen, 3, , 0.1749
2020-07-27, -0.025, Niedersachsen, 3, -0.0167, 0.1624
2020-07-28, -0.075, Niedersachsen, 3, -0.05, 0.1499
2020-07-29, -0.0625, Niedersachsen, 3, -0.0417, 0.1749
2020-07-30, -0.0625, Niedersachsen, 3, -0.0417, 0.1999
2020-07-31, -0.0375, Niedersachsen, 3, -0.025, 0.2624
2020-08-01, , Niedersachsen, 3, , 0.2749
2020-08-02, 0.0375, Niedersachsen, 3, 0.0254, 0.2624
2020-08-03, 0.025, Niedersachsen, 3, 0.0169, 0.2749
2020-08-04, 0.0625, Niedersachsen, 3, 0.0424, 0.2749
2020-08-05, 0.0625, Niedersachsen, 3, 0.0424, 0.2749
2020-08-06, 0.075, Niedersachsen, 3, 0.0508, 0.2624
2020-08-07, -0.0125, Niedersachsen, 3, -0.0083, 0.1999
2020-08-08, -0.0875, Niedersachsen, 3, -0.0583, 0.1874
2020-08-09, -0.0625, Niedersachsen, 3, -0.0417, 0.1749
2020-08-10, -0.0625, Niedersachsen, 3, -0.0417, 0.1874
2020-08-11, -0.0875, Niedersachsen, 3, -0.0583, 0.2624
2020-08-12, -0.075, Niedersachsen, 3, -0.05, 0.2374
2020-08-13, -0.1, Niedersachsen, 3, -0.0667, 0.2624
2020-08-14, 0.0375, Niedersachsen, 3, 0.0254, 0.2624
2020-08-15, 0.05, Niedersachsen, 3, 0.0339, 0.2749
2020-08-16, 0.075, Niedersachsen, 3, 0.0508, 0.2874
2020-08-17, 0.1125, Niedersachsen, 3, 0.0763, 0.2999
2020-08-18, 0.1, Niedersachsen, 3, 0.0678, 0.2499
