Meldedatum, region, region_id, value, difference, trend
2020-03-06, Sachsen, 14, , , 
2020-03-07, Sachsen, 14, 0.0246, , 
2020-03-08, Sachsen, 14, 0.0246, , 
2020-03-09, Sachsen, 14, 0.0493, , 
2020-03-10, Sachsen, 14, 0.0739, , 
2020-03-11, Sachsen, 14, 0.1232, , 
2020-03-12, Sachsen, 14, 0.2218, , 
2020-03-13, Sachsen, 14, 0.2465, , 
2020-03-14, Sachsen, 14, 0.3451, , 
2020-03-15, Sachsen, 14, 0.3697, , 
2020-03-16, Sachsen, 14, 0.3944, , 
2020-03-17, Sachsen, 14, 0.419, 0.1232, 0.0305
2020-03-18, Sachsen, 14, 0.493, 0.0986, 0.0244
2020-03-19, Sachsen, 14, 0.6902, 0.1232, 0.0305
2020-03-20, Sachsen, 14, 0.9613, 0.1725, 0.0427
2020-03-21, Sachsen, 14, 1.0599, 0.2711, 0.0671
2020-03-22, Sachsen, 14, 1.3064, 0.3451, 0.0854
2020-03-23, Sachsen, 14, 1.3557, 0.3944, 0.0976
2020-03-24, Sachsen, 14, 1.6515, 0.419, 0.1037
2020-03-25, Sachsen, 14, 2.1938, 0.7395, 0.1829
2020-03-26, Sachsen, 14, 2.5142, 0.912, 0.2256
2020-03-27, Sachsen, 14, 2.9332, 1.1832, 0.2927
2020-03-28, Sachsen, 14, 3.4509, 1.3064, 0.3232
2020-03-29, Sachsen, 14, 3.8453, 1.6022, 0.3963
2020-03-30, Sachsen, 14, 4.1164, 1.7501, 0.4329
2020-03-31, Sachsen, 14, 4.6094, 2.1938, 0.5427
2020-04-01, Sachsen, 14, 4.8805, 1.9966, 0.4939
2020-04-02, Sachsen, 14, 4.8805, 2.1445, 0.5305
2020-04-03, Sachsen, 14, 5.1763, 1.7501, 0.4329
2020-04-04, Sachsen, 14, 5.4721, 1.5282, 0.378
2020-04-05, Sachsen, 14, 5.4721, 1.2078, 0.2988
2020-04-06, Sachsen, 14, 5.3489, 1.1092, 0.2744
2020-04-07, Sachsen, 14, 4.9791, 0.2218, 0.0549
2020-04-08, Sachsen, 14, 4.4861, 0.0739, 0.0183
2020-04-09, Sachsen, 14, 4.4122, -0.493, -0.1117
2020-04-10, Sachsen, 14, 3.6727, -0.5916, -0.1341
2020-04-11, Sachsen, 14, 3.1551, -0.7888, -0.1788
2020-04-12, Sachsen, 14, 2.9579, -1.4296, -0.324
2020-04-13, Sachsen, 14, 3.0565, -1.5282, -0.3464
2020-04-14, Sachsen, 14, 2.8593, -1.2571, -0.2849
2020-04-15, Sachsen, 14, 2.6868, -1.4296, -0.324
2020-04-16, Sachsen, 14, 2.5142, -1.0846, -0.2458
2020-04-17, Sachsen, 14, 2.7114, -0.7641, -0.1732
2020-04-18, Sachsen, 14, 2.391, -0.7148, -0.162
2020-04-19, Sachsen, 14, 2.0705, -0.419, -0.095
2020-04-20, Sachsen, 14, 1.824, -0.4437, -0.1006
2020-04-21, Sachsen, 14, 1.7501, -0.419, -0.095
2020-04-22, Sachsen, 14, 1.7254, -0.1972, -0.0447
2020-04-23, Sachsen, 14, 1.6022, -0.5176, -0.1173
2020-04-24, Sachsen, 14, 1.3311, -0.8874, -0.2011
2020-04-25, Sachsen, 14, 1.2325, -0.7641, -0.1732
2020-04-26, Sachsen, 14, 1.1585, -0.5916, -0.1341
2020-04-27, Sachsen, 14, 1.1092, -0.5669, -0.1285
2020-04-28, Sachsen, 14, 0.986, -0.5669, -0.1285
2020-04-29, Sachsen, 14, 0.8874, -0.6902, -0.1564
2020-04-30, Sachsen, 14, 0.8134, -0.6162, -0.1397
2020-05-01, Sachsen, 14, 0.7641, -0.419, -0.095
2020-05-02, Sachsen, 14, 0.7641, -0.419, -0.095
2020-05-03, Sachsen, 14, 0.8134, -0.3204, -0.0726
2020-05-04, Sachsen, 14, 0.7888, -0.2958, -0.067
2020-05-05, Sachsen, 14, 0.7395, -0.1725, -0.0391
2020-05-06, Sachsen, 14, 1.0599, -0.0493, -0.0112
2020-05-07, Sachsen, 14, 1.0846, 0.2958, 0.0732
2020-05-08, Sachsen, 14, 1.1092, 0.3451, 0.0854
2020-05-09, Sachsen, 14, 1.0846, 0.419, 0.1037
2020-05-10, Sachsen, 14, 1.1339, 0.3204, 0.0793
2020-05-11, Sachsen, 14, 1.1585, 0.3697, 0.0915
