Meldedatum, region, region_id, value, difference, trend
2020-03-06, Schleswig-Holstein, 1, 0.0687, , 
2020-03-07, Schleswig-Holstein, 1, 0.0687, , 
2020-03-08, Schleswig-Holstein, 1, 0.0687, , 
2020-03-09, Schleswig-Holstein, 1, 0.0687, , 
2020-03-10, Schleswig-Holstein, 1, 0.0687, , 
2020-03-11, Schleswig-Holstein, 1, 0.0344, , 
2020-03-12, Schleswig-Holstein, 1, 0.0687, , 
2020-03-13, Schleswig-Holstein, 1, 0.1374, , 
2020-03-14, Schleswig-Holstein, 1, 0.2061, , 
2020-03-15, Schleswig-Holstein, 1, 0.2405, , 
2020-03-16, Schleswig-Holstein, 1, 0.2405, , 
2020-03-17, Schleswig-Holstein, 1, 0.3092, , 
2020-03-18, Schleswig-Holstein, 1, 0.5497, , 
2020-03-19, Schleswig-Holstein, 1, 0.7901, , 
2020-03-20, Schleswig-Holstein, 1, 0.7901, , 
2020-03-21, Schleswig-Holstein, 1, 1.0993, 0.6527, 0.38
2020-03-22, Schleswig-Holstein, 1, 1.2367, 0.7901, 0.46
2020-03-23, Schleswig-Holstein, 1, 1.5459, 0.9619, 0.56
2020-03-24, Schleswig-Holstein, 1, 2.0269, 1.168, 0.68
2020-03-25, Schleswig-Holstein, 1, 2.3017, 1.4429, 0.84
2020-03-26, Schleswig-Holstein, 1, 2.4735, 1.3742, 0.8
2020-03-27, Schleswig-Holstein, 1, 3.1949, 1.8895, 1.1
2020-03-28, Schleswig-Holstein, 1, 3.4354, 1.6833, 0.98
2020-03-29, Schleswig-Holstein, 1, 3.8133, 1.7521, 1.02
2020-03-30, Schleswig-Holstein, 1, 3.9507, 1.6146, 0.94
2020-03-31, Schleswig-Holstein, 1, 4.0194, 1.4429, 0.84
2020-04-01, Schleswig-Holstein, 1, 4.3286, 1.3054, 0.76
2020-04-02, Schleswig-Holstein, 1, 4.5347, 1.4772, 0.86
2020-04-03, Schleswig-Holstein, 1, 4.3629, 0.6527, 0.38
2020-04-04, Schleswig-Holstein, 1, 4.1568, 0.7901, 0.46
2020-04-05, Schleswig-Holstein, 1, 3.9851, 0.3092, 0.18
2020-04-06, Schleswig-Holstein, 1, 3.6759, 0.1031, 0.06
2020-04-07, Schleswig-Holstein, 1, 3.5728, -0.0344, -0.0169
2020-04-08, Schleswig-Holstein, 1, 3.4697, -0.584, -0.2881
2020-04-09, Schleswig-Holstein, 1, 3.4697, -0.8245, -0.4068
2020-04-10, Schleswig-Holstein, 1, 3.298, -0.8932, -0.4407
2020-04-11, Schleswig-Holstein, 1, 2.9888, -1.2711, -0.6271
2020-04-12, Schleswig-Holstein, 1, 2.8514, -0.8588, -0.4237
2020-04-13, Schleswig-Holstein, 1, 2.817, -0.6527, -0.322
2020-04-14, Schleswig-Holstein, 1, 2.4735, -1.0993, -0.5424
2020-04-15, Schleswig-Holstein, 1, 1.7864, -1.0306, -0.5085
2020-04-16, Schleswig-Holstein, 1, 1.4085, -1.2367, -0.6102
2020-04-17, Schleswig-Holstein, 1, 1.2024, -1.2024, -0.5932
2020-04-18, Schleswig-Holstein, 1, 1.2711, -0.8932, -0.4407
2020-04-19, Schleswig-Holstein, 1, 1.2367, -1.168, -0.5763
2020-04-20, Schleswig-Holstein, 1, 1.2024, -1.2711, -0.6271
2020-04-21, Schleswig-Holstein, 1, 1.4772, -0.6184, -0.3051
2020-04-22, Schleswig-Holstein, 1, 1.6833, -0.0344, -0.0169
2020-04-23, Schleswig-Holstein, 1, 1.6833, 0.1374, 0.08
2020-04-24, Schleswig-Holstein, 1, 1.6146, 0.3092, 0.18
2020-04-25, Schleswig-Holstein, 1, 1.6833, 0.5153, 0.3
2020-04-26, Schleswig-Holstein, 1, 1.5803, 0.584, 0.34
2020-04-27, Schleswig-Holstein, 1, 1.649, 0.6871, 0.4
2020-04-28, Schleswig-Holstein, 1, 1.2367, , 
2020-04-29, Schleswig-Holstein, 1, 1.1337, -0.3779, -0.1864
2020-04-30, Schleswig-Holstein, 1, 0.9963, -0.4122, -0.2034
2020-05-01, Schleswig-Holstein, 1, 0.9963, -0.5497, -0.2712
2020-05-02, Schleswig-Holstein, 1, 0.7901, -0.9276, -0.4576
2020-05-03, Schleswig-Holstein, 1, 0.7558, -0.8932, -0.4407
2020-05-04, Schleswig-Holstein, 1, 0.6527, -1.065, -0.5254
2020-05-05, Schleswig-Holstein, 1, 0.7214, -0.5497, -0.2712
2020-05-06, Schleswig-Holstein, 1, 0.7901, -0.2405, -0.1186
2020-05-07, Schleswig-Holstein, 1, 0.7214, -0.1718, -0.0847
2020-05-08, Schleswig-Holstein, 1, 0.6871, -0.2748, -0.1356
2020-05-09, Schleswig-Holstein, 1, 0.7558, -0.1031, -0.0508
2020-05-10, Schleswig-Holstein, 1, 0.7214, -0.0687, -0.0339
2020-05-11, Schleswig-Holstein, 1, 0.8245, 0.1374, 0.08
2020-05-12, Schleswig-Holstein, 1, 0.7214, -0.0344, -0.0169
2020-05-13, Schleswig-Holstein, 1, 0.6184, -0.3092, -0.1525
2020-05-14, Schleswig-Holstein, 1, 0.5497, -0.2061, -0.1017
2020-05-15, Schleswig-Holstein, 1, 0.4122, -0.1031, -0.0508
2020-05-16, Schleswig-Holstein, 1, 0.2748, -0.1718, -0.0847
2020-05-17, Schleswig-Holstein, 1, 0.2748, -0.2061, -0.1017
2020-05-18, Schleswig-Holstein, 1, 0.1374, -0.3779, -0.1864
2020-05-19, Schleswig-Holstein, 1, 0.1374, -0.3092, -0.1525
2020-05-20, Schleswig-Holstein, 1, 0.1374, -0.2405, -0.1186
2020-05-21, Schleswig-Holstein, 1, 0.1718, -0.2748, -0.1356
2020-05-22, Schleswig-Holstein, 1, 0.2405, -0.2405, -0.1186
2020-05-23, Schleswig-Holstein, 1, 0.3779, -0.0687, -0.0339
2020-05-24, Schleswig-Holstein, 1, 0.3435, -0.0687, -0.0339
2020-05-25, Schleswig-Holstein, 1, 0.3435, 0.0344, 0.02
2020-05-26, Schleswig-Holstein, 1, 0.3435, 0.1031, 0.06
2020-05-27, Schleswig-Holstein, 1, 0.3092, 0.0687, 0.04
2020-05-28, Schleswig-Holstein, 1, 0.2748, , 
2020-05-29, Schleswig-Holstein, 1, 0.2405, , 
2020-05-30, Schleswig-Holstein, 1, 0.2061, -0.1718, -0.0847
2020-05-31, Schleswig-Holstein, 1, 0.2061, -0.1374, -0.0678
2020-06-01, Schleswig-Holstein, 1, 0.2061, -0.1374, -0.0678
2020-06-02, Schleswig-Holstein, 1, 0.2061, -0.1031, -0.0508
2020-06-03, Schleswig-Holstein, 1, 0.1374, -0.0687, -0.0339
2020-06-04, Schleswig-Holstein, 1, 0.1374, -0.0344, -0.0169
2020-06-05, Schleswig-Holstein, 1, 0.1031, -0.0687, -0.0339
2020-06-06, Schleswig-Holstein, 1, 0.0344, -0.0344, -0.0169
2020-06-07, Schleswig-Holstein, 1, 0.0344, -0.0344, -0.0169
2020-06-08, Schleswig-Holstein, 1, 0.0344, -0.0344, -0.0169
2020-06-09, Schleswig-Holstein, 1, 0.0344, -0.1031, -0.0508
2020-06-10, Schleswig-Holstein, 1, 0.0344, -0.0687, -0.0339
2020-06-11, Schleswig-Holstein, 1, 0.0344, -0.0687, -0.0339
2020-06-12, Schleswig-Holstein, 1, 0.0687, , 
