Meldedatum, difference, trend, value
2020-12-28, , , 
2020-12-29, , , 
2020-12-30, , , 
2020-12-31, , , 
2021-01-01, , , 
2021-01-02, , , 
2021-01-03, , , 
2021-01-04, , , 
2021-01-05, , , 
2021-01-06, , , 
2021-01-07, , , 
2021-01-08, , , 
2021-01-09, , , 
2021-01-10, , , 
2021-01-11, , , 
2021-01-12, , , 
2021-01-13, , , 
2021-01-14, , , 
2021-01-15, , , 
2021-01-16, , , 
2021-01-17, , , 
2021-01-18, , , 
2021-01-19, , , 
2021-01-20, 0.1, 0.02, 0.1
2021-01-21, 0.2, 0.04, 0.2
2021-01-22, 0.2, 0.04, 0.2
2021-01-23, 0.2, 0.04, 0.2
2021-01-24, 0.3, 0.06, 0.3
2021-01-25, 0.3, 0.06, 0.3
2021-01-26, 0.4, 0.08, 0.4
2021-01-27, 0.3, 0.06, 0.4
2021-01-28, 0.3, 0.06, 0.5
2021-01-29, 0.4, 0.08, 0.6
2021-01-30, 0.4, 0.08, 0.6
2021-01-31, 0.4, 0.08, 0.7
2021-02-01, 0.4, 0.08, 0.7
2021-02-02, 0.4, 0.08, 0.8
2021-02-03, 0.5, 0.1, 0.9
2021-02-04, 0.5, 0.1, 1
2021-02-05, 0.5, 0.1, 1.1
2021-02-06, 0.6, 0.12, 1.2
2021-02-07, 0.5, 0.1, 1.2
2021-02-08, 0.6, 0.12, 1.3
2021-02-09, 0.5, 0.1, 1.3
2021-02-10, 0.5, 0.1, 1.4
2021-02-11, 0.5, 0.1, 1.5
2021-02-12, 0.5, 0.1, 1.6
2021-02-13, 0.5, 0.1, 1.7
2021-02-14, 0.5, 0.1, 1.7
2021-02-15, 0.5, 0.1, 1.8
2021-02-16, 0.5, 0.1, 1.8
2021-02-17, 0.5, 0.1, 1.9
2021-02-18, 0.5, 0.1, 2
2021-02-19, 0.4, 0.08, 2
2021-02-20, 0.4, 0.08, 2.1
2021-02-21, 0.5, 0.1, 2.2
2021-02-22, 0.4, 0.08, 2.2
2021-02-23, 0.5, 0.1, 2.3
2021-02-24, 0.4, 0.08, 2.3
2021-02-25, 0.4, 0.08, 2.4
2021-02-26, 0.5, 0.1, 2.5
2021-02-27, 0.5, 0.1, 2.6
2021-02-28, 0.4, 0.08, 2.6
2021-03-01, 0.4, 0.08, 2.6
2021-03-02, 0.4, 0.08, 2.7
2021-03-03, 0.5, 0.1, 2.8
2021-03-04, 0.4, 0.08, 2.8
2021-03-05, 0.4, 0.08, 2.9
2021-03-06, 0.4, 0.08, 3
2021-03-07, 0.5, 0.1, 3.1
2021-03-08, 0.5, 0.1, 3.1
2021-03-09, 0.5, 0.1, 3.2
2021-03-10, 0.4, 0.08, 3.2
2021-03-11, 0.5, 0.1, 3.3
2021-03-12, 0.5, 0.1, 3.4
2021-03-13, 0.5, 0.1, 3.5
2021-03-14, 0.4, 0.08, 3.5
2021-03-15, 0.5, 0.1, 3.6
2021-03-16, 0.4, 0.08, 3.6
2021-03-17, 0.5, 0.1, 3.7
2021-03-18, 0.5, 0.1, 3.8
2021-03-19, 0.5, 0.1, 3.9
2021-03-20, 0.5, 0.1, 4
2021-03-21, 0.6, 0.12, 4.1
2021-03-22, 0.5, 0.1, 4.1
2021-03-23, 0.6, 0.12, 4.2
2021-03-24, 0.6, 0.12, 4.3
2021-03-25, 0.6, 0.12, 4.4
2021-03-26, 0.6, 0.12, 4.5
2021-03-27, 0.6, 0.12, 4.6
2021-03-28, 0.6, 0.12, 4.7
2021-03-29, 0.7, 0.14, 4.8
2021-03-30, 0.7, 0.14, 4.9
2021-03-31, 0.7, 0.14, 5
2021-04-01, 0.7, 0.14, 5.1
2021-04-02, 0.7, 0.14, 5.2
2021-04-03, 0.7, 0.14, 5.3
2021-04-04, 0.7, 0.14, 5.4
