Altersgruppe, Meldedatum, difference, trend, value
35-59, 2020-03-05, , , 0.6
35-59, 2020-03-06, , , 0.9
35-59, 2020-03-07, , , 1.2
35-59, 2020-03-08, , , 1.4
35-59, 2020-03-09, , , 1.6
35-59, 2020-03-10, , , 2.2
35-59, 2020-03-11, , , 3.2
35-59, 2020-03-12, 2.4907, 0.0412, 4.2
35-59, 2020-03-13, 3.4326, 0.0568, 6
35-59, 2020-03-14, 4.7338, 0.0783, 8.5
35-59, 2020-03-15, 5.8989, 0.0976, 10.8
35-59, 2020-03-16, 7.9153, 0.131, 12.5
35-59, 2020-03-17, 10.5211, 0.1741, 15.7
35-59, 2020-03-18, 10.9014, 0.1804, 20.2
35-59, 2020-03-19, 13.6607, 0.2261, 25.5
35-59, 2020-03-20, 16.0433, 0.2655, 30.7
35-59, 2020-03-21, 16.8387, 0.2786, 34.7
35-59, 2020-03-22, 16.4724, 0.2726, 37.6
35-59, 2020-03-23, 19.3957, 0.321, 39.5
35-59, 2020-03-24, 20.8957, 0.3458, 41.8
35-59, 2020-03-25, 21.4155, 0.3544, 44
35-59, 2020-03-26, 19.2875, 0.3192, 46.9
35-59, 2020-03-27, 18.0561, 0.2988, 48.9
35-59, 2020-03-28, 18.841, 0.3118, 51
35-59, 2020-03-29, 18.6073, 0.3079, 52.3
35-59, 2020-03-30, 16.7201, 0.2767, 53.1
35-59, 2020-03-31, 13.2386, 0.2191, 53
35-59, 2020-04-01, 11.7769, 0.1949, 53.9
35-59, 2020-04-02, 9.3211, 0.1542, 53.3
35-59, 2020-04-03, 6.942, 0.1149, 53.2
35-59, 2020-04-04, 3.3454, 0.0554, 52.6
35-59, 2020-04-05, 3.8687, 0.064, 52
35-59, 2020-04-06, 1.1686, 0.0193, 50.9
35-59, 2020-04-07, -0.4779, -0.0076, 49.6
35-59, 2020-04-08, -3.6384, -0.0576, 48.2
35-59, 2020-04-09, -4.6954, -0.0743, 46.7
35-59, 2020-04-10, -6.4536, -0.1022, 44.2
35-59, 2020-04-11, -9.0455, -0.1432, 40.2
35-59, 2020-04-12, -12.5932, -0.1994, 37.7
35-59, 2020-04-13, -13.1723, -0.2085, 36.5
35-59, 2020-04-14, -14.7491, -0.2335, 33.4
35-59, 2020-04-15, -16.1514, -0.2557, 29.1
35-59, 2020-04-16, -18.2864, -0.2895, 26.1
35-59, 2020-04-17, -18.6596, -0.2954, 24.1
35-59, 2020-04-18, -15.07, -0.2386, 23.6
35-59, 2020-04-19, -13.2351, -0.2095, 22.5
35-59, 2020-04-20, -13.0467, -0.2066, 22
35-59, 2020-04-21, -10.0851, -0.1597, 22.3
35-59, 2020-04-22, -5.8396, -0.0925, 22
35-59, 2020-04-23, -3.4849, -0.0552, 20.8
35-59, 2020-04-24, -3.164, -0.0501, 18.6
35-59, 2020-04-25, -5.1036, -0.0808, 16.9
35-59, 2020-04-26, -5.0513, -0.08, 15.8
35-59, 2020-04-27, -5.6199, -0.089, 15
35-59, 2020-04-28, -7.0292, -0.1113, 14.1
35-59, 2020-04-29, -8.0164, -0.1269, 13.3
35-59, 2020-04-30, -7.8769, -0.1247, 11.9
35-59, 2020-05-01, -6.4745, -0.1025, 11.2
35-59, 2020-05-02, -5.9652, -0.0944, 10.1
35-59, 2020-05-03, -6.0978, -0.0965, 9.3
35-59, 2020-05-04, -5.5606, -0.088, 9
35-59, 2020-05-05, -5.2047, -0.0824, 8.6
35-59, 2020-05-06, -4.6675, -0.0739, 8.2
35-59, 2020-05-07, -3.607, -0.0571, 8
35-59, 2020-05-08, -3.4291, -0.0543, 7.8
35-59, 2020-05-09, -1.8105, -0.0287, 8
35-59, 2020-05-10, -1.0291, -0.0163, 8.1
35-59, 2020-05-11, -1.0256, -0.0162, 8
35-59, 2020-05-12, -0.5442, -0.0086, 8.1
35-59, 2020-05-13, -0.3558, -0.0056, 7.8
35-59, 2020-05-14, -0.5233, -0.0083, 7.4
35-59, 2020-05-15, -0.5233, -0.0083, 7
35-59, 2020-05-16, -1.3954, -0.0221, 6.6
35-59, 2020-05-17, -1.7372, -0.0275, 6.3
35-59, 2020-05-18, -1.7512, -0.0277, 6.2
35-59, 2020-05-19, -2.1419, -0.0339, 6
35-59, 2020-05-20, -1.8698, -0.0296, 5.8
35-59, 2020-05-21, -1.6954, -0.0268, 5.6
35-59, 2020-05-22, -1.9117, -0.0303, 5
35-59, 2020-05-23, -1.6151, -0.0256, 4.8
35-59, 2020-05-24, -1.4721, -0.0233, 4.6
35-59, 2020-05-25, -1.5314, -0.0242, 4.5
35-59, 2020-05-26, -1.3256, -0.021, 4.3
35-59, 2020-05-27, -1.5698, -0.0249, 4.2
35-59, 2020-05-28, -1.4965, -0.0237, 4
