Altersgruppe, Meldedatum, value, difference, trend
>=80, 2020-03-05, 0.1, , 
>=80, 2020-03-06, 0.1, , 
>=80, 2020-03-07, 0.2, , 
>=80, 2020-03-08, 0.3, , 
>=80, 2020-03-09, 0.3, , 
>=80, 2020-03-10, 0.4, , 
>=80, 2020-03-11, 0.7, , 
>=80, 2020-03-12, 0.8, , 
>=80, 2020-03-13, 1, , 
>=80, 2020-03-14, 1.4, , 
>=80, 2020-03-15, 1.8, 1.0287, 0.0159
>=80, 2020-03-16, 2.3, 1.4334, 0.0221
>=80, 2020-03-17, 3, 1.8888, 0.0291
>=80, 2020-03-18, 4.3, 2.0405, 0.0314
>=80, 2020-03-19, 5.7, 2.9681, 0.0457
>=80, 2020-03-20, 7.5, 3.9968, 0.0616
>=80, 2020-03-21, 9.8, 4.587, 0.0707
>=80, 2020-03-22, 11.9, 5.0929, 0.0785
>=80, 2020-03-23, 13.3, 6.695, 0.1032
>=80, 2020-03-24, 15.5, 9.0222, 0.139
>=80, 2020-03-25, 18.8, 10.8772, 0.1676
>=80, 2020-03-26, 22.9, 12.8672, 0.1983
>=80, 2020-03-27, 27.8, 15.8352, 0.244
>=80, 2020-03-28, 33.3, 19.5116, 0.3007
>=80, 2020-03-29, 38.3, 21.687, 0.3342
>=80, 2020-03-30, 41.1, 24.6214, 0.3794
>=80, 2020-03-31, 45.5, 26.274, 0.4049
>=80, 2020-04-01, 52.2, 28.0279, 0.4319
>=80, 2020-04-02, 59.2, 31.1309, 0.4797
>=80, 2020-04-03, 66.7, 30.6081, 0.4717
>=80, 2020-04-04, 73.4, 31.3669, 0.4834
>=80, 2020-04-05, 75.7, 35.2625, 0.5434
>=80, 2020-04-06, 77.3, 35.2962, 0.5439
>=80, 2020-04-07, 79.3, 32.4462, 0.5
>=80, 2020-04-08, 80, 27.0498, 0.4168
>=80, 2020-04-09, 80.8, 19.5622, 0.3015
>=80, 2020-04-10, 79.2, 16.0545, 0.2474
